weight logl pFat pLiver pSlow kMet fAbs
2.801168116178908655e-300 -7.030957491650002567e+02 3.789233189447649419e-02 6.174089217655714945e-01 4.478048664782704469e-01 6.471586845670027621e-01 1.514041243507602275e-02
7.081899618222789771e-231 -5.432873720835685845e+02 9.443207142006948551e-02 5.506259943558267089e-02 3.619123796781944513e-01 9.767710369591077191e-01 7.106637650632730008e-02
2.005349602953767166e-221 -5.215207449218826241e+02 2.922646540986073571e-02 5.495128406973684987e-01 6.152343994435501839e-01 5.542158602387404764e-01 3.462465893547439499e-02
8.375011110415106488e-218 -5.131810556496951676e+02 4.591033455042794476e-01 4.629078138000204401e-01 7.927479706261053582e-01 4.170500283329984237e-01 1.063014658045613459e-02
1.853269507540285450e-194 -4.594248144415412298e+02 9.369915171312688251e-01 9.164798477587038361e-01 4.467501200215276969e-01 9.257852742217438369e-01 2.400217356465295104e-02
2.841054205567244391e-188 -4.451795800817615714e+02 8.857309538454860576e-02 2.229063757723609429e-01 5.335168423259021298e-01 6.501069858333847762e-01 5.358129292445112934e-02
5.624181793512360396e-182 -4.306786692276572808e+02 1.229638592115911422e-01 1.435416899614124775e-01 8.618392281271201050e-01 8.286286114985421669e-01 7.248013276343356903e-02
9.521955643295236374e-182 -4.301496444538140622e+02 5.525342089524445388e-01 8.437330903696140805e-01 7.378365829154210909e-01 4.276590892221256990e-01 1.440915281180410457e-02
4.953057950852601974e-178 -4.215903991805706710e+02 5.336918416808489329e-01 3.508820114493911291e-01 2.149354751916022765e-01 5.403574329044680269e-02 2.703557145192214684e-03
1.625071025142219967e-177 -4.203997677186598594e+02 3.375760746489508968e-01 9.005828045427122230e-02 8.425313160325332840e-01 9.268424864478559400e-01 7.258457087957936871e-02
2.316598187068114049e-177 -4.200427194303334772e+02 9.497077116853247514e-02 9.469862404405045009e-01 8.108716799839780220e-01 7.995967535153900574e-01 5.446434817591139232e-02
3.293438965051285353e-175 -4.150832167582925649e+02 3.214001385721936277e-01 9.678235517260669329e-02 5.155168476350872053e-01 9.054508217809220660e-01 7.558278629846670871e-02
5.496316883849953222e-175 -4.145685708448422702e+02 5.190967475422019195e-01 2.760877702406405731e-03 9.964902413007171722e-01 7.806938216862054913e-01 1.910284386567964177e-01
7.495648843907465754e-172 -4.073480710782539518e+02 2.979220094669640106e-01 1.007608391427181616e-01 1.774165576194637328e-01 3.900480696039386741e-01 3.493381961598263086e-02
7.170411332948151086e-170 -4.027847605687298937e+02 3.465787526011568920e-01 1.823810096867727326e-01 2.399166690728252727e-01 4.213291332379246468e-01 3.079754494148068122e-02
9.164444139754212573e-163 -3.864187967102241146e+02 6.430485647942487670e-01 4.648122317466641951e-01 6.000435027319984682e-01 4.587387358018638617e-01 2.241292198657462986e-02
8.114655916789800955e-161 -3.819327859541824068e+02 4.478431677224559149e-02 4.371574827187307832e-01 4.658223875600775443e-02 8.816446156874800932e-01 1.404451948096765435e-01
3.647192781879733604e-152 -3.620067341455853693e+02 4.139637843697827613e-01 1.444236995857828276e-02 7.295151985561013630e-01 8.165177189135260916e-01 1.625639252351009922e-01
1.417516051498603118e-148 -3.537389454640747317e+02 1.423170495506920208e-02 7.948478045914566525e-01 1.171357154850005688e-01 9.767830096461367351e-01 2.469014090176898657e-01
1.745419959486135064e-148 -3.535283563532776157e+02 7.070588522000109677e-01 3.407058423195918895e-01 8.610003317185052074e-01 9.377890058997074840e-01 6.154995773255289571e-02
7.923856947949501927e-137 -3.266845374458409879e+02 6.235454660089669865e-01 2.929326787958453915e-01 3.814805525755060600e-02 9.778165067222973628e-01 9.997603007008049047e-02
4.409792370645695575e-135 -3.226629177286521895e+02 6.698193173451081339e-01 1.901372097241650350e-01 5.044098623550211657e-01 2.030425696335314001e-01 1.878805385265036598e-02
5.388588596082569787e-134 -3.201573767479060280e+02 5.062354840414750035e-01 2.419864015137548341e-01 3.396123381511261252e-01 8.481831503812287121e-01 8.987058468220854301e-02
7.761990624579756744e-133 -3.174873363244436746e+02 2.044063497790441497e-01 4.480020291130912824e-01 8.597729452894031787e-01 4.758927461812768600e-01 5.333822467550231039e-02
3.535261113075162195e-132 -3.159687028948286525e+02 1.415018667376353179e-01 6.290292084664514949e-01 5.769838114881655766e-01 9.123181083228560917e-01 1.200908820033236291e-01
4.309337756259034279e-131 -3.134656207240704475e+02 5.406997298793592144e-02 1.391589616794958184e-01 8.831297126155015498e-01 9.036318872532631552e-01 2.217595472970435022e-01
5.903916255237447040e-131 -3.131482890607535978e+02 5.221931517867021144e-01 1.099095250697421644e-01 6.295807671472524181e-01 8.949246371542778355e-01 1.180858857753600555e-01
1.280281674734542261e-128 -3.077665695724494412e+02 9.772021262671228836e-01 7.535359786872175558e-01 3.546772156200608261e-01 6.805660672631647090e-01 4.826407055969261783e-02
3.365654829724505524e-128 -3.067975271401782038e+02 9.549080072804372321e-02 2.283941347244849984e-01 4.092142816529275029e-01 4.285437262408946513e-01 8.164183783794387583e-02
1.871043140254662391e-126 -3.027769833942190303e+02 5.581852079953586454e-02 1.354457139202325244e-01 2.986106349168569096e-01 7.471008391451234854e-01 2.108556671524871584e-01
2.288749292804656784e-122 -2.933626336185747618e+02 6.041216307103036698e-02 8.182215952497058353e-01 2.705853323885333284e-01 9.312141539613868479e-01 2.046842408715485728e-01
1.144120739709857459e-119 -2.871457474185186811e+02 2.191613133825076609e-02 8.438644795352997496e-01 1.745882837486115724e-01 4.350811844942443773e-01 1.424293403288028337e-01
2.959313585751987469e-118 -2.838903414098791700e+02 9.924486349269369123e-01 4.566668411021348462e-01 5.476741146987440523e-01 3.564674262193077148e-01 3.090139517028722693e-02
3.525626276260993716e-117 -2.814101555741157767e+02 2.117420839971573265e-02 9.752950731415829244e-01 7.800367592035850617e-02 9.349345260668465718e-01 3.663171757128773631e-01
1.042327083508744493e-116 -2.803236727748339945e+02 7.415605016957427242e-01 4.189777992196097589e-02 9.310822080234648634e-02 7.452389364651005321e-01 1.778877411387785878e-01
2.497883883995352228e-116 -2.794471846415951859e+02 2.976622334502209144e-01 7.852873471643863068e-01 1.504257236598764980e-01 9.067806062269142542e-01 1.297138605944581080e-01
1.644144124633692018e-115 -2.775603235157918220e+02 8.619495015736247101e-01 4.363324982277515529e-01 9.028202290690157117e-02 7.952028516299508576e-01 9.416636910059517085e-02
2.513074140774312892e-115 -2.771335367146144790e+02 6.867864078896857016e-02 3.943045684982499077e-01 4.179894970432027623e-01 6.919054433499219892e-01 1.723438331446840444e-01
3.049010408436448610e-115 -2.769377263939137492e+02 7.944737347430003149e-01 2.963445906409867270e-02 1.499913857184786981e-02 8.765087460394426211e-01 2.447227665078077763e-01
5.204088694160401046e-115 -2.764005988716714342e+02 1.886413844040134569e-01 3.481350703896201049e-01 3.465305184545344197e-01 7.219863879794556905e-01 1.306367860732641217e-01
1.013835963279184201e-111 -2.688234619834907448e+02 8.360935940979528080e-01 9.291993961921941603e-01 7.625051539138177903e-01 5.374744694494485442e-01 4.782969804060799301e-02
