09:42:03 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=calibration/fit2/1,2,3,4,6,7,8-HpCDD/run2, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
09:42:22 [ultranest] [INFO] Sampling 400 live points from prior ...
09:42:41 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=calibration/fit/1,2,3,4,6,7,8-HpCDD/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
09:43:01 [ultranest] [INFO] Sampling 400 live points from prior ...
10:37:17 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
10:37:17 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:37:29 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
10:37:42 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-838.55, Lmax=-6.60
10:38:01 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-844.54, remainder_fraction=100.0000%, Lmin=-602.10, Lmax=-6.60
10:38:10 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-608.09, remainder_fraction=100.0000%, Lmin=-526.24, Lmax=-6.60
10:38:20 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-532.24, remainder_fraction=100.0000%, Lmin=-474.71, Lmax=-6.60
10:38:30 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-480.71, remainder_fraction=100.0000%, Lmin=-468.43, Lmax=-6.60
10:38:39 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-474.43, remainder_fraction=100.0000%, Lmin=-419.96, Lmax=-6.60
10:38:50 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-425.97, remainder_fraction=100.0000%, Lmin=-375.26, Lmax=-6.60
10:38:59 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-381.27, remainder_fraction=100.0000%, Lmin=-375.18, Lmax=-6.60
10:39:08 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-380.54, remainder_fraction=100.0000%, Lmin=-369.50, Lmax=-6.60
10:39:18 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-375.51, remainder_fraction=100.0000%, Lmin=-353.32, Lmax=-6.60
10:39:27 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-359.34, remainder_fraction=100.0000%, Lmin=-343.99, Lmax=-6.60
10:39:37 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-350.01, remainder_fraction=100.0000%, Lmin=-321.07, Lmax=-6.60
10:39:47 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-327.09, remainder_fraction=100.0000%, Lmin=-311.83, Lmax=-6.60
10:39:57 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-317.85, remainder_fraction=100.0000%, Lmin=-303.14, Lmax=-6.60
10:40:06 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-309.17, remainder_fraction=100.0000%, Lmin=-271.41, Lmax=-6.60
10:40:15 [ultranest] [DEBUG] iteration=15, ncalls=416, regioncalls=640, ndraw=40, logz=-277.44, remainder_fraction=100.0000%, Lmin=-259.65, Lmax=-6.60
10:40:24 [ultranest] [DEBUG] iteration=16, ncalls=417, regioncalls=680, ndraw=40, logz=-265.68, remainder_fraction=100.0000%, Lmin=-255.99, Lmax=-6.60
