16:05:22 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=calibration/fit2/PCB 126/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:05:41 [ultranest] [INFO] Sampling 400 live points from prior ...
16:58:45 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:58:45 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:58:45 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:58:53 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-1445.13, Lmax=-22.26
16:59:01 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-1451.13, remainder_fraction=100.0000%, Lmin=-1351.88, Lmax=-22.26
16:59:09 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-1357.88, remainder_fraction=100.0000%, Lmin=-1033.32, Lmax=-22.26
16:59:16 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-1039.31, remainder_fraction=100.0000%, Lmin=-996.89, Lmax=-22.26
16:59:24 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-1002.89, remainder_fraction=100.0000%, Lmin=-984.27, Lmax=-22.26
16:59:33 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-990.27, remainder_fraction=100.0000%, Lmin=-957.69, Lmax=-22.26
16:59:41 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-963.69, remainder_fraction=100.0000%, Lmin=-923.75, Lmax=-22.26
16:59:50 [ultranest] [DEBUG] iteration=7, ncalls=408, regioncalls=320, ndraw=40, logz=-929.76, remainder_fraction=100.0000%, Lmin=-848.47, Lmax=-22.26
16:59:58 [ultranest] [DEBUG] iteration=8, ncalls=409, regioncalls=360, ndraw=40, logz=-854.48, remainder_fraction=100.0000%, Lmin=-836.32, Lmax=-22.26
17:00:06 [ultranest] [DEBUG] iteration=9, ncalls=410, regioncalls=400, ndraw=40, logz=-842.33, remainder_fraction=100.0000%, Lmin=-789.80, Lmax=-22.26
17:00:14 [ultranest] [DEBUG] iteration=10, ncalls=411, regioncalls=440, ndraw=40, logz=-795.82, remainder_fraction=100.0000%, Lmin=-778.27, Lmax=-22.26
17:00:22 [ultranest] [DEBUG] iteration=11, ncalls=412, regioncalls=480, ndraw=40, logz=-784.28, remainder_fraction=100.0000%, Lmin=-760.78, Lmax=-22.26
17:00:31 [ultranest] [DEBUG] iteration=12, ncalls=413, regioncalls=520, ndraw=40, logz=-766.80, remainder_fraction=100.0000%, Lmin=-737.85, Lmax=-22.26
17:00:39 [ultranest] [DEBUG] iteration=13, ncalls=414, regioncalls=560, ndraw=40, logz=-743.87, remainder_fraction=100.0000%, Lmin=-732.21, Lmax=-22.26
17:00:47 [ultranest] [DEBUG] iteration=14, ncalls=415, regioncalls=600, ndraw=40, logz=-738.24, remainder_fraction=100.0000%, Lmin=-712.91, Lmax=-22.26
17:00:55 [ultranest] [DEBUG] iteration=15, ncalls=416, regioncalls=640, ndraw=40, logz=-718.93, remainder_fraction=100.0000%, Lmin=-704.83, Lmax=-22.26
17:01:03 [ultranest] [DEBUG] iteration=16, ncalls=417, regioncalls=680, ndraw=40, logz=-710.86, remainder_fraction=100.0000%, Lmin=-670.56, Lmax=-22.26
17:01:12 [ultranest] [DEBUG] iteration=17, ncalls=418, regioncalls=720, ndraw=40, logz=-676.59, remainder_fraction=100.0000%, Lmin=-652.87, Lmax=-22.26
17:01:20 [ultranest] [DEBUG] iteration=18, ncalls=419, regioncalls=760, ndraw=40, logz=-658.91, remainder_fraction=100.0000%, Lmin=-645.41, Lmax=-22.26
17:01:28 [ultranest] [DEBUG] iteration=19, ncalls=420, regioncalls=800, ndraw=40, logz=-651.45, remainder_fraction=100.0000%, Lmin=-610.45, Lmax=-22.26
17:01:36 [ultranest] [DEBUG] iteration=20, ncalls=421, regioncalls=840, ndraw=40, logz=-616.49, remainder_fraction=100.0000%, Lmin=-590.31, Lmax=-22.26
17:01:44 [ultranest] [DEBUG] iteration=21, ncalls=422, regioncalls=880, ndraw=40, logz=-596.36, remainder_fraction=100.0000%, Lmin=-587.46, Lmax=-22.26
17:01:52 [ultranest] [DEBUG] iteration=22, ncalls=423, regioncalls=920, ndraw=40, logz=-593.45, remainder_fraction=100.0000%, Lmin=-585.55, Lmax=-22.26
17:02:01 [ultranest] [DEBUG] iteration=23, ncalls=424, regioncalls=960, ndraw=40, logz=-591.45, remainder_fraction=100.0000%, Lmin=-581.31, Lmax=-22.26
17:02:10 [ultranest] [DEBUG] iteration=24, ncalls=425, regioncalls=1000, ndraw=40, logz=-587.35, remainder_fraction=100.0000%, Lmin=-566.32, Lmax=-22.26
17:02:17 [ultranest] [DEBUG] iteration=25, ncalls=426, regioncalls=1040, ndraw=40, logz=-572.37, remainder_fraction=100.0000%, Lmin=-561.21, Lmax=-22.26
17:02:26 [ultranest] [DEBUG] iteration=26, ncalls=427, regioncalls=1080, ndraw=40, logz=-567.26, remainder_fraction=100.0000%, Lmin=-538.80, Lmax=-22.26
17:02:33 [ultranest] [DEBUG] iteration=27, ncalls=428, regioncalls=1120, ndraw=40, logz=-544.86, remainder_fraction=100.0000%, Lmin=-526.68, Lmax=-22.26
17:02:41 [ultranest] [DEBUG] iteration=28, ncalls=429, regioncalls=1160, ndraw=40, logz=-532.74, remainder_fraction=100.0000%, Lmin=-516.80, Lmax=-22.26
17:02:48 [ultranest] [DEBUG] iteration=29, ncalls=430, regioncalls=1200, ndraw=40, logz=-522.86, remainder_fraction=100.0000%, Lmin=-515.87, Lmax=-22.26
17:02:57 [ultranest] [DEBUG] iteration=30, ncalls=431, regioncalls=1240, ndraw=40, logz=-521.60, remainder_fraction=100.0000%, Lmin=-515.55, Lmax=-22.26
17:03:04 [ultranest] [DEBUG] iteration=31, ncalls=432, regioncalls=1280, ndraw=40, logz=-520.92, remainder_fraction=100.0000%, Lmin=-509.41, Lmax=-22.26
17:03:12 [ultranest] [DEBUG] iteration=32, ncalls=433, regioncalls=1320, ndraw=40, logz=-515.48, remainder_fraction=100.0000%, Lmin=-498.45, Lmax=-22.26
17:03:20 [ultranest] [DEBUG] iteration=33, ncalls=434, regioncalls=1360, ndraw=40, logz=-504.52, remainder_fraction=100.0000%, Lmin=-479.90, Lmax=-22.26
17:03:36 [ultranest] [DEBUG] iteration=34, ncalls=436, regioncalls=1440, ndraw=40, logz=-485.98, remainder_fraction=100.0000%, Lmin=-475.86, Lmax=-22.26
17:03:44 [ultranest] [DEBUG] iteration=35, ncalls=437, regioncalls=1480, ndraw=40, logz=-481.92, remainder_fraction=100.0000%, Lmin=-467.45, Lmax=-22.26
17:03:52 [ultranest] [DEBUG] iteration=36, ncalls=438, regioncalls=1520, ndraw=40, logz=-473.53, remainder_fraction=100.0000%, Lmin=-463.59, Lmax=-22.26
17:04:01 [ultranest] [DEBUG] iteration=37, ncalls=439, regioncalls=1560, ndraw=40, logz=-469.65, remainder_fraction=100.0000%, Lmin=-457.28, Lmax=-22.26
17:04:10 [ultranest] [DEBUG] iteration=38, ncalls=440, regioncalls=1600, ndraw=40, logz=-463.36, remainder_fraction=100.0000%, Lmin=-454.62, Lmax=-22.26
17:04:17 [ultranest] [DEBUG] iteration=39, ncalls=441, regioncalls=1640, ndraw=40, logz=-460.64, remainder_fraction=100.0000%, Lmin=-450.43, Lmax=-22.26
17:04:25 [ultranest] [DEBUG] iteration=40, ncalls=442, regioncalls=1680, ndraw=40, logz=-456.51, remainder_fraction=100.0000%, Lmin=-443.97, Lmax=-22.26
17:04:32 [ultranest] [DEBUG] iteration=41, ncalls=443, regioncalls=1720, ndraw=40, logz=-450.06, remainder_fraction=100.0000%, Lmin=-439.95, Lmax=-22.26
17:04:40 [ultranest] [DEBUG] iteration=42, ncalls=444, regioncalls=1760, ndraw=40, logz=-446.03, remainder_fraction=100.0000%, Lmin=-437.97, Lmax=-22.26
17:04:48 [ultranest] [DEBUG] iteration=43, ncalls=445, regioncalls=1800, ndraw=40, logz=-443.93, remainder_fraction=100.0000%, Lmin=-437.21, Lmax=-22.26
17:04:58 [ultranest] [DEBUG] iteration=44, ncalls=446, regioncalls=1840, ndraw=40, logz=-442.88, remainder_fraction=100.0000%, Lmin=-435.77, Lmax=-22.26
17:05:07 [ultranest] [DEBUG] iteration=45, ncalls=447, regioncalls=1880, ndraw=40, logz=-441.56, remainder_fraction=100.0000%, Lmin=-434.06, Lmax=-22.26
17:05:15 [ultranest] [DEBUG] iteration=46, ncalls=448, regioncalls=1920, ndraw=40, logz=-439.94, remainder_fraction=100.0000%, Lmin=-429.04, Lmax=-22.26
17:05:24 [ultranest] [DEBUG] iteration=47, ncalls=449, regioncalls=1960, ndraw=40, logz=-435.14, remainder_fraction=100.0000%, Lmin=-427.77, Lmax=-22.26
17:05:32 [ultranest] [DEBUG] iteration=48, ncalls=450, regioncalls=2000, ndraw=40, logz=-433.63, remainder_fraction=100.0000%, Lmin=-424.93, Lmax=-22.26
17:05:40 [ultranest] [DEBUG] iteration=49, ncalls=451, regioncalls=2040, ndraw=40, logz=-430.97, remainder_fraction=100.0000%, Lmin=-419.56, Lmax=-22.26
17:05:48 [ultranest] [DEBUG] iteration=50, ncalls=452, regioncalls=2080, ndraw=40, logz=-425.67, remainder_fraction=100.0000%, Lmin=-416.93, Lmax=-22.26
17:05:57 [ultranest] [DEBUG] iteration=51, ncalls=453, regioncalls=2120, ndraw=40, logz=-422.98, remainder_fraction=100.0000%, Lmin=-412.77, Lmax=-22.26
17:06:05 [ultranest] [DEBUG] iteration=52, ncalls=454, regioncalls=2160, ndraw=40, logz=-418.87, remainder_fraction=100.0000%, Lmin=-411.83, Lmax=-22.26
17:06:14 [ultranest] [DEBUG] iteration=53, ncalls=455, regioncalls=2200, ndraw=40, logz=-417.62, remainder_fraction=100.0000%, Lmin=-411.09, Lmax=-22.26
17:06:29 [ultranest] [DEBUG] iteration=54, ncalls=457, regioncalls=2280, ndraw=40, logz=-416.71, remainder_fraction=100.0000%, Lmin=-409.41, Lmax=-22.26
17:06:38 [ultranest] [DEBUG] iteration=55, ncalls=458, regioncalls=2320, ndraw=40, logz=-415.27, remainder_fraction=100.0000%, Lmin=-403.36, Lmax=-22.26
17:06:51 [ultranest] [DEBUG] iteration=56, ncalls=460, regioncalls=2400, ndraw=40, logz=-409.49, remainder_fraction=100.0000%, Lmin=-397.47, Lmax=-22.26
17:06:59 [ultranest] [DEBUG] iteration=57, ncalls=461, regioncalls=2440, ndraw=40, logz=-403.60, remainder_fraction=100.0000%, Lmin=-391.38, Lmax=-22.26
17:07:06 [ultranest] [DEBUG] iteration=58, ncalls=462, regioncalls=2480, ndraw=40, logz=-397.51, remainder_fraction=100.0000%, Lmin=-388.32, Lmax=-22.26
17:07:14 [ultranest] [DEBUG] iteration=59, ncalls=463, regioncalls=2520, ndraw=40, logz=-394.41, remainder_fraction=100.0000%, Lmin=-372.30, Lmax=-22.26
17:07:29 [ultranest] [DEBUG] iteration=60, ncalls=465, regioncalls=2600, ndraw=40, logz=-378.44, remainder_fraction=100.0000%, Lmin=-367.82, Lmax=-22.26
17:07:37 [ultranest] [DEBUG] iteration=61, ncalls=466, regioncalls=2640, ndraw=40, logz=-373.95, remainder_fraction=100.0000%, Lmin=-367.34, Lmax=-22.26
17:07:44 [ultranest] [DEBUG] iteration=62, ncalls=467, regioncalls=2680, ndraw=40, logz=-373.00, remainder_fraction=100.0000%, Lmin=-365.36, Lmax=-22.26
17:07:52 [ultranest] [DEBUG] iteration=63, ncalls=468, regioncalls=2720, ndraw=40, logz=-371.30, remainder_fraction=100.0000%, Lmin=-364.51, Lmax=-22.26
17:08:00 [ultranest] [DEBUG] iteration=64, ncalls=469, regioncalls=2760, ndraw=40, logz=-370.24, remainder_fraction=100.0000%, Lmin=-359.45, Lmax=-22.26
17:08:17 [ultranest] [DEBUG] iteration=65, ncalls=471, regioncalls=2840, ndraw=40, logz=-365.60, remainder_fraction=100.0000%, Lmin=-353.33, Lmax=-22.26
