weight logl pFat pLiver pSlow kMet fAbs
2.677911997084727051e-238 -5.534881576489715371e+02 5.404944165874620010e-01 6.066801075785277497e-01 1.049065818773419201e-01 7.623030398902945759e-01 6.220359481105885990e-03
3.410525429440233169e-178 -4.150887230903203431e+02 8.121503639733275159e-01 5.328804406291282048e-01 9.962694512883119025e-02 2.976263880789621341e-01 3.290877386849300201e-03
5.930511274961533125e-176 -4.099278088409699876e+02 3.734470916650917127e-01 6.202882622850268701e-01 2.875786808736880973e-01 7.486699074376984564e-01 1.222088966237910856e-02
1.896068236349466564e-172 -4.018552965038404636e+02 1.378883902624337132e-01 4.036998752371523391e-02 8.853730336867446926e-01 6.789987458921390440e-01 1.923846757517344574e-02
4.831257843955005666e-168 -3.917071316677459549e+02 1.037657091721371216e-01 1.673878979374343601e-01 4.046815584937454302e-01 1.122664472900612997e-01 1.699966813445863423e-03
6.754939271452196644e-167 -3.890668794504820198e+02 3.249774980251557421e-01 3.363974302588581544e-01 9.254998058224462865e-01 8.816397106369350256e-01 1.023386794241443187e-02
7.046218936307687443e-167 -3.890221622798297290e+02 3.771598843711245763e-01 4.122886764387785341e-01 4.969170107692133520e-02 6.854867950438436885e-03 8.918627697257602849e-01
2.321980851447937115e-129 -3.026314992612528840e+02 7.957470175949135083e-01 9.266464706452968159e-01 7.871928834450862000e-01 6.966859420526958502e-01 7.642068383952982380e-03
6.835461329024351856e-129 -3.015492959349169269e+02 4.736032187065430943e-02 6.437106925902922328e-01 7.203799319160314463e-01 1.143206834589063359e-01 2.920017058273383093e-03
9.852305305412754209e-124 -2.896682889639879477e+02 5.269392969565586116e-01 8.837581346833345286e-02 1.374199254042223206e-01 8.552536396200484115e-01 7.813836283310526820e-02
7.576328513516191312e-118 -2.761129551576427730e+02 7.464501789455649794e-01 2.623488085649358093e-01 5.121772566084101808e-01 9.960144150503744687e-01 3.637451340954622747e-02
1.430622447333206208e-117 -2.754747891545676453e+02 7.256958370534338787e-01 3.064010584067642373e-01 2.377908223510307728e-01 6.793033234482167559e-01 2.964869665297020784e-02
1.398951064589164889e-116 -2.731920909727730873e+02 5.551528407097719997e-01 3.890014170652169589e-01 7.234975082986276895e-01 6.108593892981800666e-01 1.226263858261045225e-02
4.894288643263601797e-116 -2.719372447467059146e+02 5.064423834742410868e-01 7.296940209599129812e-01 2.015878283902552415e-01 5.673350245825199423e-01 2.094588201693314833e-02
6.006220903333923866e-115 -2.694274328466742077e+02 8.204886189491493731e-01 9.480608075875741614e-01 5.096257004391024914e-01 1.680625681393332904e-02 8.724937969079966660e-01
6.980470176955845284e-109 -2.554591017629355463e+02 9.694535203398900736e-01 6.341317959227539269e-01 6.107062848145483613e-01 1.813717470577824731e-02 9.498923177557293540e-01
1.021795965940806951e-107 -2.527729860221346883e+02 8.256779671928851094e-01 3.500827520843186047e-01 4.790974192423356204e-01 8.426836001704657297e-01 2.998073563272352082e-02
5.290201602684447310e-106 -2.488236064037621134e+02 8.420189936774735706e-03 9.859566717895593690e-01 1.131973349601699264e-01 7.724055766234220188e-01 1.393155172140722042e-01
1.397554460282516669e-104 -2.455470686779878235e+02 3.214908061162324859e-02 1.240877388001787596e-01 3.766489724993993260e-02 3.864631653207210027e-01 1.000242849777808196e-01
3.096004858643368564e-102 -2.401440098620227559e+02 4.512806916764042775e-01 5.995192800578585945e-03 4.946041213649652324e-01 6.879937887623955861e-01 2.201946103865836113e-01
5.709439568756453072e-98 -2.303191611453305256e+02 8.444142909363442362e-01 5.336551303055472317e-01 1.682778070309179919e-01 5.374959980336135867e-02 9.094605059726058593e-01
4.877847395527636974e-95 -2.235663227210452533e+02 4.049665846388621482e-01 4.280262737618650837e-01 5.404397423593669814e-01 2.407980828685128971e-01 6.024647388497839096e-03
3.291842875851704470e-90 -2.124441537185591073e+02 1.363451880553612217e-02 5.969031347150576261e-01 4.671533736373119083e-01 8.579394577447028158e-01 1.292872975134337077e-01
6.044800247461199135e-90 -2.118339028318868031e+02 6.744525289049329020e-01 1.695216891068771492e-01 3.633657186086431956e-01 1.796495640565809460e-02 7.931982916072608525e-01
4.350333973620284897e-88 -2.075551784674632358e+02 5.584683438275321876e-01 1.163878469049794973e-02 1.079844996558350090e-01 5.248804173323070588e-01 2.916864902170857032e-01
6.198706214049175089e-88 -2.071985904900396065e+02 8.885297261851672346e-01 9.835221497627888443e-02 2.734881989590934870e-01 8.019737367193279232e-01 9.923338852739105320e-02
2.274282295315516732e-86 -2.035935963711297632e+02 2.385436785051882058e-01 6.777171585983735591e-01 4.998115052655390800e-01 8.891948019779731816e-01 5.594583876915826259e-02
4.512426406388579965e-86 -2.029059258844810643e+02 3.176488524311977812e-01 8.982247023334548608e-01 4.399332161404153618e-01 8.891090182615496440e-01 5.215599832083217535e-02
1.697015571246862402e-83 -1.969736344582319134e+02 8.860279317203023641e-02 6.208103758017907703e-01 8.441084469154054304e-01 9.306264894250317887e-01 5.598570611138098396e-02
1.863499460199961649e-83 -1.968775494699242472e+02 2.564009827013795650e-01 8.728702444667542082e-01 8.428571125427897215e-02 8.137012255115209092e-01 9.014432707801589562e-02
3.985139899692598315e-81 -1.915097630160045412e+02 6.924377426874717134e-01 5.419572960911285264e-01 4.756884781068082546e-01 9.820495313772144019e-01 5.946161325107868212e-02
1.489261012858432691e-80 -1.901889703088075123e+02 9.940309770843147597e-02 3.042507208011286934e-01 5.361248546196112352e-01 8.859739121541453377e-01 1.003435893286908076e-01
1.287328248657570990e-74 -1.765166708376885936e+02 1.774407681516354529e-01 6.611758031734832342e-01 3.127106080074926187e-01 2.950903844912466933e-02 7.052914434735408911e-01
1.820902840920414915e-74 -1.761674073387167709e+02 4.869252624150993691e-01 2.949775341727262079e-01 4.024591381761022379e-02 3.090965030993353402e-02 5.241041809756190606e-01
1.491092147800829842e-72 -1.717595607607006798e+02 9.675694115598074685e-01 7.524404359992226121e-01 1.662018513977081557e-01 9.390072995263625266e-01 8.115241826532726410e-02
1.735617115720362943e-70 -1.670000363748171992e+02 6.435926228987243203e-02 2.783691215816088693e-01 1.629402982606107386e-01 9.200292912788131661e-01 2.702129653149464295e-01
1.231262940018537735e-69 -1.650382738951660997e+02 5.261903465022877979e-01 4.600465276744311049e-01 2.381515230642490266e-01 9.021217296602546121e-03 2.819941269681516260e-01
1.030847480327077660e-68 -1.629108479649165133e+02 6.068844581919873304e-01 7.738037349335759041e-01 7.321903811491824454e-01 2.175547299575164573e-02 5.330058551710145087e-01
4.864993873428604350e-68 -1.613566637689593222e+02 3.952108161253136132e-01 3.997015772853749205e-01 7.044477594180511559e-01 4.422061830602364019e-02 9.495728142398831562e-01
3.099312311373224332e-67 -1.595024638804454753e+02 7.537417021544469131e-01 1.083630117270941717e-01 8.312764179555254263e-01 3.851696856873942920e-02 9.946505510450158738e-01
