pFat pLiver pSlow kMet fAbs
1.589425829040837073e+02 2.346541821641482102e+02 6.570184655713462689e+02 6.789334470535542323e+02 4.205655775772290106e-01
1.363312054560377078e+02 1.817426582348500403e+02 2.515732581690997165e+02 2.226761540496088401e+02 1.212187399493309115e-01
1.389145372915908752e+02 1.481276567214792408e+02 5.498234831932441011e+02 6.635828068095033814e+02 5.536557465435021363e-01
1.409079630490483339e+02 2.464312373256073840e+02 4.672929791944882822e+02 2.924262864048196207e+02 1.281366912553723036e-01
2.105102808363734255e+02 2.798943329121763099e+02 7.555732803435790856e+02 9.149535198388333583e+02 5.325103731728020318e-01
1.209645238274107157e+02 1.691832060447983110e+02 5.056207828344187192e+02 4.243260047508178445e+02 3.625741847438433973e-01
1.311877218061831059e+02 3.401506237685010205e+02 6.351775765659334638e+02 5.584066665526692077e+02 2.648556030453589338e-01
2.672383644253312127e+02 2.203012681621764841e+02 3.724752375520834562e+02 3.205484828387172342e+02 1.318977358574699998e-01
2.627211169972973153e+02 4.435679929833958681e+02 6.914430653643923961e+02 7.678848484814085396e+02 3.613784279924840970e-01
1.546783013320657574e+02 2.849105692398093765e+02 7.236548538485374138e+02 7.137596937103691062e+02 3.524281321016096702e-01
1.819876240534739225e+02 1.602893218781306075e+02 5.294839798059798568e+02 6.396136609170558813e+02 6.478978910249046930e-01
1.057130452503715361e+02 2.392057795502525153e+02 5.053987595121957952e+02 5.190327596668878414e+02 3.621412569346800225e-01
2.449340339253750471e+02 2.839642299272678656e+02 6.637441820036635818e+02 6.361121933165795781e+02 2.773468135291573544e-01
1.057623786619802644e+02 3.200514632473177130e+02 7.910664186265353237e+02 9.634922256494867270e+02 5.798287708911566973e-01
1.361822566993325268e+02 2.323004091616333540e+02 4.275895103398382275e+02 4.781045400947709254e+02 2.570486822250220849e-01
1.246357122382678142e+02 2.546501858819005406e+02 5.176568180422751766e+02 5.367370132935005813e+02 3.693613876483976544e-01
8.785532144733450366e+01 1.607055723384711996e+02 6.853549475835374096e+02 6.220076278162247263e+02 4.711411232580032249e-01
1.232486979736626864e+02 3.365452713534837130e+02 5.531903571112392228e+02 5.884549012515125241e+02 3.950896663635951045e-01
1.248217312639949483e+02 2.180882402538364886e+02 7.356628638689621766e+02 9.301280268911259554e+02 5.259083522415957113e-01
2.330528779722578747e+02 3.622326945727846805e+02 6.732731140730896868e+02 6.701191561650979338e+02 2.132651370592041351e-01
6.703314293564257298e+01 9.700343132282505110e+01 7.427567264127866338e+02 7.922874807332549381e+02 6.944022748046951854e-01
1.185251759921220298e+02 3.217560029471072767e+02 6.873439807301621158e+02 6.670181145537943621e+02 3.178911638429907649e-01
9.882209343919684841e+01 1.745633877270608707e+02 9.578016715225272719e+02 9.590742286401570027e+02 5.951122563822323075e-01
1.307081463044828524e+02 1.958431052825340259e+02 3.938900383325405983e+02 4.990531359669788003e+02 3.807350135909932654e-01
1.015673911384419057e+02 1.969064553659954697e+02 9.185464791404062908e+02 9.990636844150280922e+02 6.426874041633394707e-01
1.343124627469027246e+02 1.767580508536988191e+02 6.962150572404013928e+02 7.341923867209468426e+02 4.179115994091123776e-01
7.090399222624094477e+01 1.385754360182477001e+02 6.937283809329560427e+02 8.212084794681315998e+02 7.436043281193722709e-01
6.790798603993972904e+01 1.905895838653326848e+02 5.324536007955298373e+02 6.468549260777256222e+02 5.739090423289023857e-01
1.787305960171358947e+02 2.191876309731379422e+02 5.916251042873792585e+02 7.432670404891698581e+02 3.414116711842669627e-01
1.594340381211086992e+02 5.733153598280306369e+02 8.795630202917575389e+02 9.314853579726267299e+02 2.795525564063843227e-01
1.188826189919251988e+02 3.113260163154930638e+02 6.511981030505297667e+02 7.088743302619453743e+02 3.456054369430061612e-01
1.703251958203802303e+02 5.471696307065013798e+02 8.735695630169535661e+02 8.933508269130882127e+02 3.309225632402285622e-01
5.912230887355314479e+01 1.763098872064370823e+02 5.972051185812225640e+02 6.019627743857193991e+02 5.600693441565572916e-01
1.147891530507664442e+02 1.999189640454495702e+02 2.903386679464579174e+02 2.798615398952480291e+02 1.712333461645103028e-01
2.647782491695726321e+02 3.437301695020163379e+02 5.391259024356580767e+02 7.712969433079987311e+02 3.857608482337667177e-01
1.578517769071588077e+02 3.068977661014222917e+02 3.208122317926370215e+02 3.307251700930098082e+02 2.126727254277391566e-01
8.725420016426554071e+01 2.241563638113343870e+02 8.637846852470704562e+02 9.137197755064992180e+02 6.575137389989319514e-01
9.803016328017460523e+01 3.844757051042564058e+02 6.460117160946526838e+02 5.341217114958944876e+02 2.202708504888122587e-01
1.309591529277215614e+02 3.048629992960963477e+02 7.872142356601135589e+02 9.211097309783270930e+02 5.390209011252942162e-01
1.789267268597963607e+02 3.264619067874388065e+02 6.341260686657840324e+02 8.376731836251742607e+02 4.655140614451512837e-01
1.287650018198159501e+02 1.837432722146936896e+02 3.599109149278307882e+02 4.558720149578795713e+02 3.869428574168017887e-01
1.427824425271653865e+02 5.143439476213637818e+02 4.635379726276964902e+02 6.132486129942309390e+02 2.948416068414290159e-01
1.974308922304545604e+02 4.257386367651091632e+02 7.541935471655081074e+02 8.574756752480075193e+02 3.464714590259610483e-01
3.008990929248242878e+02 3.732140022851237404e+02 6.447153119260851781e+02 9.328113420662702993e+02 4.940326178382619116e-01
2.396068979828601186e+02 1.838970030956425887e+02 4.404179545582071569e+02 5.263824101845785890e+02 3.029992778106446183e-01
1.118936389064498798e+02 1.987871835127729980e+02 6.281685297594584654e+02 5.103326080768896418e+02 3.076369233659660418e-01
1.845642833862833641e+02 1.889966798699134642e+02 3.043293868267679727e+02 3.075703377846355124e+02 1.672179271228458330e-01
1.341440380896877969e+02 2.350674692777499217e+02 6.885773182406632031e+02 7.777721496364335962e+02 4.019527901900485922e-01
1.971902342743046859e+02 1.490833044444340771e+02 7.550258087964105016e+02 7.155413123340672428e+02 4.630938219720743820e-01
7.245740100108889692e+01 1.090759307236465929e+02 5.792846868656223478e+02 5.663032448679099389e+02 5.067521831624635098e-01
1.238776998486634540e+02 2.320618992324042154e+02 8.193290133417127663e+02 7.609119307713890521e+02 3.430133557293371105e-01
1.376041317291654593e+02 1.375629590924812931e+02 4.699262545476543664e+02 4.662735479790635509e+02 2.745740095498038769e-01
1.533076398588256382e+02 3.294324885630563244e+02 6.345178111672709065e+02 7.563161332890085760e+02 4.464608945313449095e-01
1.890888730900191490e+02 4.090527734037312371e+02 8.007647931820290523e+02 9.566116153114384133e+02 4.792468565227273047e-01
1.306405708141747652e+02 1.936589950362241268e+02 8.454713129069165234e+02 9.920299526896884572e+02 6.423936971284242015e-01
1.938436832812788850e+02 5.512841169041408875e+02 8.449308345967981495e+02 9.107834097774631346e+02 3.419550662471915747e-01
1.284219839231025162e+02 3.272872460029917647e+02 5.711838718379594866e+02 6.963491371016207268e+02 3.795918918140827603e-01
2.125014502535677821e+02 3.331485937198526699e+02 7.865816491183784365e+02 8.383345341244003066e+02 3.891296873471284390e-01
1.372635261536543680e+02 3.597205569477501967e+02 4.908205344133106109e+02 6.847653986357559006e+02 4.377192530708658991e-01
1.770923311347037838e+02 1.658394378989536904e+02 3.941037188820221218e+02 5.163845164361765683e+02 4.501908852750079459e-01
1.594484420187284002e+02 3.715463282595416104e+02 5.619253561518360129e+02 6.808169499749766373e+02 3.372833418835189390e-01
2.083837598679075143e+02 3.855125994736139887e+02 3.711568245184353145e+02 3.967986193987054548e+02 2.191879959836412761e-01
1.180974433027747352e+02 2.302265076779704600e+02 5.201238484010406182e+02 8.303079366449069312e+02 8.081750778148775183e-01
1.078154468741389422e+02 2.180796932522298732e+02 5.641953052507526536e+02 5.715783482979746850e+02 3.058212040408680998e-01
1.177609981970965833e+02 1.879332131825399301e+02 8.353761652850712380e+02 9.956380896001288647e+02 7.750124433698651893e-01
1.323137396884001191e+02 2.153646536352119085e+02 5.743634386601721644e+02 5.951221778312709603e+02 3.015947769124478484e-01
2.488311888148256799e+02 2.647153216474679311e+02 5.063283329629370542e+02 4.355854117179491709e+02 2.043495581654497240e-01
1.938350080882261466e+02 2.902613069142686300e+02 3.607139560748045142e+02 3.844416959828834024e+02 2.082485005092724606e-01
1.755419217806516201e+02 1.980574070601354038e+02 8.284286044341720299e+02 8.419568037999694070e+02 3.858703261476592594e-01
1.106740741862594604e+02 2.415121722056946396e+02 6.402903692956856503e+02 8.989238411704723148e+02 5.947231102165571048e-01
1.870874116663972870e+02 5.139187446893099604e+02 6.435410016225588379e+02 6.619536175347793687e+02 2.741392472493350274e-01
1.474016425074593428e+02 2.282146214567112850e+02 5.914472266677089465e+02 9.340066161805640377e+02 5.748188741513327038e-01
1.131782513502302407e+02 1.697985195424320466e+02 4.200015795035700990e+02 5.412718036379326350e+02 4.761264067073980866e-01
5.825410981337143568e+01 1.456718795598951317e+02 6.632213404625063049e+02 8.143199751097660055e+02 6.852680714746257618e-01
7.500536463666604448e+01 3.971649190478140667e+02 5.706322561243863447e+02 7.271483456963957224e+02 5.020092313728491407e-01
1.834267196093865664e+02 2.875092728111014253e+02 5.202264519429879783e+02 5.185476307332761507e+02 3.097978971650021673e-01
