weight logl pFat pLiver pSlow kMet fAbs
1.118831260595944739e-231 -5.476813311028188309e+02 1.297978206404607135e+02 7.881383813882858931e+02 6.948678218226082492e+01 1.591232130922014321e+00 4.340337959029760828e-01
5.113817023956931405e-219 -5.185281485132375110e+02 7.128605051220888527e+02 1.778679586830684798e+02 1.498206978110394871e+01 5.750136798745954820e+02 2.780823001641286041e-03
1.372659282531606849e-202 -4.806968980886159102e+02 1.675559776045463423e+02 6.593623224990232075e+02 3.032644265448020633e+02 9.704408180137535922e+00 9.827661492869653737e-01
7.312193113067185065e-202 -4.790216047848966809e+02 2.722030429534320319e+02 5.497304413815076032e+02 1.130987490123800683e+02 2.253007244305051771e+01 8.137789124520463657e-01
2.418580455897706456e-200 -4.755202970635558586e+02 9.474932169168482687e+02 5.957280333599601363e+02 2.320429293539083915e+02 4.338906908910965399e+01 9.715570060885289072e-01
9.824407236368242910e-187 -4.441825018104604510e+02 6.811432261076748773e+02 6.946750909282690145e+02 7.295042126599994390e+02 5.831866950668215921e+00 9.177229898083939519e-01
1.726968283907741631e-182 -4.344055787351011872e+02 7.360624298172780300e+02 8.861143011897928545e+02 3.895546396166228647e+02 2.202004790160782477e+01 6.289637188128994749e-01
1.933851044909959280e-168 -4.020537414924455106e+02 9.143001971799189960e+02 8.610446436724649857e+02 9.735426354484993681e+02 2.866861808182666493e+01 9.083065219765831255e-01
3.815676028079517230e-164 -3.921612966436764509e+02 6.231439296991675292e+02 9.758103282155634588e+02 5.803891108959804797e+02 6.111538383079396652e+01 9.117033155067674199e-01
5.637394796218905623e-159 -3.802555669871561008e+02 5.685970575477967941e+02 9.908732113237656449e+02 9.028915790998098601e+02 2.250525394520901301e+01 7.906187535299845637e-01
5.972597978028383110e-151 -3.617746262814902138e+02 8.353867421780868199e+02 7.943617833134883313e+02 2.811748379720883122e+02 6.229980525647023626e+01 6.084200547368669998e-01
5.042235035283551833e-149 -3.573362886572798516e+02 7.191051581894857918e+02 9.039000732502001938e+02 7.428002475558638480e+02 8.218274974842486813e+01 9.215292626332802772e-01
1.537214475402252995e-143 -3.447061555460840623e+02 7.362647445156726462e+02 3.768611610300944790e+02 7.961199989146450662e+02 4.959727288836155878e+01 9.201900248247545377e-01
8.209551807749779005e-143 -3.430283292115243512e+02 1.581872054238620251e+02 5.756975481525096257e+02 2.646664624847459208e+02 1.523543916968772649e+01 4.542601289507914863e-01
5.584632807573503935e-138 -3.318981833933334542e+02 3.685955964475442670e+02 6.390188855593531514e+01 4.606110156093341175e+02 1.595390817746312306e+00 7.277329246043729993e-01
