weight logl pFat pLiver pSlow kMet fAbs
1.118831260595944739e-231 -5.476813311028188309e+02 1.210078996368290083e-01 7.879263076959818202e-01 6.855533751978060142e-02 5.918239548768911007e-04 4.340337959029760828e-01
5.113817023956931405e-219 -5.185281485132375110e+02 7.099601061839281302e-01 1.770450036867552424e-01 1.399606584695090028e-02 5.745882681427382233e-01 2.780823001641286041e-03
1.372659282531606849e-202 -4.806968980886159102e+02 1.591474521258043895e-01 6.590213438428660364e-01 3.025669935383403786e-01 8.713121301438975230e-03 9.827661492869653737e-01
7.312193113067185065e-202 -4.790216047848966809e+02 2.648515585388202531e-01 5.492797211026102522e-01 1.122109599723524198e-01 2.155162406711763623e-02 8.137789124520463657e-01
2.418580455897706456e-200 -4.755202970635558586e+02 9.469628453705537519e-01 5.953233567166767992e-01 2.312742035574658628e-01 4.243150058969935579e-02 9.715570060885289072e-01
9.824407236368242910e-187 -4.441825018104604510e+02 6.779224506138129547e-01 6.943694603886576555e-01 7.292334461061055206e-01 4.836703654322538348e-03 9.177229898083939519e-01
1.726968283907741631e-182 -4.344055787351011872e+02 7.333963937548262368e-01 8.860003014912841701e-01 3.889435831998226956e-01 2.104108899059842219e-02 6.289637188128994749e-01
1.933851044909959280e-168 -4.020537414924455106e+02 9.134345426059787831e-01 8.609055492216867167e-01 9.735161516000994109e-01 2.769631439622288749e-02 9.083065219765831255e-01
3.815676028079517230e-164 -3.921612966436764509e+02 6.193373027264318376e-01 9.757861143298933726e-01 5.799690799759564808e-01 6.017555939018415234e-02 9.117033155067674199e-01
5.637394796218905623e-159 -3.802555669871561008e+02 5.642394520684815840e-01 9.908640753991647676e-01 9.027943734732831738e-01 2.152678072593494640e-02 7.906187535299845637e-01
5.972597978028383110e-151 -3.617746262814902138e+02 8.337239819980675204e-01 7.941559392527410832e-01 2.804552932653536779e-01 6.136116642289313194e-02 6.084200547368669998e-01
5.042235035283551833e-149 -3.573362886572798516e+02 7.162678365550361193e-01 9.038038771273275707e-01 7.425427903462100687e-01 8.126401376218705952e-02 9.215292626332802772e-01
1.537214475402252995e-143 -3.447061555460840623e+02 7.336007520360330325e-01 3.762373984285229955e-01 7.959159148294745467e-01 4.864591880716873096e-02 9.201900248247545377e-01
8.209551807749779005e-143 -3.430283292115243512e+02 1.496840458826889098e-01 5.752728209734830900e-01 2.639303928776235431e-01 1.424968885854627221e-02 4.542601289507914863e-01
5.584632807573503935e-138 -3.318981833933334542e+02 3.622177741894386793e-01 6.296485340934465658e-02 4.600710866960301404e-01 5.959868045508631695e-04 7.277329246043729993e-01
6.026000070091179628e-135 -3.249118633461895342e+02 5.026371839978166500e-01 4.790785969304740544e-01 8.203664827896262057e-01 5.878470662419188475e-02 9.267598523112866582e-01
9.703820325389776160e-131 -3.152225867706030158e+02 3.299617492608294400e-01 1.895330216819910429e-01 1.141049108808289692e-01 8.752413813690876898e-01 1.889536897766874723e-02
3.324425697263244843e-130 -3.139887243969969290e+02 6.782053856548828641e-01 9.718419831541746934e-01 8.232487130739954972e-01 2.375853792253290742e-02 4.480444284131140931e-01
1.853666774941823171e-127 -3.076626003366280884e+02 6.471051282413493588e-01 3.118651917816867014e-01 1.246908186193996793e-01 5.257652907163778977e-02 5.401134904631678113e-01
4.803346202728859297e-125 -3.021027830679854560e+02 6.350789630731049629e-01 3.056814168846408997e-01 2.288647657317365303e-01 5.582136199455911552e-02 5.501649246582281938e-01
5.937894485426274566e-125 -3.018882412617841737e+02 8.550628645895094193e-01 8.955711391615917005e-02 3.993423166362832788e-01 5.509145204807652796e-02 7.536060358134247794e-01
9.946569599689125152e-124 -2.990672830477191724e+02 9.069360785757084598e-01 7.665908703767165822e-02 9.289054195080583831e-01 2.113841436653529637e-02 8.353384925451542431e-01
3.121776207960748415e-122 -2.956184384523501194e+02 5.354192461657382163e-01 4.496032405674970089e-01 3.123133533449414800e-01 8.349607224604016498e-02 7.253381560590258514e-01
4.511171417371257633e-122 -2.952477837320416256e+02 9.078033633497554211e-01 2.313627284542909557e-01 9.947337655429089320e-01 7.096085753457781475e-02 9.024865428813406698e-01
1.349204556448886261e-120 -2.918471552022701871e+02 9.864191667826864851e-01 3.025558088332835904e-01 1.558537485233421060e-01 8.286340995020347044e-02 6.587202983874418383e-01
1.989849249903564371e-119 -2.891535264285747644e+02 3.699159816037755899e-01 9.489833601175744482e-01 7.535182268905759040e-01 1.508219580632508272e-02 3.923504316039777562e-01
5.891221387781579953e-119 -2.880656219681117136e+02 2.090936661079105807e-01 4.582739913615796468e-01 3.304636642698438598e-01 5.058307347974533297e-02 6.172674430500687537e-01
4.442682194665477205e-117 -2.837401568326882284e+02 3.575198457845332189e-01 8.993373791948455764e-01 7.615092270857161116e-01 1.250458025161227393e-01 9.274644850395583617e-01
7.103931878082565588e-117 -2.832682667082262924e+02 3.442142369007097358e-01 6.601367892750968913e-01 2.852865555099713957e-01 9.880566182038330592e-02 8.199187372460668977e-01
1.499892993359526494e-116 -2.825184362638390780e+02 6.175421741277180576e-01 5.460653446274463807e-01 9.899654797245671656e-01 6.726050912374992308e-02 6.982351050399275838e-01
1.770793900433105460e-113 -2.754421467753163029e+02 8.032467264425657838e-02 2.417937327502970302e-01 6.017062894404345830e-01 2.809445453456005382e-02 9.251556274169002725e-01
7.206731480537919331e-113 -2.740360592355584117e+02 1.568298170602629993e-01 7.857260399758986269e-01 1.805736908621091708e-01 4.751211268295008061e-01 8.285473286482547550e-03
1.874494369442071177e-111 -2.707750656132479321e+02 7.940562381023139604e-01 4.578824959981652176e-01 3.646022824908142779e-01 1.249343905266916410e-01 7.724286044421374564e-01
8.703858225901832245e-110 -2.669345530720814850e+02 6.032318191346099923e-01 6.448691921930044257e-01 4.286952614332134592e-01 1.070692696625585860e-01 6.246423588158140916e-01
4.143178774794452469e-107 -2.607666008814829297e+02 3.733048551376491053e-01 7.168817329669467941e-01 3.374625019113797197e-01 1.357029297776602972e-01 9.241108099056150049e-01
6.343484197957754433e-106 -2.580355509261668772e+02 8.559208077847051399e-01 2.841260465565886850e-02 6.895902699735869668e-01 3.400259629196245026e-02 6.706859577909630721e-01
1.821170662065158446e-105 -2.569784144934820347e+02 5.718353685236965411e-02 2.647270119255058507e-01 6.839167830486433397e-01 3.505304290810240531e-02 9.825926859646718636e-01
3.270914897379043036e-105 -2.563903242777999480e+02 8.568633903883027259e-01 3.655159885843026757e-01 4.036236393548293666e-01 1.148788164086859132e-01 6.502068345607194821e-01
1.684640977018321164e-104 -2.547487564446308284e+02 8.508000260507062595e-01 8.059449445365238773e-01 9.983563457003775676e-01 2.045748532380400331e-01 8.845137345753850688e-01
3.423387788608155841e-101 -2.471294229944947460e+02 7.368201416610954402e-01 4.312557162994745674e-02 5.687283305835206804e-01 2.996007872253048099e-02 5.210292661888458188e-01
3.606187357906256395e-101 -2.470749025560327823e+02 1.095678802730466472e-01 8.241683309587219952e-01 8.807916208303741001e-01 8.985994066115476908e-02 8.493765174066827406e-01
3.906374595422646647e-101 -2.469924439063094894e+02 8.466581145667110286e-01 1.523853793344209784e-01 7.926559323555030234e-01 8.102023619181220049e-02 6.752627767302418205e-01
8.468113163338152768e-101 -2.462162459199041677e+02 3.794595941701526254e-01 7.926540191514565015e-01 6.897145810416471789e-01 1.834942756977360201e-01 9.973637515719329105e-01
1.558143900554922174e-91 -2.248807074012489693e+02 3.156445006551069632e-01 9.029075458715482005e-01 6.366318829599437734e-01 1.892598605168116510e-01 8.755645319823445183e-01
2.095819359716254759e-91 -2.245817581273878147e+02 2.090968681225807702e-01 8.653175607472513020e-01 6.420391134779100950e-01 1.553038582433005077e-01 8.209337152301937612e-01
1.342856043576688398e-89 -2.204192337991958368e+02 6.770454611942064993e-01 9.850309535628370972e-01 5.926137027435354199e-01 2.221917976529581562e-01 7.473618511812535337e-01
2.957480749938088174e-89 -2.196271947128504962e+02 7.496766598320994124e-01 3.957016079450155210e-01 7.945281091149731800e-01 2.222676688939227985e-01 9.516449138278065822e-01
2.288429853137144687e-85 -2.106708262200805848e+02 1.271976163520582848e-01 7.155013705307948779e-01 7.976156056530897542e-01 1.393907998348578037e-01 8.353204442197877944e-01
1.497423437749259875e-83 -2.064872760398500020e+02 1.666378563832439097e-01 5.342999183515818595e-01 6.225954687961994249e-01 1.660493607413866535e-01 9.833209908239630703e-01
1.811882900435161855e-83 -2.062941553817901195e+02 5.835220711659828696e-01 8.207679520441183429e-01 8.713524341910301452e-01 1.819420257046461264e-01 5.869745557153425164e-01
9.521482619498676244e-82 -2.023298862958249345e+02 2.500827553606695952e-01 7.026573554567654423e-01 4.791745596322659617e-01 1.739440794406622581e-01 8.205197586251957720e-01
2.037267007449974841e-80 -1.992641574764342352e+02 1.488188090310113010e-01 2.538764914061919509e-01 3.247770910677328926e-01 5.610976416913996401e-01 1.980003009125563818e-02
1.241887255885344110e-79 -1.974540493877314873e+02 6.111673917470333839e-01 3.043844993573152635e-02 1.892413143624629424e-01 9.483297334156773895e-01 9.300174457166110464e-02
1.404079108666075865e-79 -1.973287999416425293e+02 4.227892336145717689e-01 9.481678960091575181e-01 2.064743426663524506e-01 7.470517587027479811e-01 1.824485932158692592e-02
1.560148991911328087e-79 -1.972209002665262290e+02 9.599619833640434807e-01 7.929442399474361247e-01 9.591878937863864696e-01 2.205877705660601595e-01 5.383965684875282598e-01
4.501579811094923717e-78 -1.938561680935704032e+02 6.677613042104481034e-01 5.699619887918762062e-01 6.368292860818428602e-01 1.082627301230382200e-01 3.452424973643972717e-01
4.714852247422968106e-78 -1.938073789189818683e+02 9.569517935191930169e-01 2.600133825689983080e-01 5.703711187080366951e-01 2.616812731135631509e-01 9.879911426432026467e-01
6.460752713164142054e-78 -1.934898506677961905e+02 9.648938091010433871e-01 7.091520024358689556e-01 7.560152776760135085e-01 1.594680019794814108e-01 3.905391025541847805e-01
1.207569383573263380e-77 -1.928619018394645366e+02 9.965649503671331066e-01 5.758766104338658431e-01 8.922613212879911826e-01 2.049702632574201822e-02 1.671302803358887257e-01
1.681724961090366061e-77 -1.925281913756656706e+02 5.449151569705931175e-01 7.961667611932399247e-03 2.158296371411888570e-01 6.803367055923581486e-02 5.223532261085327422e-01
1.050008712759403179e-76 -1.906941278498793508e+02 3.705719725181004787e-01 3.733870272362976861e-01 1.576632570961913338e-01 9.952807404998098573e-02 5.640501592681443910e-01
6.405837624726461357e-76 -1.888832166083880679e+02 3.589784633867618702e-01 2.447945698407339998e-01 9.835352583464825882e-01 1.832769778833833740e-01 9.446390791455917535e-01
6.952826472852625890e-76 -1.887987780482369828e+02 9.788434066891268381e-01 1.841739476068831038e-01 8.833459626812646404e-01 1.000691736645680230e-01 4.082933128403986034e-01
9.744862575698745075e-74 -1.838535158950641915e+02 2.698608443902427156e-01 3.807930514883606232e-01 4.653644897610894615e-01 1.855765952964736343e-01 9.375351798862865405e-01
6.089325045604504364e-73 -1.820186337872685840e+02 8.921506028487864448e-01 2.248373881622578452e-04 2.918016427521696876e-01 4.001528304575850958e-01 3.927566803013075036e-01
8.579556884247181934e-73 -1.816732887659247240e+02 9.728137696998802042e-01 5.266191830327213719e-01 8.567937818772591863e-01 9.898985132490123462e-02 2.717810875355687328e-01
1.814446635112604121e-72 -1.809218054029095697e+02 7.081630515908348134e-01 8.094845540796147265e-01 7.238253524667767058e-01 2.763181827130088974e-01 6.856099277882928833e-01
3.064936346747713646e-72 -1.803950591385138864e+02 5.275164722470354617e-01 6.247878955830419301e-01 6.582087641550855572e-01 2.233272612077193964e-01 6.684543886241798294e-01
2.572146908773533668e-71 -1.782652599236693334e+02 4.123715573016898395e-01 6.563539873583968953e-01 9.112213744775453650e-01 1.416029948409628370e-01 4.485744583605866254e-01
2.595409292722602402e-69 -1.736485864331488074e+02 4.968116258783242811e-01 5.631987804646447771e-01 9.344631694025780089e-01 2.488601698777296312e-01 7.191482928809320718e-01
2.986495693322588655e-69 -1.735057299697812994e+02 8.949028997937183982e-01 4.017152404868925553e-01 3.084177780922681134e-01 2.268582416073098296e-01 7.696731085944698014e-01
6.111815006213715434e-69 -1.727871068768239411e+02 3.232710830033768135e-01 9.560302607022537202e-01 9.911250495342138755e-01 1.042470020510641859e-01 3.252793696986865379e-01
7.555939293967961908e-69 -1.725724967454644343e+02 2.986728517123293791e-01 1.533880544426081682e-01 8.991854811737749475e-01 1.814234290196315991e-01 9.753609689079315581e-01
1.299038215805883873e-68 -1.720281214112683017e+02 8.287987896275489375e-01 9.447601478869021019e-01 7.582487962754378419e-01 3.921880183902486383e-01 8.673931069311395792e-01
4.483517916185739462e-67 -1.684842524875053300e+02 5.922614821740102009e-01 3.813179895589275947e-01 5.391825901821946099e-01 2.303374083148097551e-01 7.395544535995507429e-01
4.705950030071902645e-67 -1.684333328030294865e+02 3.875184482096216687e-01 9.181807955999863324e-01 3.624084601611553547e-01 2.113230777309823560e-01 6.645717154965015139e-01
2.964216220565566502e-66 -1.665904627282580179e+02 6.228580781062543759e-01 8.057435900393022932e-01 3.785311248684214425e-01 6.893730117421803527e-02 1.491305450991885495e-01
