weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.582777661500447266e+02 4.442097486546943514e+02 5.764362323751880695e+02 8.162151060210406968e+02 5.617854186005140491e+02 6.340376994538043931e-04
1.664352952289663409e-260 -6.064405054468686558e+02 3.106732569763114782e+01 5.155455253267181206e+02 3.745752582553356547e+02 6.020275241905858365e+02 8.583659294808199114e-03
2.846331356389825891e-234 -5.460341985379819789e+02 1.338425448297864193e+02 4.176366001298629271e+02 5.357248973283095665e+02 3.739330666953537730e+02 4.317868455347539935e-03
4.031890393182759932e-200 -4.673956009517145844e+02 5.320253633160756408e+02 1.419324382765271064e+00 6.751421510797844405e+01 4.242688316886442408e+02 7.060483837829456544e-02
1.634267408266519402e-188 -4.406651205463570591e+02 2.008981665180600729e+01 1.517683943404178990e+02 4.847019519737537507e+02 4.592933314015839414e+02 2.730025387301338036e-02
3.347951293022916384e-173 -4.054066901826046205e+02 3.067042139641440599e+02 1.503182882798909770e+00 6.019854361422721922e+02 5.400556527585398499e+02 1.371329103101452951e-01
2.714347930743204465e-171 -4.010088168493551279e+02 1.692741254973985292e+02 1.422158396507858527e+02 7.679134138166870116e+02 9.580634716012123420e+01 4.708643676597734640e-03
3.137863902199128325e-171 -4.008613263185594633e+02 2.867687481033617587e+02 5.592388552906608084e+02 6.038504813905113906e+02 9.532566840247940263e+02 1.739449701157869121e-02
4.833006266240903885e-165 -3.866113893536768842e+02 1.594624490537853490e+02 2.163751122691423632e+02 9.300093584567889593e+02 3.190956867097091845e+02 1.117360053826477184e-02
8.784649714359169942e-163 -3.814061820094119071e+02 1.167176161481755230e+02 5.707325547205806515e+02 7.530590456322313457e+02 8.782677572307499076e+02 2.492178988597126832e-02
5.658381094217894200e-147 -3.450021885436538582e+02 3.418442483588240179e+02 1.366135875113950426e+01 6.914513282226774891e+02 9.286835482821803680e+02 1.010553521049575298e-01
5.280086802321180200e-139 -3.266482030878302680e+02 9.448190188254410771e+01 4.655185418467673344e+02 5.070191780642079493e+02 3.706206434960401452e+02 1.705339545317796635e-02
1.227127272932483511e-135 -3.188946293659998332e+02 6.694931796673122903e+01 7.881565119418806944e+02 9.091741007855300722e+02 8.446289942517836380e+02 4.184081756300650490e-02
4.298300894543088606e-134 -3.153360003564697536e+02 3.842139264587154344e+02 8.324466567202388489e+01 2.109433306578367819e+02 8.789185180884450119e+02 5.157556614946334772e-02
9.090871407793871532e-122 -2.869534282763096371e+02 5.371520231677147876e+02 4.165505311225903142e+02 3.447480638918818272e+02 4.687135319712520527e+02 1.591578585883035579e-02
4.560867282699364043e-117 -2.761277607803616547e+02 4.718988604197141967e+01 8.409367582142951960e+02 7.514592931962362172e+02 9.671287845387167863e+02 7.502182346642305433e-02
1.664405957183894559e-114 -2.702255500230974690e+02 7.346534671608760618e+02 6.387285595649556171e+02 4.066354782885277928e+02 8.758580536210441778e+02 2.712948087310429468e-02
6.248062356430298276e-109 -2.573873214427154039e+02 3.263292204278808413e+02 1.633676236533794111e+02 5.755711357026267478e+02 6.400671900925187856e+02 4.401212032170931376e-02
1.672919823226906602e-94 -2.241637459436113602e+02 8.263053013337442962e+02 3.420551398408088630e+02 9.338155149467363572e+02 5.080028132911999137e+02 2.774522670193935170e-02
5.500230457598894568e-89 -2.114581009828023923e+02 1.820050779879301217e+02 6.465349502024835147e+02 9.445623376304776002e+02 1.895791075888027137e+02 1.833303887865855852e-02
1.893596510466199406e-85 -2.033115726671565540e+02 3.226538167101716681e+01 9.441150744091851266e+02 3.510816796653696770e+02 8.801906731170112153e+02 1.470584674282794380e-01
3.707623658318078794e-84 -2.003345743625421562e+02 1.800657789866107805e+02 5.998827595057831559e+02 1.761272496924258348e+02 9.440519263256386466e+02 8.859761112379926917e-02
3.898005440741801477e-82 -1.956768303277241046e+02 2.893585306859585558e+02 6.456168086010104616e+02 3.005315407339153921e+02 1.508509066569812092e+02 1.154191829732043040e-02
8.921283128258614603e-82 -1.948463555398800793e+02 7.687905099941382332e+02 3.084011938778409672e+02 7.659480995263071463e+02 9.877252987833387579e+02 7.131451300217839240e-02
7.320573507924514367e-80 -1.904364364656169073e+02 4.033505397674468895e+02 6.466298899505225108e+02 4.034066823520125240e+02 7.746796594242680385e+02 5.437092172062174544e-02
9.444403779386310918e-79 -1.878766176721713350e+02 6.464055643418998898e+01 8.290246246335847502e+01 8.148684799728155213e+02 5.985000060816473706e+02 1.655311570974025148e-01
8.835196287898672719e-78 -1.856382116300055714e+02 3.141121473495496730e+02 1.467784163370160684e+02 4.632343936153548611e+02 5.742295799951140225e+02 7.463955096389351951e-02
2.089223402896839626e-77 -1.847750774402526872e+02 6.356022444976093766e+02 6.547081051750921006e+02 1.374356389265709595e+02 3.798940845802349031e+02 2.466482958364590861e-02
4.500969661091309206e-75 -1.793999068198216946e+02 6.414307330392350650e+02 3.781489817377013196e+02 1.154705704227195469e+02 5.301945874768045996e+02 4.511462849048974988e-02
9.918896159659584071e-70 -1.670943325677802420e+02 1.407438324465065449e+01 2.216616038491839049e+02 7.189030076589716600e+02 8.084418993219094318e+02 4.065938851117170127e-01
1.344796072317079977e-68 -1.644848616402062760e+02 4.563385990905873655e+02 1.121532678758586741e+02 9.228291334663726957e+02 7.468388336289797280e+02 1.229364490383977326e-01
3.609253254394288935e-68 -1.634951031264606627e+02 8.404434078740649738e+02 1.813112457844230789e+02 4.880177003303816718e+02 3.619506513275626958e+01 9.519497520920183753e-03
1.147272976615368718e-67 -1.623361311280258121e+02 2.773464906799753749e+02 8.740337007132910685e+02 2.349384720242127855e+02 1.370879186021159590e+01 8.487353712862527599e-01
5.395287663334308072e-67 -1.607854930120284394e+02 9.395912847390402476e+02 3.908648593754289777e+02 8.623294408789882937e+01 7.172507739888919787e+02 6.872477847274161000e-02
1.199365410069591884e-65 -1.576815561517127833e+02 9.874125995391158312e+02 9.811695217101017761e+02 7.608507376237724884e+02 5.344465516870478439e+01 8.191270282540519254e-03
8.637061521569122870e-65 -1.557047863203894735e+02 2.987998498478399938e+02 6.430725641770849599e+00 7.579715357753627814e+02 5.065975114059744442e+02 4.916004765482214767e-01
7.530644752050686626e-64 -1.535367829881049033e+02 8.527901417942151738e+02 9.953633387141197773e+02 9.054841205459837283e+02 4.335854061912839938e+02 3.223293367101209839e-02
4.844007996449031066e-63 -1.516729360812153118e+02 9.071496286546175725e+01 4.824822885845393898e+02 5.920642242745033172e+02 3.098515868915118858e+02 6.129883881757625108e-02
6.190691796136407047e-63 -1.514251317169670870e+02 1.632480166643922530e+02 1.296511965548907312e+02 3.362521936166594969e+02 7.238518778074488864e+02 1.676518730286031822e-01
1.042666235500924989e-62 -1.509013123442126130e+02 3.279479131302657038e+02 5.211432308911195150e+02 6.523848512864956319e+02 8.812459104242831245e+02 1.029171326931221930e-01
3.153897446041262001e-62 -1.497919544922158934e+02 3.740831117108764943e+02 1.872018628669341922e+02 4.251003394179232941e+02 6.536757810548842826e+02 1.035136191314702803e-01
4.790433372774003391e-62 -1.493714725828920109e+02 3.264787129780125383e+02 8.242873924224572875e+02 8.922998604374785714e+01 6.917170567277139526e+02 8.023776032859786245e-02
1.754822338477170742e-61 -1.480706407515546914e+02 6.309249248883027121e+02 6.356869264174733871e+02 1.515935765919914502e+02 3.715054036448375996e+01 9.088718508470819968e-01
9.084800507854771558e-61 -1.464239056285132108e+02 5.079630862173690957e+02 7.386765663982438355e+02 3.761495687292318024e+01 4.203611346583905970e+02 4.453865081598262776e-02
3.776775777254675469e-60 -1.449965526020510538e+02 2.611849221787065289e+02 1.321635399519130942e+02 9.739313885562754649e+02 2.414741340322426879e+02 6.147439637984974947e-02
3.900407210067478723e-60 -1.449618423181944991e+02 2.885629435443776742e+02 2.059856029880523067e+02 9.625447789583234908e+02 5.435602836985793829e+02 9.890230682896927750e-02
2.785729407831083917e-59 -1.429933284407713927e+02 2.758487704268966922e+02 2.349896146807580521e+00 5.191810759732336464e+02 2.605248300050753301e+02 7.576865005279181942e-01
2.108625455855542989e-58 -1.409667168002447113e+02 1.332796103453769376e+01 7.782915306847030479e+02 3.405259418118893109e+02 9.968661912879059628e+02 5.647193065911516596e-01
8.509268396293859322e-58 -1.395690971237227416e+02 4.028519070263366189e+02 3.434784624659191081e+02 8.183651060137863169e+02 8.661486708364916467e+02 1.224468750270079065e-01
4.574234272088909401e-57 -1.378847286872369295e+02 1.066925285937886656e+02 2.851930607859356428e+02 3.215488286609802770e+01 9.253638405907538527e+02 2.575609798584490573e-01
