09:05:37 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=True, log_dir=scripts/calibration/fit_updated_intake/1,2,3,4,7,8-HxCDF/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
09:05:49 [ultranest] [DEBUG] Testing resume consistency: [-7.93172471e+00 -7.76385814e+00  0.00000000e+00  3.02336076e-01
  1.89288102e-01  2.80891378e-01  1.98529724e-01  5.83463268e-01
  3.09312716e+02  1.90098814e+02  2.81610486e+02  1.99331194e+02
  5.83463268e-01]: u=[0.30233608 0.1892881  0.28089138 0.19852972 0.58346327] -> p=[309.3127157  190.09881431 281.61048641 199.33119408   0.58346327] -> L=-7.76385814253962 
09:05:57 [ultranest] [INFO] Resuming from 4000 stored points
09:05:57 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
09:05:57 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
09:05:57 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
09:05:57 [ultranest] [DEBUG] iteration=0, ncalls=18239, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-839.99, Lmax=-10.48
09:05:57 [ultranest] [DEBUG] iteration=40, ncalls=18239, regioncalls=0, ndraw=40, logz=-181.18, remainder_fraction=100.0000%, Lmin=-169.35, Lmax=-10.48
09:05:57 [ultranest] [DEBUG] iteration=80, ncalls=18239, regioncalls=0, ndraw=40, logz=-127.46, remainder_fraction=100.0000%, Lmin=-121.26, Lmax=-10.48
09:05:57 [ultranest] [DEBUG] iteration=120, ncalls=18239, regioncalls=0, ndraw=40, logz=-101.97, remainder_fraction=100.0000%, Lmin=-96.96, Lmax=-10.48
09:05:57 [ultranest] [DEBUG] iteration=160, ncalls=18239, regioncalls=0, ndraw=40, logz=-82.52, remainder_fraction=100.0000%, Lmin=-77.90, Lmax=-10.48
09:05:57 [ultranest] [DEBUG] iteration=180, ncalls=18239, regioncalls=0, ndraw=40, logz=-77.25, remainder_fraction=100.0000%, Lmin=-72.63, Lmax=-10.48
09:05:57 [ultranest] [DEBUG] iteration=200, ncalls=18239, regioncalls=0, ndraw=40, logz=-71.45, remainder_fraction=100.0000%, Lmin=-66.31, Lmax=-10.48
09:05:57 [ultranest] [DEBUG] iteration=240, ncalls=18239, regioncalls=0, ndraw=40, logz=-60.91, remainder_fraction=100.0000%, Lmin=-55.36, Lmax=-9.21
09:05:57 [ultranest] [DEBUG] iteration=270, ncalls=18239, regioncalls=0, ndraw=40, logz=-55.26, remainder_fraction=100.0000%, Lmin=-50.50, Lmax=-9.21
09:05:57 [ultranest] [DEBUG] iteration=280, ncalls=18239, regioncalls=0, ndraw=40, logz=-53.85, remainder_fraction=100.0000%, Lmin=-48.95, Lmax=-9.21
09:05:57 [ultranest] [DEBUG] iteration=320, ncalls=18239, regioncalls=0, ndraw=40, logz=-49.38, remainder_fraction=100.0000%, Lmin=-44.97, Lmax=-9.21
