weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.763168224816344036e+03 6.803178733874565287e-01 8.713852216177568888e-01 8.503170028160499383e-01 9.731680109800523448e-01 1.781464673598076587e-04
0.000000000000000000e+00 -1.078834991286521472e+03 9.951158125930108511e-01 9.619978774883324313e-01 1.381641805775276621e-01 9.184356223463715496e-01 1.511948468468693463e-03
0.000000000000000000e+00 -9.774586331545478970e+02 5.814382899114078906e-02 1.815621818853224712e-01 4.686194070279300350e-01 4.348324252456604588e-01 3.598916521471484664e-03
0.000000000000000000e+00 -8.303206273493724439e+02 7.411653113465205278e-01 3.470816331846736658e-01 1.691354296719403960e-01 4.716142901081902261e-01 2.809934001337777154e-03
0.000000000000000000e+00 -7.999287206455303476e+02 2.515704967989405016e-01 4.892435344958634413e-01 6.004879086981941283e-01 7.834389560108675488e-01 6.513837337568273433e-03
1.756411088866862674e-310 -7.266865865520204579e+02 3.845727908417641006e-01 6.017579867392592874e-01 3.848956567343819746e-01 7.748512564132660208e-01 7.569660061004124252e-03
1.117433505493712679e-293 -6.879923780013921260e+02 1.508646525770380720e-01 5.534168409248575449e-01 3.995352368208200389e-01 7.986527552342700398e-01 1.306656853350163239e-02
1.370392854228865514e-283 -6.647599641606277601e+02 4.316720169918155658e-01 7.690149548658995471e-01 2.492548592061499813e-01 5.472422062135012810e-01 6.486041499150330125e-03
4.495273459325151452e-268 -6.290307587169543240e+02 1.249745892826529259e-01 8.742969187001826681e-01 3.555098169938829544e-01 9.135273854204486454e-01 1.948225293806393754e-02
2.215397129290813786e-237 -5.583557156582443213e+02 7.341376816279172601e-01 5.395985705795052212e-01 1.925505169218788559e-01 9.409562905995334514e-01 1.858402582715590334e-02
1.017409776680935453e-225 -5.315003662577819341e+02 3.095216878134643412e-01 1.176351522967226115e-01 4.983213353980364690e-02 9.231197165470824695e-01 4.400942573693367166e-02
2.812321956859007318e-223 -5.258759455733314780e+02 9.644437319894139105e-01 6.436135119463912702e-01 1.131413752069745371e-01 9.344599132157549448e-01 2.002091746037848452e-02
4.744183321999163334e-216 -5.092324410798059944e+02 7.330901448378271956e-01 1.114179257660928846e-01 5.842674570460750783e-01 4.420838039625768490e-01 1.519076546819775331e-02
1.630083836012507086e-195 -4.619439419841644963e+02 1.565732627003421085e-01 7.058835168732777721e-01 2.638552915702973012e-01 9.934429242418546524e-01 5.146207251796652837e-02
1.107456994986753539e-188 -4.462099113883672317e+02 1.014447210307112268e-01 2.896085914572114062e-01 6.074013894661489665e-02 8.680290889083043249e-01 7.593342831017613204e-02
1.310690905463690203e-187 -4.437363382799118199e+02 2.670339596217041755e-02 1.288743564482119908e-02 7.738142235418399295e-02 4.673766615321908180e-01 1.420514488164098532e-01
1.862692635662336144e-187 -4.433823695923779269e+02 1.876313280750236956e-01 4.535025734176779677e-01 7.372294884617807131e-01 3.229300388062017468e-01 1.649002040673130942e-02
4.467022933205584205e-187 -4.425051705105712472e+02 4.042144386390608135e-01 5.885246117068221317e-02 5.598252056027703816e-01 9.512400997381652568e-01 7.380976087137969266e-02
2.085074686933349073e-182 -4.317516625461940976e+02 9.827914542249187591e-01 5.243735856648400473e-01 5.443356174688418481e-01 1.382152714490976209e-01 4.796750826554063707e-03
2.634024887166551106e-178 -4.223051137981910870e+02 4.527100823864961265e-01 8.024084840767297111e-01 6.153192110678926685e-01 8.746531873099409049e-01 3.587326833984361141e-02
1.045660361433918608e-168 -4.002006273093043092e+02 2.871293019680118963e-01 3.965343609686123871e-01 5.980195424839040985e-02 1.518646272967240085e-01 9.993787623743810578e-03
1.827010046439433446e-168 -3.996400951437049116e+02 6.692115173185342325e-01 8.384102506760532370e-01 6.930621019535806449e-01 9.546100460615740690e-01 3.913392633129952891e-02
2.908138885768027363e-152 -3.623314011136295676e+02 3.854265196666719628e-01 8.048138812892811078e-01 8.827365740728464472e-01 3.164898432472346146e-01 1.910189851928434379e-02
5.911283125393219227e-151 -3.593169664203105640e+02 3.832767311376095165e-02 1.925898238083280090e-01 1.489895989517262542e-01 7.892140370413907036e-01 1.701982477046147801e-01
2.001498813605824358e-147 -3.511870926603850762e+02 6.876997619839839704e-01 6.494246670748625716e-01 2.484692576299221134e-01 7.490883079033794356e-01 4.693730987871480576e-02
1.653151444086169748e-143 -3.421654651627474664e+02 8.082564824533964298e-01 1.686523224347167282e-01 6.587921800195245536e-01 9.668360753801696905e-02 1.025787772925967900e-02
6.416122110469052174e-143 -3.408068346925432479e+02 7.901413326556492311e-01 4.205085080636703498e-01 1.752764058852446238e-01 3.036290085165949115e-01 2.043302599978158440e-02
8.093083179330403604e-134 -3.198488729897642315e+02 4.612857972151926944e-01 8.194839505096573884e-01 1.972368129919295221e-01 2.836680663362325383e-01 2.235410108469992885e-02
2.135270929598009350e-132 -3.165736190344334773e+02 6.322447796923353902e-01 7.362310246453281914e-01 2.141831814461738759e-01 8.082414185480384372e-01 6.579146253490664176e-02
5.558085152039088945e-132 -3.156144589203432815e+02 2.432306325612301201e-01 4.279909956319893904e-02 7.449212761325166854e-01 4.712443328871239734e-01 9.530416398684748991e-02
