weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.077613204307000615e+03 5.425582187242451448e-01 1.563288438362093746e-01 3.605277538012509053e-01 9.993299805060004148e-01 1.548991175932212805e-03
2.016770142756637795e-310 -7.246003741990713252e+02 5.556162109882245570e-02 4.245745124860722530e-02 2.818363254580156241e-01 7.704621492433317842e-01 1.523949896110332602e-02
1.686371402851184419e-181 -4.277433153736467375e+02 8.461012704102205406e-01 3.701863198451095238e-01 8.916530735475364233e-01 7.970916866990234162e-01 1.129143695706735784e-02
1.250799790938656573e-180 -4.257370262229020454e+02 8.760847467425347812e-01 2.452624433542032190e-01 8.429311260720251386e-02 9.663770031231818658e-01 2.618477665934215715e-02
3.370796471991318219e-173 -4.086250646931260349e+02 4.456684850640694195e-01 1.488033866673976746e-01 2.669261540352737549e-01 9.080943060838749803e-01 3.310550373644449706e-02
9.272689129423461786e-171 -4.030054701384311215e+02 4.908845605001667112e-01 6.483785935466457317e-02 4.558688974713203113e-01 5.743722894269317480e-01 2.189334009778087786e-02
1.936989524825639940e-150 -3.562146216360670223e+02 3.921185175978767479e-01 7.024635873187152768e-01 4.754327452927831210e-02 5.916893665794212831e-01 2.437194513563123444e-02
1.345606754598592304e-140 -3.335505606526085671e+02 6.102974641875672512e-01 4.332584068694966817e-03 2.784530741720606661e-01 7.897103381955702384e-01 1.583826729975482683e-01
2.694912348706818169e-127 -3.029199337935158951e+02 6.546152824023965255e-02 3.571683157483510618e-01 3.456969121732091921e-01 5.430010970319646413e-01 5.081501984089475954e-02
5.430080035666358708e-126 -2.999142605073123491e+02 8.277143550372064729e-01 8.217273968024118025e-01 3.878315304337075498e-01 7.516024686270501576e-01 2.530227251673800026e-02
5.519656394543206343e-121 -2.883824733047265454e+02 8.620662799360541140e-01 9.945601448350550600e-01 9.556357183024177804e-02 9.682527442096441339e-01 4.540200283989337393e-02
5.437863369137147787e-118 -2.814871474160406137e+02 6.628179384274329733e-01 8.530787456902315657e-01 4.707039233338305984e-02 4.903378574435376391e-01 2.618187620068590515e-02
3.762356809515059077e-115 -2.749452327856694183e+02 4.116073136195216309e-01 6.179755902585014615e-01 3.899918756503308881e-01 9.717349476729357782e-01 5.666370290978384183e-02
2.401401623614343137e-112 -2.684839705020405063e+02 1.774124083432815357e-02 2.089329575672604911e-02 5.447283707334726888e-01 7.064160221791244698e-01 2.530889348235616509e-01
5.363120677357376233e-111 -2.653753919641866332e+02 4.526550246215920170e-01 1.524784906694920394e-01 1.213377848935082159e-01 8.547176102988666146e-01 9.163624707076167830e-02
2.374127913702898485e-106 -2.546748823449781582e+02 7.473177517639972844e-01 9.409216780309503925e-02 8.956511004225642392e-02 5.155789970198016992e-01 5.775317443130167927e-02
4.001152305515207869e-106 -2.541504301247894091e+02 4.893602067612865536e-01 2.378804610358209448e-02 7.902492979358516356e-01 4.776443914869877849e-01 5.917589257797606361e-02
2.736423562061739281e-103 -2.476201054433464890e+02 3.982649357656649070e-01 8.536707237568821327e-01 1.968435008526367991e-01 4.906371370050164327e-01 3.357399546811479230e-02
1.444280498246171875e-100 -2.413488906903684210e+02 1.100304185683098623e-02 7.152824595803346508e-01 3.250516465843749092e-01 6.539887586768995398e-01 1.720607502774103015e-01
2.606829325747672096e-97 -2.338481120187314559e+02 9.311947040050840840e-01 2.495187850155462517e-01 9.939100119398384114e-01 2.118893216851437389e-01 1.301479255576099003e-02
1.251116295740799126e-96 -2.322771254014747058e+02 8.790056435550200886e-01 4.239073919126422618e-01 9.764020613184420938e-02 2.817295569103261954e-03 4.799879231446233518e-01
1.530476988404970797e-95 -2.297704970539219573e+02 5.121662820603547495e-01 1.512441451163824002e-01 8.991764107092912184e-01 7.080607083741790042e-01 5.745798951845348945e-02
6.067269903198299562e-89 -2.145751572048388311e+02 7.646745535942484073e-01 2.256822243503441294e-01 3.614758024699624706e-01 9.807717814235936693e-01 1.007907541235241178e-01
3.508918655010784478e-87 -2.105150878393979497e+02 4.050792485199049553e-01 1.967067183445564416e-01 7.994656872304357620e-01 2.586117262609839429e-01 2.303630783173049590e-02
5.104294127979020840e-87 -2.101378135825779623e+02 3.429322427718439759e-02 5.412470794795606333e-01 9.653583171219288772e-01 8.892208606788069014e-01 1.668581017858841165e-01
1.207248282593571983e-86 -2.092744670377279306e+02 9.698936192854656912e-02 4.875974279609103235e-01 4.597816000149707039e-01 5.364507087763239479e-01 7.756644458994521596e-02
2.450528105335373519e-86 -2.085640071063946550e+02 1.018589974789916308e-01 3.015991189828314267e-01 3.314327964123167103e-01 8.288557489850538751e-01 1.580903954925141353e-01
3.274746448426141077e-85 -2.059689851221648951e+02 8.148169951873918126e-01 6.661741826273770428e-04 5.484256032749142973e-01 8.488438783658562858e-01 8.539459153626958177e-01
1.355838626959503152e-84 -2.045457202991637473e+02 3.401340821728193742e-02 7.171209238298303923e-02 4.189111697954827074e-01 2.828927128874693109e-01 8.012263670154318174e-02
1.731733140003414214e-82 -1.996933475668861888e+02 8.159231005155915817e-01 6.693777280719781508e-01 2.447205573018673697e-01 9.647991164576026346e-01 9.065267163403500916e-02
5.269787960799153626e-82 -1.985779801623436356e+02 5.801623735225018841e-01 9.304197162263116994e-02 2.040095536426770328e-01 5.409381524658227747e-01 9.115294011814667474e-02
2.365695025877650572e-79 -1.924686431513294735e+02 2.181097975988117721e-01 4.713633615709115210e-01 3.336103639465429760e-01 5.557746656948541197e-01 7.801061572194245564e-02
6.584507214109998653e-77 -1.868373253261871980e+02 3.997678472999895982e-01 4.836935511230757712e-01 8.116499446676984642e-01 6.807699911703758433e-01 6.468103086512955180e-02
1.071473053428058318e-75 -1.840453402508286445e+02 2.728638691153992824e-01 3.549840003581994363e-02 1.720556389155964983e-01 4.709558580646749926e-01 1.568709720241909800e-01
9.788283417027393427e-75 -1.818306885372648196e+02 3.090585460510575366e-02 1.353251940251813945e-01 5.849543897041663554e-01 7.545621796456830621e-01 2.769956488171559927e-01
5.963292742472548158e-72 -1.754159965569153883e+02 2.352380279362353832e-01 1.961540977739620883e-01 1.713705880490344891e-01 5.894143712764400300e-01 1.354201704470511247e-01
7.034029837797568807e-72 -1.752483595830229319e+02 1.552672489034881975e-01 6.145699411553184888e-03 6.164215954380347640e-02 7.933741762386786744e-01 8.396219608378967525e-01
2.267285456513719592e-71 -1.740754509842322477e+02 8.405004290665257782e-01 7.339860174519946545e-01 1.224550240969944914e-01 9.277704306447033256e-01 1.224019516272752961e-01
2.680469374374831454e-71 -1.739055423471307620e+02 8.515801445690502902e-01 8.521757575053301448e-02 1.158932300004427152e-01 3.533465958531203377e-01 6.946625822780161386e-02
1.284646395571148956e-70 -1.723359656710816523e+02 9.919846660892817081e-02 8.725959877701635614e-01 3.304733202994990515e-01 5.480564204902583780e-01 1.150704096676440358e-01
4.625730460937546073e-70 -1.710523148770228374e+02 4.170843319941959226e-01 5.492404276437334865e-01 4.425689299470708660e-01 1.637221057627347154e-02 8.226799202539102351e-01
1.119651931984602454e-69 -1.701658462180296851e+02 4.867029065023232848e-01 3.323452998638054545e-01 2.640910016489785850e-01 6.500373889116056736e-01 1.016264389097762955e-01
3.260066258114632677e-68 -1.667920314672812196e+02 2.231153752908967558e-01 9.923377032019342625e-01 7.238438568213945157e-02 8.613412390465480239e-01 2.015489602772660982e-01
