pFat pLiver pSlow kMet fAbs
2.318021324468110720e+02 1.599925004373283457e+02 2.763080035389296540e+02 3.919753752619414513e+02 8.313091826310682331e-01
1.996134957474305338e+02 1.737150105385889844e+02 3.493033466317421585e+02 3.457964594411882331e+02 9.193365696395471298e-01
2.181193650420081553e+02 1.399212694300545934e+02 1.735409680595080602e+02 2.423114221579371019e+02 6.015611396136182343e-01
1.147179947638358186e+02 8.489691893106238751e+01 2.057644928305679741e+02 2.370019145768727924e+02 8.055275596060580412e-01
9.873747316797441442e+01 7.464823570208012882e+01 1.293150507558038385e+02 1.812544288385590505e+02 7.124252802559618569e-01
1.319838938733402074e+02 1.196266844807204137e+02 9.733714051376655618e+01 2.596817913485758709e+02 8.651812643276721726e-01
2.701629588129085846e+02 8.335404547993545066e+01 1.769055608402366033e+02 3.126934688840700574e+02 8.677420578903535242e-01
2.130762820003327533e+02 1.526098709580780337e+02 2.544396952150939626e+02 3.080352792612936241e+02 7.585031109489422940e-01
1.458044191711161659e+02 7.482871157275528162e+01 5.528511668774103072e+01 2.502986040345227252e+02 6.568515163062942364e-01
1.332817735963510017e+02 9.781337130115988998e+01 1.513898925925051628e+02 2.402426428690334888e+02 7.960055383188724409e-01
1.432656833168318258e+02 1.036080809723968770e+02 1.994675312068506798e+02 3.189073953753208457e+02 9.567843387439923797e-01
5.762065493103599465e+02 1.262512602217453406e+02 1.994680450937329681e+02 4.696156267072951778e+02 9.154542884141381176e-01
5.799634704302550290e+02 2.066978230702929125e+02 1.614714524913275966e+02 5.986254119343910816e+02 9.642586571399082152e-01
1.062953049694587975e+02 6.744646054288746484e+01 1.205859280952960404e+02 1.525007655680768437e+02 4.991606161618312720e-01
1.572338057653697945e+02 6.399373866576249981e+01 2.264791506124687146e+02 3.364400964035414745e+02 9.885847979034910749e-01
1.529704683806724859e+02 1.062656937003340545e+02 1.491105568057182040e+02 2.146114398473129654e+02 5.990320816241136992e-01
1.142108953542249878e+02 1.316730730209362150e+02 1.387251602509684290e+02 1.641231932490364898e+02 5.644428075406843215e-01
1.785648325843864939e+02 5.244624261730793791e+01 7.507398509438361600e+01 2.544630426757629778e+02 9.432568005895690666e-01
2.461617779987584811e+02 2.008698234745257594e+02 1.508070470520703736e+02 1.397125353299393851e+02 3.529127684385742203e-01
1.259037195307478214e+02 1.275850745800360784e+02 1.681768744389611641e+02 3.945315908885743283e+02 9.708936323086844178e-01
1.159889300368132439e+02 8.766924967639374700e+01 1.486017546877827158e+02 1.961546571537394925e+02 9.116877741260944745e-01
2.773981165747727005e+02 2.073871501786261433e+02 2.566861212442149167e+02 3.462997100581628729e+02 9.069134951560108293e-01
2.980004744257420839e+02 1.290615673330963773e+02 5.147868766409696661e+01 2.254977291350394353e+02 4.976310940156556395e-01
1.278757644884450713e+02 1.074857331207681597e+02 7.113719490328584527e+01 9.518362625676519428e+01 3.328656303860436094e-01
1.820324422443270009e+02 4.913708346655865711e+01 1.416955355420620606e+02 1.497290361904397002e+02 6.620765483788773054e-01
1.561004596370595721e+02 6.496739106410453246e+01 1.963995522089776671e+02 2.445097776371133023e+02 9.198362998630226217e-01
1.255999978485065753e+02 1.088629280213265389e+02 1.693180764774791385e+02 2.401090321634882514e+02 8.006455915023091841e-01
1.737171565703740725e+02 1.847738549860746957e+02 6.490278933062758426e+01 1.608044822964498053e+02 4.943523613152481788e-01
2.102027984642073761e+02 1.327840791229673414e+02 7.202106980692018112e+01 1.632065477980454773e+02 4.896021515423835124e-01
2.013394425622767869e+02 8.231247658887295415e+01 1.983855560058473202e+02 3.338750694722968433e+02 9.405133422233733498e-01
2.282286901072596663e+02 1.242382402842429769e+02 2.927043537689948849e+01 1.566750511724715693e+02 5.274291425782715592e-01
3.170211416942302094e+02 1.427904566918362548e+02 3.705686686443890494e+02 6.175768695811246971e+02 8.767284507951136341e-01
1.823859957526265987e+02 9.307272484777016075e+01 2.051126018458650719e+02 2.725443684166615412e+02 9.663139701078167221e-01
9.235785308825879270e+01 5.673914961180022232e+01 3.600942827497055276e+01 1.165950089708858144e+02 4.965115094015319364e-01
1.346033126326125284e+02 2.199404089468164045e+02 1.808698059567694543e+02 2.407422211734385371e+02 5.588771835758159501e-01
2.338520968671970479e+02 1.849749600281408846e+02 7.891013178716441701e+01 3.681274741682333342e+02 8.149064335231119838e-01
1.560153472256832003e+02 1.103612835416384002e+02 1.684147962543902679e+02 2.914732499407476212e+02 8.288838573846499802e-01
3.377264307971494759e+02 1.063706167618883427e+02 1.126004040449728762e+02 2.695439481455501891e+02 7.999000244461418330e-01
2.615882582071019442e+02 1.397790903239179556e+02 2.262540683853622170e+02 3.990933020007272489e+02 9.895899694264014279e-01
9.651461116913664284e+01 1.072921699400544355e+02 1.593608069739945279e+02 2.175267656270819998e+02 8.767346200503610687e-01
1.735673555585499912e+02 1.030392265138303856e+02 1.054667094541066916e+02 1.600408175896437513e+02 6.334252025974893563e-01
1.311361811723648714e+02 8.340870370602863204e+01 2.047430419700347102e+02 3.703898965915320787e+02 9.274736409843706841e-01
2.439909102728628341e+02 8.256499730251023550e+01 1.303158342284908713e+02 2.109124727546409304e+02 5.741369234088633533e-01
2.312773100620651974e+02 1.163342171662897329e+02 8.041358831572824784e+01 1.852364785006357693e+02 4.888943522830996313e-01
4.854690549766066283e+02 2.233101842989201486e+02 1.733129328677467242e+02 4.056740908794029110e+02 7.159437698461414978e-01
4.090341030340146062e+02 1.054683812514176111e+02 1.401283362841548978e+02 2.710360971364227680e+02 8.088422237096052347e-01
1.382003358730859759e+02 1.495110599316219862e+02 2.907311997000702490e+02 3.822124025192579779e+02 9.824330240926478774e-01
1.631257454414252095e+02 5.525294159680692729e+01 1.346120343542297633e+02 2.394189459472816282e+02 7.620300281008008936e-01
1.540257916223588666e+02 7.354984954583602530e+01 2.287910179264333976e+02 2.481085382650142321e+02 7.900704965890755771e-01
9.624925230568530310e+01 4.524383358308449488e+01 1.055364477141494604e+02 1.553925192092077054e+02 7.099585820017321192e-01
1.621374514009776249e+02 7.380354708600522429e+01 1.334372983125302028e+02 3.489625940646803883e+02 9.210976930708142385e-01
2.862579724591141712e+02 2.190183690156837883e+02 1.503936777639522120e+02 3.104084771043265505e+02 5.934266410937306668e-01
2.104623981433286986e+02 7.379981656880607943e+01 4.874435620182284623e+01 1.989933100959468959e+02 6.170066336980670751e-01
4.548331585080799755e+02 1.276712366269214840e+02 2.895028667526289610e+02 5.522399057373912683e+02 8.952856576591888826e-01
1.950592879914679258e+02 1.906624761178437950e+02 2.791519188263541196e+02 3.783757488044771549e+02 7.551813187293238139e-01
1.324218524623352664e+02 1.701101015091524289e+02 1.825894327280074378e+02 3.055095625113517031e+02 7.794769371378712508e-01
2.324456859543619487e+02 6.942420962767985770e+01 1.339170197943068672e+02 1.607435132303650107e+02 5.698660485865773007e-01
3.856508776378455536e+02 1.270185015757343052e+02 1.107097869974631408e+02 2.965269002736957304e+02 5.837822832782822990e-01
1.425077332778308232e+02 6.910753378276082515e+01 1.249820287562787655e+02 1.894437272243609982e+02 8.496379951090780036e-01
1.835316754581818088e+02 1.004776893631590582e+02 4.070003296959060179e+01 1.059318955963782685e+02 3.344746782962728093e-01
1.281418344772934006e+02 8.618648611889686606e+01 8.773322502366445974e+01 1.901053238344733245e+02 9.535618612412035677e-01
3.327725285688215990e+02 2.092469399450655487e+02 1.179054153568319094e+02 3.227787983607757383e+02 6.710619755636155759e-01
2.795239821263365911e+02 1.180562068442826273e+02 1.590442176039702531e+02 4.303639122811717925e+02 9.529734499927247082e-01
1.304891725509681635e+02 7.433648171819525885e+01 2.066104841301046235e+02 2.930284780510842779e+02 9.508648417853308166e-01
1.230864565470889858e+02 7.240566828509973618e+01 5.808460395640757667e+01 1.918132684266098806e+02 8.419907745551183931e-01
2.074426449263973780e+02 1.917581935840696588e+02 1.915613104373442184e+02 4.907761658744072975e+02 8.838694899210919331e-01
1.936450344986452023e+02 1.491252931890034858e+02 1.832169852384749618e+02 2.736520958523471450e+02 7.379099986698975933e-01
2.156329301157304883e+02 9.263489921941791749e+01 3.101824127751261244e+02 3.352203670429083786e+02 7.900703201469019277e-01
1.380536366186776149e+02 1.116002243831607075e+02 2.443871131998827764e+02 2.756711434331716077e+02 8.011777306254720399e-01
1.729038687135169425e+02 1.041727438643825394e+02 5.358616363326365217e+01 1.871600675656678163e+02 5.121915593607405670e-01
2.413286976061977498e+02 6.903532994058937788e+01 8.244475869760539410e+01 1.592789210039944408e+02 3.660745457970092098e-01
2.374027656022594499e+02 1.202529948786050227e+02 8.897597771232166508e+01 2.142103457906598294e+02 5.240500151251415994e-01
9.781348721240503608e+01 4.288217765259472714e+01 2.245511942721428511e+01 5.414429791754108834e+01 2.944160198094647463e-01
2.099169888100674370e+02 1.035668613908657960e+02 1.549046524701721808e+02 2.541269828856024731e+02 8.351996188448780334e-01
2.457834276846278954e+02 1.267335061552784623e+02 2.055782222028703075e+02 3.049377684527779024e+02 7.106235227653503461e-01
1.109753293450623062e+02 6.566965353840186026e+01 1.871140892228560517e+02 2.777781130115512838e+02 9.795227851196498525e-01
3.505736882840575959e+02 1.187248061368553635e+02 2.416905882222397679e+02 2.773770013474718894e+02 7.095856303437810819e-01
1.819623421878704619e+02 6.973212141841105449e+01 7.107082097655597863e+01 1.121248340959144656e+02 4.771098790884215624e-01
2.129412374504761090e+02 1.427600545947717876e+02 2.188941569288502080e+02 3.040076693959301792e+02 8.378392771131134564e-01
1.315567424536361614e+02 6.431659580756418393e+01 1.269912509813569272e+02 3.046246396403675476e+02 9.594525768031314517e-01
1.949514496153271637e+02 1.318314383549934803e+02 9.394787458887124387e+01 2.040926913066026316e+02 6.272811252094695478e-01
2.069577364139585711e+02 1.059149524926748143e+02 2.042206654856707715e+01 6.545864501555790582e+01 2.254342588528154279e-01
9.130867401137098227e+01 5.671838313987861824e+01 1.370436346632950517e+02 1.701695705808486139e+02 7.037406459078593413e-01
1.728716832825605252e+02 1.080513949030198688e+02 7.565209130579455632e+01 1.688102050715305325e+02 5.043297624005042001e-01
4.938022492871155578e+02 1.604488673431690700e+02 2.563170542179672680e+02 4.641815416225798003e+02 9.059726013255640087e-01
3.407203183632975652e+02 3.482342007931126773e+02 4.158026444877887684e+02 5.698277572830104418e+02 8.744482620527969097e-01
1.995362313895830653e+02 8.340397587995636286e+01 8.405892926552070321e+01 1.173201678985004293e+02 4.333693321921663344e-01
1.914125698266308575e+02 1.458044449634692512e+02 2.060338699972969039e+02 2.922300571506620486e+02 7.857278744514232249e-01
1.729038687135169425e+02 1.041727438643825394e+02 5.358616363326365217e+01 1.871600675656678163e+02 5.121915593607405670e-01
2.034534900519160203e+02 4.391410892522862497e+01 7.904140616442315093e+01 2.967997705436235947e+02 8.944303721137568663e-01
1.577375544278025359e+02 8.807476830319153294e+01 9.487820699092394250e+01 1.326699614511966274e+02 7.299540349540716289e-01
3.137124639573062268e+02 1.807866991098448750e+02 1.200156064975147530e+02 4.314517112478534386e+02 8.608333305221733678e-01
1.611278356922086630e+02 1.422353074076521295e+02 2.229958236673273859e+02 3.791378561248601500e+02 8.953018573640469935e-01
9.161859264282354331e+01 6.811642644385835865e+01 1.454678348293647616e+02 1.942769564647900040e+02 9.755896378973165639e-01
1.659456382192274475e+02 7.507152891436599873e+01 1.531439201319568326e+02 1.894595705265409151e+02 7.600663896302709555e-01
2.228813480625131547e+02 9.075462053634768722e+01 2.887901756365484971e+02 3.606093483796935288e+02 9.731303668919135674e-01
1.981585996661709999e+02 1.436237160078548811e+02 2.264379743949836836e+02 3.083995437574841390e+02 8.692229309719452512e-01
1.749885000200640377e+02 1.240549171035514462e+02 1.212667894980954628e+02 1.593148591767597111e+02 4.084509851386908807e-01
1.479944484688761008e+02 9.160526383506734760e+01 9.879646221758903835e+01 2.502250433007836534e+02 7.286382159251957313e-01
1.089704410482199393e+02 9.736299718411714821e+01 6.814055590378097804e+01 2.029730436499766597e+02 7.516639681601443579e-01
2.517608198318405925e+02 2.055806247777218232e+02 6.876062635537199697e+01 1.914524761304400045e+02 3.633331717041118347e-01
1.677964232778160465e+02 9.727389541122629169e+01 2.061926926409023224e+02 2.743724807370346070e+02 9.820379119165069115e-01
1.319838938733402074e+02 1.196266844807204137e+02 9.733714051376655618e+01 2.596817913485758709e+02 8.651812643276721726e-01
2.169165719742474607e+02 1.277890425875790754e+02 1.448313284026126837e+02 3.200116784692214651e+02 8.715586866814664102e-01
9.564138300654627756e+01 7.113438083144095003e+01 1.758258263938053005e+02 2.096511285683049550e+02 8.112631409056357823e-01
2.978537485183099989e+02 1.200281965440763088e+02 4.081791834723780994e+02 4.049867804630313231e+02 9.394494826739405724e-01
2.130359900744148547e+02 1.443831807686932223e+02 1.377876932309920619e+02 3.250668631554744934e+02 8.397855750196459024e-01
2.428230816899712465e+02 1.037303822591619564e+02 3.296659147738486695e+02 3.560482411604332924e+02 8.770279415527034717e-01
1.139865405329776422e+02 8.276477147526084366e+01 2.141985192616928089e+02 2.665064234271840746e+02 8.067383320256802381e-01
1.585136825721457399e+02 1.275918371634672042e+02 1.349542554252577986e+02 3.163113002098592688e+02 9.345855809815338811e-01
2.314377635044878332e+02 6.658827284317342787e+01 4.372465266144806151e+01 1.213599052496467436e+02 4.556637685341200505e-01
2.968966330144393737e+02 1.105607457836029965e+02 2.669541114954053569e+02 4.000391555045374048e+02 8.050321084001306193e-01
1.901750399116631343e+02 1.028789573544141263e+02 4.708366498825723312e+01 9.364768065419400500e+01 2.292620960249676099e-01
1.607557743189153143e+02 8.717510963125874923e+01 8.311622397019276320e+01 2.073204099360346504e+02 8.248316033410305614e-01
1.868733959662748987e+02 1.184722784459204661e+02 1.149492165918871223e+02 3.618535828945784374e+02 8.357711888986532056e-01
1.745148378915419585e+02 9.399989224144559330e+01 1.389704754321799669e+02 1.983999060715854910e+02 6.220201003036117671e-01
1.045063546815379283e+02 9.192472116502403878e+01 1.003783186638981562e+02 1.014549306488296025e+02 3.219435284306860767e-01
2.143801758841713365e+02 1.451661658644304111e+02 1.857990542739135833e+02 4.403434354836630860e+02 9.135217106783316554e-01
1.285913518964182174e+02 1.288737611516983463e+02 3.451101542870553658e+02 2.691565869953322476e+02 8.279744836962865673e-01
