pFat pLiver pSlow kMet fAbs
7.829516356060909743e+01 1.766172084244220386e+01 9.964632035861560553e+02 2.273480146869827081e+02 2.176853896264216992e-01
5.384342092214323827e+01 1.498744994609437953e+01 6.889037316634113495e+02 5.328724534318498627e+02 6.385380847197765775e-01
8.899654280404172368e+01 1.883760120565576912e+01 9.843710640886562260e+02 2.311396357362860670e+02 1.858704926024684900e-01
9.339416398752725001e+01 4.024261723251074585e+01 8.430007583182207327e+02 8.204462423427099793e+02 7.956786530985706651e-01
1.456968866106050200e+02 2.053507387959414032e+01 9.558932032508880638e+02 2.724709765474593155e+02 2.132621950354214868e-01
1.616336085071212096e+02 5.407790970732045821e+01 9.238068544038878827e+02 8.340074303229736188e+02 3.847472738319044350e-01
8.923267322788187528e+01 1.341140427382912215e+01 9.803834195280530821e+02 4.870847046638631923e+02 4.248485174281960153e-01
1.989035369788500986e+02 2.526257296192728319e+01 7.019575771698507651e+02 3.496144211518349607e+02 1.838410493212818131e-01
1.012675462816378058e+02 1.636480409271779735e+01 9.349268328860715656e+02 6.689774614840864615e+02 5.730624615172590364e-01
9.910501991574513170e+01 1.639848097128313853e+01 9.978123149063450228e+02 5.146229511238925625e+02 4.965394250617641281e-01
6.102714091829714249e+01 1.372143277518093107e+01 8.949215495322353036e+02 2.932501935365550025e+02 2.827018992184328616e-01
1.790304196489696267e+02 3.776115349674533661e+01 8.760270460199266154e+02 5.889284209514252098e+02 4.000145640895609311e-01
1.319797221574704622e+02 1.567341579071642066e+01 7.773908369881484077e+02 8.843845398881943538e+02 7.255508667972822012e-01
8.357439249187373775e+01 1.962672475401467409e+01 8.180635254847354645e+02 3.315330927464153774e+02 3.246935648183011947e-01
1.042944813167214733e+02 1.525803552055542767e+01 4.027941412335339351e+02 1.712557798740983799e+02 2.229287180124547296e-01
7.688611142548917599e+01 2.801859742604951364e+01 9.780101688351203393e+02 5.235877147347347318e+02 5.283768587435011543e-01
7.143225177273180293e+01 1.548229972260217480e+01 9.841356117390442932e+02 3.029712137002076702e+02 3.230805405318939449e-01
1.012950015456464712e+02 2.314003430692957863e+01 9.400052246263455800e+02 5.483361100622231561e+02 4.435471593618017794e-01
1.858532464150532064e+02 2.233508739731466974e+01 8.718498332087884819e+02 5.726224637566400588e+02 4.666069671772371530e-01
1.099540152275611291e+02 1.691470407311883051e+01 7.474093644266984029e+02 7.076867270012461404e+02 8.093685435523054750e-01
6.918733396458458174e+01 1.801194280055749886e+01 9.416195167912285342e+02 4.977745770698523984e+02 4.926308853570567914e-01
1.117121896039428890e+02 3.979916963903963989e+01 9.895033082438815200e+02 5.843851498632537869e+02 4.847146075636066254e-01
7.202037971391683868e+01 1.914954862333162922e+01 9.248687006329226961e+02 3.603496096048048116e+02 3.066615779592955504e-01
1.130904679478781532e+02 1.923698416322218563e+01 7.819371877694862860e+02 3.139716744214097162e+02 2.400659778878198036e-01
7.543395177721956202e+01 2.871369707130827109e+01 9.381923177695053937e+02 4.680822622056718956e+02 3.257067468059130499e-01
3.541100268648603588e+01 7.784040292498216829e+00 3.926830034987576710e+02 1.240448724054159158e+02 2.073472818812876484e-01
1.852617500877456393e+02 1.547409851927231195e+01 5.724237474029368968e+02 3.205856087469213662e+02 1.903887889091720464e-01
1.177389117502091267e+02 4.689967039209114574e+01 8.646478258797990293e+02 9.300772566015845086e+02 8.868920986558201935e-01
2.084216278578535935e+02 2.725260383068651038e+01 6.320070405292597115e+02 2.794833461552758536e+02 1.792871794661535512e-01
1.028262131013011782e+02 2.170187508797261700e+01 8.639802399341829187e+02 4.874911204534257649e+02 3.755602628580594349e-01
7.480667642481557778e+01 1.076623889025468017e+01 7.446016463679255821e+02 6.349621644705413246e+02 7.016631236841195385e-01
1.086707301499533003e+02 1.207079901463843896e+01 9.342837586446869409e+02 8.468389316914166329e+02 7.958782089033606955e-01
1.642639728381935527e+02 2.324073280181467638e+01 8.529187584087782170e+02 4.196300885596364196e+02 2.882794161971139468e-01
1.190934801075440959e+02 1.387111645816593075e+01 7.898091129662709591e+02 1.400046073961551940e+02 1.507495143735808618e-01
1.025433592409225554e+02 1.792514257731027527e+01 9.476057755852112905e+02 2.989489035059902449e+02 3.127112660487113005e-01
1.450834744885697205e+02 1.551281620466638778e+01 9.794842093696262282e+02 5.298118685526867466e+02 3.969196809991279440e-01
1.059439245870929796e+02 2.016492670668046117e+01 5.002589347938380797e+02 1.654570339410167037e+02 1.389701813715591705e-01
6.467678946484643632e+01 1.459935098247209595e+01 9.020878574697437671e+02 2.964898071067794945e+02 3.998164855355019753e-01
3.905715171854537857e+02 2.840770649150965355e+01 8.479404792724596973e+02 3.938826513958197211e+02 2.027373677892147508e-01
9.125253124460974163e+01 1.548791049975199385e+01 8.530890776932022845e+02 1.599074330429209283e+02 1.700131907046805724e-01
1.373196855848927385e+02 1.691777082962065037e+01 2.450955471334629863e+02 5.726754923746965886e+01 4.930806651449720635e-02
1.025630605851974622e+02 2.696268937056579063e+01 8.976155191788812999e+02 4.826227922045667924e+02 3.487492718686139304e-01
1.397850802499181384e+02 1.654599323204452332e+01 8.978943929134823065e+02 5.264852403652540715e+02 4.374547308344681196e-01
5.761772868676860071e+01 3.454071985744064932e+01 9.948838930140004777e+02 3.776888397108215827e+02 2.495026776030530302e-01
