logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -9.220112694351645359e+02 -9.280039837218558887e+02 1.074999999999999956e+00
-9.280039837218558887e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -8.901445470104638389e+02 -8.961397612971551325e+02 6.300000000000000044e-01
-8.961397612971551325e+02 1.482600312681084809e+01 -5.000000000000000104e-03 4.000000000000000000e+02 -7.369501737831146784e+02 -7.429478880698060266e+02 4.699999999999999734e-01
-7.429478880698060266e+02 7.804907302363942279e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -5.748336310204086885e+02 -5.808338453070999776e+02 1.849999999999999978e-01
-5.808338453070999776e+02 1.308934175776352618e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -4.996357664909904770e+02 -5.056384807776817638e+02 1.590000000000000080e+00
-5.056384807776817638e+02 1.231815791170197514e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -4.889169873676315206e+02 -4.949222016543228619e+02 1.745000000000000107e+00
-4.949221794736715765e+02 7.065079046874714663e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.667095268426265875e+02 -4.727172411293179266e+02 9.849999999999999867e-01
-4.727172411290906666e+02 3.017710638124137645e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.062911390720480540e+02 -4.123013533587393908e+02 4.000000000000000222e-01
-4.123013533587393908e+02 4.980754090591432970e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.690461070296793196e+02 -3.750588213163706541e+02 2.300000000000000100e-01
-3.750588213163706541e+02 4.770754248000681486e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.675849294412332142e+02 -3.736001437279245465e+02 1.000000000000000056e-01
-3.733910637346242538e+02 2.828844373139189727e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -3.636896200924017535e+02 -3.697073343790930835e+02 1.199999999999999956e+00
-3.696825158382579275e+02 2.193279035187620796e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -3.593521118671711747e+02 -3.653723261538625025e+02 1.610000000000000098e+00
-3.653589845484993361e+02 3.131073880884762239e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -3.513078718847710888e+02 -3.573305861714624143e+02 8.349999999999999645e-01
-3.573302601545794914e+02 3.437990457869896765e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -3.337464120953081306e+02 -3.397716263819994538e+02 1.784999999999999920e+00
-3.397716263583194518e+02 1.037022737041186815e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -2.977067351994696196e+02 -3.037344494861609405e+02 1.385000000000000009e+00
-3.037344494861609405e+02 2.147538016525480842e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -2.852572410358405364e+02 -2.912874553225318550e+02 7.800000000000000266e-01
-2.912874513930230478e+02 4.259163997168400329e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -2.642619114756479917e+02 -2.702946257623393080e+02 9.500000000000000111e-02
-2.702946257615756167e+02 1.117849159264378045e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -2.604512712717777845e+02 -2.664864855584690986e+02 6.949999999999999512e-01
-2.664645387527449998e+02 9.891082912233761348e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -2.281960166381925319e+02 -2.342337309248838437e+02 4.400000000000000022e-01
-2.342337309248838437e+02 2.173475312701327056e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -2.280046960872319630e+02 -2.340449103739232726e+02 1.185000000000000053e+00
-2.334417234236682077e+02 8.823193728258145185e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -2.213294702074748841e+02 -2.273721844941661914e+02 1.620000000000000107e+00
-2.273698749242072381e+02 3.161958621795607272e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -2.210657936055460482e+02 -2.271110078922373532e+02 1.379999999999999893e+00
-2.265389409948543573e+02 1.852448907083494856e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -2.192482378449293208e+02 -2.252959521316206235e+02 1.955000000000000071e+00
-2.250424574090575049e+02 8.834735336004870820e-01 -5.750000000000001638e-02 4.000000000000000000e+02 -2.165890657612638961e+02 -2.226392800479551966e+02 6.899999999999999467e-01
-2.225527077809106515e+02 2.034589410152707334e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -2.153249145067901509e+02 -2.213776287934814491e+02 1.790000000000000036e+00
-2.211085222418360274e+02 1.058158007610139562e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -2.104731002133929678e+02 -2.165283145000842921e+02 2.949999999999999845e-01
-2.165181139370293977e+02 2.507911946111573087e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -2.065594321763031189e+02 -2.126171464629944410e+02 4.799999999999999822e-01
-2.125971258816163925e+02 3.853335402947384303e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -2.061381044214223266e+02 -2.121983187081136464e+02 5.649999999999999467e-01
-2.116848245887818791e+02 2.746516154485539651e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -2.055445597815514134e+02 -2.116072740682427309e+02 1.864999999999999991e+00
-2.109521505758536080e+02 1.084148040095315402e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -2.051618027296664479e+02 -2.112270170163577632e+02 2.049999999999999878e-01
-2.103870222510104782e+02 1.223554197340323002e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -2.016933083519410275e+02 -2.077610226386323404e+02 1.824999999999999956e+00
-2.076911539280373518e+02 1.306648059213645796e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -2.003820945646497194e+02 -2.064523088513410300e+02 5.999999999999999778e-01
-2.061978847749077772e+02 1.639397689622249965e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -2.003384609795403151e+02 -2.064111752662316235e+02 9.449999999999999512e-01
-2.056057069823752670e+02 1.280905901925738721e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -1.988803700215809727e+02 -2.049555843082722788e+02 1.560000000000000053e+00
-2.045355710468078030e+02 1.031154674211386402e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -1.978370574440428697e+02 -2.039147717307341736e+02 9.500000000000000111e-02
-2.034846044999922583e+02 1.045363279773067866e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -1.952858392657281570e+02 -2.013660535524194586e+02 1.524999999999999911e+00
-2.012525412351226350e+02 1.375661932722939573e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -1.913914015137464162e+02 -1.974741158004377155e+02 1.510000000000000009e+00
-1.974515144896319896e+02 2.557986718985466812e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -1.857901225542569819e+02 -1.918753368409483073e+02 2.700000000000000178e-01
-1.918715569804462291e+02 4.144293756251329341e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -1.779451620335396456e+02 -1.840328763202309688e+02 6.700000000000000400e-01
-1.840324822091363046e+02 4.685814585940071275e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -1.743325298837445132e+02 -1.804227441704358341e+02 1.145000000000000018e+00
-1.803960448561976193e+02 1.701044893434065397e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -1.692823425805573549e+02 -1.753750568672486736e+02 1.840000000000000080e+00
-1.753684805340758146e+02 1.455390042480844359e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -1.685810981961809318e+02 -1.746763124828722482e+02 1.635000000000000009e+00
-1.742705208917787729e+02 1.692703287161947401e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -1.678686958393073780e+02 -1.739664101259986921e+02 8.800000000000000044e-01
-1.734138021836156440e+02 2.153826147941974689e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -1.674512331393006548e+02 -1.735514474259919666e+02 8.649999999999999911e-01
