weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.220112694351645359e+02 8.342758219577197654e-01 4.962334771389742549e-02 3.763077475703724417e-02 8.128081036965347783e-01 3.285426202143892915e-03
0.000000000000000000e+00 -8.901445470104638389e+02 3.907609213592622144e-02 3.426917571091386838e-01 1.744332332480524883e-01 4.425680973335357482e-01 2.979007840004821439e-03
7.830732513108600373e-313 -7.369501737831146784e+02 7.294288241610836776e-01 8.175556440694164984e-01 2.442859717128922359e-01 6.060918228485413506e-01 2.251226812906237384e-03
1.990841110189542365e-242 -5.748336310204086885e+02 3.130979763054630993e-01 3.682832883819368019e-01 6.870677734995034314e-01 4.181102170403492302e-01 5.713764855543868038e-03
9.035838915553795778e-210 -4.996357664909904770e+02 6.302049210781787147e-01 7.197827121213373758e-02 1.808754259793569075e-01 7.050035067587393511e-01 1.806703418019550700e-02
4.073703065382440015e-205 -4.889169873676315206e+02 8.857841548448797120e-01 4.646334362829284137e-01 7.858080320774486482e-01 6.646180499460082602e-01 9.377904778553936005e-03
1.792590938420828192e-195 -4.667095268426265875e+02 3.767383255643286244e-02 7.585350440037459396e-01 9.250741934395914079e-01 9.925019353951483048e-01 4.674396680938042170e-02
3.102900681395919849e-169 -4.062911390720480540e+02 9.320684832446096690e-01 5.524732629061424038e-02 2.535772771222909450e-01 7.556842563968492188e-01 3.188560642395832367e-02
4.634405521117584986e-153 -3.690461070296793196e+02 1.892187090310929465e-01 6.075202744817738143e-01 1.048240015872361486e-01 4.589210371516682097e-01 2.204760759070178988e-02
1.992919058648828609e-152 -3.675849294412332142e+02 8.488214899750070597e-01 3.479286425288796725e-02 3.997355207634781804e-01 6.331651692003275045e-01 4.058875371014725175e-02
9.774966545622822991e-151 -3.636896200924017535e+02 7.136574727444111588e-03 7.041489984363993315e-01 5.582134414920234544e-01 9.026356891374973657e-01 1.413609247460249074e-01
7.460800563987746624e-149 -3.593521118671711747e+02 6.809093673616898323e-01 8.008269659596503054e-01 8.311654921950594188e-01 8.226042801603511423e-01 2.441909332325253867e-02
2.318829037600255840e-145 -3.513078718847710888e+02 3.842211165654141336e-02 3.079134625941537529e-01 6.813713161321028888e-01 2.008232364945268245e-01 2.585641319261955395e-02
9.795533060338286932e-138 -3.337464120953081306e+02 1.422559975708403979e-02 4.622140683015169005e-01 1.977568843997887793e-01 4.260095522797396894e-01 7.103018691391038697e-02
4.383037071969810862e-122 -2.977067351994696196e+02 6.947933844608122911e-03 3.944753574438354393e-01 9.178436631501839527e-01 8.056646105963262139e-01 2.325452037892168367e-01
1.115413831290260149e-116 -2.852572410358405364e+02 1.928795003291432497e-01 7.361941098636428649e-01 8.408348339008465677e-01 6.328908054745194800e-01 5.314974091431012848e-02
1.460515139027041289e-107 -2.642619114756479917e+02 8.733291359387785890e-01 8.958436926137500755e-01 7.944022890797776126e-01 5.573572500220886905e-01 3.014652883857316112e-02
6.582037312105731047e-106 -2.604512712717777845e+02 7.694908838376355309e-01 2.352074011569039724e-01 6.699944690917407630e-01 8.583451773093365711e-01 6.554805059533808098e-02
6.691965655799633194e-92 -2.281960166381925319e+02 9.359375308684292349e-01 4.016385223249030467e-02 9.734977875953025883e-01 5.804762758858900140e-01 1.010992695913900397e-01
8.082717998686760128e-92 -2.280046960872319630e+02 6.440047403338233778e-01 8.522937226834780278e-01 8.163690824798955914e-01 1.810197273575916421e-01 1.879977651616171475e-02
6.389773378384244026e-89 -2.213294702074748841e+02 2.926094832703898252e-01 3.664460159316802468e-01 2.676692308572284906e-01 8.630024625985028841e-01 1.139895990503932977e-01
8.296845685247009513e-89 -2.210657936055460482e+02 5.698875166008989801e-01 9.531656852989948137e-01 9.562471488870049052e-01 3.506315305318490338e-01 3.466653527914365096e-02
5.095440255530540394e-88 -2.192482378449293208e+02 8.931220115388338598e-01 5.912592412265962327e-01 6.582199898839495855e-01 1.410274880294053457e-01 1.549492768165694478e-02
7.260386489890543389e-87 -2.165890657612638961e+02 9.546045594225827102e-02 6.873257491188290436e-01 6.439709759730085636e-01 6.699464261101437668e-01 1.350778764870897986e-01
2.563822283430332082e-86 -2.153249145067901509e+02 3.962090187330660207e-01 1.814697876874082905e-02 9.570363728908836132e-01 2.525660374770917205e-01 9.490952754677306480e-02
3.272791635380507993e-84 -2.104731002133929678e+02 1.623195767725027494e-02 1.566419798811926611e-01 9.512952561588325917e-01 8.135507146148345248e-01 4.485101094805170607e-01
1.634997348985629532e-82 -2.065594321763031189e+02 6.089192812697252766e-01 4.739397633319135661e-01 7.798152314127937412e-01 9.001902638712054872e-01 9.937303930036356370e-02
2.485487799358140112e-82 -2.061381044214223266e+02 8.839177142005372190e-02 7.443851298718762166e-02 9.568924893213249794e-01 8.460553080264459069e-01 2.990849614282286018e-01
4.488477591082740693e-82 -2.055445597815514134e+02 7.287015372237731770e-01 7.974485875371392085e-01 9.062436868835768156e-01 7.272207998308666266e-01 7.066779051403160317e-02
6.565118970788882034e-82 -2.051618027296664479e+02 4.078810135035116913e-01 5.383902586182633954e-01 4.044977396771406442e-01 8.767943105867017639e-01 1.084185848311864930e-01
2.101381154800447985e-80 -2.016933083519410275e+02 7.103049170496832376e-01 9.168095888022135265e-01 4.322899666250231698e-01 3.748621820202593380e-01 3.633707622273618654e-02
7.778072902479005095e-80 -2.003820945646497194e+02 8.765308377260654371e-01 4.957297172485796155e-01 1.195499688234861191e-01 9.545240553722600385e-02 1.023715367414235189e-02
8.104684223351922070e-80 -2.003384609795403151e+02 1.395450366066788295e-01 1.932766794796350052e-01 3.304927697509182360e-01 8.530684818166387462e-01 2.036157041554503833e-01
3.474491226551701124e-79 -1.988803700215809727e+02 1.333185871094115793e-01 5.058497203946821230e-02 6.446851014337066088e-01 5.865349979426164317e-01 2.082690911561020375e-01
9.838080650654600784e-79 -1.978370574440428697e+02 7.306004706691666684e-01 7.175104077748994946e-01 8.845029928340222281e-01 9.833952020203621247e-01 1.029592719573113602e-01
1.258359172849828070e-77 -1.952858392657281570e+02 2.313464296287351951e-01 3.272220031992434386e-01 8.442514695433550598e-01 5.122895287039153089e-01 1.002759855925522414e-01
6.166684205361722063e-76 -1.913914015137464162e+02 3.703911992113401164e-01 9.957141446065458368e-01 2.066076757311484657e-01 9.922652340891315870e-01 1.387218894423278837e-01
