weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.509821165630490896e+02 6.061817516939778443e+02 1.660736749020649654e+02 2.030694062080443132e+02 8.253172275302089247e+02 3.473317784399410080e-03
5.600502023640222511e-285 -6.615444638796728896e+02 5.074048319270568754e+02 4.092831938216410208e+02 2.727895260644845052e+02 6.552036729245678544e+02 6.905736230509718077e-03
6.754272536471884439e-230 -5.347124647327913181e+02 4.820394438474454546e+02 8.282280714344326000e+00 1.534363505817242590e+01 7.415622527488486639e+02 7.757816092431479849e-02
2.562240115252838441e-229 -5.333766729919245790e+02 1.883823709826046979e+02 1.645093218809479367e+02 8.053346579773045022e+00 8.636902962307789267e+02 4.091431448482318878e-02
1.738676667634262379e-227 -5.291567604387898882e+02 1.170912879225713965e+02 2.393526800609905081e+02 5.060174748302692933e+02 6.510179212353356206e+02 2.355087353962403984e-02
7.113199058388860827e-204 -4.747859755074446753e+02 2.874627188724431335e+02 1.179990442664693120e+02 7.842656084255603446e+02 4.647581519025195576e+02 1.619516359838490960e-02
3.950642578665274183e-193 -4.500431133211968699e+02 2.661759980248151081e+01 8.535715767653257444e+02 4.924781305975142232e+02 7.940528907526506828e+02 6.705534145564318038e-02
1.647512220091115548e-191 -4.463100549743130045e+02 4.668907426946618671e+02 5.192088773018002712e+01 8.122777216272767191e+02 4.380126427109900646e+02 2.019933533279816285e-02
4.269183835183177493e-183 -4.269347179654121760e+02 5.172245276816904607e+02 2.402672582038392761e+02 9.311166946124001242e+02 6.840170346664996259e+02 2.106819751124089368e-02
1.355333274710924037e-167 -3.912382317638922586e+02 8.326372045576852088e+02 5.750922245099500287e+02 8.416758513949680491e+02 8.996477001745556663e+02 2.430226935778434516e-02
2.921288891198631387e-167 -3.904677542271903690e+02 9.100252660616291678e+02 4.914087480675807456e+02 6.205900600657472523e+02 5.554580445599580116e+02 1.465731632393607597e-02
3.200664529906509580e-165 -3.857687505073471357e+02 2.292468613084409128e+02 4.187916940383492914e+01 4.679644262936549808e+02 7.658179985092489233e+02 9.171042586867428348e-02
1.109122354393262134e-158 -3.707079442793700537e+02 4.752277593328585112e+02 2.937997861456999544e+02 7.723333492943318106e+02 5.935547850820104259e+02 2.510679582265407106e-02
5.227591721276846927e-156 -3.645498924261597722e+02 9.101492272269774730e+01 7.633080571290889793e+02 2.278750705463208419e+02 5.553538409306520407e+02 4.965791320088908112e-02
1.105764027937097803e-155 -3.637982215072077565e+02 9.354740418429593092e+02 6.028235269848540838e+02 1.099613285090093342e+02 3.941765176269893232e+02 1.510601832418523305e-02
6.430837061246657016e-155 -3.620351533208736328e+02 1.263705487904118172e+02 5.652127127955486685e+02 2.886863863875028642e+02 1.389852749552046873e+02 7.981793506018908246e-03
3.226187501595748150e-154 -3.604198718382332345e+02 9.070667127480096781e+01 2.499750828788379238e+02 6.521062362999788320e+01 9.682613648136776874e+02 1.463240785831166901e-01
1.592275801827953128e-144 -3.380976576935424305e+02 6.645269169490344439e+02 8.058875541076432683e+02 5.184280157597806493e+01 8.882041369854590585e+02 5.079159236582175829e-02
2.069626896764969854e-142 -3.332277834744032248e+02 1.314172055467386144e+02 3.540053269597181611e+02 1.142016151274672779e+02 7.918637523850189552e+01 6.467354498227440018e-03
6.527304279628162245e-140 -3.274714875991675171e+02 3.263904741101253535e+02 1.366175433883642931e+00 3.382908006427540499e+02 7.612406352841570651e+02 6.748014580925595363e-01
6.102251224984864988e-139 -3.252337387869718555e+02 1.774656023086723451e+02 4.107180642989569606e+02 1.053036418040558146e+02 3.950962144083553653e+02 4.285029826286002042e-02
3.379668499581341812e-127 -2.981910977997772534e+02 4.083783719362257898e+02 2.456648736130023849e+02 7.762749970630756025e+02 8.620420735714452576e+02 7.186637429464548532e-02
2.847047969159587783e-125 -2.937549225842534497e+02 4.645545226981677729e+02 2.484800193267725206e+02 3.519923414975016271e+02 6.069759428813797513e+02 5.675307763651293858e-02
1.162953239435114755e-123 -2.900425723895595524e+02 1.116521366271903730e+02 9.509187132279270145e+02 4.636163503145842810e+02 8.439021107513531206e+02 1.038124042811953140e-01
1.595691859853479805e-123 -2.897237276453192862e+02 1.657637237808684105e+01 7.519826639924133360e+02 5.941335736802741394e+02 6.925618150448145798e+02 2.154637545347850569e-01
1.313338609691241904e-122 -2.876133775102800882e+02 4.045384426444216501e+02 3.797507679753539378e+02 3.013488323195902012e+02 6.584436406481283939e+02 6.244070884792574105e-02
4.472021297477674277e-121 -2.840830243712040897e+02 9.123873765000354297e+02 3.191050294030559940e+02 9.765045622051884493e+02 5.033798380889833197e+02 2.820923528191954244e-02
3.679424980132305970e-120 -2.819730232918842034e+02 6.320594633077596427e+02 1.885994747556059892e+01 8.889890851418100226e+01 8.537782636970194972e+02 2.687687645841286832e-01
7.540270266270811890e-120 -2.812530217507465977e+02 1.510896669592290493e+02 9.330285457892989598e+02 4.497267491658910217e+02 4.499261621546343122e+02 4.460560371512645172e-02
3.834105015391049659e-111 -2.612035779047064921e+02 2.523409496886785064e+02 2.893511626119137645e+02 8.764829639907036380e+02 5.762970520184084080e+02 6.329587632097299910e-02
1.557256996574532897e-105 -2.482865774435004766e+02 7.949439058944270187e+01 6.289856451783688271e+02 3.074492908987839428e+02 7.862325424249994512e+02 1.814108083463508159e-01
5.604347256605590237e-105 -2.470034607891445830e+02 3.509616519616359369e+02 3.714521298823224811e+02 6.129429168406020381e+02 5.817386050330010221e+02 6.404209065427868275e-02
1.420678833873569693e-104 -2.460707834791459732e+02 4.025089494296686325e+02 1.645501450275270088e+02 3.333624895170007107e+01 9.449804088123029260e+02 2.004164074609487978e-01
3.320656704420997935e-102 -2.406140855366597293e+02 4.836334857076388971e+02 7.321475985238039641e+01 7.429380088590949072e+02 6.478223783472806190e+02 1.113098634753389993e-01
6.116575460498809321e-101 -2.376981606349390006e+02 2.354908894266366417e+02 8.783470388443377033e+02 2.881962889430939185e+02 2.673455360896301727e+02 3.023873772277552163e-02
1.859536935551037477e-100 -2.365837504192277265e+02 6.956277062275363505e+02 1.933644205815649997e+01 1.027190474906749955e+02 6.887922592325533060e+02 2.881634096703256098e-01
8.974116390035480051e-100 -2.350072334394122890e+02 2.794878742716979403e+01 6.738352873095667519e+02 3.057685849824783304e+02 4.757253578539477417e+02 1.946355933150398787e-01
1.247950417692640817e-99 -2.346749902838370190e+02 4.219534181293810775e+02 3.531330836888783438e+02 4.339676042148553279e+02 7.771489040266270649e+02 1.056433353419508059e-01
2.967083836023386100e-99 -2.338064132265137118e+02 9.749122816956018767e+01 3.251519740398089766e+02 9.930439953211741795e+02 9.840692303373754157e+02 2.088282205424103477e-01
1.471603637285678309e-98 -2.322025550146888406e+02 6.938099181075368733e+02 1.754966554623391914e+02 5.544584776554778216e+01 7.785122629063980639e+02 1.454206714151543567e-01
5.503465700501604769e-95 -2.239732744304504308e+02 3.835892394934269305e+02 8.410337024924421030e+02 1.082751078613824660e+02 8.448686640542792929e+02 1.330114565464123322e-01
6.257244499234651589e-95 -2.238424125392408257e+02 2.853084643051922171e+02 6.119021417016597297e+02 8.303602182271558831e+02 1.091542697681127549e+02 1.614506479129729222e-02
2.423534611647152748e-93 -2.201832552077382843e+02 5.083497565040465815e+02 5.284229555032401322e+02 1.417787039760551693e+02 8.402090320342513223e+02 1.314324442772011325e-01
5.130401821011436359e-93 -2.194307982818200458e+02 9.231886253291194180e+02 5.338512980272407731e+02 3.702978147253507473e+02 7.494780654306416636e+02 7.823100628888990382e-02
6.815998320276574836e-93 -2.191442097225291263e+02 3.696864898982391310e+02 8.210896335244161719e+02 2.674763971824391433e+02 9.131534789824735299e+02 1.341143938490899634e-01
6.797785376168050948e-91 -2.145392152004681918e+02 2.433721654457001549e+01 1.950107867094733933e+02 5.577561566773616732e+02 4.430148191516327074e+02 2.417646675994874483e-01
2.007376249803040566e-89 -2.111513133726366505e+02 5.039571976471406742e+02 9.680926865971679263e+01 4.843182841407323735e+02 1.570894716694591580e+02 2.759716110418342083e-02
9.095360464588579102e-89 -2.096378774491871582e+02 5.325581153797409684e+01 3.613794838306582164e+02 3.070910131439393922e+02 4.029195900685661513e+02 1.565679782935956998e-01
5.553170917817980005e-87 -2.055236026065020098e+02 5.341129058172797386e+02 8.835936152801086791e+02 3.997811261714057309e+02 4.003692092494759436e+02 4.270340206778233672e-02
2.138169987892302226e-86 -2.041729362973162267e+02 1.458700694353175322e+02 6.479070282421021147e+02 1.428038749687885911e+02 9.019295399728521261e+02 2.642563860500168893e-01
5.875686886176765122e-84 -1.985543934586793569e+02 4.287406353564141170e+01 8.274538638038789031e+02 5.107071156272540975e+02 6.957666606795992266e+02 2.902545303722761094e-01
2.120866247971600917e-83 -1.972683067229169751e+02 7.960693077496960086e+02 2.153872701393316902e+01 1.408850076799439819e+02 8.641502106469874889e+02 4.633490386526479821e-01
6.472616886334342252e-83 -1.961500508442807700e+02 1.320874098685606555e+02 7.279686742908290853e+02 6.406285068313344482e+02 8.172754846925577112e+02 1.920267311155902101e-01
2.651350250006978497e-77 -1.832245517391758938e+02 2.991625553585469106e+02 1.060543702730779003e+01 2.093411216785255817e+02 8.404957239082829119e+02 8.824977240415718960e-01
2.052499835070737105e-76 -1.811754772027298941e+02 6.665136853901725544e+02 9.444015679639065866e+02 3.899005971824321364e+02 5.513108384109434610e+02 7.246439139193094903e-02
3.249796833763100375e-76 -1.807134432030196649e+02 5.168362645029737905e+02 9.303487747857468548e+02 9.651661862806679437e+02 6.721755336586278418e+02 8.298667640889267894e-02
2.408320581289043603e-75 -1.787080209413751106e+02 1.512263052926288367e+02 3.354573461580426965e+02 9.686323191517931264e+02 2.436278591249345027e+02 6.478377569484672360e-02
9.899941589638689466e-75 -1.772919217346383505e+02 7.552650842591079936e+02 1.159369961275863261e+02 2.306527740468096397e+02 6.963715507446828497e+02 1.983688995024293078e-01
3.139658576167089958e-71 -1.692274961594453373e+02 4.783155369751278840e+02 4.782254475868046484e+02 3.591295755256456914e+02 9.834359363189797705e+02 2.226266042252185162e-01
5.372376534200454184e-69 -1.640826696655604451e+02 4.156496147534459169e+02 3.112528299337481030e+02 3.599314642983404156e+02 5.404846982030287563e+02 1.359177921315654070e-01
5.749523109826708179e-69 -1.640123231198124074e+02 2.848908545338570093e+02 6.583564279176647460e+02 2.890734019657145382e+02 4.916614125518781293e+02 1.234785275969528806e-01
1.826013229458451703e-68 -1.628542199135717112e+02 4.589257335449686934e+02 4.926941831892123673e+02 7.067905271350689418e+02 9.739826611598953150e+02 2.021402287132544329e-01
1.605504823282268818e-67 -1.606778316090052954e+02 2.536532664535024750e+01 7.427787879729088445e+02 5.532916663482582180e+02 9.734170002749829109e+02 8.936464746440573315e-01
1.036152071889458295e-66 -1.588106708341754256e+02 2.264616291669055954e+02 2.905901749028706860e+01 4.847159275505947562e+02 3.286347611806087912e+02 2.026058116910374185e-01
1.096294823856032592e-66 -1.587517486025580808e+02 4.148373405850829840e+02 5.534296226745304921e+02 3.870408058686537629e+02 6.158502361197329265e+02 1.421692006834559541e-01
7.387048399551929233e-66 -1.568414565042631921e+02 7.120154362406807422e+02 1.236569094510818587e+02 8.121125484869997990e+02 8.245484033872139662e+02 2.212024527141870367e-01
9.235643812786023313e-66 -1.566156144291246051e+02 4.024745029460389674e+02 7.496677314248431685e+02 4.322651003755555053e+02 9.652066022737350295e+02 2.296306741325704337e-01
1.729724645176355970e-65 -1.559856374305808231e+02 2.426297556822246975e+02 5.434768775950490749e+01 2.452160181993237984e+02 5.385314423150613266e+02 3.439341996728775275e-01
1.789026365103863131e-65 -1.559494281200250896e+02 1.950771736477102536e+02 3.582487814020061023e+02 1.145932455570970063e+02 5.490661439776647512e+02 2.427278007152221528e-01
1.320283646334514447e-64 -1.539481679716896281e+02 2.316307039512027544e+01 4.870472646685564655e+02 5.453039608256931388e+02 4.833393186290628023e+02 4.509461492658100035e-01
3.586770361610185008e-64 -1.529462623919132795e+02 5.271038063867968049e+02 1.828238299959305380e+01 7.402233567857517755e+02 9.889597060094619110e+02 7.485427652917592267e-01
3.729451407013502746e-64 -1.529047534218191799e+02 7.250915420417625228e+02 4.262300135149366298e+01 1.594155946559052381e+02 9.770277084427319778e+02 5.972000959680652254e-01
4.407827684775760113e-64 -1.527351325891795284e+02 2.488804523940962383e+02 8.951160876048339787e+02 2.676196119849582828e+02 8.396485376016493092e+02 2.630410501109254895e-01
7.405212068885021653e-64 -1.522138304828737887e+02 4.621693303341112937e+02 2.226934799269680241e+02 1.042867273822921987e+02 1.088198621343136665e+02 2.781578462477873881e-02
4.957581354546467803e-63 -1.503100114841215884e+02 4.362073003640705338e+02 4.673230095670725177e+02 7.586718425905683034e+02 7.908503651919165804e+02 1.785471652515956409e-01
5.617217975262823018e-62 -1.478800078636559476e+02 8.064593016199797830e+02 4.925114622224929235e+02 5.994906878881917009e+02 5.999246010721467428e+02 1.082431520849237438e-01
1.111839337953873502e-61 -1.471947435846755354e+02 2.969365452002224970e+02 4.623950832228715626e+02 2.660815534732203673e+02 8.313627411708357613e+02 2.915347957641615251e-01
5.638545685573265702e-60 -1.432660480217230656e+02 2.274341579888966862e+02 5.096975552226782042e+02 4.003918595158163498e+02 8.239580502742818453e+02 3.067135555472922936e-01
1.929154291239922736e-58 -1.397309222950105720e+02 9.181391300131588196e+02 1.450583156623572165e+02 3.831115874947361704e+02 7.620044770702543246e+02 2.503493522753641454e-01
2.967914961297642555e-58 -1.392976443377854423e+02 9.832937611621509859e+02 8.692439857023910008e+02 3.389288615808466716e+02 8.185732084910865751e+02 1.603843466182930388e-01
