weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.509821165630490896e+02 6.022037895898766369e-01 1.652389138158808501e-01 2.022716778859302567e-01 8.251423699001090295e-01 3.473317784399410080e-03
5.600502023640222511e-285 -6.615444638796728896e+02 5.024291231586432982e-01 4.086918857073483791e-01 2.720615876521366161e-01 6.548585314560239068e-01 6.905736230509718077e-03
6.754272536471884439e-230 -5.347124647327913181e+02 4.768075190378237016e-01 7.289570284628954511e-03 1.435799305122364977e-02 7.413035563051537657e-01 7.757816092431479849e-02
2.562240115252838441e-229 -5.333766729919245790e+02 1.801842131137421088e-01 1.636729948758237629e-01 7.060406986759804049e-03 8.635538500808598306e-01 4.091431448482318878e-02
1.738676667634262379e-227 -5.291567604387898882e+02 1.081730181036074656e-01 2.385912713323228296e-01 5.055229978280973979e-01 6.506685898251607370e-01 2.355087353962403984e-02
7.113199058388860827e-204 -4.747859755074446753e+02 2.802653725984274313e-01 1.171161604268962098e-01 7.840496580836440188e-01 4.642223742767963568e-01 1.619516359838490960e-02
3.950642578665274183e-193 -4.500431133211968699e+02 1.678545434594092001e-02 8.534250017670927946e-01 4.919701006982124536e-01 7.938467374901407858e-01 6.705534145564318038e-02
1.647512220091115548e-191 -4.463100549743130045e+02 4.615058007016786812e-01 5.097185958976979681e-02 8.120898114387153921e-01 4.374500928037938774e-01 2.019933533279816285e-02
4.269183835183177493e-183 -4.269347179654121760e+02 5.123480077592832416e-01 2.395067649688080724e-01 9.310477423547548481e-01 6.837007354019015715e-01 2.106819751124089368e-02
1.355333274710924037e-167 -3.912382317638922586e+02 8.309466712703891256e-01 5.746668914013514096e-01 8.415173687637317324e-01 8.995472474219776693e-01 2.430226935778434516e-02
2.921288891198631387e-167 -3.904677542271903690e+02 9.091164303652820022e-01 4.908996477152960392e-01 6.202102703360833358e-01 5.550130576175755781e-01 1.465731632393607597e-02
3.200664529906509580e-165 -3.857687505073471357e+02 2.214614760691322459e-01 4.092008949332825996e-02 4.674318581518067672e-01 7.655835820913402534e-01 9.171042586867428348e-02
1.109122354393262134e-158 -3.707079442793700537e+02 4.699270296291500060e-01 2.930928790247246951e-01 7.721054547490808773e-01 5.931479330150254414e-01 2.510679582265407106e-02
5.227591721276846927e-156 -3.645498924261597722e+02 8.183325527545226574e-02 7.630711282573463539e-01 2.271021727190398742e-01 5.549087496803323249e-01 4.965791320088908112e-02
1.105764027937097803e-155 -3.637982215072077565e+02 9.348222644878376730e-01 6.024259529377918865e-01 1.090703989079172542e-01 3.935700877147040311e-01 1.510601832418523305e-02
6.430837061246657016e-155 -3.620351533208736328e+02 1.175460088792038560e-01 5.647774902858344603e-01 2.879743607482511125e-01 1.381233983535582466e-01 7.981793506018908246e-03
3.226187501595748150e-154 -3.604198718382332345e+02 8.152189017656663594e-02 2.492243071860239523e-01 6.427489852852641405e-02 9.682295944080857586e-01 1.463240785831166901e-01
1.592275801827953128e-144 -3.380976576935424305e+02 6.611382999485196921e-01 8.056932473549982543e-01 5.089369527124931736e-02 8.880922292146736785e-01 5.079159236582175829e-02
2.069626896764969854e-142 -3.332277834744032248e+02 1.226436419664026500e-01 3.533586856453635461e-01 1.133149300575247986e-01 7.826463987838028213e-02 6.467354498227440018e-03
6.527304279628162245e-140 -3.274714875991675171e+02 3.195863374849751137e-01 3.665419758595023225e-04 3.376284290718258863e-01 7.610016369210781395e-01 6.748014580925595363e-01
