pFat pLiver pSlow kMet fAbs
4.958130686133281415e+02 1.044993164545754354e+02 9.557766479285393757e+01 2.231932905276549093e+02 6.556074645347885754e-01
3.769324186272377801e+02 6.193794194852866042e+01 1.486734904779644921e+02 2.036253431043787714e+02 9.249904307406777715e-01
5.745841825255328104e+02 5.869734909077770624e+01 8.351732715610717150e+01 2.220888372396466650e+02 8.649946720349983575e-01
3.112462767894195395e+02 3.358050814405346784e+01 1.187482750417176049e+02 2.178668718941442535e+02 9.256366698091889056e-01
2.711865281101199798e+02 4.556002246547056700e+01 6.340719438959126109e+01 1.572866507276996515e+02 6.809532603347863144e-01
6.453905698282757157e+02 3.937849903269749063e+01 6.738674585476792345e+01 2.733506559569991055e+02 9.980370272201108950e-01
2.971989064015182862e+02 2.833972549130409746e+01 4.550423095941178531e+01 1.489980281579397285e+02 7.698489608810499263e-01
3.229956568343923209e+02 3.192612984776304685e+01 1.206554759266006585e+02 2.465342701250639550e+02 9.832126981385642672e-01
7.399429199520860720e+02 8.103121177245388651e+01 6.363099725774834781e+01 1.960606015413287935e+02 5.111964164206517225e-01
4.526636819692333233e+02 5.220062527392868645e+01 1.137545949081658314e+01 1.813802889798332103e+02 9.644309426003961905e-01
2.810787526412873945e+02 3.343966214247510749e+01 6.641264622833297437e+01 1.266101376904708928e+02 6.904109942825592539e-01
2.888976245164377588e+02 3.011340645966376428e+01 7.140441571423700395e+01 1.596753139759666738e+02 7.399481667157666864e-01
5.057598698845328045e+02 3.962344677131532222e+01 1.255350990551957011e+02 2.305890597149179655e+02 8.108140244762772619e-01
5.845972900595712645e+02 5.324336380872819774e+01 1.479055997932425157e+02 3.359053416911653471e+02 9.972416640862061810e-01
3.588326017321592758e+02 3.253882732183696902e+01 1.432445520158533441e+02 1.994438447918663826e+02 9.736780814522507654e-01
4.339053732919783783e+02 2.923014777892306881e+01 8.937414430710113322e+01 1.762061780259401758e+02 6.592008353217806427e-01
5.697629211540297547e+02 6.703882939686529596e+01 3.476062767267080744e+01 2.079299408913664990e+02 8.611632223303390399e-01
4.512560073280517372e+02 6.480862970569850745e+01 1.215053537051551729e+02 2.676829381866946278e+02 7.253731687989738441e-01
4.801831701744358725e+02 4.730720799095823281e+01 9.418846817129087867e+01 2.600713540816290674e+02 9.342586502914929092e-01
6.152382653275066104e+02 4.685779533244192407e+01 1.268134097570884222e+02 3.154731271785213949e+02 7.857769536120440268e-01
6.152382653275066104e+02 4.685779533244192407e+01 1.268134097570884222e+02 3.154731271785213949e+02 7.857769536120440268e-01
3.895184998371904044e+02 4.475041326978561784e+01 8.290611630682924726e+01 1.687835376505313434e+02 8.261039601415701705e-01
3.119476147544392575e+02 3.974705002172905921e+01 1.750494040314936228e+02 2.205424812388912130e+02 9.082127447403600673e-01
8.647924319231634627e+02 5.973505712095638387e+01 1.024959637124330669e+02 3.467512865160780962e+02 9.795729274423902178e-01
2.586762843717327200e+02 6.651840079704078335e+01 1.300701342190848209e+02 2.270647628288024293e+02 7.893274633462112888e-01
