10:06:48 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=scripts/calibration/fit_updated_intake/2,3,7,8-TCDD/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
10:07:03 [ultranest] [INFO] Sampling 400 live points from prior ...
10:48:57 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
10:48:57 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
10:48:57 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
10:49:04 [ultranest] [DEBUG] iteration=0, ncalls=401, regioncalls=40, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-850.18, Lmax=-24.83
10:49:11 [ultranest] [DEBUG] iteration=1, ncalls=402, regioncalls=80, ndraw=40, logz=-856.18, remainder_fraction=100.0000%, Lmin=-730.06, Lmax=-24.83
10:49:17 [ultranest] [DEBUG] iteration=2, ncalls=403, regioncalls=120, ndraw=40, logz=-736.05, remainder_fraction=100.0000%, Lmin=-364.57, Lmax=-24.83
10:49:23 [ultranest] [DEBUG] iteration=3, ncalls=404, regioncalls=160, ndraw=40, logz=-370.57, remainder_fraction=100.0000%, Lmin=-348.36, Lmax=-24.83
10:49:30 [ultranest] [DEBUG] iteration=4, ncalls=405, regioncalls=200, ndraw=40, logz=-354.36, remainder_fraction=100.0000%, Lmin=-310.90, Lmax=-24.83
10:49:37 [ultranest] [DEBUG] iteration=5, ncalls=406, regioncalls=240, ndraw=40, logz=-316.90, remainder_fraction=100.0000%, Lmin=-299.42, Lmax=-24.83
10:49:43 [ultranest] [DEBUG] iteration=6, ncalls=407, regioncalls=280, ndraw=40, logz=-305.43, remainder_fraction=100.0000%, Lmin=-280.04, Lmax=-24.83
10:49:55 [ultranest] [DEBUG] iteration=7, ncalls=409, regioncalls=360, ndraw=40, logz=-286.05, remainder_fraction=100.0000%, Lmin=-264.98, Lmax=-24.83
10:50:01 [ultranest] [DEBUG] iteration=8, ncalls=410, regioncalls=400, ndraw=40, logz=-270.99, remainder_fraction=100.0000%, Lmin=-260.30, Lmax=-24.83
10:50:08 [ultranest] [DEBUG] iteration=9, ncalls=411, regioncalls=440, ndraw=40, logz=-266.31, remainder_fraction=100.0000%, Lmin=-250.98, Lmax=-24.83
10:50:14 [ultranest] [DEBUG] iteration=10, ncalls=412, regioncalls=480, ndraw=40, logz=-257.00, remainder_fraction=100.0000%, Lmin=-250.87, Lmax=-24.83
