logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -5.665653467477054619e+02 -5.725580610343968146e+02 5.400000000000000355e-01
-5.725580610343968146e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -5.183476851795866196e+02 -5.243428994662779132e+02 1.270000000000000018e+00
-5.243428994662779132e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.547885479551153480e+02 -4.607862622418066394e+02 1.064999999999999947e+00
-4.607862622418066394e+02 3.396459924002059694e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -4.236707987764368681e+02 -4.296710130631281572e+02 6.099999999999999867e-01
-4.296710130631281004e+02 3.926060643910774672e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -4.027299483229755879e+02 -4.087326626096668747e+02 5.699999999999999512e-01
-4.087326626088603803e+02 1.510450633371670648e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -3.936996275141200385e+02 -3.997048418008113231e+02 2.600000000000000089e-01
-3.997047217842504097e+02 1.619510401477813133e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -3.585124326069706626e+02 -3.645201468936620017e+02 5.000000000000000104e-03
-3.645201468936620017e+02 1.915221114731545171e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -3.385840045297739493e+02 -3.445942188164652862e+02 6.250000000000000000e-01
-3.445942188142456644e+02 7.997845322861251383e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -3.207654534343352566e+02 -3.267781677210265912e+02 5.849999999999999645e-01
-3.267781677027208502e+02 8.161046216225626537e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -3.200606585021057526e+02 -3.260758727887970849e+02 3.500000000000000333e-02
-3.256734476367238358e+02 6.582785865360758493e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -3.140363871240006119e+02 -3.200541014106919420e+02 1.655000000000000027e+00
-3.200504809608571009e+02 3.457764753872490271e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -3.124171664738769323e+02 -3.184373807605682600e+02 1.195000000000000062e+00
-3.182556686544279501e+02 3.371898344144029558e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -3.088724064434750289e+02 -3.148951207301663544e+02 1.574999999999999956e+00
-3.148609935131504471e+02 2.275931473016165718e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -3.037434572893587870e+02 -3.097686715760501102e+02 1.860000000000000098e+00
-3.097625466339233071e+02 4.336546726030155341e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -3.023810247243567346e+02 -3.084087390110480555e+02 8.050000000000000488e-01
-3.081790131321838544e+02 4.409155760605761643e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -2.967694598170093059e+02 -3.027996741037006245e+02 4.650000000000000244e-01
-3.027950738326160831e+02 2.859765105398149210e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -2.733800647335979761e+02 -2.794127790202892925e+02 4.400000000000000022e-01
-2.794127790202192614e+02 6.450685723932929605e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -2.644554434749036886e+02 -2.704906577615950027e+02 1.814999999999999947e+00
-2.704905243655346112e+02 4.019525246894358084e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -2.636744203316294488e+02 -2.697121346183207606e+02 1.395000000000000018e+00
-2.693342841381533503e+02 3.729708366997693147e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -2.612132540083256913e+02 -2.672534682950170009e+02 1.110000000000000098e+00
-2.671358378662862947e+02 3.923818310785306185e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -2.605531411362294989e+02 -2.665958554229208062e+02 1.479999999999999982e+00
-2.661366862224792271e+02 1.108355360625662644e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -2.597600161799971374e+02 -2.658052304666884424e+02 1.219999999999999973e+00
-2.652641407065041221e+02 1.258881245766467316e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -2.520350693015681429e+02 -2.580827835882594741e+02 9.350000000000000533e-01
-2.580820232425256791e+02 3.442629883125147838e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -2.467656311649747636e+02 -2.528158454516660640e+02 1.120000000000000107e+00
-2.528106954276858573e+02 4.251348203474504928e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -2.448074436899229909e+02 -2.508601579766142891e+02 8.449999999999999734e-01
-2.507272038271310919e+02 1.995158244502437395e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -2.387195475033076661e+02 -2.447747617899989905e+02 5.500000000000000444e-01
-2.447721656780928186e+02 4.155430801078743741e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -2.366306256579218541e+02 -2.426883399446131762e+02 1.870000000000000107e+00
-2.425710430932652741e+02 4.853770339686271029e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -2.300142597306090124e+02 -2.360744740173003322e+02 1.709999999999999964e+00
-2.360729665478660877e+02 5.197334629176375564e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -2.290157551464259882e+02 -2.350784694331173057e+02 1.209999999999999964e+00
-2.347637248124196390e+02 5.653813756538885293e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -2.253639693161311754e+02 -2.314291836028224907e+02 1.395000000000000018e+00
-2.313941727680247027e+02 3.812836104325985964e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -2.245762074459616429e+02 -2.306439217326529558e+02 8.649999999999999911e-01
-2.302571312571670319e+02 3.921134956325984966e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -2.217557922666514969e+02 -2.278260065533428076e+02 1.364999999999999991e+00
-2.277417225086711596e+02 1.649250661213674585e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -2.199144682381599978e+02 -2.259871825248513062e+02 1.780000000000000027e+00
-2.258276292078276697e+02 1.661431607129243426e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -2.198487037257276597e+02 -2.259239180124189659e+02 1.060000000000000053e+00
