weight logl pFat pLiver pSlow kMet fAbs
5.115290426481930009e-238 -5.665653467477054619e+02 6.444490682959818173e+01 8.346111413244101414e+02 6.492218296007192748e+02 7.981946729881125293e+02 1.210806211578274727e-02
4.450910991451241681e-217 -5.183476851795866196e+02 7.764085731076116872e+02 9.468252190168184370e+02 2.997762834248512220e+01 8.798088498191348208e+02 8.051567125808678504e-03
1.781335587573367742e-189 -4.547885479551153480e+02 1.058042031372206964e+02 1.418783048190916816e+02 6.791796506373940190e+01 2.880256180792919167e+02 1.152396995089333132e-02
5.806664924923214370e-176 -4.236707987764368681e+02 1.699826299163551937e+02 7.281537933132666467e+02 4.068233470742752189e+01 2.804290593990199643e+00 7.691372443996439268e-01
7.200071808069447683e-167 -4.027299483229755879e+02 2.205372936791346490e+02 5.704826627256944676e+02 1.834178762746970790e+02 7.165258570779346883e+02 2.071697932704441580e-02
5.998871907862030552e-163 -3.936996275141200385e+02 9.059440250422233021e+02 4.403687505353907454e+02 2.442681398996805342e+02 3.528635795289243902e+02 5.317217586664813034e-03
1.144427893081952530e-147 -3.585124326069706626e+02 9.306765385355311082e+01 2.287497575284331397e+00 1.902384339389456898e+02 8.235140337368816290e+02 2.339285547901500673e-01
5.155954130399787635e-139 -3.385840045297739493e+02 9.410503220390666002e+02 6.266938732303159441e+02 6.978923690615072246e+02 5.826319467391756461e+02 1.093590748647854660e-02
2.816577626111534184e-131 -3.207654534343352566e+02 7.740561641265012440e+02 9.184866746117758112e+02 7.757613355766806080e+02 7.040727804188323944e+02 1.536319040947597969e-02
5.684922372974373190e-131 -3.200606585021057526e+02 2.312604574818798824e+02 5.070356596700028149e+02 3.728033337049003535e+02 4.610025501280939579e+02 1.954648364741651267e-02
2.343940697099298708e-128 -3.140363871240006119e+02 5.231899314527927345e+02 3.999569148583631772e+02 7.725162510195958703e+02 5.109710770869060070e+02 1.540806404975580968e-02
1.180536656402824215e-127 -3.124171664738769323e+02 4.823512230835624450e+02 1.503149486837222071e+02 1.612842175109154255e+02 8.691854062927549194e+02 4.660419013629024665e-02
4.078152495206529212e-126 -3.088724064434750289e+02 4.383814156840981013e+02 1.287124226355293111e+01 1.322944425148654091e+02 2.781566924886994343e+02 2.936356586675670233e-02
6.868344034654083861e-124 -3.037434572893587870e+02 2.633513646090099769e+01 3.532550120116218295e+02 3.876021520603404724e+02 3.844998734372418880e+02 5.814609494951528124e-02
2.675859149583838390e-123 -3.023810247243567346e+02 1.130288045220956121e+02 8.133854249613419825e+02 2.489206602362781950e+02 6.353191483722015391e+02 4.564440618183707166e-02
7.302123728487186946e-121 -2.967694598170093059e+02 1.289195586074530127e+02 4.280181677980633026e+02 2.144412476169113120e+02 9.286731697294882224e+02 7.719232580509061137e-02
1.047728291064081365e-110 -2.733800647335979761e+02 7.985326828557298313e+02 8.369126619250554313e+02 1.063075592203685176e+02 9.141430865522498834e+02 4.094143121446669475e-02
7.853743269412694546e-107 -2.644554434749036886e+02 1.158030285561541461e+02 6.142953949703301078e+02 6.866595334075614687e+01 1.320017038021653599e+00 2.641050863704609286e-01
1.710743922013909679e-106 -2.636744203316294488e+02 4.940983250148929073e+01 1.579859020459101941e+02 8.770716676424814295e+02 6.332817083760130572e+02 9.992182697433715788e-02
1.999724754490462887e-105 -2.612132540083256913e+02 4.915393605212011039e+02 6.839167728684856229e+01 2.703165873046278875e+02 6.758015834583349033e+02 5.687722540837791829e-02
3.859827218508623301e-105 -2.605531411362294989e+02 3.591699515611401239e+02 7.220422975401125996e+02 2.175755117120979207e+02 6.663784595122607470e+02 4.000495661131042713e-02
8.510046244125785523e-105 -2.597600161799971374e+02 3.941173289189943318e+01 8.813202225632272757e+02 3.617038147008460101e+02 8.857409532119609139e+02 1.672042207993110763e-01
1.921976114623228559e-101 -2.520350693015681429e+02 1.998551879578678552e+02 9.470038505810721574e+01 7.911301218420284158e+02 6.563625420987209509e+02 6.617059592173835103e-02
3.725204813168606409e-99 -2.467656311649747636e+02 4.110054429589470146e+02 4.074852755226426666e+02 4.975860375097556698e+02 5.434422757211551698e+02 3.223347721872771299e-02
2.633264196005337515e-98 -2.448074436899229909e+02 2.057259218370181770e+02 7.997282709353403334e+02 9.573721200664606386e+02 1.488113195565869376e+02 1.495921402835453939e-02
1.157040119902338105e-95 -2.387195475033076661e+02 1.169354553555163179e+01 8.558541495295495452e+02 5.517659020580042579e+02 2.809334359410659658e+02 1.513480240195892446e-01
9.321158921782265881e-95 -2.366306256579218541e+02 1.743200969071687467e+01 9.176123185643458555e+02 7.292462655292920317e+02 2.465447909273263178e+02 1.065883848029219871e-01
6.947609316256035189e-92 -2.300142597306090124e+02 4.300519436775848447e+01 9.986491764983325083e+02 3.526187875147527961e+02 9.676685289212883845e+02 2.393975142647014609e-01
1.881025502767983844e-91 -2.290157551464259882e+02 2.541786588718524058e+02 3.909524946188778927e+02 5.942679576333481464e+02 7.971169907219555171e+02 7.088347192886856885e-02
7.232016073342136688e-90 -2.253639693161311754e+02 1.525113140050414415e+02 5.459918688713348729e+02 5.699931822626136864e+02 7.394222564572149849e+02 8.344842801508300933e-02
1.585967486668663183e-89 -2.245762074459616429e+02 1.344847962017571064e+01 5.916691673745384605e+02 7.736025810152505073e+02 4.997655192950549576e+02 2.650746430075650029e-01
2.655212552981767209e-88 -2.217557922666514969e+02 4.282744402786274236e+02 8.983891943134441362e+02 5.520746498431414011e+02 8.616453229422675122e+02 5.940950563572899856e-02
1.669899833362222166e-87 -2.199144682381599978e+02 4.900868848679041889e+02 1.946958251855827484e+02 2.273109754707688239e+02 1.032726165231797033e+01 7.703132863150007337e-01
1.778958635805882456e-87 -2.198487037257276597e+02 1.585364803822665536e+01 6.686561430379214244e+02 4.947370113100394065e+02 4.518588964653475841e+02 2.264906866223408421e-01
7.143334132755222297e-87 -2.184560522500381978e+02 7.392011544381764452e+02 1.921154962357803697e+02 9.272054191952433939e+02 4.235482843884309432e+02 2.874717396198234187e-02
6.026368559079998758e-85 -2.140184170964610075e+02 4.291370264247394744e+02 7.765874966295092463e+02 8.266700454529710669e+02 2.381891096964407240e+01 9.720493878907809915e-01
4.348646555565756298e-83 -2.097370268507550009e+02 1.480090019206151375e+01 3.128378159417644966e+01 6.643092246296932899e+02 9.469998143464845271e+02 6.933120944108407402e-01
3.605815146641358114e-82 -2.076192585570470897e+02 5.891018586488427218e+02 8.972737443952601097e+02 5.512397549292066969e+02 3.455471358180475505e+01 6.880798393010977287e-01
9.095231738432486033e-80 -2.020863859404016694e+02 1.604548921591245403e+01 8.968569174043080920e+02 5.155611729971782324e+02 3.620533211122993862e+02 2.506165702269835815e-01
6.157685574910740743e-78 -1.978687650572337873e+02 1.154714499877442968e+01 9.827210414698420209e+02 7.795454736563549432e+02 7.780776036466845653e+02 8.611544754039660576e-01
3.889019867672306283e-77 -1.960232237889820794e+02 7.017894661330510644e+02 3.630940830253423002e+01 1.596024557865974316e+02 8.897377345596466967e+02 1.586910159361297756e-01
5.717871851604197802e-77 -1.956352842705795751e+02 2.624809917472422285e+02 9.630799451090783805e+02 6.593410762492284221e+02 7.466743836252403526e+02 8.113326734470782675e-02
9.581976414536876083e-77 -1.951164970758030677e+02 3.865661791189943841e+01 6.524026095992378487e+02 6.589064578510077297e+01 7.678272458386134076e+02 4.100974841217753797e-01
6.970043478878337658e-76 -1.931296743970770535e+02 6.884634844950869592e+01 7.817004207659446138e+02 5.611475774824966720e+02 3.163647554368953934e+02 7.512070059863285021e-02
8.926953768867054202e-75 -1.905771355534531608e+02 1.192899002685600607e+01 5.434172645035654341e+02 3.503803193313336806e+02 9.470565258492713383e+02 9.941835944841672656e-01
5.549833418004704469e-74 -1.887473577613106102e+02 1.265128767987262393e+01 8.202729730692136627e+02 6.577337580529430170e+02 8.807504649258280551e+02 9.672880195490785038e-01
3.905739762733685678e-73 -1.867935933756197642e+02 9.651326293723421941e+02 8.277349333419906543e+02 2.387070677634883111e+02 6.319299194477737274e+02 4.644869043820309962e-02
1.586597477659925128e-72 -1.853893637157489138e+02 1.397932245383427414e+02 7.682630391344064265e+02 9.492929852205237751e+01 7.096837660713163132e+02 1.735808941430805330e-01
7.393092867597214578e-72 -1.838479093198025680e+02 8.465183609563433720e+01 3.067314601843373794e+02 1.779851845211922523e+02 7.714390768488677850e+02 2.323765337905590034e-01
