weight logl pFat pLiver pSlow kMet fAbs
5.115290426481930009e-238 -5.665653467477054619e+02 5.499485538343251712e-02 8.344455869113214241e-01 6.488707003010203422e-01 7.979926656537662533e-01 1.210806211578274727e-02
4.450910991451241681e-217 -5.183476851795866196e+02 7.741500738460723730e-01 9.467719910078262746e-01 2.900663497746258646e-02 8.796885383574922779e-01 8.051567125808678504e-03
1.781335587573367742e-189 -4.547885479551153480e+02 9.677192236082898802e-02 1.410193241432349254e-01 6.698495001375315283e-02 2.873129310103021972e-01 1.152396995089333132e-02
5.806664924923214370e-176 -4.236707987764368681e+02 1.615986160771264446e-01 7.278816749882548454e-01 3.972205676419171549e-02 1.806096690680880634e-03 7.691372443996439268e-01
7.200071808069447683e-167 -4.027299483229755879e+02 2.126639330092269242e-01 5.700527154411355601e-01 1.826004767514485261e-01 7.162420991771117906e-01 2.071697932704441580e-02
5.998871907862030552e-163 -3.936996275141200385e+02 9.049939646891144163e-01 4.398085590944852408e-01 2.435116515512317781e-01 3.522157953242486261e-01 5.317217586664813034e-03
1.144427893081952530e-147 -3.585124326069706626e+02 8.390672106419505560e-02 1.288786361645977152e-03 1.894278618007464443e-01 8.233373711079896573e-01 2.339285547901500673e-01
5.155954130399787635e-139 -3.385840045297739493e+02 9.404548707465318902e-01 6.263201934237396795e-01 6.975899590205277834e-01 5.822141609000757168e-01 1.093590748647854660e-02
2.816577626111534184e-131 -3.207654534343352566e+02 7.717739031580820308e-01 9.184050796914672299e-01 7.755368724491297217e-01 7.037765569758082096e-01 1.536319040947597969e-02
5.684922372974373190e-131 -3.200606585021057526e+02 2.234954115978584621e-01 5.065422018718747088e-01 3.721755092141144639e-01 4.604630131412351668e-01 1.954648364741651267e-02
2.343940697099298708e-128 -3.140363871240006119e+02 5.183736681341341024e-01 3.993562711294926793e-01 7.722885395591549962e-01 5.104815586455515586e-01 1.540806404975580968e-02
1.180536656402824215e-127 -3.124171664738769323e+02 4.771224475591540060e-01 1.494644130968190154e-01 1.604446621730885036e-01 8.690544607535084509e-01 4.660419013629024665e-02
4.078152495206529212e-126 -3.088724064434750289e+02 4.327085006910081910e-01 1.188312538894187309e-02 1.314258683832486563e-01 2.774341266153147467e-01 2.936356586675670233e-02
6.868344034654083861e-124 -3.037434572893587870e+02 1.650013783929393796e-02 3.526076196312530886e-01 3.869891412015420418e-01 3.838837571944363480e-01 5.814609494951528124e-02
2.675859149583838390e-123 -3.023810247243567346e+02 1.040694995172682935e-01 8.131986235849268940e-01 2.481688290653435436e-01 6.349541024746762075e-01 4.564440618183707166e-02
7.302123728487186946e-121 -2.967694598170093059e+02 1.201207662701545553e-01 4.274456134114748007e-01 2.136549025194307561e-01 9.286017715009892148e-01 7.719232580509061137e-02
1.047728291064081365e-110 -2.733800647335979761e+02 7.964976594502320983e-01 8.367494113363918018e-01 1.054129721925610719e-01 9.140571436959458174e-01 4.094143121446669475e-02
7.853743269412694546e-107 -2.644554434749036886e+02 1.068717460163173261e-01 6.139093042746046613e-01 6.773368702778392869e-02 3.203373753970506499e-04 2.641050863704609286e-01
1.710743922013909679e-106 -2.636744203316294488e+02 3.980791161766594755e-02 1.571430450910011878e-01 8.769486162587402100e-01 6.329146229990120220e-01 9.992182697433715788e-02
1.999724754490462887e-105 -2.612132540083256913e+02 4.864033944658596731e-01 6.745913642327183712e-02 2.695861734781059837e-01 6.754770605188538113e-01 5.687722540837791829e-02
3.859827218508623301e-105 -2.605531411362294989e+02 3.526969207688284147e-01 7.217640616017143573e-01 2.167923040161140458e-01 6.660445040162770169e-01 4.000495661131042713e-02
8.510046244125785523e-105 -2.597600161799971374e+02 2.970882110292871747e-02 8.812014239872144605e-01 3.610648795804264344e-01 8.856265797917526328e-01 1.672042207993110763e-01
1.921976114623228559e-101 -2.520350693015681429e+02 1.917729171291594481e-01 9.379417923734456597e-02 7.909210428849133834e-01 6.560185606593803564e-01 6.617059592173835103e-02
3.725204813168606409e-99 -2.467656311649747636e+02 4.050560029888353730e-01 4.068921676903329843e-01 4.970831206303860661e-01 5.429852609821372855e-01 3.223347721872771299e-02
2.633264196005337515e-98 -2.448074436899229909e+02 1.977029513505234037e-01 7.995277987340744241e-01 9.573294495159766493e-01 1.479592788354223698e-01 1.495921402835453939e-02
1.157040119902338105e-95 -2.387195475033076661e+02 1.710652056112760278e-03 8.557098593889385096e-01 5.513172192772815006e-01 2.802136495906566438e-01 1.513480240195892446e-01
9.321158921782265881e-95 -2.366306256579218541e+02 7.507080495673612575e-03 9.175298484127586418e-01 7.289752407700621495e-01 2.457905815088351487e-01 1.065883848029219871e-01
6.947609316256035189e-92 -2.300142597306090124e+02 3.333858016945301372e-02 9.986478243226551976e-01 3.519707582730258189e-01 9.676361650863747332e-01 2.393975142647014609e-01
1.881025502767983844e-91 -2.290157551464259882e+02 2.466451099715680773e-01 3.903428374563342462e-01 5.938618194528009209e-01 7.969139046265820703e-01 7.088347192886856885e-02
7.232016073342136688e-90 -2.253639693161311754e+02 1.439508222273145899e-01 5.455374062776124910e-01 5.695627450076212739e-01 7.391614178750900432e-01 8.344842801508300933e-02
1.585967486668663183e-89 -2.245762074459616429e+02 3.483312747652234087e-03 5.912604278023407822e-01 7.733759569722227223e-01 4.992647840791341052e-01 2.650746430075650029e-01
2.655212552981767209e-88 -2.217557922666514969e+02 4.224994346248761579e-01 8.982874817952394286e-01 5.516262761192606279e-01 8.615068297720395174e-01 5.940950563572899856e-02
1.669899833362222166e-87 -2.199144682381599978e+02 4.849362473413173502e-01 1.938897149004832343e-01 2.265375129837525758e-01 9.336598250568539648e-03 7.703132863150007337e-01
1.778958635805882456e-87 -2.198487037257276597e+02 5.912775796188540767e-03 6.683244675054268447e-01 4.942312425525919872e-01 4.513102066720195982e-01 2.264906866223408421e-01
7.143334132755222297e-87 -2.184560522500381978e+02 7.365668226648246497e-01 1.913068030388191954e-01 9.271325517469903854e-01 4.229712556440750060e-01 2.874717396198234187e-02
6.026368559079998758e-85 -2.140184170964610075e+02 4.233707337623631162e-01 7.763638604899992801e-01 8.264965419949660275e-01 2.284175272236643739e-02 9.720493878907809915e-01
4.348646555565756298e-83 -2.097370268507550009e+02 4.849394133395468209e-03 3.031409568986631609e-02 6.639731978275208446e-01 9.469467611075921276e-01 6.933120944108407402e-01
3.605815146641358114e-82 -2.076192585570470897e+02 5.849513723725684455e-01 8.971709153105706935e-01 5.507905454746814256e-01 3.358830188368844283e-02 6.880798393010977287e-01
9.095231738432486033e-80 -2.020863859404016694e+02 6.106554763547933362e-03 8.967536710753835072e-01 5.150762492464247000e-01 3.614147358481475392e-01 2.506165702269835815e-01
6.157685574910740743e-78 -1.978687650572337873e+02 1.562772726034777904e-03 9.827037452150571006e-01 7.793247984548097307e-01 7.778554591057903478e-01 8.611544754039660576e-01
3.889019867672306283e-77 -1.960232237889820794e+02 6.987772385182333679e-01 3.534475305558981706e-02 1.587612170036010184e-01 8.896273619215682160e-01 1.586910159361297756e-01
5.717871851604197802e-77 -1.956352842705795751e+02 2.550313047951942025e-01 9.630429880971755896e-01 6.590000763255540184e-01 7.464208044296700706e-01 8.113326734470782675e-02
