pFat pLiver pSlow kMet fAbs
2.631996130943274466e+02 7.627711124073297810e+01 9.606360653604594972e+02 8.493953525713282033e+02 1.571685540413413906e-01
5.438780621638129560e+02 5.987672785584575763e+01 8.542284679108746559e+02 9.269491151992218647e+02 2.104613484596593587e-01
3.137401948173921369e+02 4.937866164458431939e+01 8.781818492705466497e+02 4.886272236500073518e+02 7.307557203020791092e-02
1.826056413360846307e+02 5.164489018296003309e+01 9.551651078879475563e+02 9.657948546069335407e+02 2.724053025807871564e-01
3.031793604525088881e+02 6.996113090463728668e+01 8.304401403629175320e+02 8.754858554472710921e+02 1.775368192742166618e-01
4.508403911296245496e+02 8.934311710100962500e+01 9.876181652662829720e+02 8.212699640226603606e+02 1.122860069568664826e-01
2.530567343408826275e+02 4.362815528338803261e+01 7.865984891741311458e+02 5.129545127664891879e+02 1.081984884790370971e-01
3.707513880234681665e+02 5.400165569845280089e+01 9.793448581902392789e+02 9.754931892844520007e+02 2.428127290237760416e-01
4.238944643540215225e+02 4.052590664802291087e+01 8.310626173825761498e+02 7.300776910209204971e+02 1.527593397724736901e-01
6.880181569098997443e+02 5.462183148063852656e+01 3.579170183000912857e+02 4.533617546385911510e+02 6.863418140901478282e-02
4.857016026919475280e+02 4.207023378444979755e+01 9.256664512397909448e+02 7.422633666597860156e+02 1.400284869289517009e-01
4.853519058612060348e+02 8.185520742422338003e+01 5.387987915475285945e+02 3.191305976473105943e+02 4.664461683586959562e-02
4.940794469582622810e+02 7.312079259369390627e+01 8.316468316391553799e+02 5.853685466914071185e+02 1.241276944543427824e-01
2.465253876501865307e+02 2.971618840311703025e+01 9.669900133194072396e+02 6.503957724624801813e+02 1.881386294108683965e-01
4.423235731845905434e+02 5.240548141565295026e+01 8.470154075992367098e+02 6.433964659143465497e+02 8.893649365174267907e-02
3.310028835812129273e+02 4.351816112479310306e+01 7.511631679173930252e+02 9.943914592688282710e+02 2.577067822261308594e-01
2.894057205116084788e+02 5.545426933767338795e+01 9.492883216600534979e+02 4.862103689890399210e+02 8.051185102236113611e-02
3.377253127764881242e+02 5.521617052651797053e+01 6.071075548855208126e+02 7.490502696908459939e+02 1.896273612413252319e-01
3.485712382384259627e+02 4.695587402411335631e+01 8.936809226770731129e+02 8.646077673617173787e+02 1.468594940200719512e-01
5.114951765595624238e+02 7.476664520333824271e+01 9.472874318133177667e+02 6.202952202898280802e+02 8.833986142907084005e-02
5.143580327113194244e+02 6.117910702041819349e+01 9.528660847956940643e+02 5.205387496305625064e+02 6.199522013844081109e-02
3.143265370425936567e+02 5.308422698193127331e+01 9.025228174208642713e+02 5.520611158694393907e+02 8.839471431362283527e-02
4.191285804139531592e+02 3.255637030962478207e+01 8.531404562052844085e+02 5.034752411336686464e+02 1.208822925636196255e-01
3.351851503064627877e+02 7.455761967899015019e+01 8.927099852441970143e+02 7.762259462407386081e+02 1.815376025240552638e-01
3.581527353679081216e+02 5.360288230551028477e+01 9.010875606873356674e+02 4.346522009489220864e+02 6.246284142652069188e-02
5.563917014969298407e+02 6.517817427841407607e+01 9.413409336983556841e+02 4.487444288636226588e+02 6.483060104748056274e-02
5.599064387427098382e+02 8.543593057993138018e+01 9.209119193306269153e+02 6.405270847065633006e+02 8.199433396159805376e-02
4.489947665110012736e+02 1.274600808750858505e+02 9.409463760774890488e+02 3.857187356293342191e+02 4.034165346908757943e-02
4.011090995357344582e+02 6.338476802666475862e+01 9.151587794942814753e+02 7.315420022390068198e+02 1.427019293163458991e-01
4.582701536042335988e+02 6.434577881588828063e+01 6.930391046813044795e+02 3.687744413492307558e+02 7.223087436442621190e-02
8.215028220726514974e+02 5.612819398927447168e+01 8.793234932001993229e+02 6.936459300431049542e+02 1.039389168793753426e-01
9.638801591701814004e+02 1.841379533918795914e+02 8.368656844714996623e+02 4.653485281256560597e+02 5.508742910017161432e-02
4.620194148586377310e+02 7.294032058670102003e+01 7.444099213908624506e+02 8.600525537089368981e+02 1.651624801160916645e-01
6.537448797769687872e+02 6.517718259135318704e+01 7.407062003262246890e+02 5.441660494217971973e+02 8.024594298214071664e-02
5.211501590198745362e+02 4.642605491233133108e+01 5.644479681598257912e+02 9.125147888843574719e+02 1.970648867531553661e-01
5.357781302846930203e+02 6.328634363911184124e+01 6.034033790008871847e+02 2.928060363872615994e+02 3.984671614491633318e-02
5.765362345590292534e+02 4.187016846243901824e+01 4.759570949323399986e+02 3.043142177044181835e+02 4.806827259375994615e-02
3.265721724935688144e+02 5.177047778438763714e+01 7.919240555580288401e+02 3.656737812781450430e+02 7.329660331778198312e-02
6.019350875356768711e+02 2.750561865432956310e+01 7.487525247020546431e+02 4.077152606238664134e+02 7.475388050392733907e-02
3.716896938343408010e+02 3.050029358730510864e+01 5.112732070679057870e+02 3.132975768372656944e+02 6.925125870531631533e-02
3.054953491379885691e+02 3.231088695480734430e+01 7.958922632015643330e+02 5.495024308711324466e+02 1.024508541820544766e-01
2.084933855441226171e+02 7.250410096498677603e+01 9.194990521591838615e+02 5.127285629197293702e+02 1.073483682044257259e-01
6.953986548427852767e+02 9.215251825408473962e+01 5.561462887776746129e+02 3.869034875689890782e+02 4.573226007932560538e-02
3.927954225262625414e+02 4.373603059544278437e+01 8.113481705088427134e+02 7.281614785902171434e+02 1.105856373179972679e-01
5.358443368638513675e+02 3.146680900986915574e+01 6.477011344323975663e+02 4.055420370008426971e+02 6.599452844587393174e-02
4.474460816467895938e+02 6.225131405029412690e+01 5.300264601558653794e+02 5.432678285788906578e+02 8.309195050202611288e-02
3.194735481537487658e+02 3.586553241217985999e+01 9.312638656841413649e+02 7.139336522379692269e+02 1.687244595377979106e-01
4.928897988245657871e+02 3.805729619960500543e+01 6.528253019588147481e+02 4.622919541463847963e+02 8.696761925455999409e-02
5.805274845701544564e+02 7.246413864935125559e+01 9.756986697353806903e+02 6.792182504064761588e+02 8.616579176864867795e-02
5.945216241258698346e+02 7.655318664654132021e+01 7.566003801652823313e+02 4.745345059797511453e+02 4.827271971535562756e-02
1.976800139725604595e+02 4.729039317208385285e+01 9.353382809376425939e+02 7.281198230813033661e+02 1.689195257884359702e-01
2.184432033094855115e+02 3.665760869339980843e+01 9.755259624290969214e+02 7.919832081047366046e+02 2.014092808126164424e-01
