16:01:23 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=True, log_dir=scripts/calibration/fit_updated_intake/2,3,7,8-TCDF/run1, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:01:32 [ultranest] [DEBUG] Testing resume consistency: [-1.47973452e+01 -1.45441840e+01  0.00000000e+00  3.90317965e-01
  3.30707620e-02  8.72755209e-01  5.80556524e-01  1.22899559e-01
  3.96414785e+02  3.40376912e+01  8.72882454e+02  5.80975968e+02
  1.22899559e-01]: u=[0.39031796 0.03307076 0.87275521 0.58055652 0.12289956] -> p=[3.96414785e+02 3.40376912e+01 8.72882454e+02 5.80975968e+02
 1.22899559e-01] -> L=-14.5441839516402 
16:01:38 [ultranest] [INFO] Resuming from 4540 stored points
16:01:38 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
16:01:38 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:01:38 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:01:38 [ultranest] [DEBUG] iteration=0, ncalls=29226, regioncalls=0, ndraw=40, logz=-inf, remainder_fraction=100.0000%, Lmin=-607.42, Lmax=-19.55
16:01:38 [ultranest] [DEBUG] iteration=40, ncalls=29226, regioncalls=0, ndraw=40, logz=-333.94, remainder_fraction=100.0000%, Lmin=-327.18, Lmax=-19.55
16:01:38 [ultranest] [DEBUG] iteration=80, ncalls=29226, regioncalls=0, ndraw=40, logz=-256.46, remainder_fraction=100.0000%, Lmin=-250.26, Lmax=-19.55
16:01:38 [ultranest] [DEBUG] iteration=120, ncalls=29226, regioncalls=0, ndraw=40, logz=-224.00, remainder_fraction=100.0000%, Lmin=-218.49, Lmax=-18.14
16:01:38 [ultranest] [DEBUG] iteration=160, ncalls=29226, regioncalls=0, ndraw=40, logz=-201.32, remainder_fraction=100.0000%, Lmin=-194.97, Lmax=-18.14
16:01:38 [ultranest] [DEBUG] iteration=180, ncalls=29226, regioncalls=0, ndraw=40, logz=-186.35, remainder_fraction=100.0000%, Lmin=-180.38, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=200, ncalls=29226, regioncalls=0, ndraw=40, logz=-177.10, remainder_fraction=100.0000%, Lmin=-170.83, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=240, ncalls=29226, regioncalls=0, ndraw=40, logz=-153.92, remainder_fraction=100.0000%, Lmin=-148.14, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=280, ncalls=29226, regioncalls=0, ndraw=40, logz=-138.22, remainder_fraction=100.0000%, Lmin=-133.22, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=320, ncalls=29226, regioncalls=0, ndraw=40, logz=-127.90, remainder_fraction=100.0000%, Lmin=-122.85, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=360, ncalls=29226, regioncalls=0, ndraw=40, logz=-117.79, remainder_fraction=100.0000%, Lmin=-111.98, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=400, ncalls=29226, regioncalls=0, ndraw=40, logz=-109.14, remainder_fraction=100.0000%, Lmin=-104.07, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=440, ncalls=29226, regioncalls=0, ndraw=40, logz=-102.12, remainder_fraction=100.0000%, Lmin=-96.52, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=480, ncalls=29226, regioncalls=0, ndraw=40, logz=-95.63, remainder_fraction=100.0000%, Lmin=-90.44, Lmax=-17.48
16:01:38 [ultranest] [DEBUG] iteration=520, ncalls=29226, regioncalls=0, ndraw=40, logz=-89.28, remainder_fraction=100.0000%, Lmin=-83.99, Lmax=-17.48
16:01:39 [ultranest] [DEBUG] iteration=540, ncalls=29226, regioncalls=0, ndraw=40, logz=-86.04, remainder_fraction=100.0000%, Lmin=-80.82, Lmax=-17.48
16:01:39 [ultranest] [DEBUG] iteration=560, ncalls=29226, regioncalls=0, ndraw=40, logz=-83.37, remainder_fraction=100.0000%, Lmin=-78.01, Lmax=-17.48
16:01:39 [ultranest] [DEBUG] iteration=600, ncalls=29226, regioncalls=0, ndraw=40, logz=-79.44, remainder_fraction=100.0000%, Lmin=-74.08, Lmax=-17.48
16:01:39 [ultranest] [DEBUG] iteration=640, ncalls=29226, regioncalls=0, ndraw=40, logz=-75.22, remainder_fraction=100.0000%, Lmin=-69.63, Lmax=-17.48
16:01:39 [ultranest] [DEBUG] iteration=680, ncalls=29226, regioncalls=0, ndraw=40, logz=-70.74, remainder_fraction=100.0000%, Lmin=-65.45, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=720, ncalls=29226, regioncalls=0, ndraw=40, logz=-67.10, remainder_fraction=100.0000%, Lmin=-61.44, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=760, ncalls=29226, regioncalls=0, ndraw=40, logz=-64.00, remainder_fraction=100.0000%, Lmin=-58.75, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=800, ncalls=29226, regioncalls=0, ndraw=40, logz=-61.01, remainder_fraction=100.0000%, Lmin=-55.22, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=840, ncalls=29226, regioncalls=0, ndraw=40, logz=-58.09, remainder_fraction=100.0000%, Lmin=-52.82, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=880, ncalls=29226, regioncalls=0, ndraw=40, logz=-55.87, remainder_fraction=100.0000%, Lmin=-50.55, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=920, ncalls=29226, regioncalls=0, ndraw=40, logz=-53.80, remainder_fraction=100.0000%, Lmin=-48.64, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=960, ncalls=29226, regioncalls=0, ndraw=40, logz=-52.23, remainder_fraction=100.0000%, Lmin=-47.07, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=1000, ncalls=29226, regioncalls=0, ndraw=40, logz=-50.24, remainder_fraction=100.0000%, Lmin=-44.80, Lmax=-15.67
16:01:39 [ultranest] [DEBUG] iteration=1040, ncalls=29226, regioncalls=0, ndraw=40, logz=-48.50, remainder_fraction=100.0000%, Lmin=-43.16, Lmax=-15.43
16:01:39 [ultranest] [DEBUG] iteration=1080, ncalls=29226, regioncalls=0, ndraw=40, logz=-46.90, remainder_fraction=100.0000%, Lmin=-41.29, Lmax=-15.43
16:01:39 [ultranest] [DEBUG] iteration=1120, ncalls=29226, regioncalls=0, ndraw=40, logz=-45.15, remainder_fraction=100.0000%, Lmin=-39.57, Lmax=-15.43
