logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -9.284040070244834624e+02 -9.343967213111748151e+02 1.360000000000000098e+00
-9.343967213111748151e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.906060782565510863e+02 -7.966012925432423799e+02 1.465000000000000080e+00
-7.966012925432423799e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.674113761272077454e+02 -6.734090904138990936e+02 1.155000000000000027e+00
-6.734090904138990936e+02 8.151221274389364169e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -5.371279093083805947e+02 -5.431281235950718838e+02 8.800000000000000044e-01
-5.431281235950718838e+02 4.913253123721558069e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -4.836560575231520716e+02 -4.896587718098433584e+02 1.804999999999999938e+00
-4.896587718098433584e+02 2.347462218394307953e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -4.737041766443596202e+02 -4.797093909310509616e+02 3.049999999999999933e-01
-4.797093431749990486e+02 4.538698411103566421e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -4.730186950059325000e+02 -4.790264092926238391e+02 6.250000000000000000e-01
-4.786175281485062669e+02 4.852579255380438106e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -4.711385734013257434e+02 -4.771487876880170802e+02 3.599999999999999867e-01
-4.769415985194111158e+02 4.662328644722344428e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -4.683101062874665104e+02 -4.743228205741578449e+02 9.599999999999999645e-01
-4.742524628739303694e+02 2.160755805012951836e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -4.617916885600673140e+02 -4.678069028467586463e+02 1.264999999999999902e+00
-4.678053165503463333e+02 4.009210215731306981e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -4.591260266175817719e+02 -4.651437409042731019e+02 1.274999999999999911e+00
-4.650762335804379859e+02 4.383123962580327770e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -4.560279034034961683e+02 -4.620481176901874960e+02 5.400000000000000355e-01
-4.620008460537293900e+02 3.912929474347099923e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -4.443765963735051514e+02 -4.503993106601964769e+02 1.300000000000000044e-01
