pFat pLiver pSlow kMet fAbs
1.624258540715702281e+02 8.551682723323212940e+02 7.790329896800684537e+02 8.810218541934719951e+02 2.486776425406592855e-02
1.281310232388054828e+02 8.299899622585444376e+02 4.544878573692315626e+02 4.708141778856016799e+02 1.919478421670064647e-02
2.262966260741934832e+02 9.657663756669073791e+02 6.550026138399869069e+02 8.896228050460223358e+02 2.286218321205838941e-02
1.229646578009305955e+02 6.660355443437929353e+02 5.463781848800383614e+02 7.849186574042673783e+02 3.307288405274077386e-02
1.595827152022582993e+02 7.431203790573132437e+02 6.006614537421734212e+02 9.026596267916729630e+02 3.560286298622404588e-02
8.428347790909823800e+01 6.301375594239927977e+02 5.981515216130931094e+02 8.822628123029279550e+02 4.975976473444000681e-02
1.183631149796427025e+02 8.294827083656418836e+02 6.266028428120131366e+02 9.381720626077255929e+02 5.045308149972253797e-02
1.115076884055721820e+02 5.551007443337433642e+02 6.425584189024184525e+02 9.214481490322892796e+02 3.897386249065738079e-02
1.174488720335266834e+02 9.303942145040383593e+02 6.672501325577707121e+02 9.536939156685821217e+02 5.166139971809864673e-02
7.620145821032751599e+01 8.778823141267565688e+02 5.397656184527327241e+02 8.257120989592950764e+02 4.739901365861586002e-02
1.459056638431806334e+02 8.808187054765709263e+02 4.950990677741590957e+02 6.678264994223447957e+02 2.584584816903979371e-02
1.930963697642282000e+02 9.010683336332874660e+02 6.130004675639167999e+02 8.745532207714207971e+02 3.399848970840440437e-02
1.022446082699854486e+02 9.199241657798170309e+02 5.835582715734874455e+02 9.198458325576185644e+02 4.884526974258005666e-02
1.503112595371449345e+02 6.714406216610245792e+02 6.877639305489944945e+02 8.448497524176866591e+02 2.591477361262734674e-02
1.193383642693750630e+02 7.539507233569953542e+02 5.866764382980144319e+02 7.867358773880155240e+02 3.385521568248996832e-02
1.386468680855536775e+02 9.345607007639243875e+02 2.620012909363060771e+02 2.790253668978149335e+02 9.248878744436184879e-03
1.369044025748850117e+02 6.886495586185155844e+02 4.742183507738793651e+02 5.576444589718911402e+02 3.153001594494077992e-02
1.425674334190561865e+02 9.539644456130713479e+02 5.893057050946862319e+02 7.875184073192416463e+02 3.746948203648111514e-02
1.792602212659005545e+02 9.703316121101329372e+02 3.182694135052461775e+02 3.866314718758671916e+02 1.249635725224718108e-02
1.226203908971333476e+02 3.807638112065894802e+02 5.711222910920297409e+02 9.383107650161688298e+02 6.683610221233404758e-02
2.319763579910935505e+02 9.388621989446945690e+02 5.508046859601473670e+02 8.191327693630020121e+02 2.824335528019279729e-02
2.165933060411911981e+02 8.800483056104785646e+02 9.000763173923833165e+02 9.479933580853672765e+02 2.761667011381453360e-02
1.521344866026510374e+02 6.882864761603459556e+02 3.474360616949095402e+02 4.487284860013895127e+02 2.075143006662045347e-02
2.183511821879524746e+02 9.944217477055492509e+02 5.491805498731001762e+02 5.239461103247504070e+02 1.496431535071515717e-02
9.376156448549511424e+01 6.551451605136766148e+02 5.807489571800874728e+02 6.381740881224393434e+02 2.079008759018545135e-02
6.803161215103583004e+01 4.188455362892441372e+02 6.384316363902933062e+02 9.524727651995060569e+02 7.345832436437588209e-02
1.553830548610319511e+02 8.597028794792081499e+02 7.126571812774971022e+02 8.910124018995434199e+02 3.718282514641256531e-02
7.898668036364560407e+01 6.553850399348094697e+02 6.967619726249583891e+02 9.409423928576584331e+02 4.081556760496469344e-02
9.992235926205435703e+01 9.924136064548457625e+02 6.597527502089720883e+02 9.770836986424526458e+02 3.082784856460255019e-02
1.048381061987262939e+02 7.967576451475908925e+02 6.376482774027763298e+02 8.704293970786752652e+02 4.003073706639050794e-02
7.620145821032751599e+01 8.778823141267565688e+02 5.397656184527327241e+02 8.257120989592950764e+02 4.739901365861586002e-02
8.946117680943207517e+01 8.723831594679745649e+02 4.945618806655906496e+02 6.150169599623278600e+02 3.657562161529752387e-02
1.469024455619633613e+02 7.554025102134808094e+02 7.581305239031737528e+02 8.648513842044692410e+02 3.053620492604902301e-02
