weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.726877079213934394e+02 6.451848668255211123e+02 8.936908493562281137e+02 2.458938786332969642e+02 1.504772038520593114e+01 4.954037451275893345e-01
0.000000000000000000e+00 -9.638093402043014066e+02 5.409698631180785924e+02 8.046928005157998314e+02 6.526014506896345893e+02 1.270540280818086742e+01 9.285907960392864036e-01
0.000000000000000000e+00 -9.625618654985481726e+02 6.585684066270381436e+02 4.205168454964827447e+02 7.112152092708429052e+01 1.857225968850505637e+01 4.250036540165480492e-01
0.000000000000000000e+00 -8.936146444402216957e+02 7.543076566798470139e+02 2.741073737050323302e+02 2.841272319331202425e+02 2.817567416664826041e+01 6.394980879780882699e-01
0.000000000000000000e+00 -8.856628377578314257e+02 3.651650733944939020e+02 9.923794246742498899e+02 5.154767617130033841e+02 4.850238939847068309e+01 9.084091326720163950e-01
0.000000000000000000e+00 -8.831913646260750284e+02 7.574808175137100079e+02 6.711932244921202937e+02 9.651923756823106260e+02 3.101539186416422922e+01 9.849044684418268858e-01
0.000000000000000000e+00 -8.814637032958511327e+02 5.639704168502889843e+02 3.972387822728788365e+02 2.787646051638436688e+02 3.537508342249088855e+01 6.682817016256505926e-01
0.000000000000000000e+00 -8.576444976358699250e+02 7.983669536681692307e+02 2.170035806732078072e+02 4.825472455580965061e+02 3.818272257759550570e+01 8.333847609840168147e-01
0.000000000000000000e+00 -8.438700588703931089e+02 9.316833584690231191e+02 5.288757544826304411e+02 5.194402785139005800e+02 5.297403741759234208e+01 7.034500431158516864e-01
0.000000000000000000e+00 -8.147233393633251808e+02 2.627015836092336940e+02 2.583332996859221566e+02 3.626251331411715455e+02 2.516775963339424038e+01 7.017451628878003111e-01
0.000000000000000000e+00 -8.086650163837863374e+02 9.490580441899210200e+02 6.956812913214025684e+02 7.046236273669250068e+02 6.214644864670882640e+01 6.865225051219395747e-01
0.000000000000000000e+00 -7.979067038839542647e+02 6.611090125459411411e+02 5.630814047521631664e+02 8.049713773229929075e+02 5.792056972649558588e+01 8.187996684151674920e-01
0.000000000000000000e+00 -7.799887560687108135e+02 1.927456797282907530e+02 2.494965091755149444e+02 5.131404663971684244e+01 1.327042763284531901e+01 2.407138765480907328e-01
0.000000000000000000e+00 -7.795493120915008376e+02 1.946399000832265926e+02 8.303747626580980068e+02 4.940405015572990806e+02 3.508729091718431192e+01 6.360599304993106440e-01
3.124965209945884392e-320 -7.542841325952217630e+02 7.143781607852923798e+02 8.906525488824030390e+02 5.949201648673843010e+02 8.262677663577800047e+01 6.037699810515687604e-01
1.110140802922988922e-318 -7.507113527668483357e+02 9.186783752072426523e+02 7.677448887703915261e+02 3.226855433931325479e+02 1.287679700562430298e+02 7.843854169149468980e-01
2.941172937912634430e-316 -7.451293628498567614e+02 5.222144073352870919e+02 4.859713979733236897e+02 4.354082598812125298e+02 1.060011549802729434e+02 8.857659314715984333e-01
5.569842155161822053e-311 -7.329753791222160544e+02 8.194725606720274982e+02 5.974197612686664343e+02 8.776531984627752081e+02 8.619170104360175344e+01 6.992612492958599768e-01
9.176800770129935662e-308 -7.255658119144741249e+02 7.360731645986973035e+02 6.445225189648018613e+02 8.907569013135050682e+02 1.424919289882352871e+02 9.480821259759887321e-01
1.434011241001756432e-307 -7.251169298843262823e+02 4.293894858357940052e+02 7.618069888896710609e+02 2.774535278144088011e+02 1.293534287375196641e+02 9.992321534902630642e-01
1.703668090449197053e-307 -7.249421218385521115e+02 4.406720375073850846e+02 8.321259289839726989e+02 5.962188646204795077e+02 7.115531931226040285e+01 5.828231494851053851e-01
1.811172792681444989e-306 -7.225758457851869707e+02 8.229270442860211006e+02 3.442677207916939892e+02 3.472183720857858589e+02 1.196595930583832512e+02 8.330607242832317461e-01
2.778775434646742465e-305 -7.198427249398747563e+02 6.528649771293665935e+02 1.341925020221045486e+02 5.771724264922847851e+02 1.791548984348511908e+01 4.817908235096630687e-01
2.208236317794484842e-298 -7.039519454777655483e+02 9.385848485318779240e+02 2.366496856549460972e+02 9.195247145883048461e+02 1.323462452037111063e+02 9.836536026071597272e-01
4.053269334081876049e-298 -7.033421158299837543e+02 7.223164018809392246e+02 3.417643845928990913e+02 4.524483380177880463e+02 2.389281595854762230e+01 3.117956218858882744e-01
7.405855866068980880e-298 -7.027368686079163353e+02 6.217933619340344649e+02 4.569222794815877364e+02 9.452248954797807983e+02 1.276578283369897662e+02 9.463351602808069973e-01
9.252022093406634953e-283 -6.679730211012029031e+02 7.658454095070101175e+02 9.795744543348687330e+02 6.233524546942163624e+02 1.731123818214792891e+02 7.044151510751002210e-01
2.554846046741770262e-279 -6.600470308953912308e+02 1.220962766351893407e+02 8.453252008898448366e+01 2.999551718656636012e+02 1.750622861779775619e+01 4.739665724232080546e-01
3.265668729412050190e-274 -6.482861328372426897e+02 2.624330556545944546e+02 9.857483611194651303e+02 9.218363542898418928e+02 7.461524658406941057e+01 5.744928573004864925e-01
1.971097560261869205e-273 -6.464859217787934540e+02 7.185912292893674476e+02 2.029690699067037087e+02 3.548812949204929623e+02 1.189384459385414488e+02 6.983330372608325121e-01
8.843905142684076605e-270 -6.380745284872814409e+02 4.797128380726057912e+02 5.392344673936521531e+02 8.056407771951649011e+02 1.767816775410705077e+02 9.069496704251341912e-01
2.968102631232753430e-268 -6.345586639346549873e+02 6.902176171309226902e+02 5.392545239493028930e+02 8.871067610760460411e+02 1.304895535623808911e+01 2.826572833197444901e-01
3.638838164423831418e-266 -6.297472522075303232e+02 6.779901446259866589e+02 9.632158075717750307e+02 7.267258212875826757e+02 2.427900951464793593e+02 8.792531228600040105e-01
8.431464342011656830e-266 -6.289044461896506846e+02 8.574027524277438488e+02 8.712679763922620850e+02 6.430673953836534338e+02 2.459408656428672089e+02 8.466931565070132670e-01
2.524651742885567018e-265 -6.278052284300312067e+02 7.530280298577054054e+02 5.427515860719595366e+02 9.522876894542702075e+02 2.342619596623003417e+02 9.522643589371723172e-01
5.859564984409082341e-263 -6.223555860075574628e+02 5.621760195078957167e+02 9.788341834102975554e+02 9.947567254887349009e+02 2.409122154136595668e+02 8.970130049252492688e-01
9.008023685970307374e-263 -6.219230456728173522e+02 8.488311586045980448e+02 9.316121784350817734e+02 5.877175282407848727e+02 2.844184689373705623e+02 9.865331220055598704e-01
1.077276311737558736e-257 -6.102287148935555479e+02 7.880567235735429676e+01 3.161507110132409366e+02 7.574983742840286141e+02 6.704618023874719768e+01 8.789820596050104129e-01
1.339238695251392624e-251 -5.961930389430806372e+02 8.937043248942659375e+02 2.422015053519495780e+02 4.590062879833533316e+02 2.228697582643855526e+02 9.623523166602230283e-01
9.056169178120117578e-250 -5.919766089621099354e+02 2.691178219081859311e+02 7.421531856498089610e+02 2.751551321174002283e+02 8.475638664613406092e+01 3.823368035355160233e-01
1.202500410603543605e-249 -5.916905670072758312e+02 6.115855688768699565e+02 7.839763984592489123e+02 7.320167030815624685e+02 1.435853226128060385e+02 4.805757370839106590e-01
2.222385674655934839e-249 -5.910738888246237366e+02 6.090262430151768740e+02 9.209125577436871026e+02 8.962169408136857101e+02 2.979382120709119022e+02 9.458842444299558894e-01
3.381924363198571189e-247 -5.860463550000358737e+02 9.391156945392452826e+02 1.006434161897187920e+02 7.936276462877262929e+02 2.015593847220010275e+02 9.085114135247422951e-01
1.203927825089609635e-242 -5.755637850216224933e+02 5.486490603547218825e+02 3.435745680755899230e+02 6.531610616209903810e+02 1.145132157357729596e+02 4.750965262556577917e-01
4.060621625614648818e-242 -5.743455383491225348e+02 5.798669489528678014e+02 8.234527878913921768e+02 1.329352081719337946e+02 1.063241776655274577e+02 3.980636660712894015e-01
1.367847011396614507e-240 -5.708259662556132525e+02 9.387862470196903359e+02 6.408475934952200532e+02 6.311784949647362737e+02 3.291836012566380418e+02 9.701020378378477638e-01
5.414173358342057312e-240 -5.694476840237249462e+02 4.737535855929817785e+02 3.479791035058530042e+02 5.246044544296648837e+02 2.142906650071909098e+02 9.266348756188452773e-01
5.991920313792583396e-240 -5.693437922874251171e+02 2.063214230399584324e+02 6.043188399792493328e+02 6.988238442900532164e+02 8.751574568840851498e+01 4.721248640218468351e-01
8.983994198213385850e-240 -5.689362596631403903e+02 9.356793132270450997e+01 8.206056551486947228e+02 1.391858646442001657e+02 9.991703673084062132e+01 7.750768358979540640e-01
2.226605737849375441e-239 -5.680261408065265414e+02 8.658933409035843169e+02 2.552879422982459516e+02 6.201704047503876609e+02 2.125575351528573549e+02 7.367598937445500873e-01
8.605692337980067314e-236 -5.597639399787435650e+02 7.268941187080666850e+02 8.625363647472836419e+02 6.688912050310213999e+02 2.192799058155676164e+02 5.563195553851070230e-01
9.336369103862646608e-234 -5.550747762470717817e+02 9.023491260722393008e+02 8.932475290029301505e+02 4.351239760560503100e+02 2.118488567080233054e+02 5.092688100623402603e-01
8.472324204889715505e-231 -5.482616335224615796e+02 1.803407142078305583e+02 1.705533173578571038e+01 2.587552746841497537e+02 8.098230347161440079e+01 8.562746039912162432e-01
1.114246117551982217e-230 -5.479851752563663467e+02 2.421144799476424936e+01 4.971981461809546090e+02 8.570160330799074018e+02 3.968264492519643483e+01 6.827097841220838292e-01
1.028972401194307414e-229 -5.457597075763553676e+02 3.572079517049552351e+02 9.234805319805772683e+01 4.686871895877415000e+02 1.248593921900633603e+02 6.963260741725594283e-01
1.132005341528739898e-229 -5.456617775134160411e+02 6.199270090739050829e+02 1.025551812635068103e+02 6.096561465328494478e+02 1.881680545728899290e+02 8.177836901712185469e-01
1.674574925423558917e-223 -5.314521982966825817e+02 7.178945675942363778e+02 6.729736072307168797e+02 7.209566034728408113e+02 1.974312568316794056e+02 4.607927588806607355e-01
2.030427188219569007e-222 -5.289544263524311418e+02 8.072588874121797744e+02 2.726025474014556380e+02 1.064793434689930365e+02 1.275505491353012388e+02 5.258431887701638940e-01
1.504293104051092835e-221 -5.269492643783453332e+02 8.827892729724377432e+02 5.938219492511848330e+02 7.416678046928460617e+02 3.835102449545721015e+02 9.408355361001949912e-01
9.044791980773121450e-221 -5.251528983475718633e+02 2.686991895369046688e+02 1.933555200197644410e+02 6.930185306992063943e+02 1.018588470698794453e+02 5.176862466478737712e-01
9.601792480907404140e-219 -5.204854674841047881e+02 4.131893818500677185e+02 1.066429924863991658e+02 3.840190655136892133e+02 1.346309953821319425e+02 6.109735089799503971e-01
1.265583385351937894e-215 -5.132990437198716336e+02 5.111864144827611085e+02 6.994639954737667722e+02 7.841430940599781252e+02 3.480051985329899367e+02 9.093191458368931057e-01
3.295381427575049837e-215 -5.123395549891724841e+02 8.588012910221543734e+02 6.147986848667864024e+01 8.823604171677811792e+02 2.710758750790658382e+02 9.336115519355585590e-01
2.673407212207207440e-214 -5.102436380486227563e+02 4.012628907310888167e+02 6.576790815360924398e+02 3.447170394297482403e+02 2.359332932297781724e+02 8.321711767021128248e-01
4.806438421810104806e-214 -5.096545354599392113e+02 4.915612867603423979e+02 3.335155561832681883e+02 9.561026879199874884e+02 2.569975069439177560e+02 7.627720521910039686e-01
2.786866971185931135e-210 -5.009867334295065007e+02 2.454716297354600272e+02 3.725777352000604310e+02 3.292327417780735459e+02 1.373198879744067256e+02 5.269105075653900405e-01
6.764984391164030744e-205 -4.885844660256664724e+02 7.796866016705871516e+02 5.064081679775502209e+01 9.954399100908040054e+02 1.153176641375095386e+02 4.389297710415914766e-01
3.982729322106560993e-203 -4.845065884504115274e+02 9.744145430819086187e+02 1.898449095109064046e+02 5.352160297200629202e+02 7.806881198460287408e+01 1.893479743364527845e-01
5.871542409719344784e-202 -4.818133533402360058e+02 6.857612414100321985e+02 8.006920199184773992e+02 9.032465276080745298e+02 1.094941320520551784e+02 2.179351069642161409e-01
1.766629459949867807e-201 -4.807093121367551021e+02 1.701519259250523675e+01 6.509919159644559841e+02 8.471867251080557253e+02 1.442855741139577788e+02 9.173139902179761052e-01
1.091577295269200509e-200 -4.788856768048846675e+02 6.884109279006931956e+02 4.624198064338414156e+02 9.469237061339329102e+02 4.434393178786531848e+02 9.658375009860699079e-01
7.345334646767843443e-199 -4.746741500522750243e+02 3.553512901487905538e+02 9.527119900501666052e+02 6.398210152129526023e+02 2.484387263632227985e+02 5.258492375531256258e-01
2.708124020930868442e-198 -4.733668741770537167e+02 2.504291402477363704e+02 8.438833739785690113e+02 6.869689961803140932e+02 1.944139643342845147e+02 4.597656958505561553e-01
2.381060840266570283e-197 -4.711904991164622061e+02 5.883216864811848836e+02 2.000530224343723944e+02 3.041227995779856315e+02 1.754976045050439097e+02 5.208849009804895624e-01
1.334380043167754239e-196 -4.694644933461964911e+02 3.163776283568562917e+02 8.413433874860991182e+02 9.693962794076522869e+02 2.834108985001231531e+02 6.100990304382936102e-01
2.029757298908316242e-196 -4.690425439143292010e+02 5.794120754585403574e+02 4.565822053517663335e+02 5.228711120085442872e+02 2.264195472081875380e+02 4.878893057152754453e-01
2.392946358465523724e-196 -4.688754347503917757e+02 3.936644674125058145e+02 9.315701220262133120e+02 9.293229197021337029e+01 1.121371536823383508e+02 3.520992271003752228e-01
5.289746244174491206e-196 -4.680796898672928137e+02 2.783679326891762003e+02 8.418557112699822937e+02 2.609256392992671749e+02 1.779960055027366082e+02 5.284111109951395990e-01
7.186181076227277246e-196 -4.677708002562004594e+02 5.651917282785566385e+02 7.204009047707396576e+02 5.153352344406973771e+02 9.219397484523919672e+01 1.677904079029207685e-01
1.496014312826421475e-195 -4.670350706031494497e+02 7.188072194243441118e+02 5.821410711756398086e+02 2.688672809007948103e+02 1.848788300893995995e+02 3.929214035647305980e-01
2.735608758187545638e-190 -4.549160955932863999e+02 5.467253626050004414e+02 6.479493900473156600e+02 8.021236197150579983e+02 4.699181299211377336e+02 9.764767453340141845e-01
1.509620524340069432e-189 -4.532055061812294525e+02 1.092455271601144915e+02 2.507624297004547316e+02 5.981541483648579742e+02 1.873883808892117315e+02 7.788741197375395053e-01
1.508274011723939309e-188 -4.509013134406283712e+02 8.248547074733514819e+02 3.941695257766713780e+02 9.963184212920830305e+02 4.681017843895828605e+02 8.335151186892162389e-01
1.057389179609711263e-185 -4.443462212883611642e+02 5.855727936971427425e+02 3.115653449563720869e+02 4.651257701500939561e+02 3.045874157036858492e+02 7.529314118539592871e-01
5.168913754329451059e-185 -4.427568615592132915e+02 8.880205184251364017e+02 3.514173675487842843e+02 6.394857256246903034e+02 2.295096751676379370e+02 3.591327832331711045e-01
3.209045439731598622e-183 -4.386258804120063814e+02 4.268826622081255096e+02 4.278677713227786512e+02 6.813446684023998614e+02 2.144443802956861873e+02 4.182577427860041386e-01
1.072079726536469313e-180 -4.328119982234903205e+02 1.958807133684501025e+02 7.717839420028322195e+01 2.695974599831572505e+02 7.284383991204065012e+01 2.799359501527156624e-01
2.527505687941450992e-180 -4.319518657328106883e+02 5.113379369861309556e+02 1.154580767366273797e+01 5.045220932500537856e+02 2.273742683420909998e+02 8.149844406100971161e-01
5.792207242304670589e-180 -4.311200852199146425e+02 7.137353603718082695e+02 8.666698770963620291e+02 3.713422491881901237e+02 5.793618493737327668e+01 7.709846844558143619e-02
6.392852555809227866e-180 -4.310189180770043436e+02 5.079064873424363213e+02 7.824376967120290374e+02 9.280603053153939754e+02 4.139889877207201039e+02 6.555172643725222237e-01
1.847468949522196576e-178 -4.276526119022094008e+02 7.102282723786929637e+02 4.511431991946016495e+01 6.358928028074561780e+02 2.553212790885570485e+02 6.245633074716485655e-01
