weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -9.726877079213934394e+02 6.416008755813344955e-01 8.935844337900181733e-01 2.451390176509479213e-01 1.406178216737330455e-02 4.954037451275893345e-01
0.000000000000000000e+00 -9.638093402043014066e+02 5.363331950687663108e-01 8.044972978136134545e-01 6.522537043940286328e-01 1.171711992810897662e-02 9.285907960392864036e-01
0.000000000000000000e+00 -9.625618654985481726e+02 6.551196026535738293e-01 4.199367822787615223e-01 7.019171263972401320e-02 1.758984953804310081e-02 4.250036540165480492e-01
0.000000000000000000e+00 -8.936146444402216957e+02 7.518259158382293306e-01 2.733807544594918371e-01 2.834106425756959258e-01 2.720287704369195314e-02 6.394980879780882699e-01
0.000000000000000000e+00 -8.856628377578314257e+02 3.587525993883776687e-01 9.923717964707206018e-01 5.149917534664698593e-01 4.754993933780848892e-02 9.084091326720163950e-01
0.000000000000000000e+00 -8.831913646260750284e+02 7.550311288017272915e-01 6.708640885807010124e-01 9.651575332155261089e-01 3.004543730146569391e-02 9.849044684418268858e-01
0.000000000000000000e+00 -8.814637032958511327e+02 5.595660776265545255e-01 3.966354176905694251e-01 2.780426478116553302e-01 3.440949291540629229e-02 6.682817016256505926e-01
0.000000000000000000e+00 -8.576444976358699250e+02 7.963302562304739318e-01 2.162198004736815005e-01 4.820292748329294552e-01 3.721994252011562310e-02 8.333847609840168147e-01
0.000000000000000000e+00 -8.438700588703931089e+02 9.309932913828515844e-01 5.284041586412716596e-01 5.189592377516522026e-01 5.202606348107341461e-02 7.034500431158516864e-01
0.000000000000000000e+00 -8.147233393633251808e+02 2.552541248578118482e-01 2.575908905764986434e-01 3.619871202614329819e-01 2.419195158497922105e-02 7.017451628878003111e-01
0.000000000000000000e+00 -8.086650163837863374e+02 9.485434789797182464e-01 6.953766679893920166e-01 7.043279553222472344e-01 6.120765630301183702e-02 6.865225051219395747e-01
0.000000000000000000e+00 -7.979067038839542647e+02 6.576858712585264000e-01 5.626440488009640806e-01 8.047761534764693581e-01 5.697754727376935779e-02 8.187996684151674920e-01
0.000000000000000000e+00 -7.799887560687108135e+02 1.845915956851421624e-01 2.487452544299448842e-01 5.036441105076761016e-02 1.228271034318850763e-02 2.407138765480907328e-01
0.000000000000000000e+00 -7.795493120915008376e+02 1.865049495790167544e-01 8.302049676257237110e-01 4.935340355928919953e-01 3.412141232951382275e-02 6.360599304993106440e-01
3.124965209945884392e-320 -7.542841325952217630e+02 7.114930917023155610e-01 8.905430919743774210e-01 5.945146795469312684e-01 8.170848512089889937e-02 6.037699810515687604e-01
1.110140802922988922e-318 -7.507113527668483357e+02 9.178569446537804266e-01 7.675124011715630523e-01 3.220075509440766259e-01 1.278958659221651750e-01 7.843854169149468980e-01
2.941172937912634430e-316 -7.451293628498567614e+02 5.173882902376637505e-01 4.854568548281518181e-01 4.348431029841967055e-01 1.051062612415144537e-01 8.857659314715984333e-01
5.569842155161822053e-311 -7.329753791222160544e+02 8.176490511838662156e-01 5.970167780467131591e-01 8.775307291919671737e-01 8.527697802162337304e-02 6.992612492958599768e-01
9.176800770129935662e-308 -7.255658119144741249e+02 7.334072369683810599e-01 6.441666856504523198e-01 8.906475488623674108e-01 1.416335625507860740e-01 9.480821259759887321e-01
1.434011241001756432e-307 -7.251169298843262823e+02 4.236257432684787938e-01 7.615685574471181551e-01 2.767302580724813055e-01 1.284819106481678297e-01 9.992321534902630642e-01
1.703668090449197053e-307 -7.249421218385521115e+02 4.350222601084697827e-01 8.319578868708435992e-01 5.958146792997792707e-01 7.022554485711751671e-02 5.828231494851053851e-01
1.811172792681444989e-306 -7.225758457851869707e+02 8.211384285717384657e-01 3.436113321238177809e-01 3.465649370228086612e-01 1.187783714298130677e-01 8.330607242832317461e-01
2.778775434646742465e-305 -7.198427249398747563e+02 6.493585627569359309e-01 1.333258278499545035e-01 5.767491756679526960e-01 1.693242226575086828e-02 4.817908235096630687e-01
2.208236317794484842e-298 -7.039519454777655483e+02 9.379644934665433142e-01 2.358855712261722637e-01 9.194441587470518762e-01 1.314777229266377301e-01 9.836536026071597272e-01
4.053269334081876049e-298 -7.033421158299837543e+02 7.195115170514537750e-01 3.411054900829820768e-01 4.519002382560440845e-01 2.291573169023786161e-02 3.117956218858882744e-01
7.405855866068980880e-298 -7.027368686079163353e+02 6.179730928626611108e-01 4.563786581397274444e-01 9.451700655453261213e-01 1.267846129499397012e-01 9.463351602808069973e-01
9.252022093406634953e-283 -6.679730211012029031e+02 7.634802116232425329e-01 9.795540083432119349e-01 6.229754301243407566e-01 1.722846664879672529e-01 7.044151510751002210e-01
2.554846046741770262e-279 -6.600470308953912308e+02 1.132285622577670070e-01 8.361613622520969180e-02 2.992544262919555331e-01 1.652275136916692144e-02 4.739665724232080546e-01
3.265668729412050190e-274 -6.482861328372426897e+02 2.549828844995903898e-01 9.857340952146798063e-01 9.217581124022441452e-01 7.368893551958899391e-02 5.744928573004864925e-01
1.971097560261869205e-273 -6.464859217787934540e+02 7.157487164539064750e-01 2.021712411478515659e-01 3.542355304509439140e-01 1.180565024409824249e-01 6.983330372608325121e-01
8.843905142684076605e-270 -6.380745284872814409e+02 4.744574121945512868e-01 5.387732406342864433e-01 8.054462234185835179e-01 1.759576351762467405e-01 9.069496704251341912e-01
2.968102631232753430e-268 -6.345586639346549873e+02 6.870885021524472114e-01 5.387933172665694270e-01 8.869937548308769459e-01 1.206101637261070003e-02 2.826572833197444901e-01
3.638838164423831418e-266 -6.297472522075303232e+02 6.747375198242289152e-01 9.631789865583333388e-01 7.264522735611438353e-01 2.420321272737531171e-01 8.792531228600040105e-01
8.431464342011656830e-266 -6.289044461896506846e+02 8.559623761896402172e-01 8.711391155077699011e-01 6.427101054891425358e-01 2.451860516945617574e-01 8.466931565070132670e-01
2.524651742885567018e-265 -6.278052284300312067e+02 7.505333634926317776e-01 5.422938799519114728e-01 9.522399293836538714e-01 2.334954551174177606e-01 9.522643589371723172e-01
5.859564984409082341e-263 -6.223555860075574628e+02 5.577535550584805657e-01 9.788129964067042721e-01 9.947514769657006539e-01 2.401523677814410007e-01 8.970130049252492688e-01
9.008023685970307374e-263 -6.219230456728173522e+02 8.473042006107051050e-01 9.315437221572390181e-01 5.873048330738587230e-01 2.837021711084790621e-01 9.865331220055598704e-01
1.077276311737558736e-257 -6.102287148935555479e+02 6.950067914884272557e-02 3.154661771904313516e-01 7.572556299139425739e-01 6.611229253127848260e-02 8.789820596050104129e-01
1.339238695251392624e-251 -5.961930389430806372e+02 8.926306312063292392e-01 2.414429483002498156e-01 4.584647527360894426e-01 2.220918501145000556e-01 9.623523166602230283e-01
9.056169178120117578e-250 -5.919766089621099354e+02 2.617351736446322796e-01 7.418950807305394468e-01 2.744295616790792813e-01 8.384022687300707322e-02 3.823368035355160233e-01
1.202500410603543605e-249 -5.916905670072758312e+02 6.076621907847171711e-01 7.837601586178667423e-01 7.317484515330955341e-01 1.427280506634694968e-01 4.805757370839106590e-01
2.222385674655934839e-249 -5.910738888246237366e+02 6.050770131466433055e-01 9.208333911348218770e-01 8.961130538675532442e-01 2.972354475184303402e-01 9.458842444299558894e-01
3.381924363198571189e-247 -5.860463550000358737e+02 9.385007015547932596e-01 9.974315934906785586e-02 7.934210673550813331e-01 2.007601448668678845e-01 9.085114135247422951e-01
1.203927825089609635e-242 -5.755637850216224933e+02 5.440899599542645682e-01 3.429174855611510919e-01 6.528138754964868395e-01 1.136268425783513170e-01 4.750965262556577917e-01
4.060621625614648818e-242 -5.743455383491225348e+02 5.756231807604724748e-01 8.232760639553474702e-01 1.320672754473811716e-01 1.054296072728002631e-01 3.980636660712894015e-01
1.367847011396614507e-240 -5.708259662556132525e+02 9.381679262825154408e-01 6.404880815767968194e-01 6.308093042690052776e-01 3.285121133700080742e-01 9.701020378378477638e-01
5.414173358342057312e-240 -5.694476840237249462e+02 4.684379652454361276e-01 3.473264299357887719e-01 5.241285830126776180e-01 2.135041691763672755e-01 9.266348756188452773e-01
