weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.307972455138313080e+03 1.262984265490031355e+01 1.508132705562171907e+02 6.465614141626011815e+02 4.663865097824428858e+02 6.028363703537764628e-03
0.000000000000000000e+00 -1.015301139893981258e+03 6.894488932161522143e+01 5.425748291630003450e+02 4.441814923395376127e+02 4.142169703774099503e+02 6.510788204600936879e-03
0.000000000000000000e+00 -9.931782935470652092e+02 9.670204202581547861e+02 5.066786789690476667e+02 4.100277341867362111e+02 7.869741013656444011e+02 6.933686414768880368e-03
0.000000000000000000e+00 -9.265155434221824180e+02 9.999983915360539868e+02 1.141704426192133894e+02 9.987518303969439160e+01 6.049888749626371691e+02 1.649669923663010795e-02
0.000000000000000000e+00 -9.043674583989110261e+02 1.742707678469177068e+01 1.973330844338087786e+02 5.660229274921581464e+02 6.489726855385076760e+02 4.118623737010740360e-02
0.000000000000000000e+00 -8.524817421011858869e+02 4.846385871204812474e+02 7.536209455752223221e+02 5.311394817915549993e+02 2.955906727886253975e+02 2.813404154955234659e-03
0.000000000000000000e+00 -8.464038150509023808e+02 5.575631780168615705e+02 3.977642850958076224e+02 2.083015800275770459e+02 7.015809334796171015e+02 2.441828293979630971e-02
0.000000000000000000e+00 -8.453827382312185819e+02 8.325866516936005155e+02 5.729717528166121383e+02 9.382347052462374677e+02 5.814302279830627640e+02 5.119239335767189480e-03
0.000000000000000000e+00 -8.097491613719148518e+02 3.393799449875203322e+02 1.399700482874423813e+02 4.513328905254128927e+02 6.639537800678235726e+02 2.431882686580366659e-02
2.470328229206232721e-321 -7.529798057978628094e+02 6.350387868574333652e+02 3.109138859143488389e+02 4.217409493154501092e+02 5.494872529593073978e+02 1.416923462246311161e-02
1.217013025952593396e-308 -7.237524800679477721e+02 1.206873090758186606e+02 3.808773589037400029e+02 3.788053030147373192e+02 7.222667588069043632e+02 6.023366197565038771e-02
5.163703298657714973e-306 -7.176995553836248973e+02 6.493647631812043528e+02 2.766495136142769979e+02 8.177949819982078452e+02 9.818217011039064346e+02 2.652863271969230219e-02
1.146955863106737002e-299 -7.030835023911631652e+02 2.430047465409528797e+02 2.109249689649267054e+02 2.304155874791237295e+02 7.147990622612226161e+02 8.052032700640565643e-02
4.692551024129670880e-295 -6.924617970133347171e+02 4.003407564908614518e+02 1.894324178574987343e+02 2.028896862351916752e+02 9.117647756420527685e+02 1.018102391984149202e-01
2.912256562868182534e-294 -6.906337600514752921e+02 1.535643098974635734e+01 1.267332742069556595e+01 6.043346939320002775e+02 7.979899534266753562e+02 3.056744477142665506e-01
2.756023310363305632e-284 -6.676605485422113588e+02 3.681742528830400829e+01 4.839374868601568664e+02 7.570774074125220920e+01 8.888075307296235223e+02 3.533911754043791431e-01
9.939708288736180373e-276 -6.479546189363882149e+02 5.948974596445390262e+02 1.446757800176180053e+00 3.231098364815604214e+02 9.408273580660858215e+02 5.208090703445246161e-01
3.163695292061160614e-263 -6.191633096598843622e+02 5.518693034954749237e+02 5.753867898725038685e+02 3.725047852972878104e+02 8.836389323223603469e+02 6.374490355778494877e-02
3.137563487672144388e-262 -6.168665187681319821e+02 2.566879113715459226e+01 3.310517390885234477e+02 4.952232018466831960e+02 6.138476668352944898e+02 1.201445966908090135e-01
1.959298385138082803e-261 -6.150322937721149401e+02 9.583684672358732541e+02 9.751374484480925275e+01 2.492592645484239711e+02 7.537460589374117035e+02 7.319400330240632968e-02
2.289865922023281915e-259 -6.102687167620003947e+02 4.260759466236004869e+02 4.161629894469876945e+01 1.242219377455010090e+02 7.336672666118502093e+02 2.023024963649445729e-01
6.611044185769645393e-256 -6.022982131375322297e+02 2.582040788233439343e+02 2.282787367409194133e+02 3.636260673118244569e+01 4.332704297788822601e+02 1.076571010599181033e-01
1.046857144048778264e-251 -5.926257368051104777e+02 9.645453010245708469e+01 1.148941593161583086e+02 2.295027038670613706e+02 9.733208288597994624e+02 3.617110217914402126e-01
4.583684591477759594e-250 -5.888439410209226708e+02 6.049755715412983363e+02 4.128822381237532682e+02 5.413156701304293961e+01 5.502568594423171362e+02 7.667921375731723277e-02
2.238337798012622008e-242 -5.711375299116692759e+02 2.679964848635483463e+02 7.977301552744881974e+02 8.381217374160367228e+01 9.748312088883357092e+02 2.237339287400327281e-01
6.348066401114476231e-242 -5.700926131848464138e+02 7.423896978682556380e+01 8.387718817236851692e+02 3.269954521805357786e+02 2.440958175729040533e+02 2.247871335413020866e-02
1.200830186355256840e-238 -5.625449099360845366e+02 1.800918527594407408e+02 2.183502874634700675e+02 2.744169302983694365e+02 5.075733882840396518e+02 9.423123655620857519e-02
5.387318646716306093e-237 -5.587387901896477160e+02 3.906505137441953224e+01 4.608640971612555290e+02 6.267449423803934678e+02 8.412091917224595363e+02 1.708632745936924380e-01
8.217031055660964386e-235 -5.537089588382783631e+02 7.956769552940978656e+02 8.724235737475183328e+00 1.164919347243269385e+02 7.013720714645562566e+02 3.197355389488183430e-01
7.525724702131917000e-234 -5.514917555917375012e+02 5.064681561784469750e+02 1.807145841048690897e+02 8.056948113253152997e+02 9.037316382681393634e+02 6.510044585707230880e-02
1.107960509142058930e-231 -5.464973064785630186e+02 2.458776651086490688e+02 4.002932308155584451e+01 3.882242362472532022e+02 7.191006001707370388e+02 1.891721716630400119e-01
1.494634825509368140e-230 -5.438928604185582572e+02 6.197504121130776866e+02 7.165950508507410177e+02 1.777428024464565510e+02 8.959413986201445823e+02 1.272056095489891847e-01
3.076632129169481173e-228 -5.385632366115406739e+02 1.234311058894480340e+01 6.375999403469787694e+02 8.876368879734370410e+01 4.258840696932272749e+02 4.767351906387833349e-01
2.994824808287037402e-225 -5.316799311315924115e+02 5.864371326405357365e+01 6.919127464409308459e+01 5.129536417668978174e+02 9.154517461276545873e+02 3.571110633279320767e-01
2.766672251736672166e-220 -5.202437461569174957e+02 9.959343853994390372e+01 7.581624684772292539e+02 6.640018791502304794e+02 6.784770489918741987e+02 8.285346024054540681e-02
1.043597202470777192e-218 -5.166110476221376757e+02 6.252976160346283905e+02 3.522618431282428446e+02 6.787802484613551997e+02 8.915816505119761359e+02 6.761194315183671755e-02
4.357970762933817233e-217 -5.128766295950944141e+02 4.878631943236423467e+02 5.393151217924802268e+02 2.170555226932179096e+02 9.285920589691368150e+02 1.806427467153968180e-01
4.253202665731338837e-216 -5.105958787622200816e+02 9.669631591294474049e+01 5.341475643270296132e+02 3.735857100678180132e+02 4.435271807616395563e+02 7.611583883863592970e-02
6.699500408419722742e-213 -5.032312627930822941e+02 3.303382781018045193e+02 2.442601284763192950e+02 8.861303066546987566e+02 4.228628138032162838e+02 3.099211355957531833e-02
9.994304129630504688e-211 -4.982236102211226694e+02 6.099029680513028779e+02 2.015129567061956095e+02 5.083163666011372470e+02 8.564347477934434210e+02 1.055842535703984675e-01
9.555620352116266213e-210 -4.959634109718796822e+02 5.581310112657047284e+02 9.178619889919651769e+02 2.395004560724374585e+02 9.786929969524801436e+02 1.706975206090558528e-01
1.004858142522917506e-209 -4.959106089989856514e+02 1.349257683039717222e+02 1.023896962059137792e+02 6.106420628864308355e+02 8.102359808445157796e+02 1.838108443822886739e-01
1.616841533045412452e-207 -4.908273106176250167e+02 8.714819706669272819e+02 1.691141999218146168e+02 1.316267602412449094e+02 2.852367952450408097e+02 3.300873107605062362e-02
3.074603240078820372e-206 -4.878795242345161682e+02 1.953481661142949832e+01 2.954028556698969510e+02 8.882372336614862434e+02 9.425561849174391682e+02 3.480404701421515590e-01
2.463544304735682053e-203 -4.811908437335434314e+02 8.053843751542187874e+02 4.489752767434202951e+01 3.668530944390403761e+02 6.892703106323074280e+02 1.423188318090018445e-01
3.912324628516299534e-199 -4.715154727173956530e+02 7.493936266476744095e+02 6.665435716462266100e+02 1.874060204030603529e+02 6.967362087464697424e+02 1.166785425438221502e-01
3.368761260924090442e-195 -4.624522189784687498e+02 4.693575592695410705e+02 7.745067471305057438e+01 2.933245569521187690e+02 9.615977018873577435e+02 3.724429613323758659e-01
1.147507702942132007e-192 -4.566189164221829628e+02 4.249186628036848674e+02 7.858796991563176562e+02 1.434712108327624662e+02 6.154086205607399052e+02 1.657511476716893029e-01
4.100016102398039030e-192 -4.553430178967998927e+02 1.039100844711376368e+02 4.620202410258381747e+02 6.529491174495958603e+02 9.080089994376940012e+02 2.119867089071565402e-01
3.134031657146348061e-188 -4.463988481808622169e+02 8.883759722790532578e+02 4.544598445451345015e+02 8.963276111420185543e+00 6.138624518526655720e+02 1.501926914242135425e-01
4.110680653743295411e-188 -4.461250798019606805e+02 9.231122573020115851e+02 9.473218532675638244e+02 2.648765597668607370e+02 4.763272996213423767e+02 4.492013918769865999e-02
1.217267445777101894e-186 -4.427343896918510495e+02 1.428021927756281571e+02 4.310962487034799295e+01 8.046451663439978574e+02 9.279936807568121822e+02 2.994024055371431459e-01
2.039396899169814166e-185 -4.399132590204734470e+02 8.478691977327761720e+01 1.725880195804489858e+02 2.472513060680723527e+02 4.732852167698019343e+02 2.777281037818176701e-01
3.488510517450293544e-185 -4.393739382876738091e+02 4.750919140919994561e+02 9.121888516625296006e+01 4.928425557261224554e+01 7.410204524325331477e+02 4.425762127765607845e-01
4.964811044543850506e-185 -4.390185379076790468e+02 2.419648136313776945e+02 6.132741638480018764e+02 1.215173900219494527e+02 8.368412984384995070e+02 4.127527387093268274e-01
1.200430680370903068e-184 -4.381331476612505185e+02 4.276490221278490367e+02 7.926643552750574599e+02 9.382454113015061239e+02 9.884290269112404985e+02 9.705550753823932730e-02
3.974355353318863463e-184 -4.369334654942754241e+02 5.960103871806363713e+02 4.388988523891747207e+00 8.817499232599536754e+02 3.930599742020618237e+02 1.232319033066769931e-01
3.071916020645544932e-183 -4.348859414830878336e+02 5.960783788947533139e+02 9.788408234598674653e+02 2.238687188417204652e+02 6.788662932279381721e+02 1.399876566666254929e-01
4.022083343569013317e-180 -4.277061876689305677e+02 1.393741983259910739e+02 2.886035763814336974e+02 5.189388613053343846e+01 6.327097675490280153e+02 5.837124123186465674e-01
5.189215428059453094e-180 -4.274489051661682879e+02 6.672811666642311934e+01 5.576828451289319446e+02 6.183527217111895879e+02 7.836324401840406608e+02 2.483594948869677355e-01
5.643909428044188951e-178 -4.227572405096143484e+02 6.084873064307100776e+02 7.400153363620615892e+02 9.544588201556122158e+02 6.272292814761789259e+02 4.937119842234993783e-02
2.003894240728458469e-177 -4.214876399952634642e+02 7.197976939359771222e+02 9.788487688210226452e+02 1.231801408110221416e+02 8.743992878904809913e+02 2.396604843873544333e-01
6.868889685439897635e-176 -4.179506448346790535e+02 9.446939223400106300e+01 3.046644293457885055e+02 1.614328657038147696e+02 5.999314477889167847e+02 4.960012746121453819e-01
2.562981921232164505e-175 -4.166313908234133123e+02 4.578518170431220824e+02 4.902473365880901497e+02 3.378340010530644122e+02 5.916089558742282861e+02 1.212964388415525008e-01
1.093258553290790049e-174 -4.151783143890153269e+02 1.202902070850144014e+02 4.304347589463213239e+02 2.097054281326535090e+02 8.772358595820319351e+02 6.264193381657271464e-01
3.952679475474979869e-174 -4.138905834268633726e+02 6.599755725759949883e+02 5.196513408251961437e+02 1.164567439647403546e+02 5.313026289503187627e+02 1.538777092377292544e-01
1.358027223777035852e-173 -4.126538589551302039e+02 5.922231114603140441e+02 4.072195523233042422e+02 8.081595609978161292e+02 9.999594720489351403e+02 1.275887173567148425e-01
5.235229731945546304e-172 -4.089993962108277969e+02 1.687270777835628905e+02 1.031923544596184854e+02 9.231766056981288102e+02 8.245339766104436876e+02 2.046805559669844232e-01
3.256929417129531866e-168 -4.002611817111302344e+02 1.337543740126797900e+02 4.255440727517834034e+02 7.202279826135290932e+02 3.872057011702059413e+02 7.017668698191614762e-02
1.137337859861698155e-167 -3.990081911521633060e+02 5.959607517485713970e+02 9.804417896781017134e+02 6.002826558028798445e+02 8.954405399705428863e+02 1.241091723947014280e-01
1.158864063156980421e-167 -3.989869412036306358e+02 7.057453552482318173e+02 7.035229644934068460e+01 1.294568907557040127e+00 9.683857535212636094e+02 6.861116832800312482e-01
