logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.082832765033132318e+03 -1.088825479319823671e+03 8.649999999999999911e-01
-1.088825479319823671e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.728807897779173572e+02 -9.788760040646086509e+02 1.794999999999999929e+00
-9.788760040646086509e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -8.773704308419954714e+02 -8.833681451286868196e+02 1.024999999999999911e+00
-8.833681451286868196e+02 9.180815436578491529e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -8.364625412604800658e+02 -8.424627555471713549e+02 1.125000000000000000e+00
-8.424627555471713549e+02 1.051284331998281374e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -8.345011568903831858e+02 -8.405038711770745294e+02 5.849999999999999645e-01
-8.403719523863251197e+02 3.971690264591761377e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -8.191323353256577775e+02 -8.251375496123490620e+02 5.250000000000000222e-01
-8.251375493703671964e+02 5.051978128218280517e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -8.153474562746001766e+02 -8.213551705612915157e+02 7.800000000000000266e-01
-8.213326574292422038e+02 4.767010499051753669e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -7.552500211317421872e+02 -7.612602354184334672e+02 1.074999999999999956e+00
-7.612602354184334672e+02 2.215961017351207474e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -7.461435626418980291e+02 -7.521562769285893637e+02 4.249999999999999889e-01
-7.521561657101201490e+02 2.513087157149173123e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -7.239488633982604142e+02 -7.299640776849516897e+02 1.754999999999999893e+00
-7.299640776847214738e+02 2.525505581392908638e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -6.588218965099832758e+02 -6.648396107966746058e+02 1.135000000000000009e+00
-6.648396107966746058e+02 4.697750221384928437e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -6.343778587306193231e+02 -6.403980730173105940e+02 1.879999999999999893e+00
-6.403980730172862650e+02 5.280658992875375191e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -6.246775227209011518e+02 -6.307002370075924773e+02 5.400000000000000355e-01
-6.307001755932228662e+02 2.688521792757534001e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -6.199280533901384160e+02 -6.259532676768296824e+02 4.099999999999999756e-01
-6.259446266300714115e+02 1.960784660158894077e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -6.176493423012551602e+02 -6.236770565879464812e+02 1.900000000000000022e-01
-6.235785120718973076e+02 2.711614364415566136e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -6.044701542222951502e+02 -6.105003685089864121e+02 1.504999999999999893e+00
-6.105003664185644539e+02 7.429420909892664682e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -6.015722439544941835e+02 -6.076049582411854999e+02 1.219999999999999973e+00
-6.075511554631923445e+02 7.714734761321563994e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -5.802126145396071024e+02 -5.862478288262983597e+02 8.499999999999999778e-01
-5.862478288257384520e+02 1.704529780186797083e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -5.744837623937402213e+02 -5.805214766804315332e+02 1.510000000000000009e+00
-5.805182230355493402e+02 1.635196474885966822e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -5.737706906498857506e+02 -5.798109049365771170e+02 9.100000000000000311e-01
-5.794101411904262022e+02 1.677865529806526723e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -5.517510303178854656e+02 -5.577937446045767729e+02 7.700000000000000178e-01
-5.577937446041673866e+02 1.588681104024423441e+01 -5.250000000000001193e-02 4.000000000000000000e+02 -5.323769419862309178e+02 -5.384221562729222796e+02 1.905000000000000027e+00
-5.384221562690584051e+02 9.381423500155442241e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -5.154996521771450944e+02 -5.215473664638363971e+02 1.629999999999999893e+00
-5.215473664169148833e+02 1.141238482998479675e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -5.150234832899791400e+02 -5.210736975766704973e+02 2.849999999999999756e-01
-5.205895978680802045e+02 1.127050058481780859e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -5.141779670258506485e+02 -5.202306813125419467e+02 8.500000000000000611e-02
-5.197009754695585571e+02 1.058348634426551804e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -5.025385713846085309e+02 -5.085937856712998268e+02 1.120000000000000107e+00
-5.085937706673534535e+02 5.623670884571155604e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -4.969913159216398526e+02 -5.030490302083311462e+02 8.499999999999999778e-01
-5.030451298672128360e+02 5.413298320129522168e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -4.962907741383457392e+02 -5.023509884250370305e+02 1.774999999999999911e+00
-5.019458546276400739e+02 1.095827427510177365e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -4.909359736941706274e+02 -4.969986879808619165e+02 1.314999999999999947e+00
-4.969916095847336237e+02 2.768834951804968192e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -4.874328928815248219e+02 -4.934981071682161087e+02 1.040000000000000036e+00
-4.934681656894274511e+02 4.292147756619262289e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -4.814484309656615437e+02 -4.875161452523528851e+02 1.800000000000000044e+00
-4.875135480471154210e+02 5.763905173649614078e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -4.776881336872064026e+02 -4.837583479738977417e+02 4.249999999999999889e-01
-4.837352216905079558e+02 7.057660330564789142e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -4.771542546387937591e+02 -4.832269689254850960e+02 5.000000000000000104e-03
-4.827559996983098927e+02 3.699691851956650623e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -4.687728160467959810e+02 -4.748480303334873156e+02 4.899999999999999911e-01
-4.748476626004176069e+02 4.615151445204493719e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -4.663504226017904557e+02 -4.724281368884817880e+02 1.189999999999999947e+00
-4.723429102848224375e+02 1.275006535228075277e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -4.643743470118273535e+02 -4.704545612985186835e+02 1.100000000000000006e-01
-4.703136509406298842e+02 2.048538007801956606e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -4.583738681950115961e+02 -4.644565824817029238e+02 1.820000000000000062e+00
-4.644537269481380690e+02 2.748332764795048178e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -4.565232520463317769e+02 -4.626084663330231024e+02 5.999999999999999778e-01
-4.624617856478619160e+02 1.876142229061188438e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -4.529680991904469352e+02 -4.590558134771382583e+02 1.290000000000000036e+00
-4.590231773244405531e+02 1.625521074758425222e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -4.414510785480275672e+02 -4.475412928347188881e+02 6.149999999999999911e-01
-4.475412825194944162e+02 7.430280149874280760e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -4.368818428594029797e+02 -4.429745571460942983e+02 2.349999999999999867e-01
-4.429642188372828286e+02 5.162729211389140538e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -4.309228618683087007e+02 -4.370180761550000170e+02 8.199999999999999512e-01
-4.370154636590571045e+02 6.848346506111714582e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -4.291982692912007451e+02 -4.352959835778920592e+02 1.385000000000000009e+00
-4.351311818747220741e+02 1.126007185764263729e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -4.209260995031947914e+02 -4.270263137898861032e+02 1.709999999999999964e+00
-4.270260117704239065e+02 4.618268076610439365e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -4.093573892645140404e+02 -4.154601035512053500e+02 1.645000000000000018e+00
-4.154600940672866614e+02 9.121821307604312423e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -4.082148794497858830e+02 -4.143200937364771903e+02 4.550000000000000155e-01
-4.140425991941251027e+02 5.938660290896232929e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -4.051373616708703480e+02 -4.112450759575616530e+02 5.649999999999999467e-01
-4.111859009869850183e+02 1.683209378319385552e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -4.021127606113537922e+02 -4.082229748980450950e+02 3.350000000000000200e-01
