weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.422970817256097007e+03 4.875786633985861318e-01 5.954463136415216740e-01 7.523206899951739857e-02 8.823349326589469133e-01 2.645109614394458575e-03
0.000000000000000000e+00 -9.253562846887610931e+02 2.312632415271174136e-01 3.197382453376877987e-01 2.144751165275825544e-01 6.546363731693396470e-01 1.492914083102647727e-02
0.000000000000000000e+00 -9.038860495231174355e+02 1.086877473826616258e-01 3.087106474326777317e-01 1.861028045004823328e-01 9.250060916115040444e-01 3.406604221438269686e-02
0.000000000000000000e+00 -8.805564809124326757e+02 3.433731181113240938e-01 6.844377177757208219e-01 7.285863761820055018e-03 6.090947747276632684e-01 1.453705699550378316e-02
0.000000000000000000e+00 -8.284012136686312715e+02 9.611144513564439107e-01 4.568888928068325361e-01 3.676255499534100135e-01 4.549836559152270477e-01 5.158968352620862952e-03
0.000000000000000000e+00 -7.866918506357067145e+02 6.604950911715850026e-01 9.447413863475713214e-01 6.155040561787827880e-01 6.910858709518518106e-01 8.548406228461424838e-03
2.660044444643016637e-301 -7.033586888342224483e+02 1.060401492645467458e-01 5.799023315624725061e-01 1.062458821039258261e-01 5.253716017886007617e-01 4.025421906397652627e-02
3.854797242800884356e-281 -6.569335113957771455e+02 8.716559454184474864e-01 8.799974183527994320e-01 4.693497912132243988e-01 4.682747864648267866e-01 8.955160753967295051e-03
8.856253408175707760e-274 -6.399811103452600491e+02 5.309299576419551636e-01 7.735254702512217584e-02 1.810023749316148622e-01 6.418059463151557509e-01 5.844914495086539485e-02
3.564144460490161560e-266 -6.224681293685638366e+02 1.867638376741571626e-01 1.774607629223713401e-01 2.983258952157110677e-01 8.230303528909124200e-01 8.706553802734839920e-02
9.588105492179932905e-251 -5.869372536966531015e+02 2.047268608375807375e-02 9.596385040935492272e-01 1.774295662902274362e-01 1.717605149233325523e-01 2.113098378817268586e-02
9.666355854072116969e-251 -5.869266256279122445e+02 4.120555954146498667e-02 9.222919857650280218e-01 2.336518656078035994e-01 9.088463956589745152e-01 1.494197643199951520e-01
9.489585458696299393e-233 -5.454960504120336964e+02 1.756020214261377888e-01 1.247912868542323528e-01 1.312708732440451831e-01 3.977015138942241457e-01 7.364838903491222055e-02
1.536521482989316320e-223 -5.242883733275929217e+02 4.408028729767921039e-01 1.573442103917357393e-01 9.320995885751268695e-01 9.247404626843708231e-01 6.965977309352622271e-02
3.114809257242407284e-221 -5.189740563091307877e+02 4.580277625487738646e-02 1.831176018758009505e-01 6.199803700321245836e-01 9.265183854358987059e-01 2.041934728548285838e-01
1.031020357791191849e-220 -5.177745901823561780e+02 7.762545436408899713e-01 3.086106038076230629e-02 4.025103902222210150e-01 9.613750711947265382e-01 1.700149962697458106e-01
2.598960180990363062e-214 -5.030320171402613596e+02 4.714786049714305705e-01 2.459075687260505738e-01 4.871728548932557912e-01 1.444892032650592073e-01 8.248528608033711684e-03
7.633054017545939713e-212 -4.973469703592841711e+02 9.361522242398561122e-01 9.502661562909150428e-01 2.824894054171583901e-01 2.109249070988297170e-01 7.464414777966110748e-03
8.583351534729788344e-212 -4.972271339299284705e+02 4.875701737782980327e-01 2.195800729250985128e-02 9.167937384378332943e-01 4.215080341952223142e-01 5.493590850469454168e-02
1.778418979556642939e-205 -4.826806379820843631e+02 1.369316784567793377e-01 5.356423482010773673e-01 5.497784102205057755e-01 8.827054883307552391e-01 1.271612707747109550e-01
7.758934682305509589e-204 -4.789024326034036676e+02 8.338236800639038382e-01 3.358278365776773411e-01 4.542402570949554130e-01 7.937086688241162813e-01 6.643101399309347954e-02
7.858097131814546265e-203 -4.765846480700301413e+02 1.458980243737951765e-01 3.118600955026075150e-01 6.313091056595392381e-01 9.911359125079208798e-01 1.581807639246035624e-01
2.361013814313351425e-201 -4.731794312568547980e+02 1.270413196011800361e-01 2.563846365552104878e-01 8.979265845425424830e-01 8.203249514998850467e-01 1.096362351770265864e-01
3.532206715475990544e-197 -4.635637591865136642e+02 1.636352042305377896e-02 1.822377511376230830e-01 8.206737614667165559e-01 2.334767265950696835e-01 6.039635424951417253e-02
3.535231038273848765e-195 -4.589552331534455334e+02 8.976649960177772725e-01 7.244875192954680632e-01 1.576052774304648185e-02 4.328248183444317609e-01 4.500964191747325316e-02
1.348112823891062108e-190 -4.484038806368136534e+02 1.617403272565032246e-02 2.794574077681533097e-02 1.054555180781430179e-01 1.162163148357214792e-01 9.161283833552791300e-02
1.148400235338104528e-189 -4.462591313758641718e+02 1.103243683860659630e-01 6.343455060668622414e-01 6.904880790084311215e-02 9.596810469492949025e-01 3.110070881901993989e-01
2.661932529101565713e-189 -4.454159488763464765e+02 7.384218007394164340e-01 5.167892789135575260e-02 9.114916286219109098e-01 9.230668040877080260e-01 1.302505039847482449e-01
7.835126002720272578e-189 -4.443338842923452603e+02 3.614014548854072029e-02 7.916166243180944306e-02 3.863317446555298851e-01 7.945436199002819944e-01 4.467439377831800007e-01
5.687165938515723210e-188 -4.423492041105949397e+02 5.986120528760108250e-02 1.707256059636155232e-01 9.072347552114601310e-02 9.031075025937592704e-01 4.995754336098769954e-01
1.011894618628219609e-181 -4.279549960724505695e+02 8.556988701346935899e-01 8.422633998288611146e-01 3.421404606962770156e-01 4.471130992546054062e-01 3.304862083986659371e-02
3.225569357771261008e-181 -4.267932110263926120e+02 1.501464741583096174e-01 7.945306949945755148e-01 6.318729882419216182e-03 5.047251764566552668e-01 1.564164833941712462e-01
9.195374297426760805e-178 -4.188353646632674554e+02 2.487533551612678417e-01 1.506510156481324358e-01 8.826729432922769680e-01 6.703143169313328098e-01 1.026843702771562672e-01
1.711950440849716500e-173 -4.090010064329523516e+02 3.245474252986192409e-01 5.682338626629829248e-01 5.035053790751230496e-01 9.068138552139294317e-01 1.489739180097349180e-01
4.876839264130082062e-173 -4.079516424439055982e+02 2.506148813312619739e-01 3.150204506007139305e-01 7.407574754193886335e-01 6.983433803331646761e-01 1.029454093922500535e-01
5.045141896324231980e-171 -4.033100437966232903e+02 5.936188457348751113e-01 6.036776070232295899e-01 9.073264535415015430e-03 7.904385609999478035e-01 1.622406958717789172e-01
