pFat pLiver pSlow kMet fAbs
3.887662890713555726e+02 3.099266728150890060e+01 2.007208919011330295e+01 2.597432223681664709e+01 8.935420538888189101e-01
4.710709132203746208e+02 2.981985315174194540e+01 2.906889267543188993e+00 2.178874645423568879e+01 7.903649337800494612e-01
5.707108502408182176e+02 2.764014464538152183e+01 2.330449007789119342e+00 3.467574664475689872e+01 9.330127718870342424e-01
2.556624031822688892e+02 1.521084679796104844e+01 9.850275377840601365e+00 1.793437182881864089e+01 9.107169673907045127e-01
3.019107201180225957e+02 1.660696971511869435e+01 4.710075223460309601e+00 1.872628162959857434e+01 9.273846336161999382e-01
5.971523430451883314e+02 2.782893364752817078e+01 3.239218733489448709e+01 3.174513646419240231e+01 9.542815413815989301e-01
2.536106744882517035e+02 1.429279145485466174e+01 5.747997676480584239e+00 1.849952648149988832e+01 9.557288495511166992e-01
2.008938377351555857e+02 9.152111625298008590e+00 8.910629686153839657e+00 1.310634518436896911e+01 8.645633605384386300e-01
3.128756933239762361e+02 1.935505367704481827e+01 1.522139301605269601e+01 1.868287609300242735e+01 9.406552896173833167e-01
3.033981884417486867e+02 2.547509959246506739e+01 1.249263420535650582e+01 2.175029031340407215e+01 8.849849530148974353e-01
4.710446827627336006e+02 1.858301660065232142e+01 2.974645183032415474e+01 3.121469539649375236e+01 9.347402129020602191e-01
4.942704990620463263e+02 1.895915814610319572e+01 9.557868472646845248e+00 2.788828909613227225e+01 8.424126629530455102e-01
4.918154554211105847e+02 5.265166692878008803e+01 6.670408185361205611e+00 2.426024483985807123e+01 6.779904844117562446e-01
4.073591535761160571e+02 2.263769566257126087e+01 7.639108278860832435e+00 2.247065842390730595e+01 9.384962628320231426e-01
7.558747766075493928e+02 1.832587391176759439e+01 2.256135582068894152e+01 3.830473462639135818e+01 9.525288333908055183e-01
4.128213266413548013e+02 2.101002293915231078e+01 2.569213650882121058e+00 1.544550005259928049e+01 6.138156927211415592e-01
6.222796736764843217e+02 2.222963524719649087e+01 2.592220641571279316e+01 3.185698603541486307e+01 7.981198812714833668e-01
3.896210656991503356e+02 3.007033853280922031e+01 2.902571082816392867e+00 1.719799524520028200e+01 5.675741967977856461e-01
3.667520023211772013e+02 1.866994734794652899e+01 1.021128183125132516e+01 2.052126128072925226e+01 9.556049854234627272e-01
2.297611061781060471e+02 1.453056170957788140e+01 2.111362212794353255e+01 1.924042242208009057e+01 9.558195648621393703e-01
7.026226371787671496e+02 3.318873326469734764e+01 3.181635129665292716e+00 3.086270250446627728e+01 8.348436525327498359e-01
3.288438043711165051e+02 2.375139575862500152e+01 1.632346389318794877e+01 2.414772319884562179e+01 8.689264124633303554e-01
3.294880655546176627e+02 1.506741887782091283e+01 7.040580049184340439e+00 1.844922370258389677e+01 8.476921932740622001e-01
3.825383700467889980e+02 2.008750681247293812e+01 1.427234334515552838e+01 2.418386845339270863e+01 9.315745154513823678e-01
4.788056710099558018e+02 1.268601523411806475e+01 1.831437446400871583e+00 1.835584992764804468e+01 7.962951865550667030e-01
6.038002313958525065e+02 2.833707560446103813e+01 7.780880120998395100e+00 2.745826787393147583e+01 9.789457123053920684e-01
5.960043092381823726e+02 2.329829439907992139e+01 4.231495199349782155e+01 3.175896281109829999e+01 9.869841710121582956e-01
3.027766785803132734e+02 2.173092925101775919e+01 4.437211283137376228e+00 1.761674601429946208e+01 9.493597366731331144e-01
4.544286570392005729e+02 3.281945341090317925e+01 8.750729024303254278e+00 2.450261494913840821e+01 8.799698020629829198e-01
3.841833205209605353e+02 1.830150929459884068e+01 4.451277736190393242e+00 2.569981768506520581e+01 9.225790760026035819e-01
3.771600638996419548e+02 2.118592772357493814e+01 5.447769209457493211e+00 1.754720152469500505e+01 8.202336540459100878e-01
6.172313048575804260e+02 5.892521608682194056e+01 2.536495478619745469e+01 4.333024423042694195e+01 9.505689651620055081e-01
3.081432736331281035e+02 1.145452683805381611e+01 1.739772277105910092e+00 1.546023032055319213e+01 9.046166495330703050e-01
4.084238366778919840e+02 2.318895333617701482e+01 4.340681828035464918e+01 2.544910073282632368e+01 7.710444271196461585e-01
2.984593981914574670e+02 1.200776503556771146e+01 2.243303009337792364e+00 1.394760247094911776e+01 8.741264521603351323e-01
4.780533040685787682e+02 2.505961922025653621e+01 4.002104725885193837e+00 2.572681716809909247e+01 8.756263547124032431e-01
3.499739478386242695e+02 1.774212682051875234e+01 8.588311885117175137e+00 1.537815187265035100e+01 5.727801790304962726e-01
3.915965998975949560e+02 1.410968665320337756e+01 4.666298231776349326e+01 2.812797753624222707e+01 9.808556120336844319e-01
2.874759761462764800e+02 2.852825568847648086e+01 4.352823093378328423e+01 1.536141445763038504e+01 4.445990512586830423e-01
3.328868554738793364e+02 1.031149103633140385e+01 1.801242516937838989e+00 1.704373258886852227e+01 8.518291939425430837e-01
6.060872825447028163e+02 2.269775626796075230e+01 3.188471788609565749e+01 1.989988006616862393e+01 6.662525008616456690e-01
5.680567291298452801e+02 3.697190474572494878e+01 1.527141327678994820e+01 2.367332461425540657e+01 6.237450095608536582e-01
4.018213125836616086e+02 2.781511255379176006e+01 2.749358700125106125e+01 2.821721194674977085e+01 8.957945936900565398e-01
3.491876434776667679e+02 1.224105793031510814e+01 1.356681316024880246e+01 2.308697025195186114e+01 9.742912645896248947e-01
3.656414513478998742e+02 2.077679689086553694e+01 4.666135598742934576e+01 2.657829571343548380e+01 9.723857131054457481e-01
5.336404413700796567e+02 2.073623769820535045e+01 6.841189170637871797e+00 3.083268045034936122e+01 8.916762270981908323e-01
4.652801337778295192e+02 2.410876574045308374e+01 7.897624351678819821e+00 2.318470020729450809e+01 6.746312453218379357e-01
6.998324599013483294e+02 3.088887169724169013e+01 3.220033910217512130e+01 2.954215434775924365e+01 8.988669020082931116e-01
3.679317237034787809e+02 1.633604648855955688e+01 5.853587320258146320e+00 1.914190784535747980e+01 6.671027912297179396e-01
2.849241178230343507e+02 2.308393231134374801e+01 2.872027329863099965e+01 2.180835750049852706e+01 9.327413503139229123e-01
4.289142912354755595e+02 6.184110121185381814e+01 2.019531150215340887e+01 2.388283455428608448e+01 8.457666342963566786e-01
2.908591110479075041e+02 1.305029507899771168e+01 5.167403563119536969e+00 2.042877565776871407e+01 9.301412169703968669e-01
2.255076269581988129e+02 1.747472523134317512e+01 1.198202116103305492e+01 1.252222759763925097e+01 4.752781777844291566e-01
5.110951136169582014e+02 1.419953805549934067e+01 5.185350964004859264e+01 1.666876439341584160e+01 6.887048822823222949e-01
2.740924018746000570e+02 1.656992418296609770e+01 1.273389604025352995e+01 1.742500072667514743e+01 9.502868731322500206e-01
4.209556146115768911e+02 2.035553372453468768e+01 3.709146563635871274e+01 2.163952194064176737e+01 7.910316534991639337e-01
3.698589606135305985e+02 2.238459356886921725e+01 1.238108840702054891e+01 2.291353377419692094e+01 9.734859937868166613e-01
6.399061638429899403e+02 2.716804972457341094e+01 6.115325851750981201e+00 3.522466412045289985e+01 8.718936109966877179e-01
2.486648734558605156e+02 1.566174097689854605e+01 3.191211128857083779e+01 1.937762041212800312e+01 9.125073773357954554e-01
8.598242339877702989e+02 3.008337108925381642e+01 8.929892760744006353e+01 5.083093911953667288e+01 9.712978658032501711e-01
5.043103959609551907e+02 2.979135107152225004e+01 1.131938578001480344e+01 2.993746631864372887e+01 9.999624537003610758e-01
4.084343271369460240e+02 2.160892231269796682e+01 4.657759522868055058e+00 2.261749563935256546e+01 9.886452344423553029e-01
