pFat pLiver pSlow kMet fAbs
3.579801488711743218e+02 7.711225308169842663e+01 2.240525695597109745e+02 1.541635078222691106e+02 9.000596466074455293e-01
3.153999264843402557e+02 9.190124356674218120e+01 1.928474204111224708e+02 1.338097385658238352e+02 7.760262758246303516e-01
7.011031430152996791e+02 1.675515700027917205e+02 3.424155549052830594e+01 9.470450960213329950e+01 5.105458635576788362e-01
5.812335521508166494e+02 1.793464518683698259e+02 1.516619218857190958e+02 1.483709916272222529e+02 7.971815394224568418e-01
9.548541776317961194e+02 2.350508154799985050e+02 1.921078449663943672e+02 2.659612983838424043e+02 9.969126299912173250e-01
5.605957998102040847e+02 1.619879890553413588e+02 2.163953001520449604e+01 9.446798145580608264e+01 5.952727933432739871e-01
5.439319152079042397e+02 1.466634406200709009e+02 1.106726006032645415e+02 1.141726729081827614e+02 6.600399471147864183e-01
3.907793242548139574e+02 8.358269541559771199e+01 1.949022760697021397e+02 1.440619033767525821e+02 8.373893314880345162e-01
3.430454117959649238e+02 5.410343956027388401e+01 4.657346287847559552e+01 6.371640954592205475e+01 5.569628996714457436e-01
8.274199150307490527e+02 1.090136786838809400e+02 1.387454630350652565e+02 1.492972218384400378e+02 6.719023260591404645e-01
2.446240226579550665e+02 1.421624831886654476e+02 1.188689937876452376e+02 1.163441844142253956e+02 9.456150339708115915e-01
7.271712502671299490e+02 1.269255743558507561e+02 1.215055357777405618e+02 1.723362956331086195e+02 8.279541475676192031e-01
5.193153651220916345e+02 1.149583633649123868e+02 2.264937136240432380e+02 1.779036555252611720e+02 9.091576056159592634e-01
6.105691595738010164e+02 4.558600691257347535e+02 2.739048330725411802e+02 3.002435655444845679e+02 9.145204082082661889e-01
4.159286508189821348e+02 1.083420858836209106e+02 2.060592615867180371e+02 1.735328298973968515e+02 8.630646082359290094e-01
4.853223309948936048e+02 1.491706908258207136e+02 1.118270010789221942e+02 1.033596612885485513e+02 7.408300418174489366e-01
7.499244804293155084e+02 1.205576551937600129e+02 2.144328068840562196e+02 1.707967890463741867e+02 7.269219474434394090e-01
4.389205920917978574e+02 1.059283199584822057e+02 5.546327717166161619e+01 7.484542856527640708e+01 5.727065706784961741e-01
5.868126359032486334e+02 1.639025018600540875e+02 1.053963155586558003e+02 1.532244376441357758e+02 9.182436515520484566e-01
6.850206218902179671e+02 1.026491634409287599e+02 1.563439777269783519e+02 1.669665152490617288e+02 7.498068825100283608e-01
5.251076705875506150e+02 9.727516958114910040e+01 3.872678609871404376e+01 6.661644927740967148e+01 4.316394364055879951e-01
3.761621882118906797e+02 5.596772379375425288e+01 1.603596941956594719e+02 1.062959415719279548e+02 7.948443318688801495e-01
3.457289373886078465e+02 6.254482545621026190e+01 5.547078845145934167e+01 7.950727315778867421e+01 7.394841949497400480e-01
2.057741649182034678e+02 9.675065530876699427e+01 1.338560331284311644e+02 8.097014240667495244e+01 7.821130470402924972e-01
7.175561980075926840e+02 9.517038947679048988e+01 1.693459812375686795e+02 1.596852574102682922e+02 9.034876970627581105e-01
7.398410523358620594e+02 1.029992825431133667e+02 7.798907714745814701e+01 9.701156387951402849e+01 4.280868445933785904e-01
4.659551776094836555e+02 7.970586733774467803e+01 6.944419052343580745e+01 1.010092998462446303e+02 6.359773243970184842e-01
8.134866724231135322e+02 2.101259715960134429e+02 1.575443585593152420e+02 2.215011850900295087e+02 7.487440520496191354e-01
5.328680564283804415e+02 1.272546388902973007e+02 1.041654708351138225e+02 1.106245349271681704e+02 7.308484523896952023e-01
4.282899159029069551e+02 8.610309557732132646e+01 5.810101356927631855e+01 8.950443326357938645e+01 7.227570613482242612e-01
6.957508139868905346e+02 1.054833221288062362e+02 1.182201120891513000e+02 1.480430025228656348e+02 5.846707047720033357e-01
8.039305089597561391e+02 1.135092853553078669e+02 2.119893979167520115e+02 2.319377570657166245e+02 9.325029148598624751e-01
3.893460707805598418e+02 1.329280407753866768e+02 2.428566417942666646e+02 1.780782091141445846e+02 8.833464889156518174e-01
5.395496502181864571e+02 1.191591561783780122e+02 1.637698574377914156e+02 1.463390672103793975e+02 6.298331397926623110e-01
5.207369921750763524e+02 1.126363372017381153e+02 8.008936574964096167e+01 9.506856885148636138e+01 5.926326411316965581e-01
4.502551828581070481e+02 1.092087883572944662e+02 1.105908739151090430e+02 1.133849611364039731e+02 5.703264577802702462e-01
9.331974415251958135e+02 1.321157745134949550e+02 2.459613935984517639e+02 2.234331996856412559e+02 9.245132683696111187e-01
2.456260585692483289e+02 8.477681959588828420e+01 8.415267168181190982e+01 9.078298333470496573e+01 7.888921295662241207e-01
6.036772677667942162e+02 7.799787578823364242e+01 1.339062802425968925e+02 1.085976535805531853e+02 6.820249393182865605e-01
4.762104814196339930e+02 1.013070169253376349e+02 4.519430453477664855e+01 9.486856829627780030e+01 6.516489271851131360e-01
3.850061505771818133e+02 1.399800874250458378e+02 3.202032575692672935e+02 1.976142062167511426e+02 8.880010475006120396e-01
5.092516361942206231e+02 1.211009414456466828e+02 1.390349246050448926e+02 1.596312221524493680e+02 9.564478713008441879e-01
4.228917240781209443e+02 7.614819228449390209e+01 7.245695477471537060e+01 8.014863024048703721e+01 5.548361060458573135e-01
4.487330770960809332e+02 6.623357949445247073e+01 2.031155006301655135e+02 1.558990235432362965e+02 8.805857001418880836e-01
3.389279692475705588e+02 1.767685362419007049e+02 1.490173933954989138e+02 1.651503901490311250e+02 9.550901875893251791e-01
8.839427328387289435e+02 1.046790268538146620e+02 5.395326671230726845e+01 9.036178007067680085e+01 5.239991397515688654e-01
5.936581575587370025e+02 5.536128803748892580e+01 1.703101687962822837e+02 1.401460765377917994e+02 6.966085355589959338e-01
9.368763533012504467e+02 1.989428265637812387e+02 1.462027055462074259e+02 1.598480265431209375e+02 6.772008606821382504e-01
5.650110412371902839e+02 1.326713482209678716e+02 1.578239660997487874e+02 1.579096229980149815e+02 9.254465321179871085e-01
5.867836180832985065e+02 1.762627471065198392e+02 1.370181251470764892e+02 1.320952365305095952e+02 6.163627896128069938e-01
5.458618439321857068e+02 1.371087204327376696e+02 2.667052963622863331e+02 2.046899093268946217e+02 8.166427602500418992e-01
5.242593256538748392e+02 9.129390093174055210e+01 1.523402180925438927e+02 9.716161840845254005e+01 5.617900897589350739e-01
6.007412086438432652e+02 1.222391235244273275e+02 1.334895287591435249e+02 1.560543609336207567e+02 8.699085259190211250e-01
7.323879868717493764e+02 1.057084478763568427e+02 1.643089032127521421e+02 1.741625509396021698e+02 8.988123030196711882e-01
5.434511551567995866e+02 1.453652674734601931e+02 4.957445583756540941e+01 1.096034238759654613e+02 6.380828346675331275e-01
3.893460707805598418e+02 1.329280407753866768e+02 2.428566417942666646e+02 1.780782091141445846e+02 8.833464889156518174e-01
