pFat pLiver pSlow kMet fAbs
1.671031477675261385e+02 4.641838720652589956e+01 5.505542654044977269e+01 5.739321977547452036e+01 8.471538259148184702e-01
1.436626399637004852e+02 3.657685641417580769e+01 1.543133053626912954e+01 2.874910076649049984e+01 6.270301584663700023e-01
1.012076417719198673e+02 4.360044232871264569e+01 4.703559608006571580e+01 5.414505932004311717e+01 8.481787596617459402e-01
1.527331375140075806e+02 3.554460600060114217e+01 4.714287896321776117e+01 4.683303005525278451e+01 8.967065534366500668e-01
1.690265817814089928e+02 6.920295992028394494e+01 3.873628291040451366e+00 3.632339561437031961e+01 7.779080854446448479e-01
2.208219508596496041e+02 3.984904332720834930e+01 1.589160516013396851e+01 3.830152694944288072e+01 6.501070579506733615e-01
1.292596058960417906e+02 4.719350070791936957e+01 4.898643306152604993e+01 4.172511195655967953e+01 5.194958191517778934e-01
2.148845675871991148e+02 7.663751663938562331e+01 6.589924178391456167e+01 6.873029778660846034e+01 7.109452811406381523e-01
8.201733557410184972e+01 4.605740648780078317e+01 3.204081009167665428e+01 4.733259316004025408e+01 8.146352439867604600e-01
1.459626014329783459e+02 6.007682465978419373e+01 7.681380906123533236e+01 7.597160989180433432e+01 8.887016446392022040e-01
2.154597951800039368e+02 2.320660731277531852e+01 1.299282509802706542e+01 3.760656716932921739e+01 6.972681177265792618e-01
1.168239133831623349e+02 3.736579748492302144e+01 2.308202278898462367e+01 2.556688655662544107e+01 4.170754113642076710e-01
8.345463592412723131e+01 3.430293739714834800e+01 6.446923972098440458e+01 4.176429670043336273e+01 8.933323295378311490e-01
9.019778653010116898e+01 6.569422021791181976e+01 2.987688328819630357e+01 4.230996772623461766e+01 7.183431592552668166e-01
2.452384856269861473e+02 8.766504814164362358e+01 5.426374062397601250e+01 8.083616829428959250e+01 8.455624334519081797e-01
9.946775595510811740e+01 3.283837886174966059e+01 6.777641096528689957e+01 4.138191556900786594e+01 7.370330756310427001e-01
2.059900190852425794e+02 5.843934256186781084e+01 1.225111517964354277e+02 7.493640054262262140e+01 7.617293815534069701e-01
4.697325460907906347e+01 1.709935408757981179e+01 3.793025745298429285e+00 1.373465151306225174e+01 3.309547941731651455e-01
2.514774893891732006e+02 1.041336195442621602e+02 1.349159684262133680e+02 9.493166399096118369e+01 8.501918717543618387e-01
1.039522809405822983e+02 4.558391429640997217e+01 2.984965650572330986e+00 1.835043943618476447e+01 3.007500979042998512e-01
1.107303871534560784e+02 5.294059005403359208e+01 3.818519341627009567e+01 2.320155629385860863e+01 3.707114751121705076e-01
7.293925290026083985e+01 3.379365105022639426e+01 1.857800998453394925e+01 2.491403359579953047e+01 6.042510626788957229e-01
1.550543431764559159e+02 4.825235585433301821e+01 9.541284167937480021e+00 5.645024628755461293e+01 8.053643643889654147e-01
1.216803061398276782e+02 3.095547163526860501e+01 1.028924374695541033e+01 1.637946416838315145e+01 3.433196821995664338e-01
3.003598500493617962e+02 5.934485760237173935e+01 7.294699144344124875e+01 9.047415671261333614e+01 9.246442415856744867e-01
1.303038826482757599e+02 4.006755689428494094e+01 3.983222437475686206e+01 6.338866631372907534e+01 9.724352516516925338e-01
1.894692044699299061e+02 3.241750513648622700e+01 1.736990829361511501e+01 2.755002398753378401e+01 6.642567567310018184e-01
2.944551771686915913e+02 6.386657108572324404e+01 1.285009979513023382e+02 9.402421631706033622e+01 8.330793385462194056e-01
7.481882920381875124e+01 2.588162986285430378e+01 3.566234894924988197e+01 4.873222790106480318e+01 9.878758277444703584e-01
1.183801242086531431e+02 5.211141149804578987e+01 5.705088076849585832e+01 6.063253970687569705e+01 9.259386603114772019e-01
8.081814663325420156e+01 3.720484434718774480e+01 2.143359097890912679e+01 4.789645523048664444e+01 7.793793689245857026e-01
9.313684736880119885e+01 3.761263211109773152e+01 5.236524567327390400e+01 4.731172274041840353e+01 8.927313519580143408e-01
8.299076777196535204e+01 5.188809936692779701e+01 1.055948093924587816e+01 3.382983956919596125e+01 8.031363301367852037e-01
1.019137882199618872e+02 4.113667445323220306e+01 8.313043834482735406e+01 5.700809693967781300e+01 8.705926554775956783e-01
1.611784495176977146e+02 5.766761230322198628e+01 4.187429811823731285e+01 4.682855627164748569e+01 6.457841099319706624e-01
1.985312045570794908e+02 8.465710276314993621e+01 2.224069433222405934e+01 5.400682184620489323e+01 5.555447257586774157e-01
1.106069601029933551e+02 6.490151864080912958e+01 5.972943979804108494e+01 7.912422344342822100e+01 9.426860878990909187e-01
2.354912107324201145e+02 2.155072043104312129e+01 1.280318592487838458e+01 3.818928648453632491e+01 7.879444714892980262e-01
1.269705810943971613e+02 2.704611347309330682e+01 3.065083050720844327e+01 4.380476272424493089e+01 9.461765550980079098e-01
1.330937607322206873e+02 5.141808173515104841e+01 2.414964492051340628e+01 3.963506229536574921e+01 8.206270484113478147e-01
2.370207935500895644e+02 3.715165056119273146e+01 5.160266255761065679e+01 5.640833828202756450e+01 7.672840141262343705e-01
1.374825423625556198e+02 3.675695718798242240e+01 1.229842284176053369e+01 3.095135403227578763e+01 7.219104084239024166e-01
1.588690049701970963e+02 5.359545330684856879e+01 6.978198085456334354e+01 4.953594016736894901e+01 8.073287272576474827e-01
1.373980129598359099e+02 7.342058065694550351e+01 3.622461478883340646e+01 4.209611680568363568e+01 5.842270885531746227e-01
1.137630831172928367e+02 6.296843414193155297e+01 1.904190489665543495e+01 3.580515744166122971e+01 6.253837696583444128e-01
1.224823063373260936e+02 3.788708431848155556e+01 3.634899789864466157e+00 4.143537330383952622e+01 9.634917792198713915e-01
1.080106198682380381e+02 4.283935784227529098e+01 4.291690260300215698e+01 5.106200551061970572e+01 9.216935607057163971e-01
2.501138465498103187e+02 9.463225456742573272e+01 6.505439454126300802e+01 7.392433569423533868e+01 9.474513187370022793e-01
1.686456959883420268e+02 3.618006612793779908e+01 2.801852536338633115e+01 4.838803998355946590e+01 8.837538046061602648e-01
1.882922146334027786e+02 4.238866312205535536e+01 6.588238101304028760e+01 5.351257003071703622e+01 6.787115118901302369e-01
1.289066816910679734e+02 3.878016562975093962e+01 2.783943844622105246e+01 4.711572137908201086e+01 7.586356680595770507e-01
1.724922495731324545e+02 4.548801400054558997e+01 3.351270767295428499e+01 4.815026078279406363e+01 7.723043673947802557e-01
2.445955863307144114e+02 5.524980134854670411e+01 6.952674507350354816e+01 8.155988029522400495e+01 7.738955437861017028e-01
