logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.030957491650002567e+02 -7.090884634516916094e+02 1.399999999999999911e+00
-7.090884634516916094e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -5.432873720835685845e+02 -5.492825863702598781e+02 3.200000000000000067e-01
-5.492825863702598781e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -5.215207449218826241e+02 -5.275184592085739723e+02 3.649999999999999911e-01
-5.275184592082208610e+02 4.962861673941345941e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -5.131810556496951676e+02 -5.191812699363864567e+02 5.000000000000000278e-02
-5.191810305206375915e+02 5.207906644378895322e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -4.594248144415412298e+02 -4.654275287282325166e+02 6.500000000000000222e-02
-4.654275287282325166e+02 6.720526346319986999e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -4.451795800817615714e+02 -4.511847943684529127e+02 1.340000000000000080e+00
-4.511847937161355730e+02 2.531845266157134944e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.306786692276572808e+02 -4.366863835143486199e+02 1.810000000000000053e+00
-4.366863830091986642e+02 1.124325485358808407e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.301496444538140622e+02 -4.361598587405053991e+02 1.679999999999999938e+00
-4.356957132605688230e+02 1.034952291347970066e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -4.215903991805706710e+02 -4.276031134672620055e+02 1.520000000000000018e+00
-4.276028077202850568e+02 4.339897185541127911e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -4.203997677186598594e+02 -4.264149820053511917e+02 8.050000000000000488e-01
-4.261488682808679300e+02 4.378882937946640297e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -4.200427194303334772e+02 -4.260604337170248073e+02 7.449999999999999956e-01
-4.254105265527670099e+02 4.397002402663643394e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -4.150832167582925649e+02 -4.211034310449838927e+02 5.849999999999999645e-01
-4.210900483698323455e+02 2.295755853921030987e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -4.145685708448422702e+02 -4.205912851315335956e+02 9.699999999999999734e-01
-4.201167410397670778e+02 1.049376691774424941e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -4.073480710782539518e+02 -4.133732853649452750e+02 1.260000000000000009e+00
-4.133721074915446820e+02 3.471454621930212259e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -4.027847605687298937e+02 -4.088124748554212147e+02 3.449999999999999734e-01
