weight logl pFat pLiver pSlow kMet fAbs
2.801168116178908655e-300 -7.030957491650002567e+02 4.751340857553172725e+01 6.177915128438058900e+02 4.483570616117921759e+02 6.475115258824357625e+02 1.514041243507602275e-02
7.081899618222789771e-231 -5.432873720835685845e+02 1.034877507058687911e+02 5.600753683614708933e+01 3.625504672985162529e+02 9.767942659221486110e+02 7.106637650632730008e-02
2.005349602953767166e-221 -5.215207449218826241e+02 3.893420075576212724e+01 5.499633278566711851e+02 6.156191650441065804e+02 5.546616443785017054e+02 3.462465893547439499e-02
8.375011110415106488e-218 -5.131810556496951676e+02 4.645123120492366411e+02 4.634449059862204194e+02 7.929552226554792469e+02 4.176329783046654143e+02 1.063014658045613459e-02
1.853269507540285450e-194 -4.594248144415412298e+02 9.376216019599561378e+02 9.165633679109450895e+02 4.473033699015061870e+02 9.258594889475220953e+02 2.400217356465295104e-02
2.841054205567244391e-188 -4.451795800817615714e+02 9.768736443070311282e+01 2.236834693965885776e+02 5.339833254835762091e+02 6.504568788475513657e+02 5.358129292445112934e-02
5.624181793512360396e-182 -4.306786692276572808e+02 1.317342206194752237e+02 1.443981482714510776e+02 8.619773888989930128e+02 8.287999828870435977e+02 7.248013276343356903e-02
9.521955643295236374e-182 -4.301496444538140622e+02 5.570088668629200583e+02 8.438893572792444502e+02 7.380987463325056979e+02 4.282314301329035970e+02 1.440915281180410457e-02
4.953057950852601974e-178 -4.215903991805706710e+02 5.383549232640403943e+02 3.515311294379417291e+02 2.157205397164106842e+02 5.498170754715635411e+01 2.703557145192214684e-03
1.625071025142219967e-177 -4.203997677186598594e+02 3.442003139024614029e+02 9.096822217381695452e+01 8.426887847165007770e+02 9.269156439614081364e+02 7.258457087957936871e-02
2.316598187068114049e-177 -4.200427194303334772e+02 1.040210634568471448e+02 9.470392542000639651e+02 8.110608083039940084e+02 7.997971567618747031e+02 5.446434817591139232e-02
3.293438965051285353e-175 -4.150832167582925649e+02 3.281861371864716830e+02 9.768557281743409249e+01 5.160013307874521615e+02 9.055453709591411098e+02 7.558278629846670871e-02
