pFat pLiver pSlow kMet fAbs
3.299110573663098478e+01 1.803565526815930582e+02 6.862329654289784742e+01 2.209455476134351670e+02 6.653313381390433268e-01
1.201740093824326578e+02 5.006962305992774418e+02 5.341719487081156359e+01 6.037402552326008731e+01 6.535680684870810719e-02
8.908995525548900218e+01 7.124414924556907636e+02 5.165020474284684582e+01 3.893890114178993826e+02 4.341348418110447804e-01
1.328076535217878700e+02 3.787980327558051385e+02 3.577770703437843736e+01 1.459797799836159982e+02 3.232581825146054189e-01
1.079130519843917568e+02 2.615134714761152281e+02 4.514344964994075582e+01 9.841714764710948771e+01 1.636336833363206955e-01
7.728152664636913016e+01 4.586248518791020956e+02 7.843992998961493868e+01 1.317664541860876000e+02 1.795972230454228324e-01
2.047878085625529536e+02 9.196075810174436356e+02 8.492540547071581614e+01 2.744463852715896905e+02 3.046687070803498765e-01
9.194086619114307268e+01 2.484428712497643232e+02 9.160386932037050656e+01 9.022420295399132328e+01 1.376214595827437992e-01
8.398069843813777879e+01 4.773319798370465605e+02 9.100854518798271897e+01 2.605345364880531633e+02 4.737667014593124337e-01
8.636365455580549622e+01 3.348396340927500887e+02 8.991529577574311816e+01 1.813051183843533352e+02 4.213586530703929411e-01
1.214867116011461121e+02 2.549182830909048505e+02 9.365487121531691628e+01 1.809979779481228661e+02 2.738416010847501969e-01
1.178586102238042628e+02 4.463468130350917136e+02 6.123607414081375566e+01 1.255421599579290444e+02 2.023986292250536667e-01
2.013302692362225343e+02 3.305228158644515588e+02 8.766529325093308955e+01 2.425137684062128471e+02 3.334763567724621236e-01
7.099640762462541943e+01 1.744346330485494718e+02 8.382590247541747885e+01 1.363588580113937496e+02 2.305388720096406552e-01
9.301710085820067775e+01 4.126818628647583864e+02 9.224119669428495172e+01 1.762085308820382465e+02 3.003632011038787075e-01
8.169523685055212070e+01 5.300294377723697608e+02 7.507236582165424466e+01 2.028652281813971285e+02 3.850929267127531364e-01
5.920784555561169071e+01 3.326849115392631688e+02 7.288613389677637144e+01 2.007089146851834016e+02 4.183200043403835222e-01
1.163241315569701868e+02 2.652613961751143847e+02 9.293826428164558706e+01 2.074976869426706969e+02 4.099033667591059360e-01
1.149537154928557641e+02 3.566618930287613125e+02 4.430269057844170533e+01 1.920810213718234820e+02 2.782253935570985215e-01
8.832039405817796762e+01 3.185414620699113470e+02 5.476070319450428059e+01 1.308311186570444136e+02 3.179822168789666059e-01
1.598345891841382240e+02 5.605673322222314710e+02 5.913513717515496637e+01 3.619982485411624680e+02 4.435131076175633513e-01
8.584224344049489730e+01 2.923243897429157414e+02 5.649554691408591367e+01 2.877903507126742397e+02 6.273881329291857156e-01
1.502761461460538897e+02 2.186165377408998722e+02 5.811031474063840818e+01 2.087073238665216195e+02 4.064743799666434843e-01
5.795155249372683670e+01 2.084631221502084486e+02 7.871863742807683195e+01 3.332607294210704367e+02 8.861863178311731870e-01
6.049906405822128619e+01 2.804552289414869506e+02 9.751471735912144823e+01 3.298570971738178059e+02 8.654260736224791417e-01
1.300053003457470027e+02 3.622412143450897020e+02 3.880229976241289336e+01 1.328448921678231045e+02 1.915755935419958811e-01
1.194166025375917997e+02 4.835799476863633686e+02 5.431525611539699838e+01 2.195343504393262322e+02 2.836028532208499930e-01
8.627794803385657474e+01 4.177618004960350504e+02 2.934061849416389478e+01 1.459107031714430605e+02 2.546058713223247616e-01
3.850344491500007393e+01 2.104107156478465583e+02 7.933878671940064464e+01 2.831313209445067400e+02 9.555761964627701444e-01
1.151194860672403166e+02 3.890107318254983397e+02 4.383503985403130088e+01 5.773278210673382915e+01 6.250825356861705595e-02
6.728546030466290517e+01 3.635182623443772627e+02 1.057523780322130236e+01 9.217209473468946612e+01 2.344337315200745453e-01
1.458549373975905326e+02 6.453344987612628074e+02 5.976907190086285482e+01 9.964922597563980844e+01 9.866959887290160935e-02
1.559545520394518121e+02 3.921016540079320407e+02 9.347335916255181587e+01 2.718365370956134939e+02 3.581716933653751322e-01
6.917745886406740397e+01 4.327965575846681645e+02 9.001472572006981920e+01 2.844776808073706889e+02 6.321571104890026938e-01
6.653942930456557292e+01 2.294539042375680538e+02 9.103705036214182655e+01 2.594950036726373810e+02 5.074126654841103479e-01
1.215645146036661259e+02 8.342456194280820228e+02 5.278457857414824161e+01 1.108362019522596000e+02 1.094249673059298766e-01
1.121575469845949442e+02 3.928812597073292636e+02 6.152437861905608685e+01 4.053509634206383794e+02 7.574824473340602271e-01
1.227522550461563497e+02 3.331234193527368461e+02 9.163167844980641519e+00 5.632969832786285025e+01 1.063658295975478674e-01
