logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.177898461937287948e+03 -1.183891176223979301e+03 1.094999999999999973e+00
-1.183891176223979301e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -5.696393894176815138e+02 -5.756346037043728074e+02 5.200000000000000178e-01
-5.756346037043728074e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -4.514588057129057006e+02 -4.574565199995969920e+02 3.250000000000000111e-01
-4.574565199995969920e+02 2.541496739489510333e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -3.824391877187350701e+02 -3.884394020054263592e+02 9.599999999999999645e-01
-3.884394020054263592e+02 6.926637540759297451e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -3.780413451897341020e+02 -3.840440594764253888e+02 8.950000000000000178e-01
-3.840318002738366090e+02 5.243217390464575800e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -3.754439084199189551e+02 -3.814491227066102965e+02 9.649999999999999689e-01
-3.813762706649203551e+02 2.653293006502696727e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -3.721148266969494784e+02 -3.781225409836408176e+02 1.489999999999999991e+00
-3.780846385797057678e+02 2.122990191384108716e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -3.669043407783719886e+02 -3.729145550650633254e+02 1.804999999999999938e+00
-3.729088870644760050e+02 3.242645715882350288e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -3.566665693260297871e+02 -3.626792836127211217e+02 1.699999999999999956e+00
-3.626792475272954448e+02 6.465575771324475696e+00 -2.249999999999999917e-02 4.000000000000000000e+02 -3.521811490650535461e+02 -3.581963633517448784e+02 1.449999999999999956e+00
-3.581851259557585081e+02 1.886957055211223366e+00 -2.499999999999999792e-02 4.000000000000000000e+02 -3.502772349173350221e+02 -3.562949492040263522e+02 1.745000000000000107e+00
-3.561542788839232117e+02 2.038456384515885844e+00 -2.749999999999999667e-02 4.000000000000000000e+02 -3.484975434186985694e+02 -3.545177577053898972e+02 1.314999999999999947e+00
-3.543398993945923507e+02 1.528413813347494044e+00 -2.999999999999999542e-02 4.000000000000000000e+02 -3.464660386474961911e+02 -3.524887529341875165e+02 1.300000000000000044e-01
-3.523428732188898493e+02 1.259776038706388546e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -3.379201579958884736e+02 -3.439453722825797968e+02 6.350000000000000089e-01
-3.439451468780006280e+02 2.274890158761547543e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -3.352066957595087615e+02 -3.412344100462000824e+02 2.550000000000000044e-01
-3.411700392281823611e+02 2.297947792854230897e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -3.161000205646315635e+02 -3.221302348513228822e+02 6.250000000000000000e-01
-3.221302348459387304e+02 7.189198916767995939e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -3.020929243840326990e+02 -3.081256386707240154e+02 1.445000000000000062e+00
-3.081256378430087466e+02 6.937301310993634118e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -2.924359922515367316e+02 -2.984712065382280457e+02 1.814999999999999947e+00
-2.984711423995756263e+02 7.601871199673507107e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -2.873469899528041651e+02 -2.933847042394954769e+02 1.290000000000000036e+00
-2.933785432644611433e+02 2.120084900243738080e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -2.778479862889587366e+02 -2.838882005756500462e+02 1.949999999999999956e+00
-2.838881250003068999e+02 5.141486627049836500e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -2.767737725482433007e+02 -2.828164868349346079e+02 1.465000000000000080e+00
-2.825219927127144501e+02 5.683768027803252743e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -2.692305893772470426e+02 -2.752758036639383477e+02 1.179999999999999938e+00
-2.752750910319284685e+02 6.473428446805439940e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -2.528112561674659844e+02 -2.588589704541573155e+02 1.919999999999999929e+00
-2.588589703799290191e+02 1.411391480384078712e+01 -5.750000000000001638e-02 4.000000000000000000e+02 -2.517735722300884618e+02 -2.578237865167797622e+02 9.799999999999999822e-01
-2.575198661957950890e+02 9.818230834091613346e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -2.502290438658064033e+02 -2.562817581524977300e+02 5.500000000000000444e-01
-2.560271684637193061e+02 1.177425420597474792e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -2.475789208523427192e+02 -2.536341351390340435e+02 1.360000000000000098e+00
-2.535467176956204582e+02 1.745221178849857946e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -2.379141816043018594e+02 -2.439718958909931814e+02 1.199999999999999956e+00
-2.439718264377319201e+02 3.314763672446864096e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -2.351185689721455674e+02 -2.411787832588368872e+02 5.400000000000000355e-01
-2.411193503281728852e+02 1.686746855678106227e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -2.243475764908600638e+02 -2.304102907775513813e+02 1.590000000000000080e+00
-2.304102684361876356e+02 6.225723210904906324e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -2.195585580847057088e+02 -2.256237723713970240e+02 4.099999999999999756e-01
-2.256154653357745303e+02 7.999844442187773019e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -2.149009320077640268e+02 -2.209686462944553398e+02 1.294999999999999929e+00
-2.209590999408166567e+02 8.343820551706011557e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -2.147096317465176583e+02 -2.207798460332089689e+02 9.849999999999999867e-01
-2.201723146769495258e+02 8.472622715247833725e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -2.140242492109008481e+02 -2.200969634975921565e+02 5.450000000000000400e-01
-2.194407823495217542e+02 6.665201359670249737e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -2.134992541205680823e+02 -2.195744684072593884e+02 5.050000000000000044e-01
-2.188122458641753099e+02 1.851217617538412075e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -2.095108074296474854e+02 -2.155885217163387892e+02 9.899999999999999911e-01
-2.155494870431368497e+02 2.181487376387374333e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -2.078253267384083358e+02 -2.139055410250996374e+02 2.650000000000000133e-01
-2.137288887568977032e+02 2.445096747703222384e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -2.076310742802253912e+02 -2.137137885669166906e+02 6.500000000000000222e-01
-2.130281629796508582e+02 1.361265553933770578e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -2.068656709842552459e+02 -2.129508852709465714e+02 1.500000000000000000e+00
-2.122956306498764150e+02 9.826252704783896563e-01 -9.500000000000004274e-02 4.000000000000000000e+02 -2.057438796595382939e+02 -2.118315939462296171e+02 1.580000000000000071e+00
