weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.177898461937287948e+03 2.446335723293890112e+02 4.333967560044526408e+02 9.657358667092297821e+01 5.452259739222773760e+02 2.944928412618175173e-04
4.489751859269234054e-244 -5.696393894176815138e+02 5.131437727077075124e+02 6.499525734234510992e+02 6.250505352618573873e+00 8.060009276883752136e+02 3.917117743900022653e-03
9.469171315728803204e-193 -4.514588057129057006e+02 6.867389501758420067e+01 7.647955012357178930e+02 4.290726438339201820e+01 7.468033087215021126e+00 9.878397683719017941e-01
8.913853160309388224e-163 -3.824391877187350701e+02 4.738255499479020614e+02 2.787020361292569532e+02 8.783794196882102767e+01 9.707339724668820509e+02 1.765815718350838281e-02
7.226674302143094662e-161 -3.780413451897341020e+02 4.080171887933100834e+02 1.120378458911252579e+02 5.938245595630271545e+00 1.082997597498830444e+01 7.829513599171483706e-01
9.680665232505092493e-160 -3.754439084199189551e+02 1.339969310507592013e+02 1.100236368612631299e+00 2.157953901140854924e+01 4.011501171499281213e+02 1.866586379736091539e-01
2.695387983723091218e-158 -3.721148266969494784e+02 1.134949230885770817e+02 1.162713703800170322e+02 4.798281947105492407e+01 2.312178209100504311e+00 5.686713347576182187e-01
4.925165562765653549e-156 -3.669043407783719886e+02 5.598398688907682299e+02 1.380497133375588881e+00 7.247536951033623609e+01 6.284751806157421470e+02 2.144300084173517140e-01
1.372596056174215279e-151 -3.566665693260297871e+02 2.531537123618044234e+02 8.044370147185989026e+02 1.159241293434533482e+01 1.234241872891148262e+01 5.101446166342687993e-01
1.214647550994044807e-149 -3.521811490650535461e+02 5.343253702731381338e+01 5.554108713061576452e+01 8.125469482640995977e+01 7.963333070214541749e+02 6.325790393560837277e-02
8.132497735729439278e-149 -3.502772349173350221e+02 4.677240816305142346e+01 3.183463885057393554e+02 2.009108668327262492e+01 5.153126343767540902e+02 2.363658367478582711e-02
4.808929521205944951e-148 -3.484975434186985694e+02 4.677482509836309532e+02 2.012335159801771169e+02 9.560538275063663605e+00 6.440311444424282854e+02 1.687711466406294214e-02
3.657918189104538123e-147 -3.464660386474961911e+02 4.615622741638256912e+02 9.292428324296515711e+02 2.278084780348157778e+01 1.101845906224023253e+01 3.625886635406798675e-01
