weight logl pFat pLiver pSlow kMet fAbs
1.429464799001751783e-259 -5.994738473280154949e+02 9.446818022964037498e-01 8.876677370832886105e-01 2.696414680461658442e-01 6.942770000883370374e-01 1.649219243176180960e-03
3.618625010498150780e-228 -5.271624154306550736e+02 6.113386599542933730e-01 8.100372919386092940e-01 5.889507574879023766e-01 7.304536536738573949e-01 2.547811320089632403e-03
1.597173353140703057e-150 -3.483761368868643444e+02 1.673047792992232718e-01 9.356914142711891813e-04 1.100496385945002320e-01 5.569476865919308350e-01 1.823580387367176314e-01
4.286695519768156631e-150 -3.473863561384356444e+02 4.229928428997409284e-02 8.364823319310086269e-01 5.601919439744396101e-01 8.183340857905377907e-01 1.848785017846221734e-02
1.967378036526533234e-117 -2.721773625203163647e+02 9.606779724796472575e-01 4.715619467245186769e-01 6.750471534370744431e-01 2.808004542181707919e-02 9.624634849026193484e-01
1.136636460797239459e-114 -2.658157355234677084e+02 9.824616231371275932e-01 2.465005305248801903e-01 2.689915398432836113e-01 2.226073216491020190e-02 6.898802849138994109e-01
5.167299299223852484e-110 -2.550886184069146907e+02 7.180504377517339387e-01 5.382659184534110963e-02 4.766306554369914572e-02 4.314702003892935123e-01 3.192470667604263568e-02
1.750393362661299425e-109 -2.538660429453529446e+02 9.034320475431527608e-01 6.478263464220516132e-01 3.154158530951490791e-01 7.261235896712848747e-01 1.508392236518374396e-02
1.689489193191975739e-108 -2.515963721630006660e+02 4.117505162989123502e-01 2.988135611828544036e-01 6.317757019498456694e-01 9.444184126480292818e-03 8.874924504728531893e-01
1.795973728243982630e-107 -2.492301659588584641e+02 4.133393661576161282e-01 8.835149954141798823e-01 6.633721721445874353e-01 1.602415233400911188e-02 7.031649939186265241e-01
1.036550978170024649e-97 -2.267514635360894033e+02 6.291052473650109444e-01 5.824599110030628246e-01 4.917255146173282743e-02 6.680522580019943035e-03 1.658983861038282326e-01
5.855523667240642442e-97 -2.250174769383905300e+02 6.267381710675438145e-01 4.349164746968333661e-01 9.113220667198757008e-01 9.718596439525123420e-01 2.766965957008915566e-02
4.558675192431653837e-94 -2.183575750384430023e+02 6.209295149877436248e-01 3.376070955307256538e-01 8.270548865478789535e-01 1.682962727110531853e-01 4.001751728442859424e-03
2.640697055242411744e-91 -2.119933088944167139e+02 2.850747879059196688e-01 6.069598193259427843e-01 7.010335378127438011e-01 1.956878561468744504e-02 7.273313460803770836e-01
5.693112834237371576e-88 -2.043148393642251790e+02 5.693851575615862526e-01 8.703635487758090150e-01 8.820463638531715889e-01 5.502271591097895875e-02 8.324426124878263611e-01
1.095432682016117825e-86 -2.013552769192164078e+02 1.175450758219057645e-01 1.610109900975260633e-01 1.131409367850166880e-02 9.756552874733847025e-01 1.183254508002210548e-01
