weight logl pFat pLiver pSlow kMet fAbs
3.193668342132300906e-285 -6.759570136785617933e+02 6.843927803082072714e-01 8.037951332226397350e-01 9.921950370898091620e-01 6.403013000910284802e-03 9.101302320764639298e-01
7.508763170778184248e-281 -6.658892727519694290e+02 8.553269092431781129e-01 9.268296273150017361e-01 3.201180741074353131e-01 2.889112265467040919e-01 3.050560845438976543e-04
1.589247196486053626e-249 -5.937568600946135575e+02 8.071739658068528556e-01 9.207933653741745550e-01 9.153057614465134328e-01 2.412168718693652458e-03 4.568641437276613759e-01
2.251318640966067638e-246 -5.864983491512156206e+02 5.978314940973924463e-01 6.372520241944346076e-01 7.020182986737403263e-01 1.182264583113323830e-02 7.515062907260791070e-01
8.773231327459214985e-243 -5.782279047885216414e+02 1.951551100837997099e-01 4.196550202517592698e-01 9.995942119048429886e-01 5.695740192830367477e-03 8.758362170374567324e-01
1.732576728756192956e-229 -5.476113089385335115e+02 4.042941321700711521e-01 6.845123792152912889e-01 9.702185104340582678e-01 1.276416062842411492e-02 7.462727480947646264e-01
3.220886138951638215e-228 -5.446861770643946556e+02 7.548401998459639550e-01 7.133676723610128390e-01 8.645270112962344378e-03 2.070774810009945455e-03 2.006600247224549216e-01
4.603981639800031207e-211 -5.051824655006527109e+02 3.324842777760008694e-01 5.129043541192012112e-01 7.143215175748403034e-01 2.161990718798345590e-02 9.773861789641911102e-01
4.938341793612882267e-209 -5.005046872120950638e+02 1.694345785944620930e-01 4.679450793371427997e-01 8.283337726770249043e-01 8.100861501134426490e-03 6.141523729495618200e-01
8.713088910038542827e-207 -4.953292202641541735e+02 6.204603085697825149e-01 9.871082678434389690e-01 6.384564184464520675e-01 3.261308030973497640e-02 8.896481027946052667e-01
2.943187519374682324e-197 -4.733862025174033761e+02 5.108433688697697761e-01 3.840785472157689506e-01 7.358051765662085852e-01 1.838977671766317545e-02 6.906356295909663601e-01
1.610757955448712278e-192 -4.624735653887412923e+02 9.754543484301347878e-01 6.507452531777874194e-01 1.974408471605746396e-01 3.412111266832196232e-02 8.395909630443717520e-01
2.319905178085092841e-185 -4.459881482724512125e+02 6.892987258294925867e-01 6.170194619185387364e-01 4.973667019565858327e-01 2.396624273902769886e-02 5.710630179819883301e-01
3.765196641067170039e-182 -4.385936192182059017e+02 8.851168747543665116e-01 6.843363799962400851e-01 4.719772984641544822e-01 2.202326450246394618e-02 4.463273633343524116e-01
