pFat pLiver pSlow kMet fAbs
5.240285375454879357e+01 1.028596551661164256e+02 3.691823640293545736e+02 5.997878200387012839e+02 9.673705655958673155e-01
9.007328248982047114e+01 1.332471321035454253e+02 2.625471871326980704e+02 3.775265043129749074e+02 4.513234090759152828e-01
8.727088473383167866e+01 1.689974610097021639e+02 2.980923273470131676e+02 3.700238144438616814e+02 3.826411717693160575e-01
1.181237880494070538e+02 5.057413202864083814e+02 2.935482666389086717e+02 5.278620505432718346e+02 3.490317335218319217e-01
1.174130245547095939e+02 1.163038882149845534e+02 4.185952548627835199e+02 5.659853042596031401e+02 5.684992125790682138e-01
7.242096931899132528e+01 1.156872027113858366e+02 1.009314759575721467e+02 1.650621934761481100e+02 2.402790640222101648e-01
1.759935422583210993e+02 1.868209998320152181e+02 3.505974823840376757e+02 6.495377082924583192e+02 5.157979510029340187e-01
6.850456425523906034e+01 1.405704978049183467e+02 2.199024814692004952e+02 3.013728970090063513e+02 3.829442647120525622e-01
1.506376320258003716e+02 1.601961769100596484e+02 2.250369354073290538e+02 7.072769769797110939e+02 8.212495521567603207e-01
1.074350474619788827e+02 2.610428481637585492e+02 3.107778499952395350e+02 6.288305415347974758e+02 5.325105057712945511e-01
1.248034558326716166e+02 3.693810689781432188e+02 3.242947286347373392e+02 7.746017148941309642e+02 6.105909953507365762e-01
1.131548838936166419e+02 2.675153035052605901e+02 4.140123149922458197e+02 7.346983641346023433e+02 6.041812985802472724e-01
1.206941396886890487e+02 1.239277464780166866e+02 2.708036928071134071e+02 5.759961835145309124e+02 5.846554016823206634e-01
1.085895246140541701e+02 1.063982275878917534e+02 2.940411021776442340e+02 6.611072707930181878e+02 9.933877943985228720e-01
7.995990748911350465e+01 2.859644835158827618e+02 2.283360710569353955e+02 4.266804028523388297e+02 3.453279952378304762e-01
1.326627043646350330e+02 2.794523826863220961e+02 2.545977140813361075e+02 6.453415449510169992e+02 4.375454426866209889e-01
1.699590055753731690e+02 1.286424270889013712e+02 2.423255970630501963e+02 6.410909903598898154e+02 7.802086376678127877e-01
9.271759605021756556e+01 1.367482075493936122e+02 2.472759467002206577e+02 4.307593548259050635e+02 3.893916623474948935e-01
7.686002095152360880e+01 1.113847660906352388e+02 3.281878460207983039e+02 7.001503195209016894e+02 8.871849464818786224e-01
8.859051222235011380e+01 2.595275467227357353e+02 3.423565452943153105e+02 4.983949192654921490e+02 4.427531250178868838e-01
9.114399255947661516e+01 1.507845320027715275e+02 2.281997017021346039e+02 5.273559028231182992e+02 7.747883585839071552e-01
1.555705388538583236e+02 2.344666569967723433e+02 2.158186736485367589e+02 5.116633268788791611e+02 4.295339740584653843e-01
9.581542847837923205e+01 2.779176205755379669e+02 4.393516625911321398e+02 5.624902018121319998e+02 3.763666651721424561e-01
6.304881030391604924e+01 1.177582566847023742e+02 4.271635128110608548e+02 7.241283693968504167e+02 9.990664004830855927e-01
1.103860668968082308e+02 2.763711784570963346e+02 3.586423874901740874e+02 5.789618444950567664e+02 4.679025447862772413e-01
1.018832593724892632e+02 2.337488628931875496e+02 4.927592982302342648e+02 5.600762974571989616e+02 6.063259926457085225e-01
7.909496685571052410e+01 1.983871771272421825e+02 4.530771306330188395e+02 5.951577037335553086e+02 8.143867696003739276e-01
1.046068989180466247e+02 8.903399731127160521e+01 4.150571605071514227e+02 7.670144429651790006e+02 8.115162213853056583e-01
6.817903222619142412e+01 1.303470073982752240e+02 4.279696177401747264e+02 6.772935103846192533e+02 6.589928744436635011e-01
1.514689559685881761e+02 2.322747712593268261e+02 1.199346262185874536e+02 1.982221794980954144e+02 1.463527455535524879e-01
1.236310658392593638e+02 1.745728987938224179e+02 2.062544006696793986e+02 6.253384809367005346e+02 5.470296805564567322e-01
1.080926785479703511e+02 2.488045665587952442e+02 4.827345141169623730e+02 4.228357569512382952e+02 3.467463389157215969e-01
6.321338493623897392e+01 7.604213447651579827e+01 4.467353925782222177e+02 6.152289518004434967e+02 9.429060073415277410e-01
1.223675822262903807e+02 4.820696572052071360e+02 4.117870458928985045e+02 7.896971189097454271e+02 3.508789139915938771e-01
9.215975519719886222e+01 1.496557318811152300e+02 3.570801666985099700e+02 6.157583399436310856e+02 6.838398270931893563e-01
2.195590242799346186e+02 2.879274543068285652e+02 3.405846606619834915e+02 7.980071396901522576e+02 6.435383142904723686e-01
1.795663082983560912e+02 4.845820885689608986e+02 3.093158601574559157e+02 7.854411059904299464e+02 4.639896376285845836e-01
1.571267091210440583e+02 2.013270792208299440e+02 2.374012140442122245e+02 3.289968753575020060e+02 2.986201157219734448e-01
6.728978609303581493e+01 1.695631934693176675e+02 3.454594543198666656e+02 5.831868813792424362e+02 5.307747751023186300e-01
1.018832593724892632e+02 2.337488628931875496e+02 4.927592982302342648e+02 5.600762974571989616e+02 6.063259926457085225e-01
1.282567693550085437e+02 1.079457600921911791e+02 4.856708458234492696e+02 5.346550073789703674e+02 5.325225757968173879e-01
1.198693228462428380e+02 1.447000088304239682e+02 3.445382649601660887e+02 5.683750095325716529e+02 7.079970396972254942e-01
8.452334863713375057e+01 1.118523004700225272e+02 1.784521641379095058e+02 5.178791097984255885e+02 9.465981638525180486e-01
2.124589647128777017e+02 1.382730739547554037e+02 4.692883339984934992e+02 6.826914734675316367e+02 5.149869773514981208e-01
5.232815457960165872e+01 9.440312069886934410e+01 1.742051127142132430e+02 3.708014945848437947e+02 6.231469912243843279e-01
1.091603869849460153e+02 2.587671668657183659e+02 3.413305824284322512e+02 6.279423508302465962e+02 6.173885097585277704e-01
1.140708264345747409e+02 1.782319582911846396e+02 3.300360303931366275e+02 6.804521034714771304e+02 7.491347504507672728e-01
6.843887815143169462e+01 1.560621952772876000e+02 2.127261238215935464e+02 7.507190913532930381e+02 6.561946431263868673e-01
1.317539017524816813e+02 1.794061510700352358e+02 2.156067144000576548e+02 5.634333969060528489e+02 5.558849164946157995e-01
1.606470090182804142e+02 1.016163778822736248e+02 4.877063584635072289e+02 6.836091523943991888e+02 7.497981464541402241e-01
1.034166888805042959e+02 1.798685610695989396e+02 3.931813118903634745e+02 6.343039337517475360e+02 6.907971174381533075e-01
1.266981062467529568e+02 3.663976754528487731e+02 3.496535690747770673e+02 4.757315640652965953e+02 2.847837952306773168e-01
8.835790076967333562e+01 1.385282433689847323e+02 4.054894701947302451e+02 7.992109956186792488e+02 7.891037093229822386e-01
1.592647922519859947e+02 1.983653646636949475e+02 4.005102077958229074e+02 7.815677461281040905e+02 7.521238422051541583e-01
1.156253287796695588e+02 1.268092838856316149e+02 3.281803684746564613e+02 6.502118948636056075e+02 8.394715680458166851e-01
8.110834955365351107e+01 9.790897468483730393e+01 2.435861405389369736e+02 4.556267022106635523e+02 5.908886681241286576e-01
5.973655423546664167e+01 9.790739609124450737e+01 2.578226789727598316e+02 4.678483357763878985e+02 6.511282552667327916e-01
1.396465906071059635e+02 1.570035711303956134e+02 3.203289413975756474e+02 5.515902893508711031e+02 5.860371820826520972e-01
1.390587434772598385e+02 1.750116079355684917e+02 3.108313304657064577e+02 6.808169696991191131e+02 8.040880704656068190e-01
1.095486577585843406e+02 1.490516892229049688e+02 4.068396897882307144e+02 7.940296096746808416e+02 9.486318596344507359e-01
7.743882691792646256e+01 1.056103835364048820e+02 4.361479892927388278e+02 6.936377883596601350e+02 8.255402791523910322e-01
1.327764440730687738e+02 4.364024171076958396e+02 2.655348016499609116e+02 6.426878533398794389e+02 5.469541619916487019e-01
1.344009778914899584e+02 2.244734555151154041e+02 4.873597345366544005e+02 7.175941902396143632e+02 6.010307107171036778e-01
1.050133401721375037e+02 9.347676155803208076e+01 3.985623829248751235e+02 6.537187300012994911e+02 8.369397409585164205e-01
7.479587290372865027e+01 1.090418903658397056e+02 2.618367662817220776e+02 3.716690536852069044e+02 3.801635077285014930e-01
1.585301503635336360e+02 1.419347924385192812e+02 2.894206587964259825e+02 6.894845134468673677e+02 8.352828098426087200e-01
9.971269403436791379e+01 1.859484186058896569e+02 2.234888471057643642e+02 7.649255068763153531e+02 8.185105597560254909e-01
7.117439050662889599e+01 1.710435528472515898e+02 3.624839829759594636e+02 6.258085981082155058e+02 7.907603688485242976e-01
1.014829629595336797e+02 1.459958345155336303e+02 2.395122486754389683e+02 4.236535071411159379e+02 4.428819566116439788e-01
