weight logl pFat pLiver pSlow kMet fAbs
7.476836175824438222e-213 -5.036491308702268839e+02 5.380398960885496535e+02 3.673762343681472089e+02 4.410862741652138652e+01 5.903391392588316577e+00 4.326544330182267029e-01
1.091932190973401948e-198 -4.710317154274621316e+02 1.751028432897024061e+02 7.520915852618566078e+02 1.548978363922558401e+02 1.344015289061573348e+01 8.091968598641783306e-01
1.179509247600254326e-196 -4.663468955605841302e+02 8.459438183940528688e+01 2.172426866079057675e+02 3.421678884421304190e+01 5.496220811390977623e+00 5.665402047158895060e-01
2.673515636399515958e-187 -4.448028338596919298e+02 4.167098229253251418e+01 6.818816315446732688e+02 1.415322123860441650e+02 5.404223989603824663e+00 7.442588599882221656e-01
8.073327869660087165e-168 -3.999460456441561860e+02 3.002521828683624108e+02 7.892385787740510068e+02 2.881973968838249789e+02 2.988109562018537702e+01 8.321139014663962996e-01
2.342744210905543067e-162 -3.873652778769421161e+02 5.128964432907893070e+02 5.826283859690087183e+02 2.198299371381453682e+02 2.006923507504655646e+01 5.256424733019244844e-01
7.832650596564903328e-155 -3.700377042371363814e+02 5.470285805342316507e+02 2.931452745179716430e+02 2.448555047454124178e+02 4.683880095768695924e+02 2.496744684001739323e-03
3.621330043530832873e-131 -3.155446216023802890e+02 4.532735238007097678e+02 5.011487394238607180e+02 4.132572136768021664e+02 6.547412679864190466e+01 8.961211264081258010e-01
1.008806311682243983e-125 -3.030046846558402649e+02 5.592230757772720153e+02 5.942363561681456758e+02 1.170081496122944884e+02 2.739836719753877503e+01 2.889952570809775079e-01
3.384578809847451146e-122 -2.948839676689141811e+02 4.203077061943350827e+02 4.879703359770539919e+02 3.940764392648310377e+02 5.811891567747994713e+01 7.196407780473893512e-01
1.863046315170356033e-120 -2.908733140013009688e+02 5.914511678952222837e+02 3.940492361579308067e+02 2.006065219198438569e+02 8.304876271201557358e+01 9.286371829260993138e-01
