logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -8.161890780383673700e+02 -8.221817923250587228e+02 1.695000000000000062e+00
-8.221817923250587228e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.105117430998816417e+02 -6.165069573865729353e+02 5.050000000000000044e-01
-6.165069573865729353e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -5.367130223865045764e+02 -5.427107366731959246e+02 1.735000000000000098e+00
-5.427107366731959246e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -5.070193190311321132e+02 -5.130195333178234023e+02 1.074999999999999956e+00
-5.130195333178232886e+02 nan -1.000000000000000021e-02 4.000000000000000000e+02 -4.962130020594833582e+02 -5.022157163461746450e+02 2.949999999999999845e-01
-5.022156960245936261e+02 nan -1.250000000000000069e-02 4.000000000000000000e+02 -4.741218068724547834e+02 -4.801270211591461248e+02 1.354999999999999982e+00
-4.801270211588908410e+02 6.251638788215208464e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -4.721333952377034393e+02 -4.781411095243947784e+02 2.250000000000000056e-01
-4.780124916820165595e+02 6.766513964175712381e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -4.124151508891366120e+02 -4.184253651758279489e+02 1.110000000000000098e+00
-4.184253651758279489e+02 3.003138237914327036e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -3.859575686541546702e+02 -3.919702829408460047e+02 3.350000000000000200e-01
-3.919702829408427647e+02 3.778938435128647910e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.847486648977297818e+02 -3.907638791844211141e+02 5.849999999999999645e-01
-3.905020753846133630e+02 2.508262450354521889e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -3.691710715579853286e+02 -3.751887858446766586e+02 2.500000000000000139e-02
-3.751887856210503855e+02 2.967060814183993500e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.451766468629081714e+02 -3.511968611495994992e+02 1.850000000000000089e+00
-3.511968611495614141e+02 2.229128863205326283e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.339888274061345896e+02 -3.400115416928259151e+02 4.050000000000000266e-01
-3.400115278165007453e+02 1.027542943679130261e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.288521831252261336e+02 -3.348773974119174568e+02 6.600000000000000311e-01
-3.348715225297968914e+02 2.898716459656675237e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -3.218713848936541240e+02 -3.278990991803454449e+02 6.250000000000000000e-01
-3.278981622408550152e+02 4.828377689812031193e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -3.209586631509627637e+02 -3.269888774376540823e+02 7.349999999999999867e-01
-3.266503984936450138e+02 2.464880765568435272e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -3.138224561724493924e+02 -3.198551704591407088e+02 6.850000000000000533e-01
