weight logl pFat pLiver pSlow kMet fAbs
1.767935483970918573e-275 -6.929686232118851876e+02 1.850273784869810072e+02 2.709919900826208732e+02 7.055761535636275994e+01 8.778613439780373255e+02 6.745988427877214200e-03
2.127325036536511368e-262 -6.628474641364578019e+02 1.640626292387289027e+02 8.952941743665228387e+02 3.009539698124306639e+01 4.638609517454975162e+02 2.970098820328281874e-03
5.710876764612895326e-246 -6.250160954267913667e+02 3.166962530205553321e+02 1.878564494589553391e+01 5.556359287187082430e+01 9.238752904143658498e+02 2.305767291748161973e-02
1.558632171007696964e-181 -4.766441283198487895e+02 7.872922229428500884e+01 1.132084816354711876e+02 7.551988721060035914e+01 6.356241109568898082e+02 2.689773492599145666e-02
3.150272682613137041e-168 -4.460043417191054118e+02 3.679997427807116424e+02 6.757038481312922613e+02 4.731763075971448274e+01 9.571770265259908683e+02 1.608962397033730785e-02
1.497525664247958207e-154 -4.145093252432658915e+02 2.424910691334212913e+02 2.925263365392499395e+02 4.583167684857217239e+01 7.795596779570660146e+02 2.404421144716262226e-02
4.490290068941725379e-153 -4.111061370361992999e+02 8.876902093767449742e+01 7.367720545177525082e+01 1.634967821172259761e+01 7.016752855571784266e+02 5.100795970996097051e-02
2.359745721991271504e-143 -3.887211495409404165e+02 6.358621504600197483e+01 9.620291696566251005e+01 7.854464166249910306e+01 6.180691416860818208e+02 5.160693059268073313e-02
6.245880285017359471e-143 -3.877452813172407673e+02 5.913584756433772327e+02 9.613472426287536621e+01 9.724436874380181450e+00 1.734994080240282415e+02 5.992575591028725945e-03
7.494325679142817519e-143 -3.875605572511742594e+02 5.907823670091464692e+02 7.768317344114329615e+01 3.344564529662414998e+01 3.910427060437332898e+02 1.593673786634464129e-02
1.011330820800771519e-138 -3.780480108364050125e+02 3.340993521992722322e+02 1.544837992761093233e+02 9.715569156931010752e+01 6.922291727128318826e+02 2.800136133398245519e-02
7.236256796380176137e-116 -3.254208018427912066e+02 1.093582526422674128e+01 1.792799780003688852e+02 7.466214831821744724e+01 6.598471550804808885e+02 1.604900022716584385e-01
5.524753404934346808e-112 -3.164778269126219925e+02 1.045401951036386379e+01 9.645486001095911206e+02 4.188391864226399974e+01 5.559518808968261965e+02 1.114670916023386971e-01
1.306733093577781607e-108 -3.087066949536986158e+02 3.406481448121839151e+01 3.040575840367934575e+02 6.370145514141930754e+00 7.906167176093636044e+02 1.124719456020940589e-01
1.618482625449353379e-105 -3.015824808161248711e+02 6.053044466263831680e+01 4.044620624347810178e+01 1.672401674208540712e+01 2.104485921324559570e+02 4.798894244528495445e-02
2.978132562214457039e-104 -2.986675883353755694e+02 1.823385277142610050e+02 3.468843173452985411e+02 5.730425819969074297e+01 5.478034810104478538e+02 3.893769437419336565e-02
1.733232800556462805e-99 -2.876934709819578302e+02 1.717142709940254974e+02 6.038835735493573793e+02 2.173482060910136937e+01 6.530818860620083797e+02 4.658866268544992195e-02
1.241591163981802434e-97 -2.834193953777448769e+02 3.741924507716621520e+02 4.459231566115926739e+02 2.506817950813434948e+00 8.903734535660971687e+02 5.360010009929749852e-02
2.412417599131383324e-97 -2.827526597336807868e+02 5.848777416858490596e+02 2.641817130229337067e+02 4.495444145667369185e+01 6.036327266050444678e+02 3.464036738743281330e-02
2.981644292819088248e-93 -2.733279738350931893e+02 2.664385315561049765e+02 5.491514350764603023e+02 6.869128558680839092e+01 8.539278890545464265e+02 5.790270423825860657e-02
8.247223009314993462e-93 -2.723080722208009092e+02 5.866314603698490373e+02 7.937801252887760484e+02 1.405792981940169328e+00 3.606375265051694612e+01 9.804125025540209037e-01
1.215026875430557789e-91 -2.696155123773199307e+02 5.373260973357762396e+02 9.588163147218269842e+02 5.712556637162419548e+01 1.297671123220742073e+00 4.003768155773635984e-01
1.078010708892091181e-90 -2.674300760740950409e+02 2.273912990825424174e+02 2.685449621633312063e+02 4.806448849362558917e+01 6.000015519066308798e+02 5.608018316455032348e-02
1.993792779956487001e-87 -2.599048994572352740e+02 6.839061672258785052e+01 1.091558868443942742e+02 8.384529938821623318e+01 2.062114170356100260e+02 3.290102345764678304e-02
6.875825625753223111e-86 -2.563618413812325798e+02 5.752301212093396998e+02 2.587669496730059748e+00 1.257627620321676432e+01 8.329026500550802439e+02 8.967688739131770559e-01
1.500963343671083889e-85 -2.555786608845181149e+02 1.453945928057563606e+02 6.669371687904963437e+02 5.408808641840592202e+01 4.824737615458518007e+02 4.441904534063123577e-02
