logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.752044476927309233e+02 -7.811971619794222761e+02 1.810000000000000053e+00
-7.811971619794222761e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -6.954480966004765605e+02 -7.014433108871678542e+02 1.120000000000000107e+00
-7.014433108871678542e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.862692163542163826e+02 -6.922669306409077308e+02 9.549999999999999600e-01
-6.922668271919233121e+02 4.107580359858675934e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -6.394245967847766678e+02 -6.454248110714679569e+02 1.379999999999999893e+00
-6.454248110714679569e+02 2.019554274463066079e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -5.036139552348863049e+02 -5.096166695215775917e+02 2.500000000000000139e-02
-5.096166695215775917e+02 7.095671779048382177e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -4.455241617105441492e+02 -4.515293759972354337e+02 1.175000000000000044e+00
-4.515293759972354337e+02 7.144131096052710461e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.195238510626272728e+02 -4.255315653493186119e+02 8.750000000000000000e-01
-4.255315653493134960e+02 6.115898069661037795e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.088628811509577758e+02 -4.148730954376491127e+02 5.600000000000000533e-01
-4.148730719369799544e+02 1.668205957678630824e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -4.015110797784013243e+02 -4.075237940650926589e+02 1.479999999999999982e+00
-4.075231512152029723e+02 1.616596800360175834e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -3.674876045396067639e+02 -3.735028188262980962e+02 1.854999999999999982e+00
-3.735028188262980962e+02 2.969928594963646518e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -3.456762231738505875e+02 -3.516939374605419175e+02 4.000000000000000222e-01
-3.516939374602042108e+02 3.101132285286167090e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.448263147372460935e+02 -3.508465290239374212e+02 1.574999999999999956e+00
-3.504898872514787627e+02 1.542270754080150219e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.418610932794900350e+02 -3.478838075661813605e+02 1.030000000000000027e+00
-3.478125820267020458e+02 1.859741973325249154e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -3.331204095846789528e+02 -3.391456238713702760e+02 3.499999999999999778e-01
-3.391454517041323697e+02 2.658118626756390324e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -3.326204017862244768e+02 -3.386481160729157978e+02 1.280000000000000027e+00
-3.381730323468526649e+02 1.666731856143413015e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -3.311182085843538516e+02 -3.371484228710451703e+02 3.049999999999999933e-01
-3.368417203804744418e+02 1.906095013094546209e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -3.292699558199058174e+02 -3.353026701065971338e+02 1.050000000000000044e+00
-3.351082678153889560e+02 2.244901468500160480e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -3.270611516390874840e+02 -3.330963659257787981e+02 3.950000000000000178e-01
-3.329708492407594349e+02 2.281403467726377254e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -3.262890174120660731e+02 -3.323267316987573849e+02 7.149999999999999689e-01
-3.319046548402222356e+02 1.629406721080098652e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -3.259827240742476420e+02 -3.320229383609389515e+02 3.699999999999999956e-01
-3.312689015646815847e+02 1.070903336280647489e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -3.182897595738019163e+02 -3.243324738604932236e+02 1.150000000000000050e-01
-3.243315025975936123e+02 3.779230169764125513e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -3.143035559721432719e+02 -3.203487702588345769e+02 1.760000000000000009e+00
-3.203303071032025855e+02 4.908770608231749932e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -3.130241677440890840e+02 -3.190718820307803867e+02 1.284999999999999920e+00
-3.188218230801546156e+02 5.277532868722633275e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -3.078974291373324377e+02 -3.139476434240237381e+02 1.830000000000000071e+00
-3.139400311111450037e+02 2.356539216393273239e+00 -6.000000000000001860e-02 4.000000000000000000e+02 -2.918740669626625959e+02 -2.979267812493538941e+02 1.254999999999999893e+00
-2.979267811382999867e+02 9.658192350022359207e+00 -6.250000000000001388e-02 4.000000000000000000e+02 -2.866736493471013887e+02 -2.927288636337926846e+02 8.499999999999999778e-01
-2.927233507928509653e+02 2.442459365136444127e+00 -6.500000000000001610e-02 4.000000000000000000e+02 -2.827468601066681231e+02 -2.888045743933594167e+02 7.149999999999999689e-01
-2.887849037481282721e+02 2.527532576094376537e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -2.787866485313636531e+02 -2.848468628180549445e+02 1.104999999999999982e+00
-2.848275638935730854e+02 3.422940607155690707e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -2.784603176308471006e+02 -2.845230319175383897e+02 2.800000000000000266e-01
-2.839706027795106706e+02 2.773601971189001869e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -2.763211246991085659e+02 -2.823863389857998527e+02 1.479999999999999982e+00
-2.821997774865079691e+02 1.695899014833785801e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -2.749360026351282045e+02 -2.810037169218195459e+02 1.885000000000000009e+00
-2.807395211914812307e+02 1.210090780994548476e+00 -7.750000000000002720e-02 4.000000000000000000e+02 -2.709732125263585090e+02 -2.770434268130498481e+02 9.749999999999999778e-01
-2.770189095563025603e+02 2.328568280178469507e+00 -8.000000000000002942e-02 4.000000000000000000e+02 -2.703293252619053533e+02 -2.764020395485966901e+02 1.554999999999999938e+00
-2.759704968769002562e+02 2.607768536233221912e+00 -8.250000000000003164e-02 4.000000000000000000e+02 -2.674464216776596004e+02 -2.735216359643509350e+02 1.610000000000000098e+00
-2.734387739069852046e+02 1.224716676780093660e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -2.558918385638599489e+02 -2.619695528505512812e+02 1.004999999999999893e+00
