logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.234104004555551228e+03 -1.240096718842242581e+03 2.999999999999999889e-02
-1.240096718842242581e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.011369693492174520e+02 -9.071321836359087456e+02 1.685000000000000053e+00
-9.071321836359087456e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.513346667664832239e+02 -6.573323810531745721e+02 7.650000000000000133e-01
-6.573323810531745721e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -5.063766661894810568e+02 -5.123768804761723459e+02 1.080000000000000071e+00
-5.123768804761723459e+02 5.413513925076535571e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -4.698635116223545651e+02 -4.758662259090458519e+02 1.245000000000000107e+00
-4.758662259090458519e+02 1.811892854311176038e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -4.521637417770895127e+02 -4.581689560637807972e+02 3.649999999999999911e-01
-4.581689560431662471e+02 1.540271200089469517e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -4.487447680087576032e+02 -4.547524822954489423e+02 4.899999999999999911e-01
-4.547201816333513875e+02 1.562664262990257491e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -4.375605023424662363e+02 -4.435707166291575732e+02 1.935000000000000053e+00
-4.435707022462811437e+02 1.910485935768938859e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -4.158788287471804210e+02 -4.218915430338717556e+02 9.100000000000000311e-01
-4.218915430334872667e+02 2.373710603705031730e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -4.082469869736643204e+02 -4.142622012603556527e+02 1.050000000000000044e+00
-4.142617153977673752e+02 1.664242060261543799e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -4.064030603669662582e+02 -4.124207746536575883e+02 6.099999999999999867e-01
-4.122735035066694991e+02 1.622163115674824141e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -3.725963413972903027e+02 -3.786165556839816304e+02 2.449999999999999956e-01
-3.786165556839816304e+02 3.043525360591900153e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.712606133320053914e+02 -3.772833276186967169e+02 1.280000000000000027e+00
-3.770493431328918632e+02 2.460934767863279049e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -3.663189633157072080e+02 -3.723441776023985312e+02 1.510000000000000009e+00
-3.723351698777331649e+02 1.908622984975274406e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -3.647655821036420321e+02 -3.707932963903333530e+02 9.749999999999999778e-01
-3.705993923064551723e+02 2.008367710853883636e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -3.422868315813147433e+02 -3.483170458680060619e+02 6.049999999999999822e-01
-3.483170458677957413e+02 9.655875181393559714e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -3.207455480907617016e+02 -3.267782623774530180e+02 8.999999999999999667e-02
-3.267782623770106056e+02 1.392922041795642407e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -3.112183482341703780e+02 -3.172535625208616921e+02 1.530000000000000027e+00
-3.172534894978813895e+02 1.654953083126039814e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -2.985697565355316669e+02 -3.046074708222229788e+02 5.799999999999999600e-01
