weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.234104004555551228e+03 2.807659335388046884e+01 5.354751590884111465e+02 4.721995541412208013e+02 5.924476959234799551e+02 1.238859729889241201e-03
0.000000000000000000e+00 -9.011369693492174520e+02 8.827432837677984878e+01 7.494686172502881938e+00 3.229203092880950088e+00 7.519961294915500503e+02 2.362771512944195074e-02
3.617344629516159181e-278 -6.513346667664832239e+02 7.707240745442065588e+01 4.082074409802254422e+02 2.701039368516898094e+02 3.978910256925375961e+02 5.843687856951884640e-03
3.249106213517968801e-215 -5.063766661894810568e+02 4.972986530635018312e+02 1.491242187919744566e+01 3.783343221351285592e+02 7.454591202000103749e+02 4.263549693940071883e-02
2.334208885194800255e-199 -4.698635116223545651e+02 3.787576483988577252e+02 4.959222430223305764e+02 3.483782183364913863e+02 5.578723500464026301e+02 1.074853406298081904e-02
1.132312642755451404e-191 -4.521637417770895127e+02 3.251849662238099086e+02 7.726741550644894687e+02 1.942835388690173772e+02 6.779302447973329890e+02 1.546134545713229169e-02
3.449229259929541944e-190 -4.487447680087576032e+02 4.094564469797736592e+02 1.410017551553604847e+02 4.894407983992144864e+02 6.421248182611137736e+02 1.998775084769655042e-02
2.476858453353070585e-185 -4.375605023424662363e+02 2.321402718336609325e+02 2.237413864190812163e+01 2.874952110961941685e+02 7.181871095331187007e+02 6.440334923731394490e-02
6.442384675658478309e-176 -4.158788287471804210e+02 3.480417830005136182e+01 2.364126234002480942e+02 2.348948432821973142e+02 6.840961323227417097e+02 6.256090104592315626e-02
1.325646366635451441e-172 -4.082469869736643204e+02 2.475366703647839586e+02 5.731339359269777844e+01 3.752901019131008979e+02 6.922132409352254854e+02 4.650753501118232158e-02
8.358899428023101548e-172 -4.064030603669662582e+02 5.319281170527013956e+02 1.108634058885737375e+02 7.516958103779123235e+01 5.101794850237150172e+02 2.705536825124732481e-02
4.009912200052218397e-157 -3.725963413972903027e+02 2.375714968485208800e+01 5.631799859620832649e+01 1.600554803070295407e+02 5.682770871449941978e+02 1.305507991972825188e-01
1.521067389160032202e-156 -3.712606133320053914e+02 1.155840339134032888e+02 6.357685542965640479e+01 4.822626567296377971e+02 7.496822906957926307e+02 7.563951950350134013e-02
2.124193388492189858e-154 -3.663189633157072080e+02 5.922556726231395032e+02 2.838237188126670958e+02 1.374446240910440622e+02 5.702833235478149163e+02 2.453521135025049649e-02
1.001689693427959127e-153 -3.647655821036420321e+02 1.821116835085036314e+02 4.639374879633502360e+02 8.940782302106589441e+01 7.282984671398817227e+02 5.085513083065085205e-02
5.781556591310551102e-144 -3.422868315813147433e+02 5.593028687588218872e+01 5.893788760691890047e+02 3.048087183020110729e+02 4.068105942033586757e+02 3.262078926048950223e-02
1.306831510922564814e-134 -3.207455480907617016e+02 1.957631213034099105e+01 1.127727881197659201e+02 4.031499384795277052e+01 6.056381148166358344e+02 2.275193836268233349e-01
1.789551443293184006e-130 -3.112183482341703780e+02 2.312105517328672306e+02 2.522869461859623357e+02 9.249829971845269938e+01 7.541469450866817397e+02 8.133972370111486327e-02
5.557404772625023500e-125 -2.985697565355316669e+02 3.190137647474170279e+01 8.735077342567443281e+01 1.775717821745247420e+02 7.180939453269417072e+02 2.126884618058694221e-01
3.719931481501661691e-122 -2.920609272391644140e+02 8.149557348562434811e+01 2.664932860597957074e+02 1.181510736705665749e+02 3.593458085840318859e+02 4.987215066351002868e-02
3.309154939072046535e-116 -2.783599290789877045e+02 1.212549391614958338e+01 9.100130171690875613e+01 1.858297994811161118e+02 1.332505847918122583e+02 5.070826780720338878e-02
1.976117494738174555e-109 -2.627548922209482498e+02 3.666323852089890067e+01 4.078398355867183227e+02 2.484175281370564221e+02 5.853338712114295959e+02 1.202248951076774208e-01
1.635080108669215486e-107 -2.583366642941410873e+02 9.551692911308160205e+01 6.595009998673191376e+02 6.847781607482869504e+01 6.022171442700937405e+02 1.077167188575371970e-01
1.996772453811967047e-107 -2.581343239894864610e+02 4.023703699779472913e+02 3.722460099477568178e+02 2.692332067682456227e+02 7.437995782968697540e+02 6.361236578370221828e-02
