pFat pLiver pSlow kMet fAbs
1.070887373297474028e+02 4.462638445700241618e+01 9.211145124481865309e+01 9.344292506724288216e+01 9.373973534691893983e-01
2.002768348913033094e+02 4.973535539431740204e+01 3.856246433268812268e+01 6.428146945174805182e+01 4.016797766314627038e-01
1.549235808526728420e+02 4.293067133022238835e+01 7.749589716993315847e+01 6.664867855261638852e+01 5.676221815175721552e-01
1.685148785332841896e+02 2.307843207644096140e+01 7.162675743117685556e+01 3.522691988102241112e+01 4.820307382499515736e-01
5.536695553052405927e+01 4.309946375050620304e+01 6.537603836373135380e+01 5.000594385260728814e+01 6.225404544564123732e-01
9.693676911513766470e+01 3.000217265146980949e+01 7.354277108451695710e+01 8.108570261700975834e+01 7.396018003604273305e-01
9.573550294934723581e+01 1.901122414599387156e+01 8.127177020966682619e+01 5.828728714748357476e+01 9.815001122654971599e-01
8.298096481382413003e+01 2.623912113678438374e+01 4.879766186761853675e+01 5.722486777912658340e+01 7.292878871523841289e-01
1.766026000240750022e+02 3.429549533587377397e+01 7.920461720887296053e+01 1.040178996820223318e+02 9.160724321811964943e-01
1.406436793360469153e+02 5.601083626913433733e+01 4.999328205848649986e+01 5.274392979428608896e+01 6.134965188345431475e-01
9.478313176817918873e+01 1.969889350527854077e+01 2.727443298155081308e+01 3.908817093675455112e+01 5.008156732589869042e-01
5.992192881973384999e+01 2.398933376133417994e+01 6.631060318672295750e+01 5.344732868537743542e+01 7.691902007748767645e-01
7.727481751375702856e+01 3.366105285796220414e+01 8.771854620301046168e+01 6.965845846421640886e+01 9.067681311143973577e-01
1.981672623279945640e+02 5.675326277945459452e+01 4.014197217376060678e+01 7.704716417440754128e+01 6.537276152877622426e-01
1.434675097425509307e+02 3.857331288888818932e+01 8.109262692350044688e+01 6.973455170237507161e+01 6.231372289543889442e-01
7.078379057430345256e+01 2.997230401124674870e+01 6.453727372482961755e+01 6.383259617516852558e+01 6.064969513901958820e-01
1.003783271990376420e+02 2.679152736045525884e+01 3.504583047790395511e+01 4.612735106394865170e+01 5.087152055807324658e-01
7.365987060294949629e+01 3.452851633310611135e+01 9.958448488972567247e+01 6.229805794926123497e+01 6.251572370629699948e-01
8.998039762538569164e+01 2.346422152965480379e+01 2.775366358587457682e+01 6.236469616939631067e+01 8.009379651257328980e-01
2.004656764672361362e+02 2.416490608866407541e+01 8.113513639586736303e+01 6.531125461105025920e+01 6.829282232653091089e-01
1.409453991518754492e+02 4.757976589315040883e+01 7.671533846719985661e+01 7.605253189171634176e+01 8.882915252905483339e-01
1.175983498584140676e+02 3.388692228719290966e+01 6.939125163105478578e+01 8.646164164893545490e+01 9.829820463182270540e-01
6.097639663378816977e+01 1.849203074807864411e+01 8.663532703395704004e+01 3.886858020936056590e+01 5.775464022098474315e-01
9.980301865206446621e+01 5.073748755809754130e+01 5.263747303073553496e+01 5.307003997007760177e+01 4.244817514469918507e-01
1.044902979516063795e+02 3.163308171540123936e+01 3.993263535246037321e+01 2.020382270693453108e+01 2.643000864141579753e-01
2.351030730496774481e+02 5.131558183797837813e+01 9.543903139200826047e+01 8.456151516300157311e+01 7.754693058561299424e-01
9.921177917496741827e+01 2.748914077371408027e+01 8.211683007547676993e+01 5.966146946416265706e+01 7.533375672459678984e-01
1.847765166724043411e+02 7.235121346043511892e+01 7.527411690630046337e+01 1.046870102159599583e+02 8.946935803995261782e-01
1.086150360076563715e+02 2.911356401424911766e+01 8.635806391584671360e+01 7.067038131374536647e+01 7.326526279410495723e-01
8.582448813930014353e+01 2.638360772669134491e+01 9.670433173445785258e+01 6.028345737139400029e+01 7.582353358580612435e-01
8.050180126933555869e+01 1.867899115765634832e+01 8.148792308961760966e+01 6.097259426002540295e+01 9.210690576091005166e-01
5.743061267868901609e+01 2.657366002693455798e+01 3.132597210817403877e+01 3.710519245724827897e+01 4.470526137437074721e-01
8.648740477918541103e+01 2.497532159174414446e+01 5.195313012590645485e+01 6.478030801209312983e+01 8.795080986577130666e-01
1.008935819449587115e+02 4.823362857526432634e+01 3.764117278424946988e+01 2.747265450536335507e+01 2.379724650604862490e-01
1.041598204432026620e+02 2.036303957704410195e+01 6.749247221397375540e+01 6.639016031021377273e+01 8.565869497860271187e-01
3.327764428231728289e+02 4.473901771602982080e+01 9.415798931283433149e+01 9.993664075036457461e+01 8.878212277854066192e-01
1.944423268422808349e+02 2.992543588853500580e+01 1.907013427857754451e+01 3.890229660045029902e+01 4.019186116894875038e-01
1.588083245082244161e+02 3.426076855605784743e+01 9.110509442043243666e+01 6.246854261226158656e+01 5.191301687642971840e-01
9.290286157236533882e+01 2.419697619865924310e+01 4.532490760603335644e+01 3.052463956092670472e+01 5.242831081794273596e-01
9.723896151630461304e+01 4.240725261101719923e+01 9.498007307206282235e+01 8.303572693916537162e+01 9.129729761222230566e-01
1.577890615770037641e+02 4.154049838917563164e+01 4.183552846125647307e+01 5.212008750977410187e+01 4.104443004800980566e-01
4.233526368519275707e+01 2.556796492834132906e+01 6.534120285176436482e+01 4.245336135878563510e+01 8.374014992931666512e-01
8.121881227420817595e+01 5.065149222921817795e+01 7.203873893396580286e+01 6.967171083116956254e+01 8.670918563995891892e-01
1.192428922284173325e+02 2.675493691991016121e+01 5.323047762208305045e+01 6.409513446752185928e+01 7.689856170884357134e-01
5.446996075165061768e+01 3.062770534211482953e+01 6.863974484506384499e+01 5.646256515733469428e+01 8.464298616201895165e-01
1.483387589488181106e+02 2.294240929275803609e+01 8.378845320688193965e+01 8.828925659850351337e+01 9.649124214715598669e-01
1.147325141935100845e+02 4.690786306072264011e+01 3.299479543525596625e+01 4.783285018728724935e+01 4.454340178671759576e-01
2.108421687376579712e+02 8.776239490385883357e+01 7.322466837942799600e+01 1.367411608315659066e+02 8.738603926858279358e-01
1.042355408969255279e+02 3.576763380331691877e+01 8.259677251780742324e+01 2.811972716767304448e+01 3.034026819301911537e-01
8.385247832332984785e+01 4.333252069693373443e+01 9.709615342782186076e+01 5.824382347598635334e+01 7.519293679414990050e-01
1.426023806146721711e+02 4.411615640494468948e+01 8.547367039944411715e+01 5.459097056417995475e+01 5.795803320298884564e-01
1.331135658635243999e+02 5.123345788300660786e+01 4.217364030608359826e+01 5.535921506197411901e+01 4.799224795674058019e-01
9.944901298420543867e+01 3.203714371514693937e+01 9.377519277800827524e+01 8.107912055459902945e+01 7.480805275986077696e-01
1.627189706233753839e+02 3.389034584262606842e+01 2.842450347961204571e+01 5.743705201665532911e+01 5.991790287259831649e-01
8.482326550353802475e+01 2.480942910851234018e+01 8.045705383076628436e+01 7.249715819307496645e+01 8.669039583730029364e-01
1.588083245082244161e+02 3.426076855605784743e+01 9.110509442043243666e+01 6.246854261226158656e+01 5.191301687642971840e-01
6.927641163008308922e+01 2.972942501164330764e+01 2.485932656896376258e+01 3.684038563743842332e+01 7.122641717420327145e-01
4.228341206621194459e+01 1.583748510405242094e+01 4.762961781835637254e+01 3.304883370174371038e+01 7.537364409287677924e-01
1.293967895072281635e+02 3.539080118396739039e+01 7.655275829322484071e+01 7.354240919317506098e+01 9.262399615355952909e-01
6.331957800009688953e+01 2.558757326144330335e+01 4.146896381745047222e+01 4.616738305187021041e+01 7.404666921893332532e-01
1.018711853872628836e+02 2.351535318673603570e+01 7.059226944078093879e+01 7.678682424492990322e+01 8.748366869775117127e-01
1.328596161933539292e+02 3.164632499526220499e+01 3.410309563538702804e+01 4.963179791363208437e+01 4.968927665356847045e-01
1.164085563078281353e+02 2.498827171417414661e+01 4.458399394958738071e+01 4.360846370045808840e+01 5.354408804318008253e-01
1.020020712089072816e+02 2.333158749823212119e+01 8.823392344763777828e+01 7.632227756263581853e+01 8.743521890063102875e-01
1.149381612303144067e+02 4.693493636354763510e+01 6.193159349090100818e+01 6.886091932446676367e+01 6.842496540187256171e-01
2.162286181942370717e+02 4.802431603858029519e+01 6.219287014960563198e+01 8.206893031578773900e+01 4.722018649904408116e-01
9.151702517783998303e+01 4.540657985405378838e+01 5.221022565415540839e+01 7.253036951302550506e+01 9.452847998089286552e-01
1.644579081919592340e+02 3.546450198922603647e+01 5.459532640789628033e+01 5.706894450421692255e+01 6.075705931213852828e-01
1.645289315358793374e+02 2.963843118621738171e+01 9.606955688163665741e+01 8.219334443766237541e+01 6.917369599269789227e-01
6.362302443402495555e+01 2.317432223114880330e+01 9.419231257030544668e+01 5.793118707154641811e+01 8.343864463868686521e-01
1.352448252751155167e+02 5.176075469012582886e+01 6.487748973895656945e+01 3.337414002127908930e+01 2.667134645155855854e-01
1.218688443555032279e+02 5.086918405204632165e+01 3.974091590841280208e+01 4.818750795604123738e+01 5.119757837904799214e-01
7.786191089535871868e+01 1.900913036234949516e+01 8.722754241628497596e+01 6.963809447708970879e+01 9.421103766382527001e-01
9.685947612414595653e+01 3.911594828556781778e+01 8.576371521187552105e+01 9.355464324714878899e+01 9.413810939868948457e-01
1.857587709663089868e+02 4.304594285547300814e+01 5.410155429192694498e+01 4.870742445580207658e+01 4.024978986702352213e-01
1.857587709663089868e+02 4.304594285547300814e+01 5.410155429192694498e+01 4.870742445580207658e+01 4.024978986702352213e-01
1.224505813845968873e+02 4.690363090244018451e+01 6.064397608180978239e+01 8.500982572405790449e+01 8.825771857373363449e-01
8.635427558751970878e+01 1.859091093695026231e+01 4.421799107852351085e+01 5.993276119509604172e+01 9.112015559449049285e-01
1.543568027167387697e+02 2.734272684521215169e+01 8.107103767331510369e+01 4.967058103432450622e+01 7.489771095487236519e-01
7.519673731077615741e+01 3.404900727811451588e+01 6.202228464851010159e+01 5.472299634322440909e+01 6.773049065922279732e-01
