weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.332106304001590843e+03 6.196845607911115605e-01 2.493070990735924974e-01 3.137997859640453413e-01 8.124034233044489239e-01 9.927239528075837427e-04
0.000000000000000000e+00 -1.004646779180464478e+03 7.435950616162245730e-02 3.721200817832340801e-01 9.524235117294626018e-01 8.587491237664789390e-01 5.937813658568491526e-03
1.661039749267215373e-281 -6.862559725349892688e+02 8.611527049678592283e-01 2.875896789180587554e-01 4.072615314394709696e-01 6.356298577104230185e-01 7.633339184029641622e-03
9.468843909622130762e-255 -6.246456970579060908e+02 8.583003819308099303e-03 1.202141112519065080e-01 2.821927146850744528e-02 6.161921782558770211e-01 4.928653965525231495e-02
1.011971751537633448e-230 -5.693146758965879144e+02 5.897371665960158271e-01 6.993227031205738742e-01 6.140111349295873655e-01 9.570079381663224583e-01 1.935261550424871579e-02
6.796404763261854878e-229 -5.651050976994893063e+02 5.670857178422805678e-02 8.981816083700158160e-01 8.610343015695938185e-01 8.730351152913153889e-01 3.978900023273945763e-02
1.100450305419267602e-207 -5.162663999501013450e+02 2.153210391685700387e-03 2.963641202896241111e-01 8.364113500989855954e-01 6.328459154672925191e-01 8.320168213897405352e-02
7.027404055812678480e-188 -4.706606852767849318e+02 1.976590838778792270e-01 7.364368227771089792e-03 3.736577195452862599e-01 7.534511195112747473e-01 1.427226644758671226e-01
9.083419233020611934e-179 -4.496782861216241827e+02 7.501913539133605591e-01 3.112873707520315003e-01 9.495980816122284729e-01 4.420992279175846029e-01 1.660932439818774142e-02
2.286052522253330082e-174 -4.395424848051741264e+02 5.602133619143347953e-01 8.150829979025117078e-01 5.138737137872690930e-01 8.552915677166271768e-01 3.567625178475408720e-02
1.075959399894659998e-166 -4.218729178733565277e+02 5.078990556216866903e-02 2.908274682375262543e-01 2.199509538566157829e-01 8.596112502768193941e-01 1.161663742182930115e-01
3.147290050759876254e-163 -4.138893335417423032e+02 1.589654386196065472e-01 4.842474215778747038e-02 7.274096810664305579e-01 8.150683023124060123e-01 1.222188899281937413e-01
1.152736545670864311e-160 -4.079834813234500075e+02 8.089260577425287924e-01 4.458778203781785798e-01 3.385247731774492230e-01 9.696519202092916956e-01 4.939914516343879569e-02
1.084771285789346091e-156 -3.988314105037396757e+02 6.804801212089686135e-01 5.268383339135822574e-01 8.727781485170931219e-01 4.586713726001372393e-01 2.181734231142207214e-02
4.023608921450784664e-154 -3.929129302444594600e+02 8.803725572996581317e-01 3.336319965454345171e-01 1.688738365410947795e-01 8.401083799739552660e-01 4.881610995577490009e-02
2.021347478053068238e-145 -3.728755792917043550e+02 4.872842967634336553e-01 8.094770351787896612e-01 5.235548751917405985e-01 7.526680311680693514e-01 5.074820388710921115e-02
1.672980114538459506e-144 -3.707596520202509964e+02 6.106356097451410836e-01 9.625604006710897220e-02 3.318597989575017282e-01 5.521595508075510805e-01 5.694048421057384957e-02
1.039288182730537154e-141 -3.643254672379578665e+02 8.384466044862665113e-01 7.174771411998677184e-01 5.186314155302990114e-01 3.346728135131794568e-01 1.724777849366310178e-02
2.529013731582032010e-140 -3.611310887867771839e+02 6.651204963841961249e-02 1.874274836909806119e-02 4.629101877862041858e-01 9.644693640783963406e-01 3.518164956515542618e-01
2.795541150786769077e-138 -3.564232222963675554e+02 4.266938200313751262e-01 4.536575602515527939e-01 5.255181340034350557e-01 3.555894338650700259e-01 2.822384364021202074e-02
