pFat pLiver pSlow kMet fAbs
1.964615949690203820e+02 4.965766636848562854e+01 4.516290826864383945e+01 6.482168920311076477e+01 2.075017991799446571e-01
9.003985486721221321e+01 6.618938016566546878e+01 6.090287547577804617e+01 1.187887225502569208e+02 7.479451040613540602e-01
4.036739781141365313e+01 2.010260622444280543e+01 7.810894686267297971e+01 7.750619156276745514e+01 8.636638756997307986e-01
7.910902140569150731e+01 4.647961869676001356e+01 9.094152223859408934e+01 1.254896116402890982e+02 8.503376632214364461e-01
1.207759423114232220e+02 4.961389505002315303e+01 7.181428729712369829e+01 7.914917096438747990e+01 3.095090504191899128e-01
9.720389078633075997e+01 8.040839168629651112e+01 5.079572333688346220e+01 4.697832671344903588e+01 2.141679535989422511e-01
1.207759423114232220e+02 4.961389505002315303e+01 7.181428729712369829e+01 7.914917096438747990e+01 3.095090504191899128e-01
1.174749331047487715e+02 3.691122687050776818e+01 5.170157730407265007e+01 7.626860915451042899e+01 6.074154651154214379e-01
2.106719777717612487e+02 1.128421002723958679e+02 7.714645377839940465e+01 9.815196295278023797e+01 3.375036587747707317e-01
9.766279368020792617e+01 3.859702160227882928e+01 8.116726286961502979e+01 1.171990596896481662e+02 6.384738245761703013e-01
2.236170401054121726e+02 8.113929738461894203e+01 7.451065297967642209e+01 2.039311253816032661e+02 8.375743319430498657e-01
1.242474498237504434e+02 1.116448776230327269e+02 6.877845340216397574e+01 8.172588890334951373e+01 3.465141744084935249e-01
1.731278435409190024e+02 7.022623844208314381e+01 4.622020292002841302e+01 7.020366588192156598e+01 2.614289299744104178e-01
6.992581368362704097e+01 3.024620354565940161e+01 2.144513772893824921e+01 2.769808049304075581e+01 1.956194609597647904e-01
1.118903454022248951e+02 3.402856577077678679e+01 4.975877631591737327e+01 8.308399194442809232e+01 5.431734851927219054e-01
1.174749331047487715e+02 3.691122687050776818e+01 5.170157730407265007e+01 7.626860915451042899e+01 6.074154651154214379e-01
1.421914841203948754e+02 6.496297687935572185e+01 6.984519032123264992e+01 1.169506047084478979e+02 6.440252552906768901e-01
1.087122293965395841e+02 5.310091151210209404e+01 8.527234039665370346e+01 9.349755771510740487e+01 5.351854721661358782e-01
1.800672546335882203e+02 5.203915471352305389e+01 8.067546752309802116e+01 1.292202605229730068e+02 4.702384029632449280e-01
7.088195167103819472e+01 2.609383338805964314e+01 3.488494917727258127e+01 6.188471835851427016e+01 3.922023578386947262e-01
1.284417364299990254e+02 6.236006008497255948e+01 1.696055763969170016e+01 3.518313519614394380e+01 1.447499538920298812e-01
1.391547465461755451e+02 5.510590346454796418e+01 3.308349612113822502e+01 7.407194910224602324e+01 4.616791023483721168e-01
7.997565341249388382e+01 2.272844211614961907e+01 7.799427378729998850e+01 7.534173001082784538e+01 5.930247016010721239e-01
1.849152963810676908e+02 8.109556959091203510e+01 8.630680257135095701e+01 1.346781092980112362e+02 6.201695795876587258e-01
1.087216743562076857e+02 4.142997269641335123e+01 6.972356370221956468e+01 1.027171564581147578e+02 6.409756908524273378e-01
9.853985239708605093e+01 4.017375577912399365e+01 5.604005155362790447e+01 1.156916518465454544e+02 6.663173529418141561e-01
1.832502554958245184e+02 4.882320821712715997e+01 9.197674034694064460e+01 1.092074348037901927e+02 6.780050308739876685e-01
1.386566228930658156e+02 6.413788397900859195e+01 3.695361924884480231e+01 6.701535623552318555e+01 3.143117147445103066e-01
1.244006732316951656e+02 3.704190151715034318e+01 9.425725944954371016e+01 1.328225741656121670e+02 7.094044677397027820e-01
1.145612269049488390e+02 6.478532544061586407e+01 9.391205913569936570e+01 1.739330684590064777e+02 7.501140582814768143e-01
8.581817728349011531e+01 2.735736645792895061e+01 8.796695255748880982e+01 1.207178155160433874e+02 7.859550121914493648e-01
3.101475606323092506e+02 7.182011500405201332e+01 5.414835503659477922e+01 9.310309324400854791e+01 3.596654713119541991e-01
7.863294340298038776e+01 4.989875366257923162e+01 6.834421238280383193e+01 1.042966656840176967e+02 6.599403685002476205e-01
1.760316926086182434e+02 4.140774420354316732e+01 9.275203891720197191e+01 1.564378951722610509e+02 7.595113039911102204e-01
1.719556091302595462e+02 3.513964070206423429e+01 5.902389785405817690e+01 6.652634030191195791e+01 4.084627758589207125e-01
6.199028374948880327e+01 2.912306888445686681e+01 7.918607988352148652e+01 9.320528287397662837e+01 9.295362145106520479e-01
1.664236645774118983e+02 5.134186832041396542e+01 9.219073846834069741e+01 1.232656422162323366e+02 6.646941753185257040e-01
1.414661947495289951e+02 6.904766448863313144e+01 7.009452482365958303e+01 1.265157361075442708e+02 5.833875021911354430e-01
2.715389834484668086e+02 5.391766774165231624e+01 8.811736144975785123e+01 1.737464371095380784e+02 7.394531070516130455e-01
1.332874505472648536e+02 6.213320404129828489e+01 8.075849142622386978e+01 1.454125235241602923e+02 5.430062355586161571e-01
