weight logl pFat pLiver pSlow kMet fAbs
5.017137820388690407e-319 -7.663221129335009891e+02 9.697695267561610155e-01 6.435737614630132608e-02 4.743371378821941153e-01 6.776046689949888346e-01 5.306228774250354441e-03
2.039539674632894858e-295 -7.119577085336092068e+02 1.221828856580656764e-01 4.288420434153737970e-01 4.249562668114292840e-02 2.625477397571686078e-01 3.259604187701548028e-03
1.940350689230503054e-227 -5.554292776183343676e+02 1.301874919775576345e-01 3.477380733596219242e-01 1.780166220760108775e-01 6.136539627377057826e-01 1.689719483291574065e-02
4.660917762944747565e-225 -5.499452637831452648e+02 3.527094346959154247e-01 2.032604604782235480e-01 7.568574808596073566e-03 9.112816983509870461e-01 2.121394165415824151e-02
9.260762959894944559e-220 -5.377432642534182605e+02 1.625646841790623354e-01 2.023436875528737966e-01 8.362879197755156424e-01 4.584961376418297263e-01 1.263531800798212146e-02
9.491849649097618065e-214 -5.239006066350966648e+02 8.115355230599047287e-01 4.199704516792348574e-01 6.535022775739129930e-01 4.913559288193086738e-01 6.798766944118073141e-03
5.140980185508419844e-200 -4.922751050730221891e+02 7.684736602659599791e-01 7.408598991155299629e-01 3.386563840904863731e-01 1.863047222208248366e-01 2.321305645088145297e-03
5.331008558091572321e-176 -4.369742661568375865e+02 3.682094010952321472e-01 6.088670273101480790e-01 8.941802075387820237e-01 4.307635316532643088e-01 1.107602613922786805e-02
3.943502048796733925e-168 -4.188525566826756403e+02 8.253782884666515107e-01 4.533091261492305790e-02 4.376422434992573995e-01 9.989906876145652204e-01 5.693315039018576051e-02
1.816846537240427935e-163 -4.081120980646680891e+02 3.114772693502795287e-01 6.938577666200562710e-01 8.935907546095320786e-01 8.289146175800631289e-01 3.150161859850009183e-02
4.800967702340585841e-150 -3.772042766799276023e+02 4.027490658300153514e-01 3.068095637526185859e-01 4.926943427038696921e-01 9.715552211606794941e-01 5.237806793686239359e-02
9.530956864699880599e-143 -3.603979534130622255e+02 7.921394532922820808e-02 6.952005055550607437e-01 1.965178812790717711e-01 8.068620969873664395e-01 7.526227507799954086e-02
1.749232054203634794e-141 -3.574856514797761520e+02 2.119207434036134430e-01 5.173998106988160206e-01 5.066378094483990902e-01 8.665936152063632436e-01 6.002655837568371400e-02
7.959920952256665882e-135 -3.421523987180796098e+02 5.667802611996952677e-03 7.429881089204870559e-02 2.458465779836737086e-01 7.201032592437291990e-01 2.215381077768536766e-01
2.934354273954764664e-133 -3.385426601810769398e+02 3.354184518588888553e-01 4.286193354850356130e-01 8.419754863117455690e-01 9.441496524755934594e-01 6.340575303546003294e-02
1.695403501807229177e-128 -3.275758013696416810e+02 1.027842708937711791e-01 7.944775037972484633e-02 9.857562393639651699e-02 6.701988023429172880e-01 1.128704266611971763e-01
7.790559944124744185e-128 -3.260483093991458645e+02 1.121390442126388720e-01 4.318853974843104293e-01 2.178008542587162033e-02 2.892610567260800458e-01 3.285246874406988482e-02
2.373231115188488568e-127 -3.249318846769280071e+02 7.094671568174930609e-01 7.841342900513669223e-01 8.982554380455148868e-01 5.562123493366362137e-01 2.321303357109649745e-02
1.765450808240707956e-125 -3.206200607841190049e+02 1.197081894283222869e-01 6.386449704849505027e-01 5.596427254890449232e-01 4.824624761592507527e-01 4.841337024525316224e-02
2.777946496724022082e-125 -3.201642548728170254e+02 4.020119179360660544e-01 8.094237270393144223e-01 1.669043565648052896e-01 9.367925585143518363e-01 6.238275135482584943e-02
2.926658124864919858e-125 -3.201096056569615484e+02 7.208897958271814899e-01 2.426431165303530868e-01 7.237924862915604551e-01 3.078845237265058765e-01 1.575123594587313214e-02
1.117423106388332328e-121 -3.118596012488118276e+02 5.938502868603334761e-02 7.324782346193523530e-01 7.165795927955392886e-01 9.311672512448765371e-01 1.359837851989045276e-01
4.812207629480150869e-121 -3.103969705398963583e+02 8.737680638942560973e-01 1.086990234339070271e-01 3.510535341701030987e-01 6.102861316024110749e-04 7.599803787369471264e-01
1.102996590495654725e-118 -3.049598405572193087e+02 2.469279985013247414e-01 2.050362718264694406e-01 9.354122018537492922e-01 6.920790344121742210e-01 7.329489064230598760e-02
1.215511755113862730e-117 -3.025576209276345026e+02 1.245627487794820354e-02 4.518077611763013923e-01 3.600833297078330775e-01 9.584770191135975059e-01 2.589050423575677273e-01
3.037542481344175683e-109 -2.832185565752238290e+02 8.214682983083310130e-01 9.351926174569968886e-01 3.886178635495173284e-01 8.402669596935957719e-01 5.211107458556274441e-02
1.017371357002541592e-108 -2.820072980765490911e+02 9.141257487361564849e-01 4.196317653036004680e-01 9.031826501886073277e-01 6.792949700844541638e-04 5.535647535542833619e-01
1.910154079767321025e-107 -2.790722512745921904e+02 3.304489414661383462e-01 9.757089402188378058e-01 3.654444664407539012e-01 1.772889886852824226e-02 8.778527766331918336e-01
6.275835903010269385e-105 -2.732750583096631658e+02 3.665967269724743627e-01 4.781224731764248670e-01 2.242577322490812985e-01 5.010284141845455785e-03 4.689109422317705445e-01
6.671762291343141405e-104 -2.709087958678247219e+02 9.039442480627697396e-01 2.883175630418784996e-01 4.384543270536530590e-01 4.951845671142467431e-01 3.823057969381271626e-02
5.305752538365834398e-102 -2.665302181019106911e+02 2.109519974508253792e-01 6.279794976458855649e-01 6.104387902888012141e-01 4.428799309045938770e-03 5.377903893819890868e-01
5.116837585280426418e-91 -2.412355371064310532e+02 8.301813116276035576e-02 9.886720198179803631e-01 5.345219465881987375e-01 3.824565140413388464e-01 7.646863422326821702e-02
2.180910795634191544e-90 -2.397832460168225452e+02 1.591183663681957627e-01 3.040121619830469246e-01 8.789373965929840882e-01 9.091915653561960520e-01 1.862334543995072256e-01
2.560597581137961700e-89 -2.373176628481565729e+02 9.940953848836409090e-01 8.424871391858456127e-01 4.364943176991298301e-02 2.513628791385336125e-02 6.576293193441344886e-01
4.385436894941423745e-89 -2.367771142547123304e+02 3.144850493567816763e-01 1.723648035854354887e-01 3.913777450521354062e-01 4.143201862922629708e-01 7.447469418122654172e-02
1.066111399084524407e-88 -2.358863005943062774e+02 6.324908381731919604e-02 8.720600220141845327e-01 1.291636732330943005e-01 6.876116904848998956e-01 1.933071030953479319e-01
5.113606968767952196e-87 -2.320133283036115586e+02 3.169550282301052402e-01 7.074071502293209912e-01 5.735671698921971373e-01 7.010868432924302063e-01 1.034135015358214060e-01
8.563486056579240369e-87 -2.314952259667009571e+02 2.203102201917981340e-01 5.964698129191471354e-01 8.670685676217773086e-01 7.705766315407961420e-01 1.305353112700733398e-01
4.998924350615377313e-86 -2.297284254711439075e+02 6.300118056653609688e-01 8.286043005916510218e-03 3.253156321832266773e-01 8.056895528690186659e-01 3.842240138238239844e-01
1.426656774354651035e-85 -2.286772293505252946e+02 3.145761702785774272e-01 4.822449248306096559e-01 3.478831902477768079e-01 2.405301769210165252e-01 3.162425233181709316e-02
3.073677425535776242e-85 -2.279071884343435386e+02 3.618748508607576575e-01 7.243431349100393213e-01 2.661416392367065287e-01 1.246077244100196602e-02 4.725392651520877729e-01
1.852591573110303932e-84 -2.261083925354245423e+02 9.540118367580906478e-01 2.564390426142602042e-01 1.812446782739618456e-02 2.412198821332146581e-01 2.564744975249544368e-02
5.449603513992496210e-84 -2.250269351882666342e+02 9.203054123071030546e-02 4.993617965928117686e-01 6.984695975939049228e-01 4.349551282211245873e-01 1.041400548221034228e-01
5.448719618614096098e-84 -2.250245973958594163e+02 6.203567407103118825e-01 4.957395064329245260e-01 7.050723086548871255e-02 2.012387805295989818e-02 7.194413413433261573e-01
3.744042574404316905e-83 -2.230947270216558422e+02 6.959243980565321674e-02 6.312996157620049953e-01 7.736717300351821924e-01 7.496409827023293726e-01 2.231712094043474259e-01
1.640824713935953784e-82 -2.216146088687927715e+02 5.481422037625249821e-02 4.043120223094671672e-01 1.957728839456825964e-01 8.287055444584360275e-01 2.981386135595275322e-01
1.743048880045313553e-82 -2.215516720488074895e+02 7.439332444448260029e-01 8.397967142782767347e-01 3.163401935708685109e-01 2.348254249512871095e-02 5.893676508424700033e-01
4.143666679508988863e-80 -2.160780566053523160e+02 5.191974141107577045e-01 5.431234074732134154e-01 7.282967227775594132e-01 9.944489049793996394e-01 1.482499579001316237e-01
5.364160851363196307e-80 -2.158173977204190521e+02 7.174299492279625490e-01 4.439387677736638116e-01 9.385788758810679200e-01 4.086507817957236721e-01 4.229660853711192381e-02
1.133208703213612024e-79 -2.150669994104445948e+02 8.450535552236838610e-01 4.098405735880387146e-01 4.126833193104101349e-01 7.034669828937381020e-01 8.936606926591317279e-02
2.810795150278009663e-79 -2.141560851646530637e+02 5.683682491880790444e-01 4.107339270954986077e-01 7.769667598400697983e-02 7.584252083081842732e-01 1.206274553590224174e-01
