pFat pLiver pSlow kMet fAbs
1.987895459874659707e+02 4.924130906599340562e+01 6.913294955796746422e+01 2.193552469271348393e+00 5.459757066060318825e-02
1.626813782518364633e+02 3.837392939015840199e+01 9.436639043210585953e+01 1.245103592429800177e+00 7.721232795606619570e-02
1.847966718780954807e+02 5.192209225518676874e+01 6.166287563540925731e+01 6.544279357286090004e+00 9.599049596135859896e-02
2.021317493028184913e+02 1.606417862000002117e+01 9.447172466873622909e+01 2.147671376353863959e+00 1.317049094434564194e-01
1.596872618752904884e+02 3.515390125032148916e+01 9.102903460057147811e+01 1.923701765264228092e+00 7.028060546027291300e-02
1.551697270198420426e+02 2.836111134962824210e+01 8.361727724156470742e+01 1.629684698703839807e+00 7.128867114286693840e-02
2.346178762662966335e+02 4.841554263531735813e+01 6.760766664867495024e+01 2.526197361289942211e+00 5.693421991351099720e-02
5.298224037976269756e+02 7.015227186631676659e+01 9.181623771269728707e+01 2.825767467020902313e+00 7.751677680214308364e-02
1.704617875938418479e+02 2.464973859642667264e+01 7.308429694894951467e+01 1.067150888426903865e+00 6.323298009082656268e-02
1.482142280849140263e+02 2.296896665709866880e+01 7.903337178370857430e+01 1.097273823470652276e+00 8.156463958247579804e-02
1.298280396765300111e+02 6.405041619286069476e+01 8.662173715844666333e+01 2.261047977210250082e+00 5.801736927883080486e-02
1.086379653211075720e+02 2.516265488970809727e+01 9.979751701641487216e+01 1.223966659084996245e+00 1.403062273607212918e-01
2.129925290270668086e+02 5.326116448851184515e+01 7.596751221541282462e+01 1.664741845011320054e+00 6.621864793624578083e-02
2.533443496477082988e+02 1.685389195459136857e+01 8.366987339309251581e+01 1.795143757343667712e+00 7.341107521789874690e-02
1.585630824255893287e+02 2.625043339843687207e+01 9.028440001351169997e+01 1.602635107292524896e+00 1.028674382755092459e-01
2.295613369590018351e+02 3.409301220489209072e+01 6.356161778388341332e+01 2.326203533322731332e+00 5.989122744044625413e-02
1.635674442350234301e+02 3.299661567045629340e+01 8.877557801801276582e+01 1.490246863758889928e+00 6.518649881074764507e-02
2.477017728381195241e+02 3.853913055600685311e+01 9.232098207681069368e+01 2.858328455957428460e+00 9.223337321734668970e-02
2.909492353776672076e+02 7.779019585445854545e+01 8.424055780885885270e+01 1.912669941330620293e+00 7.215202141384653711e-02
2.352057747127084326e+02 2.989653872683731350e+01 7.742112858394882835e+01 1.216580464026130404e+00 7.074289954591882201e-02
2.201759210945010352e+02 2.542188187809992428e+01 7.617983672995386257e+01 3.135753316824994474e+00 8.590565701308469637e-02
3.198828473734814111e+02 8.120637983025767426e+01 7.082013042352261323e+01 5.064365445800455667e+00 5.235017992923978597e-02
2.298229071761756188e+02 4.899304674188513076e+01 6.882667094313327993e+01 2.806660385724441209e+00 4.224037865933034236e-02
2.527704699858744561e+02 3.906992039497054492e+01 9.872337485960713366e+01 1.688410282484130054e+00 7.006756195637481310e-02
3.499611005497993119e+02 4.064296078992115469e+01 3.950056633482616775e+01 2.043360983363069039e+00 7.124778211067936406e-02
