logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -1.577893457502366800e+03 -1.583886171789058153e+03 9.549999999999999600e-01
-1.583886171789058153e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -9.612433461894966058e+02 -9.672385604761878994e+02 1.754999999999999893e+00
-9.672385604761878994e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.659443863137582866e+02 -6.719421006004496348e+02 7.800000000000000266e-01
-6.719421006004496348e+02 2.607486300801670041e+02 -7.499999999999999722e-03 4.000000000000000000e+02 -6.313518016202847321e+02 -6.373520159069760211e+02 1.044999999999999929e+00
-6.373520159069760211e+02 2.575614839995105285e+02 -1.000000000000000021e-02 4.000000000000000000e+02 -6.085693283597436221e+02 -6.145720426464349657e+02 1.814999999999999947e+00
-6.145720426463070680e+02 2.644784349283189044e+02 -1.250000000000000069e-02 4.000000000000000000e+02 -5.939983064241484954e+02 -6.000035207108397799e+02 2.700000000000000178e-01
-6.000035202398936462e+02 2.072190050392834948e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -5.808474970004991746e+02 -5.868552112871905138e+02 4.799999999999999822e-01
-5.868552093384162163e+02 6.399000767733119766e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -5.773273172411846872e+02 -5.833375315278759672e+02 4.499999999999999833e-02
-5.833082948643752843e+02 6.243651755040068529e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -5.610938136263052911e+02 -5.671065279129966257e+02 1.425000000000000044e+00
-5.671065278210232918e+02 1.279436639643715523e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -5.436029768393948416e+02 -5.496181911260861170e+02 1.770000000000000018e+00
-5.496181911006815426e+02 1.673249787724607884e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -5.062181622653538398e+02 -5.122358765520451698e+02 1.239999999999999991e+00
-5.122358765520451698e+02 2.486402790000327201e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -4.464129808105313941e+02 -4.524331950972227219e+02 1.679999999999999938e+00
-4.524331950972227219e+02 4.736061416266867496e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -4.429856378192968691e+02 -4.490083521059881946e+02 1.495000000000000107e+00
-4.489763163817040095e+02 4.352243616924754122e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -4.294510685635851814e+02 -4.354762828502765046e+02 2.349999999999999867e-01
-4.354762814793643315e+02 4.614583758943990688e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -4.272375813480747979e+02 -4.332652956347661188e+02 4.149999999999999800e-01
-4.331613027552832023e+02 3.181704105602916144e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -4.236311554436857136e+02 -4.296613697303770323e+02 1.165000000000000036e+00
-4.296316173488511936e+02 1.984814648632409195e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -4.228502994450996084e+02 -4.288830137317909248e+02 1.620000000000000107e+00
-4.284956945238142794e+02 1.961722633834557028e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -4.089818796042250142e+02 -4.150170938909163283e+02 1.650000000000000078e-01
-4.150170924903044352e+02 6.943218953975081931e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -3.948234684185543983e+02 -4.008611827052457102e+02 1.864999999999999991e+00
-4.008611819937597147e+02 1.218416802394089160e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -3.927266501331119457e+02 -3.987668644198032553e+02 1.100000000000000089e+00
-3.986507233904731038e+02 1.141312089227719540e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -3.904969856369588683e+02 -3.965396999236501756e+02 1.915000000000000036e+00
-3.964253771372033270e+02 8.368767957032257954e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -3.880330035075439810e+02 -3.940782177942352860e+02 2.550000000000000044e-01
