weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.577893457502366800e+03 5.901727131581624235e+02 3.815453818764147798e+01 9.403114063980633830e+01 8.212363463740128964e+02 4.763305886482660512e-04
0.000000000000000000e+00 -9.612433461894966058e+02 1.465635369959238865e+01 8.289193781799305043e+02 4.398780809678541459e+01 7.807495406306039740e+02 7.752670412774831377e-03
2.988251727283418802e-257 -6.659443863137582866e+02 4.016737644460682759e+02 1.199073189436739852e+02 9.726920359032507690e+01 1.073618353994525876e+02 1.221083524895916206e-03
3.145575330392395267e-242 -6.313518016202847321e+02 5.928803082381239165e+01 5.506303446891771500e+02 2.615584706074107046e+01 8.818604721411078344e+02 2.314314087112556706e-02
2.459896163181020075e-232 -6.085693283597436221e+02 2.816583819171003000e+01 8.032281575585456039e+02 6.722278962561726701e+01 4.921315930267570025e+02 1.849207379118278372e-02
5.223305905136051897e-226 -5.939983064241484954e+02 5.175632204094040389e+02 1.471753901676685814e+02 3.499421304943106037e+01 9.616808181783201235e+02 1.720528931697407060e-02
2.680301752176642669e-220 -5.808474970004991746e+02 5.414883445695829778e+02 8.897059778721353496e+02 9.249948921615701636e+01 9.690548112965180962e+02 1.115244091392686432e-02
9.034260285651488718e-219 -5.773273172411846872e+02 4.142178322760995002e+01 1.392985440416400955e+01 6.790086853371927589e+01 6.557949695736066360e+02 6.929942577357439681e-02
1.011411540002304175e-211 -5.610938136263052911e+02 3.705155751229574435e+01 5.408792958724282016e+02 8.685248586390781611e+01 9.202563556870943557e+02 4.404295504173627585e-02
3.981219006653204028e-204 -5.436029768393948416e+02 5.202742620654530583e+02 4.313931385839757127e+02 7.520280383909154409e+01 8.999621105275693935e+02 1.540427816752487633e-02
6.838313532216510648e-188 -5.062181622653538398e+02 3.603753223787499564e+02 6.223380680791456143e+02 9.847731675532988049e+01 9.805585650705496619e+02 2.222399709010247637e-02
6.410967391097222524e-162 -4.464129808105313941e+02 1.528386987828820338e+02 8.561566820374971485e+02 7.746410176408831205e+01 9.912705998713394138e+02 4.657636432986511643e-02
1.969309519981159811e-160 -4.429856378192968691e+02 4.634150762124819778e+01 6.569047373877348264e+02 3.652873593733680035e+00 9.621169246324819824e+02 8.662267334603868107e-02
1.483258981744645952e-154 -4.294510685635851814e+02 4.054734295935352293e+02 9.523170871331703893e+02 6.082047131921992644e+01 7.978196600081923862e+02 2.590238750124607137e-02
1.353432291545032194e-153 -4.272375813480747979e+02 3.925516533157207277e+02 2.768426991962475086e+02 9.763624227750096907e+01 9.604476601329917003e+02 4.133061668437021385e-02
4.972807726481702568e-152 -4.236311554436857136e+02 5.459979947208392304e+01 5.739788344624599858e+02 6.781059640253062071e+01 5.896074631461049194e+02 5.491739046067367624e-02
1.083022259205583471e-151 -4.228502994450996084e+02 5.272213881034832639e+02 1.228931180526690241e+02 1.473918395349814148e+01 8.451673894720918270e+02 4.293539190671402661e-02
1.139016082264978511e-145 -4.089818796042250142e+02 1.228721966708316558e+02 6.155973141676365685e+02 9.896774668664367169e+00 5.151930250822204016e+02 3.709918537545364714e-02
