weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.577893457502366800e+03 9.833435816240040372e-01 3.719172991755903546e-02 9.397084913111751758e-01 8.210574037777906842e-01 4.763305886482660512e-04
0.000000000000000000e+00 -9.612433461894966058e+02 7.892124914563369842e-03 8.287481263062367320e-01 4.342202838059132652e-01 7.805300707013053119e-01 7.752670412774831377e-03
2.988251727283418802e-257 -6.659443863137582866e+02 6.638538380441835196e-01 1.190263452889629425e-01 9.724161978820714536e-01 1.064683037031557422e-01 1.221083524895916206e-03
3.145575330392395267e-242 -6.313518016202847321e+02 8.353903529459727473e-02 5.501805252143915359e-01 2.540994652600108150e-01 8.817422143554632941e-01 2.314314087112556706e-02
2.459896163181020075e-232 -6.085693283597436221e+02 3.078955625713564181e-02 8.030311887472928456e-01 6.689170669254269619e-01 4.916232162429999830e-01 1.849207379118278372e-02
5.223305905136051897e-226 -5.939983064241484954e+02 8.602766447617017365e-01 1.463217118795481220e-01 3.433758893881925234e-01 9.616424606389590846e-01 1.720528931697407060e-02
2.680301752176642669e-220 -5.808474970004991746e+02 9.008277026603100923e-01 8.895955734455809338e-01 9.242372648096668364e-01 9.690238351316498022e-01 1.115244091392686432e-02
9.034260285651488718e-219 -5.773273172411846872e+02 5.325725970781347574e-02 1.294279720136537470e-02 6.757663488254472828e-01 6.554504199936002085e-01 6.929942577357439681e-02
1.011411540002304175e-211 -5.610938136263052911e+02 4.585009747846735539e-02 5.404197155880162695e-01 8.671968269081596903e-01 9.201765322193136143e-01 4.404295504173627585e-02
3.981219006653204028e-204 -5.436029768393948416e+02 8.648716306194119685e-01 4.308239625465222211e-01 7.495232711019348404e-01 8.998619725000694958e-01 1.540427816752487633e-02
6.838313532216510648e-188 -5.062181622653538398e+02 5.938564786080507973e-01 6.219600281072528158e-01 9.846193611649483035e-01 9.805391041747243408e-01 2.222399709010247637e-02
6.410967391097222524e-162 -4.464129808105313941e+02 2.420994894625119187e-01 8.560126947322294066e-01 7.723646642837203036e-01 9.912618617330725135e-01 4.657636432986511643e-02
1.969309519981159811e-160 -4.429856378192968691e+02 6.159577562923423955e-02 6.565612986864212131e-01 2.679670296700686905e-02 9.620790036361180908e-01 8.662267334603868107e-02
1.483258981744645952e-154 -4.294510685635851814e+02 6.702939484636190048e-01 9.522693564896600460e-01 6.042471850426255342e-01 7.976172772854778215e-01 2.590238750124607137e-02
1.353432291545032194e-153 -4.272375813480747979e+02 6.483926327385096666e-01 2.761188180142617465e-01 9.761236593686967167e-01 9.604080682011928438e-01 4.133061668437021385e-02
4.972807726481702568e-152 -4.236311554436857136e+02 7.559288046115919535e-02 5.735523868493093147e-01 6.748545091164709353e-01 5.891966598059108495e-01 5.491739046067367624e-02
1.083022259205583471e-151 -4.228502994450996084e+02 8.766464205143783550e-01 1.220151331858548849e-01 1.387796358939206165e-01 8.450124018739657572e-01 4.293539190671402661e-02
1.139016082264978511e-145 -4.089818796042250142e+02 1.913088079166638256e-01 6.152125266943309079e-01 8.986641079458956849e-02 5.147077328150354569e-01 3.709918537545364714e-02
1.600899136483545133e-139 -3.948234684185543983e+02 5.882140536148634524e-01 7.720670814555370409e-01 9.605235996091021633e-01 7.874887864097926959e-01 3.439607141821443559e-02
