pFat pLiver pSlow kMet fAbs
7.370850802988223904e+01 2.704391010772444659e+01 7.498592062517626289e+01 1.569689592601242509e+02 8.094490564549841616e-02
1.497510575725103763e+02 1.993998298875895969e+01 8.679032218550995026e+01 1.518575761392450829e+02 6.877790151988666389e-02
1.529291571439071618e+02 1.183436527078821854e+01 5.489064267604429403e+01 9.192887819167428631e+01 5.208009512302327892e-02
1.084812384983504359e+02 2.296338369091284193e+01 3.048624571405991190e+01 6.791722237356891867e+01 4.396697650041662964e-02
1.571224942674680563e+02 2.200348503577933812e+01 6.535283453768174411e+01 1.127374864722268768e+02 7.063290924367354728e-02
1.609033855882761372e+02 3.332745344816040500e+01 7.652105144540517756e+01 1.258123016594220758e+02 6.917769935977530205e-02
1.258471678510896510e+02 2.727267829320010861e+01 9.252002229365611186e+01 1.266647051069763563e+02 5.640124317738508947e-02
1.378211038700769961e+02 2.633061988876055182e+01 8.524237620341274635e+01 1.783116247491458637e+02 7.554578967994472760e-02
1.165752324866067084e+02 8.250882994834366713e+00 8.477782358158567888e+01 2.177790391838871926e+02 1.745256206079315586e-01
2.182166778168992778e+02 1.550184110744079113e+01 6.942255662174520126e+01 1.797836742730820561e+02 1.026787366119214784e-01
2.155774343444949466e+02 1.397665550122931322e+01 8.567113310107347957e+01 1.772241357280624356e+02 1.024987413513588769e-01
8.299990032490747183e+01 1.199223193985829461e+01 6.223191810083381625e+01 1.113794565282912998e+02 8.779148755584817443e-02
1.055375750405190587e+02 2.260865408929067044e+01 6.271561128705045718e+01 1.501209838162304493e+02 1.045400875996145146e-01
1.731828446736348894e+02 1.408223652815649274e+01 9.292243830293493545e+01 1.828450853637154410e+02 9.655969105635162086e-02
1.796840767373215328e+02 1.197581509922031451e+01 5.881754530355939181e+01 2.009739034243462754e+02 1.257873872009980520e-01
1.381617096953357304e+02 1.965676173480356326e+01 8.731818005010158856e+01 2.166469648144627911e+02 1.390735940131886950e-01
2.418926692787308355e+02 3.295195058992572967e+01 9.762791596358756863e+01 1.929285016752191382e+02 7.646832444191316303e-02
9.976372349810864648e+01 3.627006288736622253e+01 7.807974411632335432e+01 1.455793838476712665e+02 6.288165966539516205e-02
1.314755699315733466e+02 1.767928136017871665e+01 8.117335920016779482e+01 1.573873268982337379e+02 6.956993239324364697e-02
2.356965321809073828e+02 2.566435039309835275e+01 6.276238914125374180e+01 5.243151836423583489e+01 2.487392347123074110e-02
2.195953399478158019e+02 2.001048079247437528e+01 8.390475124083640424e+01 8.554949458551138264e+01 3.585330042239072423e-02
1.795163964168570772e+02 1.757859750266241505e+01 9.464461305636503141e+01 1.782005445699205097e+02 9.441548308003705481e-02
1.624793096235288772e+02 3.382530016302303011e+01 6.226667330371071785e+01 3.823309094538009134e+01 1.677155308388317279e-02
1.042854232399062653e+02 1.977799516227136323e+01 9.478644320619729058e+01 1.931951864480962513e+02 1.305116730882537879e-01
3.550737944584723209e+02 6.296630347592395793e+01 8.287528007332055324e+01 1.874364750922792950e+02 5.138381417592022271e-02
1.103324769844996922e+02 1.132252721426354114e+01 6.304651269625934162e+01 9.259622904110652541e+01 7.170706298320828065e-02
1.732838772574877453e+02 1.502174956259180227e+01 4.161507201739961914e+01 8.602631374484994353e+01 6.100799222174051184e-02
1.940267158500638516e+02 2.159084679165002640e+01 9.568320633086237592e+01 1.487598074835692330e+02 6.730665075264923025e-02
1.173262293240467500e+02 2.175225150507456462e+01 9.993484194185080582e+01 4.135944002290381718e+02 2.661047224293624502e-01
1.608599096073161832e+02 4.461314415582150161e+01 8.337087542672303186e+01 1.513020051533038668e+02 6.455867612043794668e-02
2.331566877190161051e+02 3.622035930417067817e+01 5.505489235082169586e+01 2.080572755474053963e+02 7.224158646594208699e-02
1.226385997573382411e+02 1.443962579308708349e+01 9.277619708030863421e+01 2.657005513423402476e+02 1.297156300061379497e-01
1.144577750664783338e+02 1.893472467941308679e+01 6.390161052094445893e+01 8.900558278818883196e+01 5.712222675990179938e-02
2.297401036158453564e+02 5.541866234702812477e+01 9.911768793512990783e+01 2.393774973129076216e+02 1.021012699525535306e-01
2.953098386856113962e+02 2.513114913107560255e+01 7.582281623822363770e+01 1.639983054755028604e+02 7.284950414213579861e-02
1.672026588407767065e+02 4.491042486190741556e+01 1.401107371278595082e+01 3.499620536250038327e+01 1.146963299288730753e-02
2.592442217476449287e+02 4.225365163985578221e+01 8.047648526006489078e+01 1.957710354449734211e+02 6.240126033747686596e-02
1.790071353318741103e+02 3.588825146079974360e+01 9.340727437011705092e+01 2.045099133702412928e+02 1.012721541303638617e-01
1.641319134281411039e+02 2.034756358446282221e+01 4.127235067656238243e+01 6.628631931875177941e+01 3.932049380651751747e-02
1.940546276309578388e+02 2.721788297886596197e+01 7.466866209106768792e+01 2.039418998050410323e+02 1.039377045016043749e-01
1.514741090830848975e+02 1.231236163255207927e+01 2.572966530760787762e+01 4.282465140070227250e+01 3.102499826119108073e-02
9.303095928569476314e+01 1.154417876362274775e+01 8.711476502183899129e+01 2.351236980524752198e+02 1.898047380141778540e-01
2.424360323429786490e+02 1.556457488283644075e+01 7.360307819583655942e+01 7.986327790541490401e+01 4.382682633582130061e-02
1.705149329059422314e+02 2.047017542672296742e+01 8.354357363343642362e+01 1.573842019395903549e+02 7.742315199937785386e-02
1.165918978835489384e+02 2.461487046732341710e+01 2.938959850969752807e+01 1.514397617460170409e+02 1.079298969275300779e-01
1.063787645155296531e+02 2.541242293900322125e+01 9.067066463355958206e+01 2.037220131664121823e+02 9.813923496404382274e-02
1.354179065040693217e+02 1.402744982604592217e+01 9.942130601266663348e+01 1.450082926083991879e+02 1.169810430330912032e-01
1.083460434354596202e+02 2.560195281504543630e+01 5.117200397770750442e+01 1.023645019280395161e+02 6.409263799942788165e-02
2.262552858620244365e+02 2.603958840126857055e+01 4.575006269596362074e+01 1.749259436468830984e+02 8.204638142308323667e-02
1.713314058736777383e+02 1.595679650800093974e+01 9.039713780385123698e+01 8.024531842803617110e+01 3.918476514343709888e-02
1.969630060932712752e+02 4.639033294426007359e+01 7.176276386189294954e+01 2.997358110778991431e+02 1.271582601044779215e-01
7.440607447015985088e+01 1.041036622690066160e+01 8.001506551008246504e+01 9.627660781968474168e+01 8.546816149562727616e-02
1.486763825135002719e+02 1.071000336508141437e+01 4.277059477255487963e+01 9.808931313118418416e+01 6.242366719204454212e-02
9.458513069219492309e+01 1.637515116001041804e+01 7.112327986755782661e+01 8.931530544967793617e+01 5.127984887092190691e-02
1.441595714138712196e+02 1.477979182027126903e+01 8.681680840180293046e+01 5.133760802202215956e+01 2.111291273816159886e-02
1.202135561032592221e+02 2.413559949398943161e+01 9.630119203310171372e+01 2.989769106258767692e+02 1.766755185307745113e-01
2.009958349700808355e+02 4.359816559112214662e+01 5.278480981687800977e+01 1.872429690318225539e+02 6.477353857290010786e-02
