logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -7.866967160798699297e+02 -7.926894303665612824e+02 5.400000000000000355e-01
-7.926894303665612824e+02 nan -2.500000000000000052e-03 4.000000000000000000e+02 -7.393621423935777557e+02 -7.453573566802690493e+02 1.675000000000000044e+00
-7.453573566802690493e+02 nan -5.000000000000000104e-03 4.000000000000000000e+02 -6.099839891001305432e+02 -6.159817033868218914e+02 1.469999999999999973e+00
-6.159817033868218914e+02 nan -7.499999999999999722e-03 4.000000000000000000e+02 -6.041100336749217377e+02 -6.101102479616130267e+02 1.445000000000000062e+00
-6.101074331590480142e+02 3.737822318180032255e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -6.036811419237095606e+02 -6.096838562104009043e+02 1.469999999999999973e+00
-6.091802360062014259e+02 3.762029699266548022e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -5.603469717414075149e+02 -5.663521860280987994e+02 1.860000000000000098e+00
-5.663521860280987994e+02 1.333949300387383685e+00 -1.500000000000000118e-02 4.000000000000000000e+02 -5.531643349026790020e+02 -5.591720491893703411e+02 1.379999999999999893e+00
-5.591712879155891187e+02 3.996237278032455098e+00 -1.750000000000000167e-02 4.000000000000000000e+02 -5.383047994076144960e+02 -5.443150136943057760e+02 1.725000000000000089e+00
-5.443150133411210163e+02 9.013087080730926459e+00 -2.000000000000000042e-02 4.000000000000000000e+02 -4.885739661008364578e+02 -4.945866803875277924e+02 1.510000000000000009e+00
-4.945866803875277924e+02 2.668292755063002986e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -4.301341528898331035e+02 -4.361493671765244358e+02 1.584999999999999964e+00
-4.361493671765244358e+02 4.402348173965190625e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -4.058669894077480649e+02 -4.118847036944393949e+02 1.129999999999999893e+00
-4.118847036944104048e+02 1.069014581421332366e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -4.018954615726550514e+02 -4.079156758593463792e+02 1.245000000000000107e+00
-4.078969603029461268e+02 1.051889719573230941e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -3.850427682136121348e+02 -3.910654825003034603e+02 1.300000000000000044e+00
-3.910654824513050585e+02 6.991574836767218137e+00 -3.249999999999999417e-02 4.000000000000000000e+02 -3.787736784404421542e+02 -3.847988927271334774e+02 8.349999999999999645e-01
-3.847969958347514989e+02 9.378987949832847448e+00 -3.499999999999999639e-02 4.000000000000000000e+02 -3.767108109406975132e+02 -3.827385252273888341e+02 1.159999999999999920e+00
-3.826183902519842945e+02 9.414683329666672762e+00 -3.749999999999999861e-02 4.000000000000000000e+02 -3.720914030815556544e+02 -3.781216173682469730e+02 1.195000000000000062e+00
-3.781105341106155606e+02 2.505625958446802137e+00 -4.000000000000000083e-02 4.000000000000000000e+02 -3.534018718749804293e+02 -3.594345861616717457e+02 1.899999999999999911e+00
-3.594345861539246698e+02 9.225194210631382674e+00 -4.250000000000000305e-02 4.000000000000000000e+02 -3.525001431128428067e+02 -3.585353573995341208e+02 3.900000000000000133e-01
-3.581939805347505512e+02 7.989967296951803633e+00 -4.500000000000000527e-02 4.000000000000000000e+02 -3.475013000060622517e+02 -3.535390142927535635e+02 1.145000000000000018e+00
-3.535295450336185468e+02 3.500236269962113234e+00 -4.750000000000000749e-02 4.000000000000000000e+02 -3.462226453481919179e+02 -3.522628596348832275e+02 1.054999999999999938e+00
-3.520146223720947773e+02 2.537617776690370253e+00 -5.000000000000000971e-02 4.000000000000000000e+02 -3.319133359414021243e+02 -3.379560502280934315e+02 1.120000000000000107e+00
-3.379560494438705405e+02 4.278452666539757310e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -3.141697682970977326e+02 -3.202149825837890376e+02 3.099999999999999978e-01
-3.202149825640578911e+02 9.084036551142077087e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -3.113405455801561175e+02 -3.173882598668474202e+02 2.049999999999999878e-01
-3.173307397541649379e+02 9.271508826185741015e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -3.022458890545669306e+02 -3.082961033412582310e+02 1.219999999999999973e+00
-3.082959841398529761e+02 1.052372485883405062e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -2.976587466989404902e+02 -3.037114609856317884e+02 5.150000000000000133e-01
