weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -7.866967160798699297e+02 1.476623721108747702e+02 7.790400027059287424e+01 5.742968069980688739e+01 3.399154771286044934e+02 2.500554775829444409e-04
6.981273413637745180e-310 -7.393621423935777557e+02 2.718695124889252952e+02 4.745093959749295323e+02 1.778847537204530482e+01 4.081085358747229108e+00 4.207553862544555212e-01
1.074155026245480958e-253 -6.099839891001305432e+02 2.142429658902782705e+02 2.267445189783816062e+01 2.513109012201307735e+01 9.696001530712919703e+02 2.288450608360026450e-03
3.810725418707343247e-251 -6.041100336749217377e+02 2.978173075744992957e+02 1.775090012234383323e+02 5.749339463810370887e+01 1.785680696555966307e+01 9.386837578565904172e-01
5.836967047989023657e-251 -6.036811419237095606e+02 3.504354250908053245e+02 8.275480993566426378e+02 8.296775258782675166e+01 4.071317942294655978e+01 9.619101838729570142e-01
3.844965907673101912e-232 -5.603469717414075149e+02 4.568207648326923049e+02 4.985492965288892151e+02 4.240965073485921266e+01 3.133017193771791753e+01 6.902562134699485874e-01
5.048778313995174399e-229 -5.531643349026790020e+02 5.053616998955456552e+02 9.399028851448863406e+02 7.667901451649392186e+01 3.287323019270559143e+01 5.296150890791209154e-01
1.430588846247074707e-222 -5.383047994076144960e+02 2.794463155859792778e+02 8.580561602677818200e+02 7.883136074759271139e+01 5.767608430336323977e+01 9.951755219349153192e-01
5.652695403739027350e-201 -4.885739661008364578e+02 1.879106860769178695e+02 5.100428823205694471e+02 1.086589302786422984e+01 4.449827696265493415e+01 8.528738687633707904e-01
1.352876798694282036e-175 -4.301341528898331035e+02 9.953180619923961103e+01 9.656643496915735341e+02 9.395008699947204889e+01 9.219414103297904148e+02 3.020300084957572295e-03
4.669471234773005368e-165 -4.058669894077480649e+02 5.349297128569895676e+02 7.462855080973999975e+02 6.419834019476044773e+01 9.830893412267475640e+01 7.093535817567518942e-01
2.471693364505330274e-163 -4.018954615726550514e+02 4.297098016017344548e+02 9.207993507286732893e+02 5.520808371687698468e+01 1.199045823024949300e+02 8.181865764907478855e-01
5.139733328472889228e-156 -3.850427682136121348e+02 1.715618110853703513e+02 3.298795252485892320e+02 2.886202419277889319e+01 4.414220675304457941e+00 8.840883236182917049e-02
2.706985598952056071e-153 -3.787736784404421542e+02 3.229848635006828204e+02 9.450845545505123937e+02 9.035882167123500608e+01 1.106261747897065959e+02 6.855622714177468380e-01
2.124673402109751621e-152 -3.767108109406975132e+02 1.927476350071889613e+02 7.785467095205698342e+02 7.899728373659183944e+01 9.785601282420934410e+01 7.579581314462686681e-01
2.149759059677107196e-150 -3.720914030815556544e+02 2.178674777741768764e+02 5.206872384267064717e+02 5.009308686188869331e+01 3.797976540878617158e+01 3.361953930944585611e-01
2.805849185862845423e-142 -3.534018718749804293e+02 3.690014946751621210e+02 9.159429459032888872e+02 7.302752811056606674e+01 1.860184737284796199e+02 9.798769612120693528e-01
6.895954914047137595e-142 -3.525001431128428067e+02 5.043517339303285212e+02 9.059187006165515186e+02 6.090752644267285376e+01 1.570573962876887890e+02 7.529886664458650403e-01
