weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -7.866967160798699297e+02 2.333260544252114821e-01 7.698098125184471563e-02 5.699967747455241263e-01 3.392547318604649531e-01 2.500554775829444409e-04
6.981273413637745180e-310 -7.393621423935777557e+02 4.438466313371615124e-01 4.739833793542838070e-01 1.695805593135889522e-01 3.084169528275504391e-03 4.207553862544555212e-01
1.074155026245480958e-253 -6.099839891001305432e+02 3.461745184580987678e-01 2.169614804588404500e-02 2.437483850708391797e-01 9.695697227940860419e-01 2.288450608360026450e-03
3.810725418707343247e-251 -6.041100336749217377e+02 4.878259450415242116e-01 1.766856869103486938e-01 5.706403498798354734e-01 1.687368064620586861e-02 9.386837578565904172e-01
5.836967047989023657e-251 -6.036811419237095606e+02 5.770091950691615956e-01 8.273754748314741114e-01 8.279570968467347969e-01 3.975293235530186209e-02 9.619101838729570142e-01
3.844965907673101912e-232 -5.603469717414075149e+02 7.573233302249021692e-01 4.980473438727619495e-01 4.182793003521132480e-01 3.036053247018810630e-02 6.902562134699485874e-01
5.048778313995174399e-229 -5.531643349026790020e+02 8.395961015178740050e-01 9.398427278727591316e-01 7.644344900655951625e-01 3.190513532803362917e-02 5.296150890791209154e-01
1.430588846247074707e-222 -5.383047994076144960e+02 4.566886704847106238e-01 8.579140743421239668e-01 7.861753610867950881e-01 5.673281712048372505e-02 9.951755219349153192e-01
5.652695403739027350e-201 -4.885739661008364578e+02 3.015435357235896063e-01 5.095524347553247457e-01 9.965548512994171215e-02 4.354181878143636997e-02 8.528738687633707904e-01
1.352876798694282036e-175 -4.301341528898331035e+02 1.517488240665078036e-01 9.656299796712447536e-01 9.388897676714348384e-01 9.218632736033938180e-01 3.020300084957572295e-03
4.669471234773005368e-165 -4.058669894077480649e+02 8.897113777237111165e-01 7.460315396370370555e-01 6.383670726743478907e-01 9.740634046313789707e-02 7.093535817567518942e-01
2.471693364505330274e-163 -4.018954615726550514e+02 7.113725450876855483e-01 9.207200707994727118e-01 5.475564011805755804e-01 1.190236059084033293e-01 8.181865764907478855e-01
5.139733328472889228e-156 -3.850427682136121348e+02 2.738335781107972267e-01 3.292087339825717773e-01 2.814345878058474026e-01 3.417638313618076573e-03 8.840883236182917049e-02
2.706985598952056071e-153 -3.787736784404421542e+02 5.304828194926827223e-01 9.450295841346469938e-01 9.026143603155051265e-01 1.097359107004070022e-01 6.855622714177468380e-01
2.124673402109751621e-152 -3.767108109406975132e+02 3.097417542494728115e-01 7.783250345551249172e-01 7.878513508746650684e-01 9.695296578999934578e-02 7.579581314462686681e-01
2.149759059677107196e-150 -3.720914030815556544e+02 3.523177589392828546e-01 5.202074458725790551e-01 4.958897662817040031e-01 3.701678219097714884e-02 3.361953930944585611e-01
2.805849185862845423e-142 -3.534018718749804293e+02 6.084771096189188766e-01 9.158588047079968542e-01 7.275507889956168706e-01 1.852036774058855029e-01 9.798769612120693528e-01
6.895954914047137595e-142 -3.525001431128428067e+02 8.378842947971669730e-01 9.058245251416932042e-01 6.051265297239681873e-01 1.562136098975863696e-01 7.529886664458650403e-01
1.019714639697536268e-139 -3.475013000060622517e+02 5.339421550086137502e-01 3.830723934894806337e-01 9.021963499683562926e-01 1.138529069839051555e-01 9.072390938184243803e-01
