logz logzerr logvol nlive logl logwt insert_order
-inf nan 0.000000000000000000e+00 4.000000000000000000e+02 -2.443187981232641505e+03 -2.449180695519332858e+03 1.054999999999999938e+00
-2.449180695519332858e+03 nan -2.500000000000000052e-03 4.000000000000000000e+02 -1.876465613386362747e+03 -1.882460827673054155e+03 7.049999999999999600e-01
-1.882460827673054155e+03 1.567804424740053548e+02 -5.000000000000000104e-03 4.000000000000000000e+02 -1.815780966370785791e+03 -1.821778680657477025e+03 1.699999999999999956e+00
-1.821778680657477025e+03 2.970192824781163310e+01 -7.499999999999999722e-03 4.000000000000000000e+02 -1.739989570619557981e+03 -1.745989784906249270e+03 1.804999999999999938e+00
-1.745989784906249270e+03 5.315778954167308967e+01 -1.000000000000000021e-02 4.000000000000000000e+02 -1.738864577128442988e+03 -1.744867291415134332e+03 3.649999999999999911e-01
-1.744585526389678535e+03 5.252736299958846899e+01 -1.250000000000000069e-02 4.000000000000000000e+02 -1.726156075729615623e+03 -1.732161290016307021e+03 3.649999999999999911e-01
-1.732161285996346123e+03 4.489124492023236002e+01 -1.500000000000000118e-02 4.000000000000000000e+02 -1.703214554470154553e+03 -1.709222268756845779e+03 8.549999999999999822e-01
-1.709222268756736639e+03 1.265894257834396974e+01 -1.750000000000000167e-02 4.000000000000000000e+02 -1.593883043634589967e+03 -1.599893257921281247e+03 1.614999999999999991e+00
-1.599893257921281247e+03 5.855414736989168745e+01 -2.000000000000000042e-02 4.000000000000000000e+02 -1.584457929269882470e+03 -1.590470643556573805e+03 1.635000000000000009e+00
-1.590470562685536152e+03 3.195273253473083486e+01 -2.249999999999999917e-02 4.000000000000000000e+02 -1.547285633901060010e+03 -1.553300848187751399e+03 4.899999999999999911e-01
-1.553300848187751399e+03 4.312519220218756999e+01 -2.499999999999999792e-02 4.000000000000000000e+02 -1.387159617723293877e+03 -1.393177332009985093e+03 1.280000000000000027e+00
-1.393177332009985093e+03 9.478984006647841909e+01 -2.749999999999999667e-02 4.000000000000000000e+02 -1.348292362424991779e+03 -1.354312576711683050e+03 2.800000000000000266e-01
-1.354312576711683050e+03 8.974013461408694070e+01 -2.999999999999999542e-02 4.000000000000000000e+02 -1.339202088480520842e+03 -1.345224802767212168e+03 1.804999999999999938e+00
-1.345224689734179947e+03 5.646614676266541011e+01 -3.249999999999999417e-02 4.000000000000000000e+02 -1.294257364814303628e+03 -1.300282579100995008e+03 1.750000000000000000e+00
-1.300282579100995008e+03 6.968472826943556697e+01 -3.499999999999999639e-02 4.000000000000000000e+02 -1.268278441119323134e+03 -1.274306155406014341e+03 9.350000000000000533e-01
-1.274306155406009111e+03 7.795968897750283588e+01 -3.749999999999999861e-02 4.000000000000000000e+02 -1.215662426068142850e+03 -1.221692640354834111e+03 8.500000000000000611e-02
-1.221692640354834111e+03 9.048775955222264145e+01 -4.000000000000000083e-02 4.000000000000000000e+02 -1.193973024126414657e+03 -1.200005738413105973e+03 1.790000000000000036e+00
-1.200005738412724440e+03 9.671019441064721889e+01 -4.250000000000000305e-02 4.000000000000000000e+02 -1.173269061817560669e+03 -1.179304276104252040e+03 1.094999999999999973e+00
-1.179304276103229995e+03 2.640948263714663824e+01 -4.500000000000000527e-02 4.000000000000000000e+02 -1.138968739390758856e+03 -1.145006453677450281e+03 1.524999999999999911e+00
-1.145006453677450281e+03 1.942086129427798724e+01 -4.750000000000000749e-02 4.000000000000000000e+02 -1.132104131964362296e+03 -1.138144346251053548e+03 4.349999999999999978e-01
-1.138143300092716800e+03 1.065050944240542563e+01 -5.000000000000000971e-02 4.000000000000000000e+02 -1.124457469245596940e+03 -1.130500183532288247e+03 4.849999999999999867e-01
-1.130499704314877363e+03 5.670505235824076173e+00 -5.250000000000001193e-02 4.000000000000000000e+02 -1.099957651435935759e+03 -1.106002865722627121e+03 1.489999999999999991e+00
-1.106002865722604156e+03 8.959331033952896206e+00 -5.500000000000001416e-02 4.000000000000000000e+02 -1.089636882265357372e+03 -1.095684596552048788e+03 1.830000000000000071e+00
-1.095684563528368926e+03 4.494572899065662597e+00 -5.750000000000001638e-02 4.000000000000000000e+02 -1.064542431043196984e+03 -1.070592645329888228e+03 1.975000000000000089e+00
-1.070592645329875495e+03 1.187431780636617873e+01 -6.000000000000001860e-02 4.000000000000000000e+02 -1.057649939045415067e+03 -1.063702653332106365e+03 1.510000000000000009e+00
-1.063701635927850930e+03 1.292628693684736518e+01 -6.250000000000001388e-02 4.000000000000000000e+02 -1.054877267767874400e+03 -1.060932482054565753e+03 1.149999999999999911e+00
-1.060871655055887231e+03 1.245578957893124361e+01 -6.500000000000001610e-02 4.000000000000000000e+02 -1.046490963862442641e+03 -1.052548678149134048e+03 4.000000000000000222e-01
-1.052548435306842293e+03 6.545016787162131422e+00 -6.750000000000001832e-02 4.000000000000000000e+02 -1.043950289620967851e+03 -1.050010503907659086e+03 9.949999999999999956e-01
-1.049934441685390539e+03 3.505520210444128537e+00 -7.000000000000002054e-02 4.000000000000000000e+02 -1.035263192890590744e+03 -1.041325907177282033e+03 1.445000000000000062e+00
-1.041325724652713461e+03 4.956825848319208028e+00 -7.250000000000002276e-02 4.000000000000000000e+02 -1.028112357277242381e+03 -1.034177571563933725e+03 1.739999999999999991e+00
-1.034176785557922358e+03 6.323488664528896130e+00 -7.500000000000002498e-02 4.000000000000000000e+02 -1.010693048379551442e+03 -1.016760762666242726e+03 8.750000000000000000e-01
-1.016760762638932988e+03 1.030563121645921854e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.009526072178795744e+03 -1.015596286465487083e+03 1.804999999999999938e+00
-1.015324668153484026e+03 8.961598792294036553e-01 -8.000000000000002942e-02 4.000000000000000000e+02 -9.728440550774425901e+02 -9.789167693641338701e+02 2.750000000000000222e-01
-9.789167693641338701e+02 1.352097645243988921e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -9.620201735299622214e+02 -9.680953878166535560e+02 8.249999999999999556e-01
-9.680953678488924652e+02 1.713702233062150171e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -9.602377612224438508e+02 -9.663154755091351262e+02 9.300000000000000488e-01
-9.661596208785399540e+02 3.538472283331818957e+00 -8.750000000000003608e-02 4.000000000000000000e+02 -9.581881559218999200e+02 -9.642683702085912500e+02 1.250000000000000000e+00
-9.641278407469499143e+02 1.477459636549957711e+00 -9.000000000000003830e-02 4.000000000000000000e+02 -9.533170147295796824e+02 -9.593997290162709533e+02 1.000000000000000021e-02
-9.593909247344159894e+02 2.300095163313301327e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -9.502565267519038343e+02 -9.563417410385951598e+02 1.354999999999999982e+00
-9.562954324276362286e+02 2.973473095883401918e+00 -9.500000000000004274e-02 4.000000000000000000e+02 -9.476172861166319308e+02 -9.537050004033231971e+02 8.599999999999999867e-01
-9.536326912426430908e+02 1.866165512701596141e+00 -9.750000000000004496e-02 4.000000000000000000e+02 -9.422331666587697327e+02 -9.483233809454610537e+02 1.375000000000000000e+00
-9.483184477971167325e+02 3.110549700998353817e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -9.378591555333349561e+02 -9.439518698200262179e+02 1.149999999999999911e+00
-9.439392551134969835e+02 1.456455901964380573e+00 -1.025000000000000494e-01 4.000000000000000000e+02 -9.335721378444379752e+02 -9.396673521311292916e+02 4.050000000000000266e-01
-9.396534934070477902e+02 2.512956504375622568e+00 -1.050000000000000516e-01 4.000000000000000000e+02 -9.246005240725721706e+02 -9.306982383592634278e+02 2.999999999999999889e-02
-9.306981093104172942e+02 5.807215184322628510e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -9.222733230395283499e+02 -9.283735373262196617e+02 1.425000000000000044e+00
-9.282802060979136058e+02 3.418325732159988917e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -9.177971611551776050e+02 -9.238998754418689714e+02 1.564999999999999947e+00
-9.238874319663169672e+02 3.168068990968438303e+00 -1.125000000000000583e-01 4.000000000000000000e+02 -9.045693078181864166e+02 -9.106745221048777239e+02 1.320000000000000062e+00
-9.106745202780156205e+02 7.731544774397766773e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -9.042495556626881807e+02 -9.103572699493795426e+02 5.450000000000000400e-01
-9.098102193707090919e+02 5.179941687959917829e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -9.023602099362136642e+02 -9.084704242229049669e+02 1.614999999999999991e+00
