weight logl pFat pLiver pSlow kMet fAbs
0.000000000000000000e+00 -1.345980844811546376e+03 3.887020019984923351e+02 7.725936882158536037e+02 7.233454548438878362e+01 6.146642117228325333e+02 3.896243404044597014e-05
0.000000000000000000e+00 -1.220411209877846204e+03 2.018761580707704866e+02 9.217967368026610302e+02 2.685618797237723854e+01 1.814195223382681466e+00 8.695208606607287560e-01
0.000000000000000000e+00 -1.048751918320586583e+03 3.388764876712394880e+02 9.213274668460173871e+02 4.344001072263107943e+01 4.968447637134591588e+00 6.961735484494794290e-01
0.000000000000000000e+00 -8.597771260000968141e+02 2.234572478517257537e+02 6.401274643905020412e+02 9.720814850121442419e+01 9.142309710199540973e+00 6.748209633770732019e-01
0.000000000000000000e+00 -8.411889460532821658e+02 5.993457391234551324e+02 8.802393672608338875e+02 4.112858028774465424e+01 2.432657214561259451e+01 7.671458805667432657e-01
0.000000000000000000e+00 -8.287082763561436423e+02 3.828960636078737139e+02 7.740616671757497897e+02 3.817086281656175117e+01 2.117578802431191320e+01 7.603022846819973424e-01
0.000000000000000000e+00 -8.230788112557405611e+02 4.135043203031636381e+02 4.081206863894183243e+02 2.765645870901994030e+01 8.826693056988902981e+02 4.974688403653892976e-04
6.425603884045652112e-282 -6.628074623257490430e+02 4.657208577767856923e+02 1.019198847727367152e+01 9.280471303884857548e+01 8.079575207849460483e+00 9.902245167264175363e-01
2.650474470971269780e-271 -6.383620782492928356e+02 4.704094263468622330e+02 2.059248401241723343e+02 5.695065622874456324e+01 2.345953640393506134e+01 5.958421300065699366e-01
9.250168053798935717e-261 -6.140838242696357838e+02 4.821478336412628778e+02 6.182089771644139091e+02 9.371023082271825899e+01 6.026799145038049943e+01 9.383428470671861810e-01
1.372349685253465584e-255 -6.021739310615461136e+02 5.977108305284247081e+02 3.536239999209815323e+02 5.466351795556485627e+01 2.817947355291483547e+01 4.508642246450323965e-01
2.493859699223859956e-255 -6.015741238406568527e+02 4.316734961606318279e+02 5.865049608069413125e+02 8.838252278466254097e+01 5.387561241064467055e+01 8.244201031278022285e-01
8.141069050931480231e-254 -5.980859488335856895e+02 1.086408958074129174e+02 5.817897352178215442e+02 7.629036623932125849e+01 4.051339434211975998e+01 9.167748251466047993e-01
2.188835214920454060e-247 -5.832789051500519690e+02 3.522820537852696248e+02 8.639839675409300526e+02 6.417422889233068872e+01 4.641157076001933035e+01 5.871183183832869856e-01
1.065122753243302747e-245 -5.793915144472879319e+02 4.437974107560475545e+02 9.537206267031759808e+02 6.531335414283358887e+01 3.878513278779080053e+01 4.005493559290571604e-01
