pFat pLiver pSlow kMet fAbs
4.847715504401961653e+02 5.958794162066141809e+01 8.800602938568903255e+01 5.110778155691282336e+02 5.034640370650841357e-01
4.506618022577251850e+02 7.240679947396641580e+01 6.299691383338883099e+01 4.738697143001904237e+02 4.837792504049920894e-01
4.366259938605069237e+02 3.915527324594500413e+01 3.830912073038253851e+01 8.761476165410693966e+02 9.886048604640116366e-01
3.932063129642472745e+02 1.022455403743334585e+02 7.726831676509581825e+01 3.182717847512391245e+02 2.707179757285871347e-01
5.187285094121684779e+02 6.960087296313642469e+01 8.071301369492424271e+01 4.311997332187438019e+02 3.512516348166875302e-01
5.939116341151011511e+02 7.931858911369003806e+01 4.266534559772946267e+01 3.160858756305548809e+02 2.015410307584274696e-01
5.351534374414750346e+02 5.635708114828329229e+01 5.328085088373197209e+01 3.750929411604730603e+02 4.310426246777986914e-01
4.445485334812104270e+02 5.207968088428400222e+01 7.953179209895844792e+01 5.148384705494596574e+02 6.002252398077686513e-01
4.694363993378020723e+02 6.713867183392791560e+01 1.103020438269525272e+01 1.035451475239514423e+02 1.211423990666022354e-01
4.396394800373366252e+02 6.568172711628818661e+01 9.578535110990588919e+01 2.656797527849108178e+02 2.157324861756278467e-01
5.313413273105636563e+02 4.794615577808596640e+01 6.841100228438789088e+01 5.197315533611939600e+02 4.410542190464870060e-01
5.573119342454237994e+02 7.105731863190290198e+01 2.783384397245296071e+01 1.041579210014443788e+02 1.391168072923539833e-01
4.624080143470088160e+02 4.640548717691562786e+01 8.451756846383059951e+01 7.048008768595730089e+02 7.920156127400248547e-01
5.146484282107203398e+02 4.673074582583346626e+01 8.075591362345771529e+01 5.025896142665745856e+02 6.382159100178597111e-01
5.409556173772878083e+02 5.616062643180939062e+01 8.889267685942516550e+01 8.879049467804222786e+02 9.967531148829074095e-01
4.712533600890187699e+02 4.285490329425208245e+01 3.616107854790483600e+01 4.351889141848823783e+02 5.117529595599875636e-01
5.524771883971942543e+02 4.617862700935409492e+01 7.676947193728859986e+01 3.542649588629536765e+02 3.645651766117268822e-01
5.904901291209970395e+02 3.916053367522691531e+01 6.786670601285258897e+00 1.397455982137703927e+02 1.520986725998759448e-01
4.499774025171817016e+02 5.592512097038604679e+01 9.424857233383629307e+01 5.400555942242954188e+02 5.421901758042628749e-01
4.779796482164311442e+02 6.736704179359725231e+01 5.387430081320625419e+01 3.596219204768087820e+02 4.628783135803975490e-01
4.491765219849615391e+02 3.359122251281797844e+01 9.652380369868700427e+01 3.724685571830522122e+02 3.772199324063673087e-01
3.924365051741906996e+02 5.495908667914291357e+01 3.489163883176033920e+01 8.300758136300032675e+02 7.503567085028590711e-01
4.835582294883959662e+02 4.698303161467480038e+01 7.171956674630003192e+01 8.080829466361683444e+02 9.843618482051013086e-01
4.568632610206813069e+02 4.904792383072580719e+01 3.158305561853694243e+01 7.930577871045893517e+02 8.926565116797147148e-01
4.036584518185609909e+02 4.896324516057401866e+01 5.622425448059978237e+01 5.612221386383744175e+02 6.478882936057822617e-01
5.780875499274231970e+02 8.279330547468190105e+01 7.166300782549230064e+01 5.957747649941046575e+02 4.612846398458995134e-01
5.576607105448507582e+02 5.210150688260303298e+01 8.216767759171531793e+01 5.926098953587375036e+02 5.771607178371644942e-01
3.475719244514410207e+02 4.925102664898954430e+01 7.998370589860944335e+01 4.644597437849261610e+02 6.430186259871292220e-01
5.754847844853818515e+02 7.453511880803216627e+01 6.527812231620887928e+01 5.077815681541563890e+02 3.687330255486873654e-01
5.177128840956843305e+02 5.543947766203243077e+01 8.303632295290288567e+00 1.103727134060310533e+02 8.614681064673504474e-02
5.658685809163476961e+02 4.703738210845541801e+01 9.200406527374444465e+01 4.222615057675384378e+02 4.333020482793780159e-01
5.829931743937950159e+02 4.750430697313904460e+01 4.695596656244183009e+01 7.734758887168245565e+02 6.757567884178322659e-01
5.177360343994430423e+02 6.754189579230143181e+01 6.873353672415264271e+01 3.088276497310008040e+02 4.179842646171715304e-01
5.719941061059967069e+02 1.189830454193282918e+02 5.772783175471909800e+01 5.372702058357904207e+02 4.064783855133387580e-01
5.182772151838489663e+02 6.695529977089434226e+01 8.395752236413684955e+01 4.496007799269315228e+02 3.963719702143345680e-01
4.674512892467599272e+02 4.337817512307792356e+01 1.718509181119955098e+00 5.138178791465439872e+02 5.112521287920892554e-01
5.380534329123822772e+02 7.016028769160971024e+01 4.343490004232054957e+01 6.076635842149019027e+02 6.190200137913868250e-01
4.742346006382811083e+02 1.001572339072820483e+02 7.640934519315587181e+01 2.054898215119138172e+02 1.604430129874565292e-01
4.653839083313656602e+02 5.645753188074803575e+01 7.132414288479502318e+00 4.508011091326473547e+02 4.813794142323170044e-01
5.708286430023423463e+02 7.598763694351455911e+01 6.042847770763137305e+01 2.556370181453779367e+02 2.552011352005195688e-01
5.038573173198308837e+02 4.182316930499761298e+01 9.018473327884008484e+01 3.290785775428325906e+02 3.472296742159056149e-01
4.399735058652812540e+02 5.346824885710196185e+01 2.254225864246793520e+01 6.213956909957679500e+02 5.633434116641039546e-01
4.359629878083997028e+02 6.883020624627238249e+01 7.815389395964433561e+01 3.071977464842665881e+02 2.474176320414922525e-01
5.210508879398405497e+02 3.297089507824820487e+01 2.337410420701688807e+01 1.531522329044223056e+02 1.817579009828191039e-01
5.155274573460075089e+02 4.674795889573187679e+01 9.136716583437998906e+01 6.424626212882493519e+02 6.074057840707294265e-01
3.762921690874973137e+02 3.456062406517635566e+01 5.039577053840094578e+01 2.282555703563741929e+02 3.684501828910645704e-01
4.875827938811544868e+02 3.408672904017137029e+01 8.401587520892080363e+01 4.022079726272299922e+02 4.485714965372613605e-01
5.763044622537595387e+02 4.951891761615451770e+01 8.763980903861271088e+01 1.511744627326351633e+02 1.467507574265841108e-01
4.027177863499720729e+02 2.974519782256611578e+01 5.952965008658816259e+01 2.596215332019003199e+02 4.479350351084983028e-01
5.719191743598058792e+02 4.745091255856898016e+01 5.503348934250605140e+01 1.871435944996691774e+02 1.600393917136568589e-01
5.469295432366690193e+02 9.449828682324222484e+01 7.088833408738119601e+01 7.825196083819830619e+02 7.968570462978378233e-01
4.516876562371248269e+02 7.966218185445514166e+01 9.676930413531150066e+01 8.125463588597565376e+02 9.209882258333644822e-01
5.056434132468569942e+02 8.716064895416411673e+01 5.713868570990341311e+01 2.875131815904806558e+02 2.734123635004490072e-01
5.826743444208174196e+02 6.817456823644971564e+01 5.998180214568634483e+01 2.252938089264225425e+02 1.857108294247689362e-01
3.445398055878075638e+02 5.042239877918002833e+01 8.617245449505917065e+01 4.423230196397794316e+02 5.671949639573661273e-01
4.631309325085295541e+02 6.156421450717825650e+01 8.003217031583197638e+01 7.122892485970040752e+02 6.236705165379642368e-01
4.422534431820695886e+02 8.319904451201098539e+01 6.043875424708696897e+01 3.005003580204268019e+02 2.706911979634868404e-01
4.071770989416430666e+02 1.014963874335033864e+02 9.581303194342240204e+01 6.891153603479524463e+02 6.159513614752460953e-01
3.943120839058540810e+02 7.144374240371310236e+01 4.313621852792635991e+01 4.338008605912079929e+02 4.156473305261744189e-01
5.335056591153246472e+02 7.156358756835011548e+01 5.682257939009460301e+01 4.876505708971736226e+02 4.769306234930086874e-01
5.156681142286686281e+02 5.213170205732430418e+01 9.376513850559518914e+01 3.782480904042369048e+02 2.660520261827785671e-01
5.995909682176860542e+02 8.548054937291182398e+01 4.072756665976241663e+01 5.441787654803503074e+02 4.825427188572708470e-01
5.412259290141960264e+02 6.427257542768475673e+01 4.233904900511586789e+01 5.084563126550671086e+02 7.679246021112983156e-01
4.534700705392293685e+02 4.941425245075538442e+01 7.646779622708334045e+01 4.070593262686093112e+02 4.272000607331594701e-01
4.458775482647342301e+02 6.452272067775405162e+01 4.522545482368114023e+01 3.129767521594841924e+02 3.505702003076566209e-01
5.431999384223487368e+02 8.218596450671897458e+01 6.605926348898799461e+01 1.876994373439135586e+02 1.407767664255564211e-01
5.197349619295104048e+02 1.082998274469747031e+02 5.747886844508764881e+01 3.835569012602700809e+02 2.593733631551866647e-01
5.846984650964398043e+02 7.614157668206549090e+01 8.361230097202832212e+01 1.984674538985554193e+02 1.457814311015411812e-01
4.900194750628498355e+02 4.203275399743433383e+01 6.035003260664625202e+01 3.626316972976135276e+02 2.941047942789595804e-01
3.414636134412073147e+02 4.082185413178827815e+01 6.542419868362546254e+01 2.216618748100839866e+02 2.698697663598590424e-01
3.822419802459971834e+02 4.486182392665314467e+01 1.924699408057573180e+01 2.313402263587106233e+02 2.736275190307952965e-01
5.683488555939255775e+02 5.273994548541103455e+01 9.638925725349554341e+01 7.579838775504196065e+02 8.420964056197963732e-01
5.247884886143104950e+02 5.764273632615732623e+01 2.443868296996300060e+01 1.534385198182527859e+02 1.340344492991200620e-01
5.133715284316130010e+02 6.670766239759264238e+01 8.022616560821531095e+01 5.131532948609826690e+02 4.425609145262777711e-01
4.291513577239724668e+02 5.799054411899611239e+01 8.686794051459580146e+01 4.673402812916834250e+02 5.999482744993263061e-01
4.584297764344469215e+02 6.834491763540101772e+01 5.878260974382578752e+01 4.366300006753413072e+02 3.121235941729183505e-01
5.963252180122682375e+02 4.700555232830229357e+01 6.638482844525915993e+01 1.227359246157119372e+02 1.136146812863752520e-01
5.421298156014735241e+02 3.293257359210672064e+01 6.578969265796999366e+01 2.225035358479487684e+02 2.346143495483957730e-01
5.107666494076876234e+02 1.722776485642664568e+02 3.665081158216282375e+01 1.598323436743214927e+02 9.874487029243977920e-02
5.333205415892309702e+02 4.574538121324025042e+01 5.432028220564738064e+01 4.563609636683835902e+02 4.776192160665364561e-01
4.569119002343302327e+02 7.892210306300587774e+01 9.425171592831623002e+01 1.135000749800508686e+02 9.560019207065612035e-02
5.501393540423904369e+02 1.370287334343047974e+02 6.766671625661025757e+01 5.019295159777636854e+02 3.510273423301456530e-01
5.618795558970282400e+02 4.556126046725594136e+01 7.927040745093734131e+01 5.401464173042461425e+02 6.279744519620322762e-01
4.134313520144131076e+02 6.745681216633072097e+01 5.012438666070297444e+01 1.596305066394919550e+02 1.309636690179913077e-01
2.890091354231386163e+02 5.761897476153550457e+01 9.382785591550458548e+01 2.675576736919352925e+02 2.613479598642639012e-01
5.639401487163002002e+02 3.702228539170649668e+01 3.374743506587376629e+01 2.090056127151388523e+02 2.276981094130795802e-01
3.155745246309659251e+02 5.466768392865448334e+01 2.755666471091473468e+01 3.448116030485898591e+02 5.264129369032676253e-01
5.280485957212152925e+02 4.488673844072686592e+01 9.998196974600330122e+01 2.400263355007173232e+02 2.646358971390391224e-01
4.365556376392191851e+02 8.081377252611106599e+01 2.174144530176002377e+01 1.387205117224791024e+02 1.899048614342307983e-01
5.863859734215710660e+02 9.546869236925031998e+01 5.419743472465658840e+01 5.331390940494868573e+02 4.578991921517533981e-01
4.976365801697041888e+02 1.042543324978541648e+02 2.271605106320804879e+01 8.089985836112387574e+01 5.108537530822487849e-02
4.450420344801893862e+02 4.515089613973618299e+01 7.761444438181921157e+01 3.049906990284247854e+02 3.172152029200543399e-01
5.773997617215674154e+02 1.207126513830410204e+02 3.701661934451286129e+01 1.064338355991399681e+02 6.425938790150353963e-02
5.813538459560713818e+02 6.714691205794267148e+01 8.500593676660979270e+01 5.691811658330459522e+02 5.259805767516763098e-01
5.879850114376464489e+02 1.233767691550968664e+02 1.193461741089741324e+01 2.184349425281906463e+02 1.510096047029332866e-01
5.631246328014699429e+02 1.842289987106038609e+02 9.383010880023026345e+01 4.691954022240792028e+02 2.893637817231832776e-01
5.851890526675272213e+02 7.474977927656451016e+01 3.693760605252894180e+01 3.296698780807990374e+02 2.870976310979795887e-01
3.510778711293664287e+02 4.571339834107844524e+01 6.300357804773712900e+01 4.320236510373559327e+02 5.205141343335553117e-01
5.851336014709353321e+02 4.669754202195235138e+01 8.294288582252129061e+01 9.368210733243017785e+02 9.676906400535485453e-01
5.387313909917727415e+02 6.326800701486121170e+01 4.989159517939636146e+01 1.537975167388303532e+02 1.196727359136953023e-01
5.391370200245826254e+02 5.693859063655428088e+01 8.733452755057658123e+01 8.025838790821735529e+02 8.195970750950274386e-01
4.720203005927045865e+02 2.696732175015917221e+01 1.791931894901622968e+01 4.762910679033889778e+02 6.771377443375135030e-01
5.698291117223055835e+02 5.559314623672522515e+01 2.403405652282010863e+01 1.074240046959461665e+02 8.682318057767540731e-02
3.720192337739500772e+02 5.341592061092586619e+01 2.537449437344992020e+01 2.318807346009225512e+02 2.648329703570200255e-01
4.690166766442353605e+02 6.106627009284125762e+01 4.923636463468177737e+01 4.517946069568653229e+02 4.611890624373304326e-01
4.338549802681158667e+02 8.208639877103509264e+01 8.526769682184180965e+01 3.577852922676061667e+02 4.007062524502633671e-01
5.754847844853818515e+02 7.453511880803216627e+01 6.527812231620887928e+01 5.077815681541563890e+02 3.687330255486873654e-01
5.290384512959777794e+02 7.062578287176340552e+01 1.245607307023717958e+01 8.582420205374634179e+02 9.287907088348219542e-01
5.198537676821185869e+02 7.935166433563529154e+01 8.345039435038125930e+01 4.993057597672852808e+02 3.976877514049861340e-01
5.817626001687896178e+02 6.476707322947741829e+01 4.086754999570143809e+01 8.773326846903033811e+02 7.189377995929610021e-01
4.677084676384261002e+02 4.832423623446747740e+01 2.772274177753681812e+01 3.521694181344523145e+02 3.967595278110958024e-01
5.934670848472153466e+02 7.351088020788053257e+01 9.655236203912774329e+01 2.829430994329200075e+02 2.332836710258092694e-01
