weight logl pFat pLiver pSlow kMet fAbs
2.095275393574629959e-254 -5.981984999804399195e+02 4.591096853429836866e-01 7.825544195652572865e-01 9.060590447530669778e-01 6.916240089013814263e-03 9.877687641257890672e-01
1.345571684102583247e-234 -5.525871641513836039e+02 7.916541992545189643e-01 2.799694719357571637e-01 7.512216571282904765e-01 5.507761105187025663e-03 9.589799357552960535e-01
5.409088917278021247e-208 -4.913261900287101867e+02 2.385393025648274712e-02 6.389319017592838268e-01 8.801700884109631140e-01 5.621878210413647770e-01 8.279624865740187190e-03
7.311911406571875005e-181 -4.288524684714803925e+02 6.380751966101849693e-02 5.081066417110654543e-01 4.675272587384828871e-01 1.038638768261535006e-02 5.959144539390787143e-01
2.089587647304875576e-170 -4.047740704178846158e+02 2.185361799780295433e-01 9.425239059975584199e-01 6.588484813524759787e-01 9.548883106027193923e-01 9.617647851747790355e-03
4.704103363788538079e-170 -4.039601019825058188e+02 8.712341050575308499e-01 4.662928479686749839e-01 3.940480853159464836e-01 2.221943467227782687e-02 6.545128136662993201e-01
7.100687135060448964e-157 -3.736122393985822328e+02 1.814173932959948221e-01 7.441435458994059005e-01 9.146914617053122365e-01 3.764800200239737382e-02 9.784811863580606950e-01
5.016706561721216572e-153 -3.647468169305587367e+02 8.370977090163156387e-02 8.109444552270289597e-01 3.092724733272456117e-02 8.695702645955836196e-01 1.824328997466806435e-02
4.356702926377096018e-143 -3.418595240938722668e+02 3.219895550122953143e-02 7.653937307108145127e-01 8.372860017255252529e-01 4.123192592347557639e-02 9.969309894849682774e-01
4.350834469489118744e-142 -3.395557869038523222e+02 3.493073502685485332e-01 7.139965913064573177e-01 9.462956493924186141e-01 3.423070806952932532e-02 6.429493080241494019e-01
3.452285861190255727e-140 -3.351794477965312353e+02 8.898482082388526893e-01 7.697190523892762926e-01 3.102975827732560310e-01 5.794370024576711575e-02 9.269910957679498020e-01
1.390465664164665339e-138 -3.314811754894161595e+02 2.445530211776643092e-01 3.351675037913592892e-02 8.059366039598214737e-01 6.156127676707456864e-01 1.985591351684745653e-02
7.948839396508201748e-135 -3.228275329815152759e+02 6.203449415280190005e-01 7.785109678769190911e-01 8.646513962726476432e-02 4.568933942633657264e-02 7.601890020940228476e-01
8.430965933468219261e-133 -3.181609773773708412e+02 1.591176982399598039e-01 1.319438210494493502e-01 8.824053838613177270e-03 6.005103288226958380e-01 1.797906106647051416e-02
2.655620995831154643e-121 -2.916826890856677892e+02 8.191397550137371475e-01 3.312627979936393352e-01 1.602258771508850987e-01 2.130467669559321653e-02 3.542386948553933879e-01
2.441283220069453067e-119 -2.871591736128314096e+02 6.699705055730482695e-01 1.537018925772086764e-01 2.010636275795514294e-01 6.540969692289252402e-01 1.265347080533640867e-02
6.408605698507213819e-119 -2.861915556962208598e+02 9.530081665807021984e-02 3.880836686474518071e-01 8.761619101008042421e-01 3.427538628883775029e-02 7.231614655572129458e-01
7.112501807551082015e-118 -2.837822582771752309e+02 9.488194772211682171e-01 3.243504990098389218e-02 3.571773082499924978e-01 2.260631652829392380e-02 7.976677918656592814e-01
4.113776917757762537e-114 -2.751169303941721296e+02 7.055680893124915976e-02 9.191102097761475465e-01 2.024815178628880386e-02 4.657969082998114629e-02 7.326704477364366364e-01
1.182236075270153082e-111 -2.694536090554942689e+02 9.287869764799385752e-01 3.786769914957032190e-01 1.000095140662855542e-01 4.652920584039199614e-02 6.618473618236079270e-01
5.405470045287495604e-109 -2.633259350816080087e+02 1.147553547459945200e-02 7.488796163438820042e-01 2.234801196986944127e-01 2.440349489392531490e-01 2.550288771934783316e-02
2.558014974472054839e-108 -2.617690298437083811e+02 8.955771074593116277e-01 6.197079805746685821e-03 9.398700295993722698e-02 2.550022590957535806e-01 1.471270683002312563e-02
5.553802095134811907e-108 -2.609912786454276556e+02 3.662297685419158011e-02 7.157402679614803809e-01 2.394019160384464051e-01 3.641351028229988795e-02 5.371669169408543887e-01
9.474461029943450182e-107 -2.581520764418631302e+02 9.894502498360669973e-01 2.777838971787812694e-01 5.233287588427941728e-01 4.613980097270564684e-02 6.175349547573198983e-01
1.021844503379070728e-103 -2.511662266049841605e+02 8.407739584860529636e-01 4.568079839425567279e-01 9.015691388784524696e-01 8.874032943936782658e-02 9.986531462479305565e-01
2.413663540147726349e-103 -2.503041902014564926e+02 3.129221416139360556e-03 2.907414452386776205e-01 5.022306734563017905e-01 6.663058865517810236e-01 1.059146749352888328e-01
7.206507788894844146e-103 -2.492078514584985669e+02 4.489653713658208201e-01 9.294694071488147635e-01 8.924831308890701642e-02 5.694589347590950368e-02 5.539254865926587224e-01
1.180658867614689727e-102 -2.487116781978235451e+02 8.443597711377700543e-01 1.423303129215398588e-01 9.587854312104907573e-01 7.692782547700254270e-01 1.742606485325570720e-02
1.708132680736191250e-102 -2.483398500685810291e+02 5.539262421115191959e-01 3.170788044436610997e-01 6.350551608523210545e-01 3.090766670908706715e-02 4.030168418665567298e-01
5.039713877456316536e-102 -2.472554015327343677e+02 2.452677364823218076e-01 8.988090717787703410e-01 9.004832893442938913e-01 9.255791282467062953e-02 9.212821476490505868e-01
5.473638772087840406e-102 -2.471703072241728876e+02 7.044458211252269120e-02 2.011583929665891057e-01 3.118867636556843514e-01 7.724596753209884703e-01 5.182128164450339192e-02
3.148270494411576847e-96 -2.339053870322343300e+02 1.303923897398849840e-01 8.119422606243098528e-04 2.288676525368432690e-01 2.078036354031387312e-01 5.763457558362061750e-02
5.816346892786047938e-95 -2.309864828088850004e+02 2.275254384256171214e-01 8.345459619975599264e-01 7.088693065771667357e-02 8.787966793051971148e-02 9.516174454636844304e-01
2.014287317867762103e-92 -2.251366344684866760e+02 2.390453924614597270e-01 9.830518902328299058e-01 3.170038310126360726e-01 1.073261031795317288e-01 9.440383623165116145e-01
8.596011347575378436e-91 -2.213805165210467862e+02 5.535738768389886211e-01 3.818982618007172869e-01 9.092797733518476200e-02 2.259843036128661442e-02 2.319177295044945186e-01
6.087586586832928916e-88 -2.148153078289262794e+02 4.356120148258260105e-01 2.631321983482077798e-01 4.839668547866512460e-01 3.288667448528204140e-02 3.865351497021088933e-01
7.399251554999949150e-87 -2.123150955940707263e+02 8.729660438797959277e-02 5.074625280165426799e-01 3.694509301954373992e-02 2.690588171096053305e-02 3.288551729391229195e-01
3.201226070410660801e-84 -2.062426852855404036e+02 9.619251018947172494e-01 9.694811101775574480e-01 5.903103853379968458e-01 1.085815317259334334e-01 5.898787277138606289e-01
2.053655177098562345e-83 -2.043815128572852871e+02 1.780100494279270862e-01 7.315676750629764857e-01 3.234090525732912225e-01 3.668369959387596246e-02 2.764160450478414521e-01
2.426761030409029036e-83 -2.042120766170313004e+02 8.747645245825697025e-01 5.935462071283603702e-01 5.513741584237102922e-01 1.098633384281380021e-01 7.974220688840710780e-01
1.484736556826385072e-82 -2.023983116292728539e+02 9.694397711858775413e-01 6.238627673918494265e-01 7.838207531789329607e-01 8.931335707537602087e-02 5.559065722888928418e-01
2.501437770227189774e-82 -2.018741833083255131e+02 2.219768079283387374e-01 9.457977137711358617e-01 3.861814557516256574e-01 1.186985105863168632e-01 8.631478838093135098e-01
2.457185995805302668e-79 -1.949817769129547571e+02 4.099913920668384337e-01 9.554834095625395207e-01 1.338343555685744812e-01 1.207210598301754478e-01 7.919492625714082967e-01
2.416728519354332476e-78 -1.926932938369165527e+02 5.964685305703516516e-01 4.838286331834960041e-01 7.592287277335448836e-01 9.464766517375444721e-02 7.169375669026247788e-01
2.598647204681053314e-78 -1.926182176072736354e+02 2.064383892860263137e-01 9.845843356702447258e-01 2.037308762552565433e-01 1.022878801584791164e-01 6.758183374904450647e-01
6.752239476614713379e-75 -1.847530791078481514e+02 3.139345127939416891e-01 3.823927650280323220e-01 3.001243639163087007e-02 4.840970563414481731e-03 4.319839255428248315e-02
3.132303199677867408e-73 -1.809135145655406802e+02 8.543413306664746631e-01 2.344370091676025725e-01 1.191459202274580687e-02 7.477095092698593515e-01 2.779974169431609354e-02
7.133071573170569044e-73 -1.800880412086963815e+02 2.606981008170449199e-01 2.304893753231813669e-01 6.682595515212639281e-01 7.677580784541526704e-02 8.838999990982071564e-01
3.548159253534813691e-72 -1.784812691041605888e+02 6.316060999930104281e-01 8.474971657033828487e-01 2.721517649076341527e-01 1.042656206458248969e-01 5.472591243027060681e-01
3.777946412402540599e-72 -1.784160174681779836e+02 8.655752586128284687e-02 9.806076976230845288e-01 2.280717349214386180e-01 4.683954008347585019e-01 5.211765763336284607e-02
2.454078963972506006e-70 -1.742397763436217701e+02 1.376857353803622175e-01 1.571293212783005933e-01 5.895474025175770905e-01 3.961768798207554454e-02 5.155722898850526592e-01
3.124063741352732149e-70 -1.739958932315193465e+02 1.527151669009233492e-01 8.549201786533897618e-01 4.354854288995163580e-01 8.025273351350381557e-02 4.427492317948544809e-01
7.690024723631469394e-70 -1.730926038685017261e+02 2.082166814011932043e-02 3.992779849818269833e-01 4.974454053047906443e-01 5.673042741864110505e-01 1.365476965133740617e-01
1.283525501492888208e-69 -1.725778321842121841e+02 9.056680781563370974e-01 5.028105928355695031e-01 5.646546194276388375e-01 1.475516997757431170e-01 9.032196434709208743e-01
1.343645926500065176e-69 -1.725295560142087083e+02 3.633555005395342485e-01 6.304670788021738970e-01 8.698485301432068439e-01 1.411143655890294557e-01 8.781651802047826250e-01
3.233459136538754991e-68 -1.693463051767704428e+02 1.126853089026980115e-02 9.192608725850935913e-01 4.102849884075067122e-01 8.720448402444889169e-01 3.740437532003153542e-01
4.488715334586711310e-67 -1.667132060442722548e+02 8.957398122163425791e-01 8.920497663002160404e-01 4.104150820252738807e-01 1.414851297543341380e-01 6.024164730320387129e-01
8.144260685791725707e-67 -1.661149591192206856e+02 2.989891261746879803e-02 6.080449428818018864e-01 7.941891377426415488e-01 7.418438563456956070e-01 1.703157282131450012e-01
4.464916927406438389e-66 -1.644109368862032738e+02 3.356479793297865166e-01 8.573596453740693901e-01 6.204980270683927435e-01 1.765337358045502292e-01 8.959455241376138579e-01
1.045266455973029909e-65 -1.635578305673736850e+02 8.882703994303842165e-02 6.559054304828416671e-01 5.580860241363819751e-01 9.877007269536639544e-01 1.277443793680048678e-01
4.379210223635005020e-65 -1.621227340081892976e+02 1.896932539557583119e-03 7.119877211389578076e-01 2.656603398832495522e-01 7.010390950615569272e-01 5.635263885485845003e-01
1.375124131658138797e-64 -1.609759733044731433e+02 3.154736428457757258e-01 8.971722783484868957e-01 1.968817762287662365e-01 1.065000774995314980e-01 5.109390960987382213e-01
2.103041317141377920e-64 -1.605486327657964409e+02 6.261113448937634107e-01 3.250200871036664774e-01 6.994417511688543199e-01 3.971491635361479311e-01 1.702007353066381512e-02
3.258248795459875352e-64 -1.601083274373470999e+02 5.874572333095312571e-01 1.099033056317166857e-02 3.075923100453313852e-01 9.075215960766679357e-01 1.265865391055434053e-01
3.522594922936964037e-64 -1.600278193970542873e+02 7.966324676597348331e-01 7.205791846612965568e-01 5.866599145689256334e-01 9.999930493483003557e-01 3.906715063101895424e-02
5.927024341596223965e-64 -1.595049950193891846e+02 1.587769254059352431e-01 9.557974126492285727e-02 4.482757343473705580e-01 5.248600939648706554e-02 8.088421972383544878e-01
1.503841703633883742e-63 -1.585714092463473719e+02 4.706807391335670054e-01 5.680569685129710500e-01 2.522949120259130318e-01 9.864917668625944325e-01 5.368334283562570253e-02
2.178212923572670484e-63 -1.581984274353072806e+02 3.420919049114867772e-02 2.822950906151948658e-01 2.949118608976063483e-01 7.620011122236380885e-02 7.665347551558181483e-01
5.720355521499648315e-62 -1.549278161655298049e+02 1.853958472013906844e-01 8.102111171995179939e-01 5.410303553312906244e-01 1.824698250153992118e-01 9.177218264962686556e-01
4.976789363315865239e-61 -1.527619770531416066e+02 5.597543784917355936e-01 2.334067636001624368e-01 1.304803797214575400e-01 7.554531919983220600e-02 6.309402007111138966e-01
1.316039517337354374e-60 -1.517870500762861354e+02 8.275924982465960866e-01 6.892610358806846582e-01 3.935714989907096450e-01 1.479545560034647433e-01 6.440068882234044612e-01
1.328312765115749455e-60 -1.517752673978851305e+02 8.753422495065610320e-03 8.812662026287220174e-01 2.260913605840685348e-01 1.099203304081947108e-01 2.538998177905180675e-01
1.478590826952869507e-59 -1.493630023538679552e+02 5.211732461766979130e-01 6.005743512299260845e-01 3.378211266350683584e-02 3.737298500895925857e-01 2.038816625920625292e-02
6.578585217180427207e-59 -1.478677721344840847e+02 8.393457526043722750e-01 9.438380063561377931e-01 9.487146177995650076e-01 2.083526302627276561e-01 7.044421403352303379e-01
8.197457082725316734e-59 -1.476452678498033890e+02 4.958044197312404533e-01 4.389428882626027484e-01 9.299882836558517329e-01 9.674658821936310549e-02 4.980813279320996934e-01
3.871903515370659709e-57 -1.437876754075752217e+02 1.222981309920911919e-01 5.741292566230186134e-01 7.496179610524328352e-01 1.807387404879605697e-01 9.740989338268098985e-01
5.829440532841493767e-57 -1.433760006258625310e+02 2.708563895272031452e-02 4.582254085897039531e-01 2.835761066241069273e-01 5.060332560722695661e-01 1.745614263668094912e-01
8.214565113852386468e-55 -1.384253426601102035e+02 2.631543310193369400e-01 5.664740761181659146e-01 4.313612136130096086e-01 1.211256944722266526e-01 5.967234217406260921e-01
9.668282031884991610e-55 -1.382599008380357191e+02 2.073748298209721064e-01 5.161418086394466975e-01 9.402626093149524245e-02 1.197271188674746689e-01 7.085040346550169899e-01
1.267889938457183794e-54 -1.379863123262222189e+02 6.899794679340043313e-02 6.039025214199787994e-01 7.288324682467471893e-01 9.014745689005514429e-01 1.955084373986007984e-01
1.653279766016526230e-54 -1.377184053271889184e+02 9.244936249040165421e-01 9.448034009196417671e-01 2.233981248550350740e-01 1.794583717681618174e-01 5.615376702636276640e-01
3.468380464531847923e-54 -1.369749786190559746e+02 6.616851652570626685e-01 9.126935489656429201e-01 7.102694963201263700e-01 1.840310137057006301e-01 5.876315940828195084e-01
7.520547416595435620e-54 -1.361985274490736231e+02 1.747200383441638305e-02 8.496067733431463820e-01 5.570450435296365743e-01 3.109070294336521156e-01 6.376153821340743155e-01
1.115135298997583742e-52 -1.334995204512150053e+02 4.337765970786389147e-02 5.800649686246095449e-01 9.378132527575491206e-01 2.276622072201549551e-01 9.280382553022541448e-01
5.996654773057951656e-52 -1.318147944172355324e+02 6.236878006123706131e-01 3.580503292064987075e-01 9.060647940784651855e-01 7.558460335157579646e-02 3.277282603866967792e-01
4.670924757139072899e-51 -1.297595540272859296e+02 2.516521862882966643e-01 1.546724391515169605e-01 6.291146039158120873e-01 1.002713022757721895e-01 8.781499812472249866e-01
6.774056264682997696e-51 -1.293853110398265471e+02 7.935308623011415596e-01 6.074396195558446898e-01 4.705420965502560282e-02 1.285108901682021632e-01 4.898624684777045379e-01
9.304545898424538791e-51 -1.290654080131492947e+02 5.161374891989189972e-02 3.863876668640964240e-03 2.808677724194943437e-01 4.727782211839868243e-01 3.303270959150382824e-01
2.302773451636840847e-50 -1.281567117621483476e+02 1.571396769334820753e-02 6.375784255711542947e-01 3.629329870595943142e-03 8.798416758582857655e-01 8.507519993955009463e-01
5.890162110614052543e-50 -1.272150424868605967e+02 2.025805308982798758e-01 5.412375344010991185e-01 7.974120543701227470e-01 8.475338866923735059e-01 1.059335825771755557e-01
8.101851814469614414e-50 -1.268937333525504556e+02 2.282990089118080990e-01 3.653853058604067394e-01 8.700285552670929956e-01 5.150534164515727653e-01 5.599779264665705192e-02
8.567191818138497625e-50 -1.268353860040873968e+02 6.869407439105370550e-01 8.463117503020900489e-01 8.241018742815153786e-02 1.375606948906330507e-01 4.254724902061827185e-01
4.469931118783122347e-49 -1.251808679153372168e+02 3.297844469699146019e-01 9.924796558283911496e-01 5.755939647192289677e-01 9.559386742861641917e-01 9.578890486856961317e-02
6.099367542660458455e-49 -1.248675558299028694e+02 2.348147461130889457e-02 7.123795337060195854e-01 7.305200147870870575e-01 4.465183191953397968e-01 9.789337508023091550e-01
6.766463262558347698e-49 -1.247612623769683609e+02 7.948221201520310197e-01 1.349310071329179461e-02 6.358524643009916266e-01 5.409674187651303257e-02 6.438374703304600155e-01
1.087451144981136550e-48 -1.242843192623654005e+02 6.629494930455176460e-01 8.742083292528848304e-01 1.955535400004145830e-01 2.302693484910921518e-01 7.086613449441807600e-01
7.869996471504107528e-48 -1.223025982071001465e+02 1.095748749146896461e-02 1.068453299540584878e-01 1.097243546692560079e-01 8.114715329511861253e-01 5.231863692679695754e-01
1.015072360650819288e-47 -1.220456108269534212e+02 7.649119016779386548e-01 9.448700533590852491e-01 9.320163811654051944e-01 2.999698615751609232e-01 7.902512488726913809e-01
6.304651823938500184e-47 -1.202167829825099261e+02 4.389361391710078220e-02 5.719430696940392966e-01 9.160721446856621153e-01 7.736260951857628632e-01 3.176747472737639910e-01
1.731213635843416774e-46 -1.192041629490276762e+02 4.441177498801240908e-02 9.783115337647849685e-01 4.988661658070818739e-01 6.029832974932671785e-01 4.134588003528092415e-01
2.757473924890720503e-46 -1.187361706191614417e+02 1.214968746654767617e-01 1.709441671503273419e-01 6.804605838652810768e-01 2.323317602943810734e-01 3.833664021669125344e-02
3.359541937989220671e-46 -1.185361809984914174e+02 8.035615832469089614e-01 5.944488902395992369e-01 9.155054012849221934e-01 5.401703695546278272e-02 1.288038717124141419e-01
3.547233675498674654e-46 -1.184793175818149393e+02 1.893817941618369805e-02 4.944045102536676062e-02 6.113996252483815397e-01 4.317047212557545421e-02 1.857842866476766552e-02
3.915932666224863191e-45 -1.160753470122080131e+02 6.256378637633804862e-01 9.839955778355092830e-01 1.618730962498489134e-01 4.659311110263471001e-01 3.414470076607578619e-02
6.124186829607648001e-45 -1.156256545570955439e+02 3.990736049956800091e-02 7.856954883951586810e-01 1.232712265229107818e-01 8.754004612561119281e-01 6.303576298221634788e-01
1.197316361072743577e-44 -1.149527327625847590e+02 6.532622690048778269e-01 6.879288801108859319e-01 2.113220455406628062e-03 6.864768451461699117e-01 5.232505500256534603e-02
2.873347506164657919e-44 -1.140748377206703026e+02 3.547855995771431736e-02 7.374159084605672598e-01 7.960821505375793583e-01 2.822741243075626016e-01 4.832540749341308617e-01
5.096342212307993205e-44 -1.134992923800686810e+02 1.906752090710145398e-01 9.887541205990677540e-01 5.726138433999020672e-01 2.917276536060496861e-01 7.133710964522935738e-01
7.554622482411617757e-44 -1.131031558239667021e+02 3.370101093895121469e-01 8.843838092800136996e-01 2.373044059352015234e-01 6.391442423052908772e-01 7.569231254966590772e-02
1.900203065610610265e-43 -1.121782695991128094e+02 5.569826817453942258e-01 3.616787625886180857e-01 3.957476775239212596e-01 6.978872469281993673e-02 2.678394852609765620e-01
3.372405257620261552e-43 -1.116021041401318712e+02 4.438141188944311200e-02 8.641884183183677903e-01 5.453902806935535530e-01 5.035267446630449228e-01 4.771200475470780411e-01
4.112529965231899937e-43 -1.114011919537679631e+02 4.835961074500436663e-01 7.462686964828365577e-01 2.091008800692572001e-01 2.319845101016081435e-01 6.997388252870627712e-01
6.095301286061444445e-43 -1.110052121628245771e+02 3.652003698135541931e-02 3.331842104894044976e-01 3.846940230863359345e-01 6.525352931319627903e-01 3.311958210842904649e-01
7.796952205462054466e-43 -1.107564974417653048e+02 5.278720484227678034e-01 2.906270654524581998e-01 2.260828394451944723e-01 1.867017541810461756e-01 9.650783902497311884e-01
2.122786692076096998e-42 -1.097524155603082079e+02 5.234045741628745585e-02 7.047014666364789237e-01 1.522850984276236108e-01 9.275027890707361333e-01 5.271141610345572159e-01
6.240612794563676301e-42 -1.086715668814008211e+02 1.122304506485337638e-01 8.806211627525754038e-01 9.039527513242662238e-02 4.098685520032339102e-01 9.528943974888141044e-01
1.776991257364818043e-41 -1.076226385409477189e+02 1.602137429075776165e-01 9.734166779458413021e-01 6.627156280328818649e-01 2.686348645805058943e-01 5.617075846431902608e-01
